CONIDX,CONKPOS,PRESSURE,CONIPOS,DRAWDOWN,CONJPOS,WELL,WELLMODEL,CONBPRES,DEPTH,DATE,SWAT,SGAS
14,13,299.5802307128906,29,0,41,R_A3,STANDARD,299.5802307128906,1624.7911376953125,2018-01-01,0.3710278570652008,0.0
15,15,299.88616943359375,29,0,41,R_A3,STANDARD,299.88616943359375,1629.3548583984375,2018-01-01,0.601466715335846,0.0
16,16,300.0169372558594,29,0,41,R_A3,STANDARD,300.0169372558594,1631.30517578125,2018-01-01,0.809544026851654,0.0
17,26,300.1957092285156,29,0,41,R_A3,STANDARD,300.1957092285156,1633.9718017578125,2018-01-01,1.0,0.0
18,27,300.43963623046875,29,0,41,R_A3,STANDARD,300.43963623046875,1637.6102294921875,2018-01-01,0.04353238642215729,0.0
19,28,300.68359375,29,0,41,R_A3,STANDARD,300.68359375,1641.2486572265625,2018-01-01,0.05191643908619881,0.0
20,29,300.9275817871094,29,0,41,R_A3,STANDARD,300.9275817871094,1644.8870849609375,2018-01-01,1.0,0.0
21,30,301.17156982421875,29,0,41,R_A3,STANDARD,301.17156982421875,1648.525390625,2018-01-01,0.06294763833284378,0.0
1,1,300.05487060546875,30,0,52,R_A4,STANDARD,300.05487060546875,1631.871337890625,2018-01-01,0.05340566486120224,0.0
2,1,299.75457763671875,31,0,52,R_A4,STANDARD,299.75457763671875,1627.391845703125,2018-01-01,0.04974053427577019,0.0
3,2,299.8894958496094,31,0,52,R_A4,STANDARD,299.8894958496094,1629.404296875,2018-01-01,0.050957728177309036,0.0
4,3,300.0244140625,31,0,52,R_A4,STANDARD,300.0244140625,1631.4166259765625,2018-01-01,0.05316463112831116,0.0
5,4,300.1593017578125,31,0,52,R_A4,STANDARD,300.1593017578125,1633.428955078125,2018-01-01,0.05839976668357849,0.0
6,4,299.9555358886719,32,0,52,R_A4,STANDARD,299.9555358886719,1630.389404296875,2018-01-01,0.05696799233555794,0.0
7,4,300.4137268066406,32,0,51,R_A4,STANDARD,300.4137268066406,1637.2235107421875,2018-01-01,0.05947569012641907,0.0
8,3,300.2943115234375,32,0,51,R_A4,STANDARD,300.2943115234375,1635.442626953125,2018-01-01,0.0577983520925045,0.0
9,3,300.3182678222656,33,0,51,R_A4,STANDARD,300.3182678222656,1635.7996826171875,2018-01-01,0.057673804461956024,0.0
10,3,300.8367919921875,33,0,50,R_A4,STANDARD,300.8367919921875,1643.532958984375,2018-01-01,0.06573312729597092,0.0
11,3,300.65753173828125,34,0,50,R_A4,STANDARD,300.65753173828125,1640.859619140625,2018-01-01,0.06426291167736053,0.0
12,2,300.5313720703125,34,0,50,R_A4,STANDARD,300.5313720703125,1638.97802734375,2018-01-01,0.15735366940498352,0.0
13,2,300.433349609375,35,0,50,R_A4,STANDARD,300.433349609375,1637.51611328125,2018-01-01,0.16287124156951904,0.0
14,30,300.89166259765625,35,0,49,R_A4,STANDARD,300.89166259765625,1644.3515625,2018-01-01,0.06289537996053696,0.0
15,29,300.5026550292969,35,0,49,R_A4,STANDARD,300.5026550292969,1638.5496826171875,2018-01-01,0.056823551654815674,0.0
16,29,300.9380187988281,36,0,49,R_A4,STANDARD,300.9380187988281,1645.042724609375,2018-01-01,0.0602492056787014,0.0
17,28,300.5513000488281,36,0,49,R_A4,STANDARD,300.5513000488281,1639.2755126953125,2018-01-01,0.6481541991233826,0.0
18,28,300.7813415527344,36,0,48,R_A4,STANDARD,300.7813415527344,1642.706298828125,2018-01-01,0.057395175099372864,0.0
19,28,301.27032470703125,37,0,48,R_A4,STANDARD,301.27032470703125,1649.9981689453125,2018-01-01,0.8452397584915161,0.0
20,27,300.8991394042969,37,0,48,R_A4,STANDARD,300.8991394042969,1644.463134765625,2018-01-01,0.8057913780212402,0.0
21,27,301.15533447265625,38,0,48,R_A4,STANDARD,301.15533447265625,1648.283203125,2018-01-01,0.6481541991233826,0.0
22,27,302.0450439453125,38,0,47,R_A4,STANDARD,302.0450439453125,1661.5491943359375,2018-01-01,0.26795005798339844,0.0
1,1,304.14581298828125,31,0,20,R_A5,STANDARD,304.14581298828125,1684.9837646484375,2018-01-01,1.0,0.0
2,2,304.0394592285156,31,0,20,R_A5,STANDARD,304.0394592285156,1687.08837890625,2018-01-01,1.0,0.0
3,3,304.2388916015625,31,0,20,R_A5,STANDARD,304.2388916015625,1689.1929931640625,2018-01-01,1.0,0.0
4,4,304.4383544921875,31,0,20,R_A5,STANDARD,304.4383544921875,1691.2974853515625,2018-01-01,1.0,0.0
5,5,304.6377868652344,31,0,20,R_A5,STANDARD,304.6377868652344,1693.402099609375,2018-01-01,1.0,0.0
6,6,304.83721923828125,31,0,20,R_A5,STANDARD,304.83721923828125,1695.5067138671875,2018-01-01,1.0,0.0
7,7,305.34246826171875,31,0,20,R_A5,STANDARD,305.34246826171875,1697.611328125,2018-01-01,1.0,0.0
8,8,305.54193115234375,31,0,20,R_A5,STANDARD,305.54193115234375,1699.7159423828125,2018-01-01,1.0,0.0
9,9,305.4339904785156,31,0,21,R_A5,STANDARD,305.4339904785156,1698.576904296875,2018-01-01,1.0,0.0
10,11,305.538330078125,31,0,21,R_A5,STANDARD,305.538330078125,1702.903564453125,2018-01-01,1.0,0.0
11,12,305.7209777832031,31,0,21,R_A5,STANDARD,305.7209777832031,1704.83056640625,2018-01-01,1.0,0.0
12,13,305.9155578613281,31,0,21,R_A5,STANDARD,305.9155578613281,1706.7576904296875,2018-01-01,1.0,0.0
13,14,306.09820556640625,31,0,21,R_A5,STANDARD,306.09820556640625,1708.684814453125,2018-01-01,1.0,0.0
14,15,306.28082275390625,31,0,21,R_A5,STANDARD,306.28082275390625,1710.61181640625,2018-01-01,1.0,0.0
15,16,306.6084899902344,31,0,21,R_A5,STANDARD,306.6084899902344,1712.5389404296875,2018-01-01,1.0,0.0
16,17,306.77642822265625,31,0,21,R_A5,STANDARD,306.77642822265625,1714.311279296875,2018-01-01,1.0,0.0
17,18,306.8862609863281,31,0,21,R_A5,STANDARD,306.8862609863281,1715.4700927734375,2018-01-01,1.0,0.0
18,26,307.1773681640625,31,0,21,R_A5,STANDARD,307.1773681640625,1716.97265625,2018-01-01,1.0,0.0
19,27,307.0700988769531,31,0,21,R_A5,STANDARD,307.0700988769531,1719.0672607421875,2018-01-01,1.0,0.0
20,28,307.57440185546875,31,0,21,R_A5,STANDARD,307.57440185546875,1721.161865234375,2018-01-01,1.0,0.0
21,29,307.7729187011719,31,0,21,R_A5,STANDARD,307.7729187011719,1723.2564697265625,2018-01-01,1.0,0.0
22,30,307.971435546875,31,0,21,R_A5,STANDARD,307.971435546875,1725.35107421875,2018-01-01,1.0,0.0
1,1,305.0043029785156,17,0,42,R_A6,STANDARD,305.0043029785156,1694.04296875,2018-01-01,1.0,0.0
2,2,305.1495361328125,17,0,42,R_A6,STANDARD,305.1495361328125,1695.5755615234375,2018-01-01,1.0,0.0
3,3,305.2947998046875,17,0,42,R_A6,STANDARD,305.2947998046875,1697.108154296875,2018-01-01,1.0,0.0
4,4,305.4400329589844,17,0,42,R_A6,STANDARD,305.4400329589844,1698.640869140625,2018-01-01,1.0,0.0
5,5,305.58526611328125,17,0,42,R_A6,STANDARD,305.58526611328125,1700.1734619140625,2018-01-01,1.0,0.0
6,6,305.73052978515625,17,0,42,R_A6,STANDARD,305.73052978515625,1701.7061767578125,2018-01-01,1.0,0.0
7,7,305.57672119140625,17,0,42,R_A6,STANDARD,305.57672119140625,1703.23876953125,2018-01-01,1.0,0.0
8,8,305.72198486328125,17,0,42,R_A6,STANDARD,305.72198486328125,1704.771484375,2018-01-01,1.0,0.0
9,9,306.166259765625,17,0,42,R_A6,STANDARD,306.166259765625,1706.3040771484375,2018-01-01,1.0,0.0
10,10,306.3115234375,17,0,42,R_A6,STANDARD,306.3115234375,1707.836669921875,2018-01-01,1.0,0.0
11,11,306.1878662109375,17,0,42,R_A6,STANDARD,306.1878662109375,1709.7572021484375,2018-01-01,1.0,0.0
12,12,306.4066162109375,17,0,42,R_A6,STANDARD,306.4066162109375,1712.0655517578125,2018-01-01,1.0,0.0
13,13,306.6373596191406,17,0,42,R_A6,STANDARD,306.6373596191406,1714.3739013671875,2018-01-01,1.0,0.0
14,14,306.85614013671875,17,0,42,R_A6,STANDARD,306.85614013671875,1716.6822509765625,2018-01-01,1.0,0.0
15,15,307.0749206542969,17,0,42,R_A6,STANDARD,307.0749206542969,1718.9906005859375,2018-01-01,1.0,0.0
16,16,307.4386901855469,17,0,42,R_A6,STANDARD,307.4386901855469,1721.2989501953125,2018-01-01,1.0,0.0
17,17,307.657470703125,17,0,42,R_A6,STANDARD,307.657470703125,1723.6072998046875,2018-01-01,1.0,0.0
18,18,307.79840087890625,17,0,42,R_A6,STANDARD,307.79840087890625,1725.09423828125,2018-01-01,1.0,0.0
19,26,307.7538757324219,17,0,42,R_A6,STANDARD,307.7538757324219,1726.281982421875,2018-01-01,1.0,0.0
20,27,307.91595458984375,17,0,42,R_A6,STANDARD,307.91595458984375,1727.9918212890625,2018-01-01,1.0,0.0
21,28,308.3837890625,17,0,42,R_A6,STANDARD,308.3837890625,1729.7017822265625,2018-01-01,1.0,0.0
22,29,308.54583740234375,17,0,42,R_A6,STANDARD,308.54583740234375,1731.41162109375,2018-01-01,1.0,0.0
23,30,308.4021301269531,17,0,42,R_A6,STANDARD,308.4021301269531,1733.1214599609375,2018-01-01,1.0,0.0
1,1,298.3741455078125,22,0,30,R_A2,STANDARD,298.3741455078125,1638.2718505859375,2018-03-01,0.0540132150053978,0.0
2,2,298.49066162109375,22,0,30,R_A2,STANDARD,298.49066162109375,1640.0111083984375,2018-03-01,0.05683944746851921,0.0
3,3,298.6072082519531,22,0,30,R_A2,STANDARD,298.6072082519531,1641.750244140625,2018-03-01,0.05908346548676491,0.0
4,4,298.7237548828125,22,0,30,R_A2,STANDARD,298.7237548828125,1643.4893798828125,2018-03-01,0.06486252695322037,0.0
5,5,298.8404541015625,22,0,30,R_A2,STANDARD,298.8404541015625,1645.228515625,2018-03-01,0.1307702511548996,0.0
6,6,299.0495910644531,22,0,30,R_A2,STANDARD,299.0495910644531,1646.9677734375,2018-03-01,0.3007911443710327,0.0
7,7,299.2031555175781,22,0,30,R_A2,STANDARD,299.2031555175781,1648.70703125,2018-03-01,0.8806440830230713,0.0
8,8,299.3319091796875,22,0,30,R_A2,STANDARD,299.3319091796875,1650.4461669921875,2018-03-01,0.6483213901519775,0.0
9,9,299.448486328125,22,0,30,R_A2,STANDARD,299.448486328125,1652.185302734375,2018-03-01,0.18182681500911713,0.0
10,10,299.7769775390625,22,0,30,R_A2,STANDARD,299.7769775390625,1653.924560546875,2018-03-01,0.8877006769180298,0.0
11,11,299.9522399902344,22,0,30,R_A2,STANDARD,299.9522399902344,1655.806640625,2018-03-01,0.0743592157959938,0.0
12,13,300.79925537109375,22,0,30,R_A2,STANDARD,300.79925537109375,1659.8570556640625,2018-03-01,0.4388630986213684,0.0
13,14,300.93499755859375,22,0,30,R_A2,STANDARD,300.93499755859375,1661.882080078125,2018-03-01,0.4800630211830139,0.0
14,15,301.06951904296875,22,0,30,R_A2,STANDARD,301.06951904296875,1663.9072265625,2018-03-01,0.9210116863250732,0.0
15,16,301.20416259765625,22,0,30,R_A2,STANDARD,301.20416259765625,1665.932373046875,2018-03-01,0.9356690049171448,0.0
16,17,301.339599609375,22,0,30,R_A2,STANDARD,301.339599609375,1667.9576416015625,2018-03-01,0.9016228318214417,0.0
17,18,301.4501647949219,22,0,30,R_A2,STANDARD,301.4501647949219,1669.608154296875,2018-03-01,0.9437376260757446,0.0
18,26,302.5179748535156,22,0,30,R_A2,STANDARD,302.5179748535156,1671.113525390625,2018-03-01,1.0,1.3837770795012611e-15
19,26,303.2484130859375,22,0,29,R_A2,STANDARD,303.2484130859375,1677.1490478515625,2018-03-01,1.0,3.5275280011468416e-16
20,27,303.3293151855469,22,0,29,R_A2,STANDARD,303.3293151855469,1678.884521484375,2018-03-01,1.0,2.1182786556881735e-16
21,28,303.2104797363281,22,0,29,R_A2,STANDARD,303.2104797363281,1680.619873046875,2018-03-01,1.0,8.47838221477255e-15
22,29,302.7273254394531,22,0,29,R_A2,STANDARD,302.7273254394531,1682.355224609375,2018-03-01,1.0,5.591799809648301e-14
23,30,302.1756591796875,22,0,29,R_A2,STANDARD,302.1756591796875,1684.090576171875,2018-03-01,0.9999988079071045,0.0
1,1,272.7132873535156,31,0,20,R_A5,STANDARD,272.7132873535156,1684.9837646484375,2018-04-28,1.0,-2.1156935839250473e-17
2,2,272.60693359375,31,0,20,R_A5,STANDARD,272.60693359375,1687.08837890625,2018-04-28,1.0,-1.8836450818180903e-14
3,3,272.8062744140625,31,0,20,R_A5,STANDARD,272.8062744140625,1689.1929931640625,2018-04-28,1.0,-2.8551857736815525e-14
4,4,273.005615234375,31,0,20,R_A5,STANDARD,273.005615234375,1691.2974853515625,2018-04-28,1.0,-2.868228725816553e-14
5,5,273.2048645019531,31,0,20,R_A5,STANDARD,273.2048645019531,1693.402099609375,2018-04-28,1.0,-1.339651385157993e-14
6,6,273.4041748046875,31,0,20,R_A5,STANDARD,273.4041748046875,1695.5067138671875,2018-04-28,1.0,-5.79839588886813e-14
7,7,273.9702453613281,31,0,20,R_A5,STANDARD,273.9702453613281,1697.611328125,2018-04-28,1.0,-8.760236663136155e-15
8,8,274.2564697265625,31,0,20,R_A5,STANDARD,274.2564697265625,1699.7159423828125,2018-04-28,1.0,-3.5213267035334034e-14
9,9,274.3927917480469,31,0,21,R_A5,STANDARD,274.3927917480469,1698.576904296875,2018-04-28,1.0,0.0
10,11,276.627685546875,31,0,21,R_A5,STANDARD,276.627685546875,1702.903564453125,2018-04-28,1.0,-2.0755104579439632e-10
11,12,276.81146240234375,31,0,21,R_A5,STANDARD,276.81146240234375,1704.83056640625,2018-04-28,1.0,-1.3250855968038877e-10
12,13,277.0200500488281,31,0,21,R_A5,STANDARD,277.0200500488281,1706.7576904296875,2018-04-28,1.0,0.0
13,14,277.2269287109375,31,0,21,R_A5,STANDARD,277.2269287109375,1708.684814453125,2018-04-28,1.0,-1.8242035659810085e-10
14,15,277.42041015625,31,0,21,R_A5,STANDARD,277.42041015625,1710.61181640625,2018-04-28,1.0,-7.239992633190084e-11
15,16,277.76861572265625,31,0,21,R_A5,STANDARD,277.76861572265625,1712.5389404296875,2018-04-28,1.0,-5.817070783398215e-12
16,17,277.9565734863281,31,0,21,R_A5,STANDARD,277.9565734863281,1714.311279296875,2018-04-28,1.0,-9.191736781433146e-12
17,18,278.07012939453125,31,0,21,R_A5,STANDARD,278.07012939453125,1715.4700927734375,2018-04-28,1.0,-7.04794729522451e-12
18,26,280.9766845703125,31,0,21,R_A5,STANDARD,280.9766845703125,1716.97265625,2018-04-28,1.0,-3.5170030776576766e-10
19,27,281.0569763183594,31,0,21,R_A5,STANDARD,281.0569763183594,1719.0672607421875,2018-04-28,1.0,-2.1741723699175708e-10
20,28,286.2616882324219,31,0,21,R_A5,STANDARD,286.2616882324219,1721.161865234375,2018-04-28,1.0,-4.802335598929205e-18
21,29,280.7347106933594,31,0,21,R_A5,STANDARD,280.7347106933594,1723.2564697265625,2018-04-28,1.0,-3.5821191932822183e-12
22,30,282.67901611328125,31,0,21,R_A5,STANDARD,282.67901611328125,1725.35107421875,2018-04-28,1.0,-1.8881151870241505e-17
1,1,277.8009033203125,28,0,41,R_A3,STANDARD,277.8009033203125,1609.2391357421875,2018-07-03,0.6505430340766907,0.0
2,2,277.94549560546875,28,0,41,R_A3,STANDARD,277.94549560546875,1611.322509765625,2018-07-03,0.1978195607662201,0.0
3,3,278.0843811035156,28,0,41,R_A3,STANDARD,278.0843811035156,1613.406005859375,2018-07-03,0.15765193104743958,0.0
4,4,278.2233581542969,28,0,41,R_A3,STANDARD,278.2233581542969,1615.489501953125,2018-07-03,0.11965657770633698,0.0
5,5,278.3623046875,28,0,41,R_A3,STANDARD,278.3623046875,1617.5731201171875,2018-07-03,0.649878203868866,0.0
6,6,278.5039978027344,28,0,41,R_A3,STANDARD,278.5039978027344,1619.656494140625,2018-07-03,0.33745479583740234,0.0
7,6,277.776611328125,29,0,41,R_A3,STANDARD,277.776611328125,1609.8065185546875,2018-07-03,0.6498289108276367,0.0
8,7,277.949462890625,29,0,41,R_A3,STANDARD,277.949462890625,1611.86865234375,2018-07-03,0.1987036019563675,0.0
9,8,278.08831787109375,29,0,41,R_A3,STANDARD,278.08831787109375,1613.930908203125,2018-07-03,0.30955401062965393,0.0
10,9,278.320068359375,29,0,41,R_A3,STANDARD,278.320068359375,1615.9930419921875,2018-07-03,0.8023331165313721,0.0
11,10,280.01727294921875,29,0,41,R_A3,STANDARD,280.01727294921875,1618.0552978515625,2018-07-03,0.7967215776443481,0.0
12,11,280.4524841308594,29,0,41,R_A3,STANDARD,280.4524841308594,1620.227294921875,2018-07-03,0.04936608299612999,0.0
13,12,280.6047668457031,29,0,41,R_A3,STANDARD,280.6047668457031,1622.50927734375,2018-07-03,0.05495883524417877,0.0
14,13,280.7572937011719,29,0,41,R_A3,STANDARD,280.7572937011719,1624.7911376953125,2018-07-03,0.3716493248939514,0.0
15,15,282.04644775390625,29,0,41,R_A3,STANDARD,282.04644775390625,1629.3548583984375,2018-07-03,0.6038373708724976,0.0
16,16,282.2341003417969,29,0,41,R_A3,STANDARD,282.2341003417969,1631.30517578125,2018-07-03,0.8085362911224365,0.0
17,26,290.5308532714844,29,0,41,R_A3,STANDARD,290.5308532714844,1633.9718017578125,2018-07-03,1.0,4.321165820997397e-12
18,27,283.18353271484375,29,0,41,R_A3,STANDARD,283.18353271484375,1637.6102294921875,2018-07-03,0.04408195614814758,0.0
19,28,283.42626953125,29,0,41,R_A3,STANDARD,283.42626953125,1641.2486572265625,2018-07-03,0.05258764326572418,0.0
20,29,287.189208984375,29,0,41,R_A3,STANDARD,287.189208984375,1644.8870849609375,2018-07-03,1.0,-6.415925950242762e-12
21,30,283.8768005371094,29,0,41,R_A3,STANDARD,283.8768005371094,1648.525390625,2018-07-03,0.06340896338224411,0.0
1,1,276.7413635253906,30,0,52,R_A4,STANDARD,276.7413635253906,1631.871337890625,2018-09-12,0.05351000279188156,0.0
2,1,276.4814147949219,31,0,52,R_A4,STANDARD,276.4814147949219,1627.391845703125,2018-09-12,0.04984515905380249,0.0
3,2,276.61553955078125,31,0,52,R_A4,STANDARD,276.61553955078125,1629.404296875,2018-09-12,0.05106804147362709,0.0
4,3,276.7496643066406,31,0,52,R_A4,STANDARD,276.7496643066406,1631.4166259765625,2018-09-12,0.0532715879380703,0.0
5,4,276.8838195800781,31,0,52,R_A4,STANDARD,276.8838195800781,1633.428955078125,2018-09-12,0.058480869978666306,0.0
6,4,276.7200927734375,32,0,52,R_A4,STANDARD,276.7200927734375,1630.389404296875,2018-09-12,0.05706395208835602,0.0
7,4,277.111083984375,32,0,51,R_A4,STANDARD,277.111083984375,1637.2235107421875,2018-09-12,0.05957130715250969,0.0
8,3,276.9923400878906,32,0,51,R_A4,STANDARD,276.9923400878906,1635.442626953125,2018-09-12,0.057901784777641296,0.0
9,3,277.055419921875,33,0,51,R_A4,STANDARD,277.055419921875,1635.7996826171875,2018-09-12,0.05776923894882202,0.0
10,3,277.44561767578125,33,0,50,R_A4,STANDARD,277.44561767578125,1643.532958984375,2018-09-12,0.06639710813760757,0.0
11,3,277.3051452636719,34,0,50,R_A4,STANDARD,277.3051452636719,1640.859619140625,2018-09-12,0.06509105116128922,0.0
12,2,277.1799011230469,34,0,50,R_A4,STANDARD,277.1799011230469,1638.97802734375,2018-09-12,0.15782307088375092,0.0
13,2,277.20526123046875,35,0,50,R_A4,STANDARD,277.20526123046875,1637.51611328125,2018-09-12,0.16320356726646423,0.0
14,30,277.6956481933594,35,0,49,R_A4,STANDARD,277.6956481933594,1644.3515625,2018-09-12,0.0636088028550148,0.0
15,29,277.30841064453125,35,0,49,R_A4,STANDARD,277.30841064453125,1638.5496826171875,2018-09-12,0.0569487027823925,0.0
16,29,277.8644104003906,36,0,49,R_A4,STANDARD,277.8644104003906,1645.042724609375,2018-09-12,0.06042373552918434,0.0
17,28,277.4743347167969,36,0,49,R_A4,STANDARD,277.4743347167969,1639.2755126953125,2018-09-12,0.6499656438827515,0.0
18,28,277.57000732421875,36,0,48,R_A4,STANDARD,277.57000732421875,1642.706298828125,2018-09-12,0.05826209485530853,0.0
19,28,279.55950927734375,37,0,48,R_A4,STANDARD,279.55950927734375,1649.9981689453125,2018-09-12,0.8441554307937622,0.0
20,27,282.1005554199219,37,0,48,R_A4,STANDARD,282.1005554199219,1644.463134765625,2018-09-12,0.8046850562095642,0.0
21,27,278.41766357421875,38,0,48,R_A4,STANDARD,278.41766357421875,1648.283203125,2018-09-12,0.6644535064697266,0.0
22,27,279.209228515625,38,0,47,R_A4,STANDARD,279.209228515625,1661.5491943359375,2018-09-12,0.2865969240665436,0.0
1,1,272.56219482421875,17,0,42,R_A6,STANDARD,272.56219482421875,1694.04296875,2018-11-07,1.0,6.20638179635518e-17
2,2,272.70611572265625,17,0,42,R_A6,STANDARD,272.70611572265625,1695.5755615234375,2018-11-07,1.0,6.335840856175649e-17
3,3,272.8475646972656,17,0,42,R_A6,STANDARD,272.8475646972656,1697.108154296875,2018-11-07,1.0,2.9315810304471335e-17
4,4,272.9856872558594,17,0,42,R_A6,STANDARD,272.9856872558594,1698.640869140625,2018-11-07,1.0,1.417273229011004e-17
5,5,273.12225341796875,17,0,42,R_A6,STANDARD,273.12225341796875,1700.1734619140625,2018-11-07,1.0,5.779271388402609e-17
6,6,273.26153564453125,17,0,42,R_A6,STANDARD,273.26153564453125,1701.7061767578125,2018-11-07,1.0,1.997475425555696e-15
7,7,273.10418701171875,17,0,42,R_A6,STANDARD,273.10418701171875,1703.23876953125,2018-11-07,1.0,3.794962560616389e-15
8,8,273.2493591308594,17,0,42,R_A6,STANDARD,273.2493591308594,1704.771484375,2018-11-07,1.0,2.060070948599552e-15
9,9,273.6947021484375,17,0,42,R_A6,STANDARD,273.6947021484375,1706.3040771484375,2018-11-07,1.0,1.5450420941422313e-16
10,10,274.0567932128906,17,0,42,R_A6,STANDARD,274.0567932128906,1707.836669921875,2018-11-07,1.0,1.6382775252755743e-18
11,11,274.0669250488281,17,0,42,R_A6,STANDARD,274.0669250488281,1709.7572021484375,2018-11-07,1.0,-1.188132188671321e-16
12,12,274.2854919433594,17,0,42,R_A6,STANDARD,274.2854919433594,1712.0655517578125,2018-11-07,1.0,-4.785535974278559e-17
13,13,274.5169677734375,17,0,42,R_A6,STANDARD,274.5169677734375,1714.3739013671875,2018-11-07,1.0,-1.7854364304073306e-17
14,14,274.73773193359375,17,0,42,R_A6,STANDARD,274.73773193359375,1716.6822509765625,2018-11-07,1.0,1.508131243802196e-17
15,15,274.976806640625,17,0,42,R_A6,STANDARD,274.976806640625,1718.9906005859375,2018-11-07,1.0,-9.994637225840409e-19
16,16,275.40496826171875,17,0,42,R_A6,STANDARD,275.40496826171875,1721.2989501953125,2018-11-07,1.0,-1.4085339004032587e-17
