CONIDX,WELL,CONIPOS,CONJPOS,CONBPRES,DEPTH,PRESSURE,WELLMODEL,SGAS,DATE,DRAWDOWN,CONKPOS,SWAT
12,R_A5,31,21,305.74072265625,1704.9129638671875,305.74072265625,STANDARD,0.0,2018-01-01,0,14,1.0
13,R_A5,31,21,305.93280029296875,1706.939697265625,305.93280029296875,STANDARD,0.0,2018-01-01,0,15,1.0
14,R_A5,31,21,306.2698974609375,1708.96630859375,306.2698974609375,STANDARD,0.0,2018-01-01,0,16,1.0
15,R_A5,31,21,306.46197509765625,1710.9930419921875,306.46197509765625,STANDARD,0.0,2018-01-01,0,17,1.0
16,R_A5,31,21,306.629150390625,1712.7572021484375,306.629150390625,STANDARD,0.0,2018-01-01,0,18,1.0
17,R_A5,31,21,306.7242736816406,1713.7608642578125,306.7242736816406,STANDARD,0.0,2018-01-01,0,19,1.0
18,R_A5,31,21,306.7176513671875,1715.348388671875,306.7176513671875,STANDARD,0.0,2018-01-01,0,25,1.0
19,R_A5,31,21,306.9483642578125,1717.782958984375,306.9483642578125,STANDARD,0.0,2018-01-01,0,26,1.0
20,R_A5,31,21,307.4848937988281,1720.2174072265625,307.4848937988281,STANDARD,0.0,2018-01-01,0,27,1.0
21,R_A5,31,21,307.71563720703125,1722.6519775390625,307.71563720703125,STANDARD,0.0,2018-01-01,0,28,1.0
22,R_A5,31,21,307.94635009765625,1725.08642578125,307.94635009765625,STANDARD,0.0,2018-01-01,0,29,1.0
1,R_A6,17,42,305.0127868652344,1694.1324462890625,305.0127868652344,STANDARD,0.0,2018-01-01,0,1,1.0
2,R_A6,17,42,305.1582336425781,1695.6671142578125,305.1582336425781,STANDARD,0.0,2018-01-01,0,2,1.0
3,R_A6,17,42,305.30364990234375,1697.2017822265625,305.30364990234375,STANDARD,0.0,2018-01-01,0,3,1.0
4,R_A6,17,42,305.4490966796875,1698.7364501953125,305.4490966796875,STANDARD,0.0,2018-01-01,0,4,1.0
5,R_A6,17,42,305.59454345703125,1700.2711181640625,305.59454345703125,STANDARD,0.0,2018-01-01,0,5,1.0
6,R_A6,17,42,305.7399597167969,1701.8057861328125,305.7399597167969,STANDARD,0.0,2018-01-01,0,6,1.0
7,R_A6,17,42,305.58636474609375,1703.34033203125,305.58636474609375,STANDARD,0.0,2018-01-01,0,7,1.0
8,R_A6,17,42,305.7317810058594,1704.875,305.7317810058594,STANDARD,0.0,2018-01-01,0,8,1.0
9,R_A6,17,42,306.17626953125,1706.40966796875,306.17626953125,STANDARD,0.0,2018-01-01,0,9,1.0
10,R_A6,17,42,306.01593017578125,1707.9443359375,306.01593017578125,STANDARD,0.0,2018-01-01,0,10,1.0
11,R_A6,17,42,306.1953430175781,1709.8359375,306.1953430175781,STANDARD,0.0,2018-01-01,0,11,1.0
12,R_A6,17,42,306.408447265625,1712.0848388671875,306.408447265625,STANDARD,0.0,2018-01-01,0,12,1.0
13,R_A6,17,42,306.633544921875,1714.3336181640625,306.633544921875,STANDARD,0.0,2018-01-01,0,13,1.0
14,R_A6,17,42,306.8466796875,1716.5823974609375,306.8466796875,STANDARD,0.0,2018-01-01,0,14,1.0
15,R_A6,17,42,307.059814453125,1718.8311767578125,307.059814453125,STANDARD,0.0,2018-01-01,0,15,1.0
16,R_A6,17,42,307.4179382324219,1721.080078125,307.4179382324219,STANDARD,0.0,2018-01-01,0,16,1.0
17,R_A6,17,42,307.6310729980469,1723.328857421875,307.6310729980469,STANDARD,0.0,2018-01-01,0,17,1.0
18,R_A6,17,42,307.78948974609375,1725.0,307.78948974609375,STANDARD,0.0,2018-01-01,0,18,1.0
19,R_A6,17,42,307.76544189453125,1726.404052734375,307.76544189453125,STANDARD,0.0,2018-01-01,0,25,1.0
20,R_A6,17,42,308.2337341308594,1728.1185302734375,308.2337341308594,STANDARD,0.0,2018-01-01,0,26,1.0
21,R_A6,17,42,308.396240234375,1729.8330078125,308.396240234375,STANDARD,0.0,2018-01-01,0,27,1.0
22,R_A6,17,42,308.5587463378906,1731.547607421875,308.5587463378906,STANDARD,0.0,2018-01-01,0,28,1.0
23,R_A6,17,42,308.4154357910156,1733.261962890625,308.4154357910156,STANDARD,0.0,2018-01-01,0,29,1.0
1,R_A2,22,30,298.0596618652344,1640.0789794921875,298.0596618652344,STANDARD,0.0,2018-03-01,0,1,0.05141918733716011
2,R_A2,22,30,298.1795349121094,1641.86767578125,298.1795349121094,STANDARD,0.0,2018-03-01,0,2,0.05555314943194389
3,R_A2,22,30,298.2994079589844,1643.65625,298.2994079589844,STANDARD,0.0,2018-03-01,0,3,0.05719484016299248
4,R_A2,22,30,298.4192810058594,1645.44482421875,298.4192810058594,STANDARD,0.0,2018-03-01,0,4,0.06320596486330032
5,R_A2,22,30,298.53912353515625,1647.2335205078125,298.53912353515625,STANDARD,0.0,2018-03-01,0,5,0.06579273194074631
6,R_A2,22,30,298.70465087890625,1649.0220947265625,298.70465087890625,STANDARD,0.0,2018-03-01,0,6,0.2988174259662628
7,R_A2,22,30,298.8293151855469,1650.810791015625,298.8293151855469,STANDARD,0.0,2018-03-01,0,7,0.8643314242362976
8,R_A2,22,30,298.9561767578125,1652.599365234375,298.9561767578125,STANDARD,0.0,2018-03-01,0,8,0.8550224304199219
9,R_A2,22,30,299.3453674316406,1654.387939453125,299.3453674316406,STANDARD,0.0,2018-03-01,0,9,0.8667128682136536
10,R_A2,22,30,299.609375,1656.176513671875,299.609375,STANDARD,0.0,2018-03-01,0,10,0.8830893039703369
11,R_A2,22,30,299.3783264160156,1658.10205078125,299.3783264160156,STANDARD,0.0,2018-03-01,0,11,0.06900576502084732
12,R_A2,22,30,299.46783447265625,1660.1641845703125,299.46783447265625,STANDARD,0.0,2018-03-01,0,12,0.06221885606646538
13,R_A2,22,30,300.001220703125,1662.226318359375,300.001220703125,STANDARD,0.0,2018-03-01,0,13,0.4233880937099457
14,R_A2,22,30,300.1885070800781,1664.28857421875,300.1885070800781,STANDARD,0.0,2018-03-01,0,14,0.4624042809009552
15,R_A2,22,30,300.3262939453125,1666.350830078125,300.3262939453125,STANDARD,0.0,2018-03-01,0,15,0.6370651125907898
16,R_A2,22,30,300.46234130859375,1668.4129638671875,300.46234130859375,STANDARD,0.0,2018-03-01,0,16,0.918055534362793
17,R_A2,22,30,300.6000061035156,1670.47509765625,300.6000061035156,STANDARD,0.0,2018-03-01,0,17,0.8659461736679077
18,R_A2,22,30,300.72406005859375,1672.329833984375,300.72406005859375,STANDARD,0.0,2018-03-01,0,18,0.9220399260520935
19,R_A2,22,30,300.7906799316406,1673.3006591796875,300.7906799316406,STANDARD,0.0,2018-03-01,0,19,0.9293168783187866
20,R_A2,22,30,301.5797424316406,1674.337646484375,301.5797424316406,STANDARD,0.0,2018-03-01,0,25,0.1888418048620224
21,R_A2,22,29,301.61651611328125,1676.1337890625,301.61651611328125,STANDARD,0.0,2018-03-01,0,25,0.6521928310394287
22,R_A2,22,29,301.9286193847656,1677.9278564453125,301.9286193847656,STANDARD,0.0,2018-03-01,0,26,0.8443753719329834
23,R_A2,22,29,301.8566589355469,1679.721923828125,301.8566589355469,STANDARD,0.0,2018-03-01,0,27,0.7446147799491882
24,R_A2,22,29,302.0568542480469,1681.5159912109375,302.0568542480469,STANDARD,0.0,2018-03-01,0,28,0.8363814353942871
25,R_A2,22,29,302.1900939941406,1683.31005859375,302.1900939941406,STANDARD,0.0,2018-03-01,0,29,0.9999976754188538
1,R_A5,31,20,280.54150390625,1686.2777099609375,280.54150390625,STANDARD,-2.1615981227185443e-10,2018-04-28,0,1,1.0
2,R_A5,31,20,280.7569885253906,1688.5606689453125,280.7569885253906,STANDARD,-1.7281377717726087e-10,2018-04-28,0,2,1.0
3,R_A5,31,20,280.9725646972656,1690.8436279296875,280.9725646972656,STANDARD,-2.434070722756587e-10,2018-04-28,0,3,1.0
4,R_A5,31,20,281.1877746582031,1693.1265869140625,281.1877746582031,STANDARD,-2.1782915748946863e-10,2018-04-28,0,4,1.0
5,R_A5,31,20,281.402587890625,1695.409423828125,281.402587890625,STANDARD,-1.419818429493347e-10,2018-04-28,0,5,1.0
6,R_A5,31,20,281.617431640625,1697.6923828125,281.617431640625,STANDARD,-2.8023265999377323e-11,2018-04-28,0,6,1.0
7,R_A5,31,20,282.16351318359375,1699.975341796875,282.16351318359375,STANDARD,-8.426770566061226e-13,2018-04-28,0,7,1.0
8,R_A5,31,20,283.0639953613281,1702.25830078125,283.0639953613281,STANDARD,0.0,2018-04-28,0,8,1.0
9,R_A5,31,21,277.5335388183594,1698.8328857421875,277.5335388183594,STANDARD,-4.391446581375469e-11,2018-04-28,0,11,1.0
10,R_A5,31,21,277.72607421875,1700.859619140625,277.72607421875,STANDARD,-5.4283282729938875e-11,2018-04-28,0,12,1.0
11,R_A5,31,21,277.9667053222656,1702.88623046875,277.9667053222656,STANDARD,-4.5824417177486865e-11,2018-04-28,0,13,1.0
12,R_A5,31,21,278.20635986328125,1704.9129638671875,278.20635986328125,STANDARD,-6.795187329489139e-11,2018-04-28,0,14,1.0
13,R_A5,31,21,278.4269104003906,1706.939697265625,278.4269104003906,STANDARD,-2.4916348498327245e-11,2018-04-28,0,15,1.0
14,R_A5,31,21,278.8125915527344,1708.96630859375,278.8125915527344,STANDARD,-2.472814487897157e-11,2018-04-28,0,16,1.0
15,R_A5,31,21,279.0238342285156,1710.9930419921875,279.0238342285156,STANDARD,-3.303417869110481e-12,2018-04-28,0,17,1.0
16,R_A5,31,21,279.20855712890625,1712.7572021484375,279.20855712890625,STANDARD,-1.2920981559000344e-12,2018-04-28,0,18,1.0
17,R_A5,31,21,279.3056945800781,1713.7608642578125,279.3056945800781,STANDARD,0.0,2018-04-28,0,19,1.0
18,R_A5,31,21,285.13165283203125,1715.348388671875,285.13165283203125,STANDARD,-4.1450594042216626e-14,2018-04-28,0,25,1.0
19,R_A5,31,21,285.465087890625,1717.782958984375,285.465087890625,STANDARD,-7.1168253581999075e-12,2018-04-28,0,26,1.0
20,R_A5,31,21,286.00238037109375,1720.2174072265625,286.00238037109375,STANDARD,-4.699550644471362e-12,2018-04-28,0,27,1.0
21,R_A5,31,21,297.05413818359375,1722.6519775390625,297.05413818359375,STANDARD,-1.4042155212973644e-17,2018-04-28,0,28,1.0
22,R_A5,31,21,305.2575988769531,1725.08642578125,305.2575988769531,STANDARD,-5.085756498864341e-20,2018-04-28,0,29,1.0
1,R_A3,28,41,283.9059143066406,1610.1951904296875,283.9059143066406,STANDARD,0.0,2018-07-03,0,1,0.3645942509174347
2,R_A3,28,41,284.0088195800781,1612.2852783203125,284.0088195800781,STANDARD,0.0,2018-07-03,0,2,0.19498592615127563
3,R_A3,28,41,284.14794921875,1614.37548828125,284.14794921875,STANDARD,0.0,2018-07-03,0,3,0.15354351699352264
4,R_A3,29,41,283.5212707519531,1604.753173828125,283.5212707519531,STANDARD,0.0,2018-07-03,0,3,0.1873551607131958
5,R_A3,29,41,283.6392517089844,1606.7877197265625,283.6392517089844,STANDARD,0.0,2018-07-03,0,4,0.6515263915061951
6,R_A3,29,41,283.8705139160156,1608.822265625,283.8705139160156,STANDARD,0.0,2018-07-03,0,5,0.8079427480697632
7,R_A3,29,41,283.93499755859375,1610.8568115234375,283.93499755859375,STANDARD,0.0,2018-07-03,0,6,0.22993119060993195
8,R_A3,29,41,284.0708923339844,1612.8912353515625,284.0708923339844,STANDARD,0.0,2018-07-03,0,7,0.19411885738372803
9,R_A3,29,41,284.206787109375,1614.92578125,284.206787109375,STANDARD,0.0,2018-07-03,0,8,0.19677744805812836
10,R_A3,29,41,284.460693359375,1616.960205078125,284.460693359375,STANDARD,0.0,2018-07-03,0,9,0.7966518998146057
11,R_A3,29,41,290.47064208984375,1618.9947509765625,290.47064208984375,STANDARD,0.0,2018-07-03,0,10,0.792091965675354
12,R_A3,29,41,296.7627258300781,1621.111572265625,296.7627258300781,STANDARD,0.0,2018-07-03,0,11,0.048278000205755234
13,R_A3,29,41,296.9100341796875,1623.310791015625,296.9100341796875,STANDARD,0.0,2018-07-03,0,12,0.052441008388996124
14,R_A3,29,41,297.0576477050781,1625.5098876953125,297.0576477050781,STANDARD,0.0,2018-07-03,0,13,0.3639364540576935
15,R_A3,29,41,297.63372802734375,1629.908203125,297.63372802734375,STANDARD,0.0,2018-07-03,0,15,0.49119868874549866
16,R_A3,29,41,297.7716064453125,1631.9549560546875,297.7716064453125,STANDARD,0.0,2018-07-03,0,16,0.7971717715263367
17,R_A3,29,41,294.4648132324219,1634.749755859375,294.4648132324219,STANDARD,0.0,2018-07-03,0,25,0.6863815784454346
18,R_A3,29,41,286.3763427734375,1638.336181640625,286.3763427734375,STANDARD,0.0,2018-07-03,0,26,0.16360346972942352
19,R_A3,29,41,286.6156311035156,1641.9227294921875,286.6156311035156,STANDARD,0.0,2018-07-03,0,27,0.07778191566467285
20,R_A3,29,41,286.8293151855469,1645.50927734375,286.8293151855469,STANDARD,0.0,2018-07-03,0,28,0.6575828194618225
21,R_A3,29,41,287.0782165527344,1649.095703125,287.0782165527344,STANDARD,0.0,2018-07-03,0,29,0.12656043469905853
1,R_A4,30,52,278.7847595214844,1630.7037353515625,278.7847595214844,STANDARD,0.0,2018-09-12,0,1,0.04750506952404976
2,R_A4,31,52,278.5276184082031,1626.16845703125,278.5276184082031,STANDARD,0.0,2018-09-12,0,1,0.046359069645404816
3,R_A4,31,52,278.66424560546875,1628.21826171875,278.66424560546875,STANDARD,0.0,2018-09-12,0,2,0.06202705204486847
4,R_A4,31,52,278.8008117675781,1630.267822265625,278.8008117675781,STANDARD,0.0,2018-09-12,0,3,0.0653286948800087
5,R_A4,31,52,278.9373474121094,1632.3175048828125,278.9373474121094,STANDARD,0.0,2018-09-12,0,4,0.053375039249658585
6,R_A4,31,52,279.0738220214844,1634.3671875,279.0738220214844,STANDARD,0.0,2018-09-12,0,5,0.05381861701607704
7,R_A4,32,52,279.0886535644531,1633.9013671875,279.0886535644531,STANDARD,0.0,2018-09-12,0,5,0.0547276996076107
8,R_A4,32,51,279.1446838378906,1635.1478271484375,279.1446838378906,STANDARD,0.0,2018-09-12,0,5,0.05649242177605629
9,R_A4,33,51,279.2785949707031,1637.075439453125,279.2785949707031,STANDARD,0.0,2018-09-12,0,5,0.058373067528009415
10,R_A4,33,50,279.5067138671875,1640.885009765625,279.5067138671875,STANDARD,0.0,2018-09-12,0,5,0.061743058264255524
11,R_A4,34,50,279.455078125,1640.41943359375,279.455078125,STANDARD,0.0,2018-09-12,0,5,0.06208236888051033
12,R_A4,34,50,279.3311767578125,1638.5601806640625,279.3311767578125,STANDARD,0.0,2018-09-12,0,4,0.07688912004232407
13,R_A4,35,50,279.4559326171875,1641.1866455078125,279.4559326171875,STANDARD,0.0,2018-09-12,0,4,0.07910434901714325
14,R_A4,35,50,279.3377990722656,1639.4031982421875,279.3377990722656,STANDARD,0.0,2018-09-12,0,3,0.19570370018482208
15,R_A4,35,49,279.58135986328125,1643.25390625,279.58135986328125,STANDARD,0.0,2018-09-12,0,3,0.13392634689807892
16,R_A4,35,49,279.4598388671875,1641.4375,279.4598388671875,STANDARD,0.0,2018-09-12,0,2,0.22634153068065643
17,R_A4,36,49,278.3075866699219,1641.898681640625,278.3075866699219,STANDARD,0.0,2018-09-12,0,28,0.314655601978302
18,R_A4,36,48,277.5643005371094,1639.409423828125,277.5643005371094,STANDARD,0.0,2018-09-12,0,28,0.06193873658776283
19,R_A4,37,48,282.6688232421875,1648.4208984375,282.6688232421875,STANDARD,5.705419643675658e-12,2018-09-12,0,28,1.0
20,R_A4,37,48,278.1433410644531,1642.7147216796875,278.1433410644531,STANDARD,0.0,2018-09-12,0,27,0.2152848243713379
21,R_A4,38,48,278.9063415527344,1649.831787109375,278.9063415527344,STANDARD,0.0,2018-09-12,0,27,0.05926363915205002
22,R_A4,38,47,279.0166320800781,1654.9788818359375,279.0166320800781,STANDARD,0.0,2018-09-12,0,27,0.06236080825328827
1,R_A6,17,42,277.29083251953125,1694.1324462890625,277.29083251953125,STANDARD,-7.888413094394794e-14,2018-11-07,0,1,1.0
2,R_A6,17,42,277.43524169921875,1695.6671142578125,277.43524169921875,STANDARD,-4.067260783269071e-14,2018-11-07,0,2,1.0
3,R_A6,17,42,277.57818603515625,1697.2017822265625,277.57818603515625,STANDARD,-5.365922550043534e-14,2018-11-07,0,3,1.0
4,R_A6,17,42,277.7207946777344,1698.7364501953125,277.7207946777344,STANDARD,-3.048704680635311e-14,2018-11-07,0,4,1.0
5,R_A6,17,42,277.8634338378906,1700.2711181640625,277.8634338378906,STANDARD,-1.0240155687919923e-14,2018-11-07,0,5,1.0
6,R_A6,17,42,278.00665283203125,1701.8057861328125,278.00665283203125,STANDARD,1.4119707829088573e-15,2018-11-07,0,6,1.0
7,R_A6,17,42,277.8613586425781,1703.34033203125,277.8613586425781,STANDARD,2.2093485623885661e-13,2018-11-07,0,7,1.0
8,R_A6,17,42,278.0069885253906,1704.875,278.0069885253906,STANDARD,2.2106574654612993e-13,2018-11-07,0,8,1.0
9,R_A6,17,42,278.4519958496094,1706.40966796875,278.4519958496094,STANDARD,6.171876161184531e-13,2018-11-07,0,9,1.0
10,R_A6,17,42,278.52130126953125,1707.9443359375,278.52130126953125,STANDARD,-2.6592599650099302e-12,2018-11-07,0,10,1.0
11,R_A6,17,42,279.66644287109375,1709.8359375,279.66644287109375,STANDARD,-2.7016431626558646e-12,2018-11-07,0,11,1.0
12,R_A6,17,42,279.9291687011719,1712.0848388671875,279.9291687011719,STANDARD,-1.224679103788151e-12,2018-11-07,0,12,1.0
