WELL,DATE,CONJPOS,WELLMODEL,DRAWDOWN,CONBPRES,DEPTH,CONKPOS,SWAT,CONIDX,PRESSURE,CONIPOS,SGAS
R_A3,2018-01-01,41,STANDARD,0,299.054443359375,1615.611083984375,8,0.28740158677101135,8,299.054443359375,29,0.0
R_A3,2018-01-01,41,STANDARD,0,299.198486328125,1617.759765625,9,0.7965580821037292,9,299.198486328125,29,0.0
R_A3,2018-01-01,41,STANDARD,0,299.3424987792969,1619.9083251953125,10,0.7969603538513184,10,299.3424987792969,29,0.0
R_A3,2018-01-01,41,STANDARD,0,299.48980712890625,1622.10595703125,11,0.04942472279071808,11,299.48980712890625,29,0.0
R_A3,2018-01-01,41,STANDARD,0,299.640380859375,1624.3524169921875,12,0.05499235913157463,12,299.640380859375,29,0.0
R_A3,2018-01-01,41,STANDARD,0,299.7909851074219,1626.5989990234375,13,0.3712405264377594,13,299.7909851074219,29,0.0
R_A3,2018-01-01,41,STANDARD,0,300.0921936035156,1631.092041015625,15,0.5005946159362793,14,300.0921936035156,29,0.0
R_A3,2018-01-01,41,STANDARD,0,300.2129211425781,1632.892822265625,16,0.8057482242584229,15,300.2129211425781,29,0.0
R_A3,2018-01-01,41,STANDARD,0,300.3778076171875,1635.35205078125,24,0.6481541991233826,16,300.3778076171875,29,0.0
R_A3,2018-01-01,41,STANDARD,0,300.6114196777344,1638.8360595703125,25,0.04546034708619118,17,300.6114196777344,29,0.0
R_A3,2018-01-01,41,STANDARD,0,300.84503173828125,1642.3199462890625,26,0.05239180848002434,18,300.84503173828125,29,0.0
R_A3,2018-01-01,41,STANDARD,0,301.0786437988281,1645.803955078125,27,0.7978858947753906,19,301.0786437988281,29,0.0
R_A3,2018-01-01,41,STANDARD,0,301.3122863769531,1649.2879638671875,28,0.12928977608680725,20,301.3122863769531,29,0.0
R_A4,2018-01-01,52,STANDARD,0,299.99713134765625,1629.6739501953125,1,0.05047960951924324,1,299.99713134765625,30,0.0
R_A4,2018-01-01,52,STANDARD,0,299.6645202636719,1624.7125244140625,1,0.10677935928106308,2,299.6645202636719,31,0.0
R_A4,2018-01-01,52,STANDARD,0,299.8059997558594,1626.82275390625,2,0.07700679451227188,3,299.8059997558594,31,0.0
R_A4,2018-01-01,52,STANDARD,0,299.94744873046875,1628.932861328125,3,0.08794116973876953,4,299.94744873046875,31,0.0
R_A4,2018-01-01,52,STANDARD,0,300.08892822265625,1631.0430908203125,4,0.051968444138765335,5,300.08892822265625,31,0.0
R_A4,2018-01-01,52,STANDARD,0,300.23040771484375,1633.1533203125,5,0.0543111227452755,6,300.23040771484375,31,0.0
R_A4,2018-01-01,52,STANDARD,0,300.37188720703125,1635.263427734375,6,0.05529748275876045,7,300.37188720703125,31,0.0
R_A4,2018-01-01,52,STANDARD,0,300.32061767578125,1634.4989013671875,6,0.05626467615365982,8,300.32061767578125,32,0.0
R_A4,2018-01-01,51,STANDARD,0,300.3847351074219,1635.4554443359375,6,0.05624780431389809,9,300.3847351074219,32,0.0
R_A4,2018-01-01,51,STANDARD,0,300.2625427246094,1633.6328125,5,0.05386442318558693,10,300.2625427246094,32,0.0
R_A4,2018-01-01,51,STANDARD,0,300.5151062011719,1637.3995361328125,5,0.0580313540995121,11,300.5151062011719,33,0.0
R_A4,2018-01-01,51,STANDARD,0,300.3907165527344,1635.544189453125,4,0.13683876395225525,12,300.3907165527344,33,0.0
R_A4,2018-01-01,50,STANDARD,0,300.87982177734375,1642.8387451171875,5,0.10084453225135803,13,300.87982177734375,33,0.0
R_A4,2018-01-01,50,STANDARD,0,300.8042297363281,1641.71142578125,5,0.061201732605695724,14,300.8042297363281,34,0.0
R_A4,2018-01-01,50,STANDARD,0,300.6804504394531,1639.865478515625,4,0.0614895336329937,15,300.6804504394531,34,0.0
R_A4,2018-01-01,50,STANDARD,0,300.7700500488281,1641.2020263671875,4,0.14473718404769897,16,300.7700500488281,35,0.0
