Surface,Well,x,y,TVD,NewTVD,DeltaTVD,TravelTime,MD,FaultBlock,FromZoneLog,Duplicate,Conflict,AddUncertWP,AddUncertOL,Pinchout,LevPoint,Outlier,Deleted,PriorTrend,EstimTrend,PostTrend,SimTrend,PriorTrendSD,EstimTrendSD,PostTrendSD,TrendUncertRed,SpecPickTVD-SD,PickTVD-SD,TVD-SD,Residual,ResidualSD,TotSD,Mismatch,h,t-value,t-Student
TopMidReek,OP_5,462749.49,5932898.49,1619.33,-,-,-,1944.44,-,1,-,-,-,-,-,-,-,-,1616.066458,-,1621.029062,-,160.187889,-,1.916753,98.80%,0.000000,0.000000,0.000000,-1.694462,5.656854,5.972767,0.000000,-,0.30,-
TopMidReek,OP_6,463366.55,5933084.35,1597.16,-,-,-,2425.09,-,1,-,-,-,-,-,-,-,-,1590.732255,-,1595.701864,-,157.504105,-,1.957088,98.76%,0.000000,0.000000,0.000000,1.458736,5.656854,5.985833,0.000000,-,0.26,-
TopMidReek,OP_6,463763.23,5932973.99,1624.43,-,-,-,2840.62,-,1,-,-,-,-,-,-,-,-,1611.148712,-,1616.184586,-,159.520564,-,1.984361,98.76%,0.000000,0.000000,0.000000,8.246314,5.656854,5.994805,-0.000000,-,1.46,-
TopLowerReek,OP_1,462582.79,5934067.24,1626.84,-,-,-,2259.96,-,1,-,-,-,-,-,-,-,-,1623.786580,-,1628.838973,-,159.538112,-,2.213276,98.61%,0.000000,0.000000,0.000000,-2.001973,6.928203,7.273142,-0.000000,-,0.29,-
TopLowerReek,OP_2,460294.48,5935753.74,1658.24,-,-,-,3889.30,-,1,-,-,-,-,-,-,-,-,1655.011890,-,1660.137109,-,162.705119,-,2.219845,98.64%,0.000000,0.000000,0.000000,-1.897009,6.928203,7.275143,0.000000,-,0.27,-
TopLowerReek,OP_3,464011.59,5931757.20,1661.11,-,-,-,3435.36,-,1,-,-,-,-,-,-,-,-,1657.816257,-,1663.007630,-,162.759893,-,2.304473,98.58%,0.000000,0.000000,0.000000,-1.900530,6.928203,7.301410,0.000000,-,0.27,-
TopLowerReek,OP_4,461288.68,5933415.03,1670.42,-,-,-,1834.93,-,1,-,-,-,-,-,-,-,-,1667.155218,-,1672.278922,-,164.036938,-,2.187936,98.67%,0.000000,0.000000,0.000000,-1.857422,6.928203,7.265471,0.000000,-,0.27,-
TopLowerReek,OP_5,462749.50,5932898.49,1633.33,-,-,-,1958.43,-,1,-,-,-,-,-,-,-,-,1630.312698,-,1635.381320,-,160.194190,-,2.216768,98.62%,0.000000,0.000000,0.000000,-2.055720,6.928203,7.274205,-0.000000,-,0.30,-
BaseLowerReek,OP_1,462582.23,5934064.99,1638.61,-,-,-,2271.96,-,1,-,-,-,-,-,-,-,-,1635.104920,-,1640.133970,-,159.534209,-,2.412913,98.49%,0.000000,0.000000,0.000000,-1.523270,8.000000,8.355965,0.000000,-,0.19,-
BaseLowerReek,OP_2,460292.56,5935757.33,1669.72,-,-,-,3901.48,-,1,-,-,-,-,-,-,-,-,1666.685605,-,1671.790321,-,162.770424,-,2.408172,98.52%,0.000000,0.000000,0.000000,-2.069821,8.000000,8.354597,0.000000,-,0.26,-
BaseLowerReek,OP_3,464012.35,5931757.54,1673.13,-,-,-,3447.42,-,1,-,-,-,-,-,-,-,-,1669.907331,-,1675.074281,-,162.765717,-,2.519510,98.45%,0.000000,0.000000,0.000000,-1.939881,8.000000,8.387367,0.000000,-,0.24,-
BaseLowerReek,OP_4,461288.69,5933415.02,1680.95,-,-,-,1845.46,-,1,-,-,-,-,-,-,-,-,1677.922260,-,1683.024054,-,164.040453,-,2.368795,98.56%,0.000000,0.000000,0.000000,-2.071454,8.000000,8.343332,0.000000,-,0.26,-
BaseLowerReek,OP_5,462749.46,5932898.50,1644.87,-,-,-,1969.98,-,1,-,-,-,-,-,-,-,-,1641.688554,-,1646.734098,-,160.198354,-,2.415377,98.49%,0.000000,0.000000,0.000000,-1.863998,8.000000,8.356677,-0.000000,-,0.23,-
