Well,MD,x,y,TVD,Block,Deactivated,IsochoreThicknessTrend,IsochoreThickness,DistanceToTop,TopUncertainty(SD),Top-t-value,ConstraintNeededForTop,ConstraintLostForTop,DistanceToBase,BaseUncertainty(SD),Base-t-value,ConstraintNeededForBase,ConstraintLostForBase,ZoneReportedInWell,ZoneCalculated,ZoneMatch
OP_1,1337.02,462329.17,5933719.88,894.80,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,694.91,3.88,179.23, N,N,0,0,Y
OP_1,1365.00,462343.15,5933740.73,907.17,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,682.38,3.81,179.22, N,N,0,0,Y
OP_1,1393.56,462357.18,5933761.76,920.46,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,668.95,3.73,179.31, N,N,0,0,Y
OP_1,1422.66,462371.23,5933782.91,934.68,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,654.53,3.65,179.51, N,N,0,0,Y
OP_1,1451.81,462385.03,5933803.77,949.63,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,639.50,3.56,179.86, N,N,0,0,Y
OP_1,1481.94,462399.02,5933824.98,965.84,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,623.42,3.45,180.47, N,N,0,0,Y
OP_1,1512.56,462412.93,5933846.10,983.10,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,606.49,3.35,181.28, N,N,0,0,Y
OP_1,1543.63,462426.70,5933867.05,1001.45,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,588.75,3.23,182.48, N,N,0,0,Y
OP_1,1575.62,462440.50,5933888.05,1021.24,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,569.84,3.10,183.94, N,N,0,0,Y
OP_1,1608.52,462454.27,5933908.99,1042.55,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,549.43,2.96,185.89, N,N,0,0,Y
OP_1,1642.79,462468.11,5933930.01,1065.80,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,527.10,2.80,188.28, N,N,0,0,Y
OP_1,1678.40,462481.93,5933950.90,1091.13,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,502.71,2.63,191.44, N,N,0,0,Y
OP_1,1716.34,462495.94,5933971.96,1119.39,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,475.33,2.43,195.51, N,N,0,0,Y
OP_1,1756.58,462509.94,5933992.79,1150.84,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,444.74,2.21,200.91, N,N,0,0,Y
OP_1,1800.62,462524.14,5934013.62,1186.93,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,409.50,1.96,209.15, N,N,0,0,Y
OP_1,1849.98,462538.53,5934034.21,1229.41,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,367.87,1.67,220.20, N,N,0,0,Y
OP_1,1908.80,462553.34,5934054.53,1282.56,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,315.52,1.28,245.74, N,N,0,0,Y
OP_1,1988.71,462569.04,5934074.00,1358.38,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,240.40,0.95,253.14, N,N,0,0,Y
OP_1,2282.00,462581.80,5934063.36,1648.50,-,-,-999.00,-999.00,9.94,1.78,5.59, N,N,-999.00,-999.00,-999.00,-999.00,-999.00,4,4,Y
OP_2,0.00,461809.59,5932990.36,0.00,-,D,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1657.42,4.34,382.10, N,N,0,0,Y
OP_2,39.83,461799.44,5933007.79,34.35,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1622.15,4.32,375.70, N,N,0,0,Y
OP_2,89.59,461786.73,5933029.58,77.23,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1578.09,4.29,368.01, N,N,0,0,Y
OP_2,139.29,461773.99,5933051.41,120.03,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1534.09,4.26,360.53, N,N,0,0,Y
OP_2,188.34,461761.35,5933073.05,162.19,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1490.60,4.22,353.31, N,N,0,0,Y
OP_2,237.27,461748.63,5933094.75,204.16,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1447.30,4.18,346.29, N,N,0,0,Y
OP_2,286.04,461735.84,5933116.55,245.87,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1404.32,4.14,339.48, N,N,0,0,Y
OP_2,334.08,461723.09,5933138.20,286.82,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1362.23,4.09,332.98, N,N,0,0,Y
OP_2,381.91,461710.23,5933159.97,327.41,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1320.49,4.04,326.71, N,N,0,0,Y
OP_2,428.95,461697.38,5933181.63,367.15,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1279.41,3.99,320.71, N,N,0,0,Y
OP_2,475.20,461684.54,5933203.18,406.01,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1239.25,3.93,315.02, N,N,0,0,Y
OP_2,520.64,461671.69,5933224.65,443.94,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1200.10,3.88,309.67, N,N,0,0,Y
OP_2,565.79,461658.68,5933246.29,481.36,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1161.54,3.81,304.61, N,N,0,0,Y
OP_2,610.09,461645.64,5933267.87,517.79,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1124.14,3.75,299.90, N,N,0,0,Y
OP_2,653.55,461632.56,5933289.39,553.21,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1087.83,3.68,295.53, N,N,0,0,Y
OP_2,696.16,461619.44,5933310.85,587.60,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1052.52,3.61,291.46, N,N,0,0,Y
OP_2,737.91,461606.28,5933332.27,620.93,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,1018.25,3.54,287.64, N,N,0,0,Y
OP_2,778.82,461593.06,5933353.65,653.20,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,985.07,3.47,284.06, N,N,0,0,Y
OP_2,818.88,461579.79,5933375.00,684.40,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,953.20,3.40,280.68, N,N,0,0,Y
OP_2,858.10,461566.45,5933396.31,714.50,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,922.39,3.33,277.35, N,N,0,0,Y
OP_2,896.49,461553.05,5933417.59,743.50,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,892.57,3.26,273.92, N,N,0,0,Y
OP_2,934.06,461539.59,5933438.85,771.40,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,863.74,3.20,270.22, N,N,0,0,Y
OP_2,970.82,461526.07,5933460.08,798.20,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,836.19,3.14,266.15, N,N,0,0,Y
OP_2,1006.80,461512.47,5933481.28,823.89,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,810.50,3.10,261.68, N,N,0,0,Y
OP_2,1042.00,461498.81,5933502.46,848.46,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,786.01,3.07,256.44, N,N,0,0,Y
OP_2,1076.45,461485.09,5933523.61,871.94,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,762.37,3.05,250.20, N,N,0,0,Y
OP_2,1110.17,461471.30,5933544.73,894.31,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,739.55,3.04,242.92, N,N,0,0,Y
OP_2,1143.18,461457.45,5933565.82,915.59,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,717.65,3.06,234.72, N,N,0,0,Y
OP_2,1175.50,461443.54,5933586.88,935.79,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,696.82,3.09,225.85, N,N,0,0,Y
OP_2,1207.16,461429.57,5933607.90,954.90,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,676.94,3.13,216.54, N,N,0,0,Y
OP_2,1238.19,461415.56,5933628.88,972.96,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,658.41,3.18,207.18, N,N,0,0,Y
OP_2,1268.61,461401.49,5933649.82,989.96,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,641.04,3.24,197.98, N,N,0,0,Y
OP_2,1298.44,461387.39,5933670.70,1005.93,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,625.23,3.30,189.24, N,N,0,0,Y
OP_2,1327.72,461373.24,5933691.53,1020.87,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,610.47,3.38,180.56, N,N,0,0,Y
OP_2,1356.48,461359.06,5933712.30,1034.82,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,596.46,3.45,172.72, N,N,0,0,Y
OP_2,1384.73,461344.86,5933733.00,1047.77,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,583.15,3.53,165.40, N,N,0,0,Y
OP_2,1412.51,461330.64,5933753.63,1059.76,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,570.60,3.60,158.61, N,N,0,0,Y
OP_2,1440.29,461316.16,5933774.52,1070.98,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,559.47,3.67,152.49, N,N,0,0,Y
OP_2,1467.65,461301.67,5933795.33,1081.25,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,550.18,3.74,147.16, N,N,0,0,Y
OP_2,1494.61,461287.17,5933816.05,1090.59,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,541.66,3.81,142.34, N,N,0,0,Y
OP_2,1521.20,461272.68,5933836.68,1099.03,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,533.87,3.87,137.99, N,N,0,0,Y
OP_2,1547.43,461258.19,5933857.20,1106.59,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,526.82,3.93,134.08, N,N,0,0,Y
OP_2,1573.33,461243.72,5933877.61,1113.30,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,520.61,3.99,130.62, N,N,0,0,Y
OP_2,1599.39,461229.01,5933898.27,1119.27,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,514.84,4.04,127.44, N,N,0,0,Y
OP_2,1625.16,461214.32,5933918.81,1124.41,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,509.98,4.09,124.68, N,N,0,0,Y
OP_2,1650.66,461199.67,5933939.22,1128.76,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,506.08,4.14,122.33, N,N,0,0,Y
OP_2,1676.37,461184.79,5933959.87,1132.39,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,503.13,4.15,121.18, N,N,0,0,Y
OP_2,1701.85,461169.95,5933980.38,1135.24,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,501.50,4.19,119.64, N,N,0,0,Y
OP_2,1727.11,461155.16,5934000.74,1137.36,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,500.30,4.23,118.33, N,N,0,0,Y
OP_2,1752.64,461140.14,5934021.34,1138.77,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,499.49,4.26,117.20, N,N,0,0,Y
OP_2,1777.97,461125.19,5934041.78,1139.48,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,499.02,4.29,116.26, N,N,0,0,Y
OP_2,1803.35,461110.17,5934062.24,1139.51,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,498.94,4.32,115.52, N,N,0,0,Y
OP_2,1828.48,461095.28,5934082.47,1138.90,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,499.43,4.33,115.24, N,N,0,0,Y
OP_2,1853.91,461080.21,5934102.92,1137.72,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,500.44,4.33,115.48, N,N,0,0,Y
OP_2,1879.15,461065.28,5934123.20,1136.06,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,501.89,4.33,115.81, N,N,0,0,Y
OP_2,1904.65,461050.22,5934143.67,1133.93,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,503.74,4.33,116.25, N,N,0,0,Y
OP_2,1929.92,461035.35,5934163.95,1131.44,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,505.95,4.33,116.76, N,N,0,0,Y
OP_2,1955.42,461020.40,5934184.41,1128.60,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,508.48,4.33,117.35, N,N,0,0,Y
OP_2,1980.63,461005.70,5934204.65,1125.51,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,511.09,4.33,117.95, N,N,0,0,Y
OP_2,2006.02,460990.96,5934225.06,1122.16,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,513.89,4.33,118.61, N,N,0,0,Y
OP_2,2031.58,460976.22,5934245.63,1118.60,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,516.86,4.33,119.30, N,N,0,0,Y
OP_2,2057.29,460961.48,5934266.37,1114.86,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,520.07,4.33,120.04, N,N,0,0,Y
OP_2,2082.62,460947.07,5934286.85,1111.06,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,523.64,4.33,120.87, N,N,0,0,Y
OP_2,2108.06,460932.71,5934307.47,1107.17,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,527.34,4.33,121.73, N,N,0,0,Y
OP_2,2133.58,460918.42,5934328.25,1103.22,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,531.22,4.33,122.62, N,N,0,0,Y
OP_2,2159.16,460904.22,5934349.16,1099.26,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,535.26,4.33,123.55, N,N,0,0,Y
OP_2,2184.80,460890.12,5934370.21,1095.33,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,539.12,4.33,124.45, N,N,0,0,Y
OP_2,2210.46,460876.16,5934391.39,1091.46,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,542.86,4.33,125.31, N,N,0,0,Y
OP_2,2236.14,460862.34,5934412.70,1087.69,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,546.58,4.33,126.17, N,N,0,0,Y
OP_2,2261.81,460848.69,5934434.14,1084.06,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,550.26,4.33,127.02, N,N,0,0,Y
OP_2,2287.46,460835.23,5934455.70,1080.61,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,553.90,4.33,127.86, N,N,0,0,Y
OP_2,2313.08,460821.97,5934477.38,1077.38,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,557.64,4.33,128.71, N,N,0,0,Y
OP_2,2338.65,460808.94,5934499.17,1074.40,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,561.17,4.33,129.52, N,N,0,0,Y
OP_2,2364.15,460796.15,5934521.07,1071.72,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,564.38,4.33,130.26, N,N,0,0,Y
OP_2,2389.59,460783.63,5934543.09,1069.37,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,567.13,4.33,130.89, N,N,0,0,Y
OP_2,2414.94,460771.39,5934565.20,1067.39,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,569.52,4.33,131.44, N,N,0,0,Y
OP_2,2440.21,460759.45,5934587.42,1065.82,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,571.71,4.33,131.93, N,N,0,0,Y
OP_2,2465.40,460747.84,5934609.74,1064.70,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,573.44,4.33,132.32, N,N,0,0,Y
OP_2,2490.49,460736.56,5934632.14,1064.07,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,574.60,4.33,132.59, N,N,0,0,Y
OP_2,2515.67,460725.58,5934654.80,1063.97,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,575.10,4.33,132.70, N,N,0,0,Y
OP_2,2541.18,460714.80,5934677.91,1064.44,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,574.36,4.33,132.53, N,N,0,0,Y
OP_2,2566.62,460704.40,5934701.10,1065.48,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,572.77,4.33,132.17, N,N,0,0,Y
OP_2,2592.00,460694.35,5934724.36,1067.08,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,571.25,4.33,131.82, N,N,0,0,Y
OP_2,2617.34,460684.66,5934747.67,1069.22,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,569.68,4.33,131.45, N,N,0,0,Y
OP_2,2642.65,460675.30,5934771.03,1071.90,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,567.48,4.33,130.94, N,N,0,0,Y
OP_2,2667.93,460666.25,5934794.42,1075.09,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,564.18,4.33,130.17, N,N,0,0,Y
OP_2,2693.72,460657.32,5934818.32,1078.88,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,560.23,4.33,129.26, N,N,0,0,Y
OP_2,2719.49,460648.70,5934842.22,1083.18,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,555.75,4.33,128.23, N,N,0,0,Y
OP_2,2745.26,460640.34,5934866.12,1087.98,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,550.78,4.33,127.09, N,N,0,0,Y
OP_2,2771.03,460632.26,5934890.01,1093.28,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,545.09,4.33,125.78, N,N,0,0,Y
OP_2,2796.81,460624.42,5934913.88,1099.04,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,538.49,4.33,124.27, N,N,0,0,Y
OP_2,2822.59,460616.81,5934937.71,1105.27,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,531.28,4.33,122.61, N,N,0,0,Y
OP_2,2848.89,460609.26,5934961.96,1112.09,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,521.75,4.33,120.44, N,N,0,0,Y
OP_2,2875.20,460601.92,5934986.16,1119.36,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,512.26,4.33,118.28, N,N,0,0,Y
OP_2,2901.51,460594.77,5935010.28,1127.07,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,502.12,4.33,115.96, N,N,0,0,Y
OP_2,2927.83,460587.79,5935034.31,1135.21,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,491.61,4.33,113.56, N,N,0,0,Y
OP_2,2954.66,460580.82,5935058.71,1143.93,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,480.55,4.33,111.03, N,N,0,0,Y
OP_2,2981.48,460574.00,5935082.99,1153.06,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,469.31,4.33,108.45, N,N,0,0,Y
OP_2,3008.30,460567.29,5935107.14,1162.58,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,457.71,4.33,105.79, N,N,0,0,Y
OP_2,3035.61,460560.56,5935131.61,1172.69,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,445.49,4.33,102.98, N,N,0,0,Y
OP_2,3062.89,460553.92,5935155.91,1183.17,-,-,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,432.72,4.32,100.05, N,N,0,0,Y
