CONIDX,CONBPRES,SGAS,DEPTH,CONKPOS,WELL,CONJPOS,DATE,CONIPOS,PRESSURE,DRAWDOWN,SWAT,WELLMODEL
6,300.0201416015625,0.0,1631.2828369140625,4,R_A4,52,2018-01-01,32,300.0201416015625,0,0.05593573674559593,STANDARD
7,300.2846984863281,0.0,1635.22900390625,4,R_A4,51,2018-01-01,32,300.2846984863281,0,0.05785105749964714,STANDARD
8,300.4056091308594,0.0,1637.0322265625,4,R_A4,51,2018-01-01,33,300.4056091308594,0,0.0614895224571228,STANDARD
9,300.2799072265625,0.0,1635.1573486328125,3,R_A4,51,2018-01-01,33,300.2799072265625,0,0.15216319262981415,STANDARD
10,300.77374267578125,0.0,1642.5225830078125,4,R_A4,50,2018-01-01,33,300.77374267578125,0,0.06516675651073456,STANDARD
11,300.67779541015625,0.0,1641.0916748046875,4,R_A4,50,2018-01-01,34,300.67779541015625,0,0.06266162544488907,STANDARD
12,300.54925537109375,0.0,1639.175048828125,3,R_A4,50,2018-01-01,34,300.54925537109375,0,0.6481541991233826,STANDARD
13,300.8909606933594,0.0,1644.2708740234375,4,R_A4,50,2018-01-01,35,300.8909606933594,0,0.12503644824028015,STANDARD
14,300.7664489746094,0.0,1642.413818359375,3,R_A4,50,2018-01-01,35,300.7664489746094,0,0.32266801595687866,STANDARD
15,300.64190673828125,0.0,1640.5567626953125,2,R_A4,50,2018-01-01,35,300.64190673828125,0,0.23148566484451294,STANDARD
16,300.74407958984375,0.0,1642.080322265625,2,R_A4,49,2018-01-01,35,300.74407958984375,0,0.23736661672592163,STANDARD
17,300.61688232421875,0.0,1640.1832275390625,1,R_A4,49,2018-01-01,35,300.61688232421875,0,0.2307961881160736,STANDARD
18,300.80987548828125,0.0,1643.061767578125,31,R_A4,49,2018-01-01,36,300.80987548828125,0,0.05771895498037338,STANDARD
19,300.59368896484375,0.0,1639.837646484375,31,R_A4,48,2018-01-01,36,300.59368896484375,0,0.05748388171195984,STANDARD
20,301.05523681640625,0.0,1646.720703125,31,R_A4,48,2018-01-01,37,301.05523681640625,0,0.08475159108638763,STANDARD
21,301.41815185546875,0.0,1652.13232421875,31,R_A4,48,2018-01-01,38,301.41815185546875,0,0.06786655634641647,STANDARD
22,301.6458435058594,0.0,1655.52734375,31,R_A4,47,2018-01-01,38,301.6458435058594,0,0.11560636013746262,STANDARD
1,304.104248046875,0.0,1687.7720947265625,1,R_A5,20,2018-01-01,31,304.104248046875,0,1.0,STANDARD
2,304.334228515625,0.0,1690.198974609375,2,R_A5,20,2018-01-01,31,304.334228515625,0,1.0,STANDARD
3,304.564208984375,0.0,1692.625732421875,3,R_A5,20,2018-01-01,31,304.564208984375,0,1.0,STANDARD
4,304.794189453125,0.0,1695.0526123046875,4,R_A5,20,2018-01-01,31,304.794189453125,0,1.0,STANDARD
5,305.0242004394531,0.0,1697.4794921875,5,R_A5,20,2018-01-01,31,305.0242004394531,0,1.0,STANDARD
6,305.2541809082031,0.0,1699.9063720703125,6,R_A5,20,2018-01-01,31,305.2541809082031,0,1.0,STANDARD
7,305.7899475097656,0.0,1702.333251953125,7,R_A5,20,2018-01-01,31,305.7899475097656,0,1.0,STANDARD
8,305.11346435546875,0.0,1698.420166015625,11,R_A5,21,2018-01-01,31,305.11346435546875,0,1.0,STANDARD
9,305.28497314453125,0.0,1700.22998046875,12,R_A5,21,2018-01-01,31,305.28497314453125,0,1.0,STANDARD
10,305.45648193359375,0.0,1702.039794921875,13,R_A5,21,2018-01-01,31,305.45648193359375,0,1.0,STANDARD
11,305.6399841308594,0.0,1703.8497314453125,14,R_A5,21,2018-01-01,31,305.6399841308594,0,1.0,STANDARD
12,305.8114929199219,0.0,1705.6595458984375,15,R_A5,21,2018-01-01,31,305.8114929199219,0,1.0,STANDARD
13,305.9830017089844,0.0,1707.469482421875,16,R_A5,21,2018-01-01,31,305.9830017089844,0,1.0,STANDARD
14,306.299560546875,0.0,1709.279296875,17,R_A5,21,2018-01-01,31,306.299560546875,0,1.0,STANDARD
15,306.4601745605469,0.0,1710.97412109375,18,R_A5,21,2018-01-01,31,306.4601745605469,0,1.0,STANDARD
16,306.5815124511719,0.0,1712.25439453125,19,R_A5,21,2018-01-01,31,306.5815124511719,0,1.0,STANDARD
17,306.5930480957031,0.0,1714.0338134765625,28,R_A5,21,2018-01-01,31,306.5930480957031,0,1.0,STANDARD
18,306.822998046875,0.0,1716.4599609375,29,R_A5,21,2018-01-01,31,306.822998046875,0,1.0,STANDARD
19,307.05291748046875,0.0,1718.8861083984375,30,R_A5,21,2018-01-01,31,307.05291748046875,0,1.0,STANDARD
20,307.5886535644531,0.0,1721.312255859375,31,R_A5,21,2018-01-01,31,307.5886535644531,0,1.0,STANDARD
21,307.818603515625,0.0,1723.738525390625,32,R_A5,21,2018-01-01,31,307.818603515625,0,1.0,STANDARD
1,305.1811218261719,0.0,1695.90869140625,1,R_A6,42,2018-01-01,17,305.1811218261719,0,1.0,STANDARD
2,305.3284606933594,0.0,1697.463623046875,2,R_A6,42,2018-01-01,17,305.3284606933594,0,1.0,STANDARD
3,305.475830078125,0.0,1699.0185546875,3,R_A6,42,2018-01-01,17,305.475830078125,0,1.0,STANDARD
4,305.6231994628906,0.0,1700.573486328125,4,R_A6,42,2018-01-01,17,305.6231994628906,0,1.0,STANDARD
5,305.77056884765625,0.0,1702.1285400390625,5,R_A6,42,2018-01-01,17,305.77056884765625,0,1.0,STANDARD
6,305.6188659667969,0.0,1703.68359375,6,R_A6,42,2018-01-01,17,305.6188659667969,0,1.0,STANDARD
7,305.7662353515625,0.0,1705.238525390625,7,R_A6,42,2018-01-01,17,305.7662353515625,0,1.0,STANDARD
8,305.9136047363281,0.0,1706.79345703125,8,R_A6,42,2018-01-01,17,305.9136047363281,0,1.0,STANDARD
9,306.3600158691406,0.0,1708.348388671875,9,R_A6,42,2018-01-01,17,306.3600158691406,0,1.0,STANDARD
10,306.20159912109375,0.0,1709.9033203125,10,R_A6,42,2018-01-01,17,306.20159912109375,0,1.0,STANDARD
11,306.3829650878906,0.0,1711.815673828125,11,R_A6,42,2018-01-01,17,306.3829650878906,0,1.0,STANDARD
12,306.5980529785156,0.0,1714.08544921875,12,R_A6,42,2018-01-01,17,306.5980529785156,0,1.0,STANDARD
13,306.82513427734375,0.0,1716.355224609375,13,R_A6,42,2018-01-01,17,306.82513427734375,0,1.0,STANDARD
14,307.0402526855469,0.0,1718.6248779296875,14,R_A6,42,2018-01-01,17,307.0402526855469,0,1.0,STANDARD
15,307.25537109375,0.0,1720.8946533203125,15,R_A6,42,2018-01-01,17,307.25537109375,0,1.0,STANDARD
16,307.6155090332031,0.0,1723.164306640625,16,R_A6,42,2018-01-01,17,307.6155090332031,0,1.0,STANDARD
17,307.83062744140625,0.0,1725.43408203125,17,R_A6,42,2018-01-01,17,307.83062744140625,0,1.0,STANDARD
18,307.9930419921875,0.0,1727.147705078125,18,R_A6,42,2018-01-01,17,307.9930419921875,0,1.0,STANDARD
19,307.972900390625,0.0,1728.5927734375,28,R_A6,42,2018-01-01,17,307.972900390625,0,1.0,STANDARD
20,308.44287109375,0.0,1730.3250732421875,29,R_A6,42,2018-01-01,17,308.44287109375,0,1.0,STANDARD
21,308.6070556640625,0.0,1732.057373046875,30,R_A6,42,2018-01-01,17,308.6070556640625,0,1.0,STANDARD
22,308.771240234375,0.0,1733.789794921875,31,R_A6,42,2018-01-01,17,308.771240234375,0,1.0,STANDARD
23,308.6296691894531,0.0,1735.5220947265625,32,R_A6,42,2018-01-01,17,308.6296691894531,0,1.0,STANDARD
1,297.73248291015625,0.0,1640.946044921875,1,R_A2,30,2018-03-01,22,297.73248291015625,0,0.05572206526994705,STANDARD
2,297.8518981933594,0.0,1642.7281494140625,2,R_A2,30,2018-03-01,22,297.8518981933594,0,0.05859668552875519,STANDARD
3,297.97137451171875,0.0,1644.51025390625,3,R_A2,30,2018-03-01,22,297.97137451171875,0,0.06297426670789719,STANDARD
4,298.0908508300781,0.0,1646.29248046875,4,R_A2,30,2018-03-01,22,298.0908508300781,0,0.06740247458219528,STANDARD
5,298.2103576660156,0.0,1648.0745849609375,5,R_A2,30,2018-03-01,22,298.2103576660156,0,0.0711335763335228,STANDARD
6,298.3298645019531,0.0,1649.856689453125,6,R_A2,30,2018-03-01,22,298.3298645019531,0,0.17691798508167267,STANDARD
7,298.4757080078125,0.0,1651.6387939453125,7,R_A2,30,2018-03-01,22,298.4757080078125,0,0.6759087443351746,STANDARD
8,298.6165466308594,0.0,1653.4208984375,8,R_A2,30,2018-03-01,22,298.6165466308594,0,0.8886779546737671,STANDARD
9,298.7470397949219,0.0,1655.203125,9,R_A2,30,2018-03-01,22,298.7470397949219,0,0.9040968418121338,STANDARD
10,299.3221435546875,0.0,1656.9852294921875,10,R_A2,30,2018-03-01,22,299.3221435546875,0,0.9015966057777405,STANDARD
11,299.7785949707031,0.0,1658.8763427734375,11,R_A2,30,2018-03-01,22,299.7785949707031,0,0.07455621659755707,STANDARD
12,299.9130859375,0.0,1660.8765869140625,12,R_A2,30,2018-03-01,22,299.9130859375,0,0.07532539963722229,STANDARD
13,300.1667785644531,0.0,1662.876708984375,13,R_A2,30,2018-03-01,22,300.1667785644531,0,0.44756069779396057,STANDARD
14,300.4365539550781,0.0,1664.876953125,14,R_A2,30,2018-03-01,22,300.4365539550781,0,0.5070996284484863,STANDARD
15,300.5705261230469,0.0,1666.877197265625,15,R_A2,30,2018-03-01,22,300.5705261230469,0,0.6821073889732361,STANDARD
16,300.2743835449219,0.0,1665.9134521484375,15,R_A2,29,2018-03-01,22,300.2743835449219,0,0.9360065460205078,STANDARD
17,300.4149169921875,0.0,1668.0167236328125,16,R_A2,29,2018-03-01,22,300.4149169921875,0,0.9547135233879089,STANDARD
18,300.5557861328125,0.0,1670.1199951171875,17,R_A2,29,2018-03-01,22,300.5557861328125,0,0.9342907667160034,STANDARD
19,300.69268798828125,0.0,1672.1634521484375,18,R_A2,29,2018-03-01,22,300.69268798828125,0,0.973288357257843,STANDARD
20,301.8257141113281,-8.619164003397309e-14,1674.301025390625,28,R_A2,29,2018-03-01,22,301.8257141113281,0,1.0,STANDARD
21,301.7345886230469,0.0,1676.138671875,29,R_A2,29,2018-03-01,22,301.7345886230469,0,0.6511597037315369,STANDARD
22,302.1918029785156,1.2257225456835386e-08,1677.9764404296875,30,R_A2,29,2018-03-01,22,302.1918029785156,0,1.0000001192092896,STANDARD
23,302.9279479980469,-7.857698493881227e-15,1679.8140869140625,31,R_A2,29,2018-03-01,22,302.9279479980469,0,1.0,STANDARD
24,303.49542236328125,-7.047884280208399e-16,1681.6517333984375,32,R_A2,29,2018-03-01,22,303.49542236328125,0,1.0,STANDARD
1,277.63336181640625,-5.0931528959574646e-12,1687.7720947265625,1,R_A5,20,2018-04-28,31,277.63336181640625,0,1.0,STANDARD
2,277.8630065917969,-5.811248617731968e-12,1690.198974609375,2,R_A5,20,2018-04-28,31,277.8630065917969,0,1.0,STANDARD
3,278.0924987792969,-5.502192017975416e-12,1692.625732421875,3,R_A5,20,2018-04-28,31,278.0924987792969,0,1.0,STANDARD
4,278.3218688964844,-5.271709284382364e-12,1695.0526123046875,4,R_A5,20,2018-04-28,31,278.3218688964844,0,1.0,STANDARD
