DATE,WELL,WBHP,WBP,WBP4,WBP9,WGIR,WGIRH,WGIT,WGITH,WGLIR,WGOR,WGORH,WGPR,WGPRH,WGPT,WGPTH,WLPR,WMCTL,WOGLR,WOPR,WOPRH,WOPT,WOPTH,WPI,WTHP,WVPR,WWCT,WWCTH,WWIR,WWIRH,WWIT,WWITH,WWPR,WWPRH,WWPT,WWPTH
2000-05-01,WI_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-01,WI_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-01,OP_1,274.109375,276.726806640625,277.6428527832031,277.2911376953125,0.0,0.0,0.0,0.0,0.0,184.0,184.0294952392578,736029.0625,736118.0,88323224.0,88334168.0,4000.28125,5.0,0.0,4000.157958984375,4000.0,480017.53125,479998.0,1548.262939453125,0.0,6422.4892578125,3.0846607842249796e-05,0.0,0.0,0.0,0.0,0.0,0.12339510768651962,0.0,14.627476692199707,0.0
2000-06-01,OP_2,272.8885803222656,278.7583312988281,280.190673828125,279.55279541015625,0.0,0.0,0.0,0.0,0.0,184.0,184.1224365234375,208045.09375,166345.703125,47199368.0,45108736.0,1586.79150390625,5.0,0.0,1130.6798095703125,903.4515991210938,256518.3125,245084.015625,191.19796752929688,0.0,2286.084228515625,0.28744271397590637,0.47247180342674255,0.0,0.0,0.0,0.0,456.11163330078125,809.1613159179688,33171.609375,50901.0
2000-06-01,OP_3,271.5424499511719,276.7597351074219,278.15899658203125,277.5436096191406,0.0,0.0,0.0,0.0,0.0,184.0,184.04049682617188,736037.9375,736162.0,88316200.0,88326744.0,4000.39208984375,5.0,0.0,4000.2060546875,4000.0,479979.34375,479967.0,778.3898315429688,0.0,6422.63134765625,4.6492026740452275e-05,0.0,0.0,0.0,0.0,0.0,0.18598634004592896,0.0,20.497270584106445,0.0
2000-06-01,OP_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-01,OP_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-01,WI_1,328.820556640625,309.07342529296875,302.5662536621094,305.34759521484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,253.40818786621094,0.0,0.0,0.0,0.0,5000.0,5000.0,599983.0,599983.0,0.0,0.0,0.0,0.0
2000-06-01,WI_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-01,WI_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-07-01,OP_1,272.9414978027344,275.5541076660156,276.4801330566406,276.1272888183594,0.0,0.0,0.0,0.0,0.0,184.0,184.0294952392578,736029.0625,736118.0,110404096.0,110417712.0,4000.281494140625,5.0,0.0,4000.157958984375,4000.0,600022.25,599998.0,1551.1649169921875,0.0,6426.05419921875,3.0904524464858696e-05,0.0,0.0,0.0,0.0,0.0,0.12362679839134216,0.0,18.332372665405273,0.0
2000-07-01,OP_2,272.04931640625,277.53985595703125,278.90869140625,278.2991943359375,0.0,0.0,0.0,0.0,0.0,184.0,184.1410675048828,173528.0,134183.59375,52557020.0,49134244.0,1444.83642578125,5.0,0.0,943.0869140625,728.7000122070312,285635.96875,266945.0,169.99044799804688,0.0,2032.885986328125,0.34727078676223755,0.5339899063110352,0.0,0.0,0.0,0.0,501.74945068359375,835.0,46942.16796875,75951.0
2000-07-01,OP_3,270.5630187988281,275.0727844238281,276.280517578125,275.7489929199219,0.0,0.0,0.0,0.0,0.0,184.0,184.01756286621094,639035.0,639093.0,107487256.0,107499528.0,3473.181884765625,5.0,0.0,3473.016357421875,3473.0,584169.875,584157.0,780.3223876953125,0.0,5579.28759765625,4.761516902362928e-05,0.0,0.0,0.0,0.0,0.0,0.16537614166736603,0.0,25.405900955200195,0.0
2000-07-01,OP_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-07-01,OP_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-07-01,WI_1,326.65997314453125,306.9109191894531,300.4106750488281,303.18994140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,253.3834686279297,0.0,0.0,0.0,0.0,5000.0,5000.0,749983.0,749983.0,0.0,0.0,0.0,0.0
2000-07-01,WI_2,376.9000244140625,309.82379150390625,297.20245361328125,302.7463684082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,72.16519927978516,0.0,0.0,0.0,0.0,4833.0,4833.0,144990.0,144990.0,0.0,0.0,0.0,0.0
2000-07-01,WI_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,OP_1,271.56341552734375,274.17034912109375,275.09381103515625,274.7419128417969,0.0,0.0,0.0,0.0,0.0,184.0,184.0294952392578,736029.0625,736118.0,133221000.0,133237368.0,4000.28173828125,5.0,0.0,4000.15771484375,4000.0,724027.1875,723998.0,1554.58935546875,0.0,6428.6669921875,3.097175431321375e-05,0.0,0.0,0.0,0.0,0.0,0.12389574944972992,0.0,22.169540405273438,0.0
2000-08-01,OP_2,270.39263916015625,276.0576477050781,277.4556884765625,276.8332824707031,0.0,0.0,0.0,0.0,0.0,184.0,184.13865661621094,162074.546875,119030.796875,57703624.0,52824200.0,1457.7501220703125,5.0,0.0,880.8399658203125,646.4193725585938,313606.65625,286984.0,153.75782775878906,0.0,2011.0833740234375,0.3957538306713104,0.592918336391449,0.0,0.0,0.0,0.0,576.9102172851562,941.51611328125,63793.55078125,105138.0
2000-08-01,OP_3,270.58477783203125,274.40618896484375,275.4304504394531,274.97955322265625,0.0,0.0,0.0,0.0,0.0,184.0,184.05760192871094,543035.8125,543154.0,124321360.0,124337304.0,2951.424560546875,5.0,0.0,2951.28173828125,2951.0,675659.5625,675638.0,781.02587890625,0.0,4743.06787109375,4.844177601626143e-05,0.0,0.0,0.0,0.0,0.0,0.14297226071357727,0.0,29.801931381225586,0.0
2000-08-01,OP_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,OP_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,WI_1,325.09161376953125,305.3411560058594,298.8417663574219,301.620849609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,253.3655242919922,0.0,0.0,0.0,0.0,5000.0,5000.0,904983.0,904983.0,0.0,0.0,0.0,0.0
2000-08-01,WI_2,365.07122802734375,306.6494140625,295.6304016113281,300.48394775390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,85.71353149414062,0.0,0.0,0.0,0.0,5000.0,5000.0,299990.0,299990.0,0.0,0.0,0.0,0.0
2000-08-01,WI_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-01,OP_1,270.404052734375,273.0062255859375,273.9272766113281,273.576171875,0.0,0.0,0.0,0.0,0.0,184.0,184.0294952392578,736029.0625,736118.0,156037904.0,156057024.0,4000.281982421875,5.0,0.0,4000.15771484375,4000.0,848032.0625,847998.0,1557.46923828125,0.0,6430.82763671875,3.103103881585412e-05,0.0,0.0,0.0,0.0,0.0,0.12413290143013,0.0,26.014509201049805,0.0
2000-09-01,OP_2,269.1017761230469,274.7957763671875,276.2037048339844,275.5771179199219,0.0,0.0,0.0,0.0,0.0,184.0,184.1449432373047,151281.140625,105301.203125,62494908.0,56088536.0,1453.363037109375,5.0,0.0,822.1800537109375,571.8386840820312,339646.25,304711.0,142.64923095703125,0.0,1973.3133544921875,0.4342913329601288,0.6409286260604858,0.0,0.0,0.0,0.0,631.1829833984375,1020.7100219726562,82502.2578125,136780.015625
2000-09-01,OP_3,270.3387451171875,273.7399597167969,274.6522216796875,274.2506103515625,0.0,0.0,0.0,0.0,0.0,184.0,184.06344604492188,484342.5625,484455.0,139335968.0,139355408.0,2632.426025390625,5.0,0.0,2632.296630859375,2632.0,757260.75,757230.0,781.7439575195312,0.0,4231.84375,4.91676946694497e-05,0.0,0.0,0.0,0.0,0.0,0.12943032383918762,0.0,33.786773681640625,0.0
2000-09-01,OP_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-01,OP_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-01,WI_1,323.8522644042969,304.1007080078125,297.600830078125,300.3800964355469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,253.35134887695312,0.0,0.0,0.0,0.0,5000.0,5000.0,1059983.0,1059983.0,0.0,0.0,0.0,0.0
2000-09-01,WI_2,357.9848327636719,304.196533203125,294.0377502441406,298.51898193359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,93.0925064086914,0.0,0.0,0.0,0.0,5000.0,5000.0,454990.0,454990.0,0.0,0.0,0.0,0.0
2000-09-01,WI_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-10-01,OP_1,269.4775085449219,272.075927734375,272.9951171875,272.6446228027344,0.0,0.0,0.0,0.0,0.0,184.0,184.0294952392578,736029.0,736118.0,178118768.0,178140560.0,4000.281982421875,5.0,0.0,4000.157470703125,4000.0,968036.8125,967998.0,1559.7696533203125,0.0,6432.5986328125,3.108124656137079e-05,0.0,0.0,0.0,0.0,0.0,0.12433374673128128,0.0,29.741954803466797,0.0
2000-10-01,OP_2,268.1775207519531,273.8138427734375,275.2162780761719,274.592529296875,0.0,0.0,0.0,0.0,0.0,184.0,184.178955078125,141416.453125,92967.3984375,66818528.0,58877560.0,1438.7550048828125,5.0,0.0,768.5676879882812,504.7666931152344,363144.1875,319854.0,134.56744384765625,0.0,1927.75927734375,0.4658105969429016,0.6816355586051941,0.0,0.0,0.0,0.0,670.1873168945312,1080.7330322265625,101922.4765625,169202.0
