CONKPOS,SGAS,CONBPRES,CONIPOS,WELL,CONIDX,DEPTH,PRESSURE,DRAWDOWN,CONJPOS,WELLMODEL,SWAT,DATE
19,0.0,303.0517578125,22,R_A2,19,1675.545654296875,303.0517578125,0,30,STANDARD,0.9803207516670227,2018-01-01
30,0.0,303.1744384765625,22,R_A2,20,1677.374267578125,303.1744384765625,0,30,STANDARD,0.6756738424301147,2018-01-01
30,0.0,303.0560302734375,22,R_A2,21,1675.609375,303.0560302734375,0,29,STANDARD,1.0,2018-01-01
31,0.0,303.1807861328125,22,R_A2,22,1677.4691162109375,303.1807861328125,0,29,STANDARD,1.0,2018-01-01
32,0.0,303.3055725097656,22,R_A2,23,1679.3289794921875,303.3055725097656,0,29,STANDARD,1.0,2018-01-01
33,0.0,303.78619384765625,22,R_A2,24,1681.188720703125,303.78619384765625,0,29,STANDARD,1.0,2018-01-01
34,0.0,303.9624328613281,22,R_A2,25,1683.048583984375,303.9624328613281,0,29,STANDARD,1.0,2018-01-01
1,0.0,298.3626708984375,28,R_A3,1,1605.614501953125,298.3626708984375,0,41,STANDARD,0.6481541991233826,2018-01-01
2,0.0,298.5057067871094,28,R_A3,2,1607.7490234375,298.5057067871094,0,41,STANDARD,0.19182898104190826,2018-01-01
3,0.0,298.6487731933594,28,R_A3,3,1609.8837890625,298.6487731933594,0,41,STANDARD,0.19124478101730347,2018-01-01
4,0.0,298.7918395996094,28,R_A3,4,1612.0184326171875,298.7918395996094,0,41,STANDARD,0.3672233819961548,2018-01-01
4,0.0,298.4307556152344,29,R_A3,5,1606.6307373046875,298.4307556152344,0,41,STANDARD,0.6481541991233826,2018-01-01
5,0.0,298.56988525390625,29,R_A3,6,1608.7069091796875,298.56988525390625,0,41,STANDARD,0.8114020824432373,2018-01-01
6,0.0,298.70904541015625,29,R_A3,7,1610.782958984375,298.70904541015625,0,41,STANDARD,0.22797781229019165,2018-01-01
7,0.0,298.8481750488281,29,R_A3,8,1612.859130859375,298.8481750488281,0,41,STANDARD,0.19769570231437683,2018-01-01
8,0.0,298.9873352050781,29,R_A3,9,1614.9351806640625,298.9873352050781,0,41,STANDARD,0.15194764733314514,2018-01-01
9,0.0,299.12646484375,29,R_A3,10,1617.0113525390625,299.12646484375,0,41,STANDARD,0.2283337414264679,2018-01-01
10,0.0,299.265625,29,R_A3,11,1619.0875244140625,299.265625,0,41,STANDARD,0.28515851497650146,2018-01-01
11,0.0,299.4107360839844,29,R_A3,12,1621.2523193359375,299.4107360839844,0,41,STANDARD,0.04866344854235649,2018-01-01
12,0.0,299.5617980957031,29,R_A3,13,1623.5059814453125,299.5617980957031,0,41,STANDARD,0.05415341258049011,2018-01-01
13,0.0,299.712890625,29,R_A3,14,1625.759521484375,299.712890625,0,41,STANDARD,0.36669832468032837,2018-01-01
15,0.0,300.0150451660156,29,R_A3,15,1630.2667236328125,300.0150451660156,0,41,STANDARD,0.49762070178985596,2018-01-01
16,0.0,300.1571350097656,29,R_A3,16,1632.38623046875,300.1571350097656,0,41,STANDARD,0.8152522444725037,2018-01-01
30,0.0,300.3479309082031,29,R_A3,17,1635.23193359375,300.3479309082031,0,41,STANDARD,0.7370224595069885,2018-01-01
31,0.0,300.5897521972656,29,R_A3,18,1638.838623046875,300.5897521972656,0,41,STANDARD,0.043629828840494156,2018-01-01
32,0.0,300.8315734863281,29,R_A3,19,1642.4451904296875,300.8315734863281,0,41,STANDARD,0.051573894917964935,2018-01-01
33,0.0,301.07342529296875,29,R_A3,20,1646.0517578125,301.07342529296875,0,41,STANDARD,0.8014651536941528,2018-01-01
34,0.0,301.3153076171875,29,R_A3,21,1649.658447265625,301.3153076171875,0,41,STANDARD,0.06539851427078247,2018-01-01
1,0.0,300.3349914550781,30,R_A4,1,1635.0389404296875,300.3349914550781,0,52,STANDARD,0.052236199378967285,2018-01-01
1,0.0,299.97442626953125,31,R_A4,2,1629.6611328125,299.97442626953125,0,52,STANDARD,0.05035313218832016,2018-01-01
2,0.0,300.10931396484375,31,R_A4,3,1631.673095703125,300.10931396484375,0,52,STANDARD,0.052608832716941833,2018-01-01
2,0.0,299.8721008300781,32,R_A4,4,1628.134521484375,299.8721008300781,0,52,STANDARD,0.05158581584692001,2018-01-01
2,0.0,300.3788757324219,32,R_A4,5,1635.693603515625,300.3788757324219,0,51,STANDARD,0.05652913823723793,2018-01-01
3,0.0,300.49993896484375,32,R_A4,6,1637.4990234375,300.49993896484375,0,51,STANDARD,0.05788896605372429,2018-01-01
3,0.0,300.587158203125,33,R_A4,7,1638.800048828125,300.587158203125,0,51,STANDARD,0.10016042739152908,2018-01-01
2,0.0,300.4676513671875,33,R_A4,8,1637.0177001953125,300.4676513671875,0,51,STANDARD,0.058244943618774414,2018-01-01
1,0.0,300.34814453125,33,R_A4,9,1635.2352294921875,300.34814453125,0,51,STANDARD,0.05786675587296486,2018-01-01
2,0.0,300.68359375,33,R_A4,10,1640.238037109375,300.68359375,0,50,STANDARD,0.14641247689723969,2018-01-01
2,0.0,300.6745910644531,34,R_A4,11,1640.1041259765625,300.6745910644531,0,50,STANDARD,0.2033214271068573,2018-01-01
1,0.0,300.5390625,34,R_A4,12,1638.082763671875,300.5390625,0,50,STANDARD,0.05903414636850357,2018-01-01
2,0.0,300.8526611328125,35,R_A4,13,1642.7593994140625,300.8526611328125,0,50,STANDARD,0.23166155815124512,2018-01-01
2,0.0,300.88818359375,35,R_A4,14,1643.289306640625,300.88818359375,0,49,STANDARD,0.1853608340024948,2018-01-01
1,0.0,300.7627868652344,35,R_A4,15,1641.419189453125,300.7627868652344,0,49,STANDARD,0.23121364414691925,2018-01-01
33,0.0,300.9452819824219,36,R_A4,16,1644.1407470703125,300.9452819824219,0,49,STANDARD,0.32941046357154846,2018-01-01
33,0.0,300.8448181152344,36,R_A4,17,1642.642822265625,300.8448181152344,0,48,STANDARD,0.6481541991233826,2018-01-01
33,0.0,301.3973388671875,37,R_A4,18,1650.881591796875,301.3973388671875,0,48,STANDARD,0.7828978896141052,2018-01-01
32,0.0,301.01953125,37,R_A4,19,1645.248046875,301.01953125,0,48,STANDARD,1.0,2018-01-01
32,0.0,301.56884765625,38,R_A4,20,1653.43896484375,301.56884765625,0,48,STANDARD,0.6481541991233826,2018-01-01
32,0.0,301.9486083984375,38,R_A4,21,1659.101318359375,301.9486083984375,0,47,STANDARD,0.7991587519645691,2018-01-01
1,0.0,303.9443664550781,31,R_A5,1,1686.0848388671875,303.9443664550781,0,20,STANDARD,1.0,2018-01-01
2,0.0,304.1497497558594,31,R_A5,2,1688.251953125,304.1497497558594,0,20,STANDARD,1.0,2018-01-01
3,0.0,304.3551025390625,31,R_A5,3,1690.4190673828125,304.3551025390625,0,20,STANDARD,1.0,2018-01-01
4,0.0,304.5604553222656,31,R_A5,4,1692.586181640625,304.5604553222656,0,20,STANDARD,1.0,2018-01-01
5,0.0,304.7658386230469,31,R_A5,5,1694.75341796875,304.7658386230469,0,20,STANDARD,1.0,2018-01-01
6,0.0,304.9712219238281,31,R_A5,6,1696.9205322265625,304.9712219238281,0,20,STANDARD,1.0,2018-01-01
7,0.0,305.48236083984375,31,R_A5,7,1699.087646484375,305.48236083984375,0,20,STANDARD,1.0,2018-01-01
11,0.0,305.97918701171875,31,R_A5,8,1707.55517578125,305.97918701171875,0,20,STANDARD,1.0,2018-01-01
11,0.0,305.1207580566406,31,R_A5,9,1698.4970703125,305.1207580566406,0,21,STANDARD,1.0,2018-01-01
12,0.0,305.313720703125,31,R_A5,10,1700.533447265625,305.313720703125,0,21,STANDARD,1.0,2018-01-01
13,0.0,305.5186767578125,31,R_A5,11,1702.5699462890625,305.5186767578125,0,21,STANDARD,1.0,2018-01-01
14,0.0,305.711669921875,31,R_A5,12,1704.6063232421875,305.711669921875,0,21,STANDARD,1.0,2018-01-01
15,0.0,305.9046630859375,31,R_A5,13,1706.642578125,305.9046630859375,0,21,STANDARD,1.0,2018-01-01
16,0.0,306.24267578125,31,R_A5,14,1708.6790771484375,306.24267578125,0,21,STANDARD,1.0,2018-01-01
17,0.0,306.4356689453125,31,R_A5,15,1710.7154541015625,306.4356689453125,0,21,STANDARD,1.0,2018-01-01
18,0.0,306.6046447753906,31,R_A5,16,1712.49853515625,306.6046447753906,0,21,STANDARD,1.0,2018-01-01
19,0.0,306.7030029296875,31,R_A5,17,1713.5362548828125,306.7030029296875,0,21,STANDARD,1.0,2018-01-01
30,0.0,306.6876220703125,31,R_A5,18,1715.03173828125,306.6876220703125,0,21,STANDARD,1.0,2018-01-01
31,0.0,306.8979187011719,31,R_A5,19,1717.25048828125,306.8979187011719,0,21,STANDARD,1.0,2018-01-01
32,0.0,307.4139709472656,31,R_A5,20,1719.46923828125,307.4139709472656,0,21,STANDARD,1.0,2018-01-01
33,0.0,307.624267578125,31,R_A5,21,1721.68798828125,307.624267578125,0,21,STANDARD,1.0,2018-01-01
34,0.0,307.83453369140625,31,R_A5,22,1723.9066162109375,307.83453369140625,0,21,STANDARD,1.0,2018-01-01
1,0.0,305.06793212890625,17,R_A6,1,1694.71435546875,305.06793212890625,0,42,STANDARD,1.0,2018-01-01
2,0.0,305.2137145996094,17,R_A6,2,1696.252685546875,305.2137145996094,0,42,STANDARD,1.0,2018-01-01
3,0.0,305.3594970703125,17,R_A6,3,1697.7908935546875,305.3594970703125,0,42,STANDARD,1.0,2018-01-01
4,0.0,305.5052795410156,17,R_A6,4,1699.3292236328125,305.5052795410156,0,42,STANDARD,1.0,2018-01-01
5,0.0,305.6510314941406,17,R_A6,5,1700.867431640625,305.6510314941406,0,42,STANDARD,1.0,2018-01-01
6,0.0,305.4977722167969,17,R_A6,6,1702.40576171875,305.4977722167969,0,42,STANDARD,1.0,2018-01-01
7,0.0,305.6435546875,17,R_A6,7,1703.9439697265625,305.6435546875,0,42,STANDARD,1.0,2018-01-01
8,0.0,305.7893371582031,17,R_A6,8,1705.482177734375,305.7893371582031,0,42,STANDARD,1.0,2018-01-01
9,0.0,306.2341613769531,17,R_A6,9,1707.0205078125,306.2341613769531,0,42,STANDARD,1.0,2018-01-01
10,0.0,306.07415771484375,17,R_A6,10,1708.558837890625,306.07415771484375,0,42,STANDARD,1.0,2018-01-01
11,0.0,306.2524719238281,17,R_A6,11,1710.4388427734375,306.2524719238281,0,42,STANDARD,1.0,2018-01-01
12,0.0,306.4630126953125,17,R_A6,12,1712.6605224609375,306.4630126953125,0,42,STANDARD,1.0,2018-01-01
13,0.0,306.685546875,17,R_A6,13,1714.88232421875,306.685546875,0,42,STANDARD,1.0,2018-01-01
14,0.0,306.8961181640625,17,R_A6,14,1717.10400390625,306.8961181640625,0,42,STANDARD,1.0,2018-01-01
15,0.0,307.106689453125,17,R_A6,15,1719.3258056640625,307.106689453125,0,42,STANDARD,1.0,2018-01-01
16,0.0,307.4622497558594,17,R_A6,16,1721.5474853515625,307.4622497558594,0,42,STANDARD,1.0,2018-01-01
17,0.0,307.6728210449219,17,R_A6,17,1723.769287109375,307.6728210449219,0,42,STANDARD,1.0,2018-01-01
18,0.0,307.83966064453125,17,R_A6,18,1725.5296630859375,307.83966064453125,0,42,STANDARD,1.0,2018-01-01
30,0.0,307.8252258300781,17,R_A6,19,1727.03466796875,307.8252258300781,0,42,STANDARD,1.0,2018-01-01
31,0.0,307.98736572265625,17,R_A6,20,1728.7454833984375,307.98736572265625,0,42,STANDARD,1.0,2018-01-01
32,0.0,308.4552917480469,17,R_A6,21,1730.456298828125,308.4552917480469,0,42,STANDARD,1.0,2018-01-01
33,0.0,308.6174621582031,17,R_A6,22,1732.1669921875,308.6174621582031,0,42,STANDARD,1.0,2018-01-01
34,0.0,308.47381591796875,17,R_A6,23,1733.8779296875,308.47381591796875,0,42,STANDARD,1.0,2018-01-01
1,0.0,298.46923828125,22,R_A2,1,1640.0550537109375,298.46923828125,0,30,STANDARD,0.05446767434477806,2018-03-01
2,0.0,298.5998229980469,22,R_A2,2,1642.0032958984375,298.5998229980469,0,30,STANDARD,0.0567263588309288,2018-03-01
3,0.0,298.73040771484375,22,R_A2,3,1643.95166015625,298.73040771484375,0,30,STANDARD,0.05998332425951958,2018-03-01
4,0.0,298.8609619140625,22,R_A2,4,1645.89990234375,298.8609619140625,0,30,STANDARD,0.0664348229765892,2018-03-01
5,0.0,298.9915466308594,22,R_A2,5,1647.84814453125,298.9915466308594,0,30,STANDARD,0.06855716556310654,2018-03-01
6,0.0,299.1221618652344,22,R_A2,6,1649.7965087890625,299.1221618652344,0,30,STANDARD,0.23036837577819824,2018-03-01
7,0.0,299.250244140625,22,R_A2,7,1651.7447509765625,299.250244140625,0,30,STANDARD,0.8856480121612549,2018-03-01
8,0.0,299.3728332519531,22,R_A2,8,1653.6929931640625,299.3728332519531,0,30,STANDARD,0.8682464361190796,2018-03-01
9,0.0,299.4952392578125,22,R_A2,9,1655.641357421875,299.4952392578125,0,30,STANDARD,0.24385318160057068,2018-03-01
10,0.0,299.73992919921875,22,R_A2,10,1657.589599609375,299.73992919921875,0,30,STANDARD,0.8987390398979187,2018-03-01
11,0.0,300.13238525390625,22,R_A2,11,1659.581298828125,300.13238525390625,0,30,STANDARD,0.07496537268161774,2018-03-01
12,0.0,300.2709655761719,22,R_A2,12,1661.616455078125,300.2709655761719,0,30,STANDARD,0.07688393443822861,2018-03-01
13,0.0,300.4319152832031,22,R_A2,13,1663.651611328125,300.4319152832031,0,30,STANDARD,0.43934372067451477,2018-03-01
14,0.0,300.57183837890625,22,R_A2,14,1665.686767578125,300.57183837890625,0,30,STANDARD,0.4824337065219879,2018-03-01
15,0.0,300.7158203125,22,R_A2,15,1667.721923828125,300.7158203125,0,30,STANDARD,0.6765434741973877,2018-03-01
16,0.0,300.85333251953125,22,R_A2,16,1669.757080078125,300.85333251953125,0,30,STANDARD,0.9535199403762817,2018-03-01
17,0.0,300.9908752441406,22,R_A2,17,1671.792236328125,300.9908752441406,0,30,STANDARD,0.9584817886352539,2018-03-01
18,0.0,301.1280517578125,22,R_A2,18,1673.827392578125,301.1280517578125,0,30,STANDARD,0.949289083480835,2018-03-01
19,0.0,301.2434997558594,22,R_A2,19,1675.545654296875,301.2434997558594,0,30,STANDARD,0.9803099036216736,2018-03-01
30,0.0,301.83038330078125,22,R_A2,20,1677.374267578125,301.83038330078125,0,30,STANDARD,0.6749552488327026,2018-03-01
30,-5.750140760676231e-15,302.8636779785156,22,R_A2,21,1675.609375,302.8636779785156,0,29,STANDARD,1.0,2018-03-01
31,-5.16867815925369e-16,303.0935363769531,22,R_A2,22,1677.4691162109375,303.0935363769531,0,29,STANDARD,1.0,2018-03-01
32,1.4454461114554016e-18,303.2642517089844,22,R_A2,23,1679.3289794921875,303.2642517089844,0,29,STANDARD,1.0,2018-03-01
33,1.5157637013527688e-18,303.76751708984375,22,R_A2,24,1681.188720703125,303.76751708984375,0,29,STANDARD,1.0,2018-03-01
34,3.0919253909983806e-19,303.9529113769531,22,R_A2,25,1683.048583984375,303.9529113769531,0,29,STANDARD,1.0,2018-03-01
1,-6.330982423420964e-14,288.2970275878906,31,R_A5,1,1686.0848388671875,288.2970275878906,0,20,STANDARD,1.0,2018-04-28
2,-1.5858598071891161e-12,288.5023193359375,31,R_A5,2,1688.251953125,288.5023193359375,0,20,STANDARD,1.0,2018-04-28
3,-1.9403272391582682e-12,288.70758056640625,31,R_A5,3,1690.4190673828125,288.70758056640625,0,20,STANDARD,1.0,2018-04-28
4,-2.0962708565525068e-12,288.9128112792969,31,R_A5,4,1692.586181640625,288.9128112792969,0,20,STANDARD,1.0,2018-04-28
5,-2.023838778855702e-12,289.1180419921875,31,R_A5,5,1694.75341796875,289.1180419921875,0,20,STANDARD,1.0,2018-04-28
6,-1.7274227838079415e-12,289.32330322265625,31,R_A5,6,1696.9205322265625,289.32330322265625,0,20,STANDARD,1.0,2018-04-28
7,-7.214069836294912e-13,289.85296630859375,31,R_A5,7,1699.087646484375,289.85296630859375,0,20,STANDARD,1.0,2018-04-28
11,-8.099521747739757e-11,286.22698974609375,31,R_A5,8,1707.55517578125,286.22698974609375,0,20,STANDARD,1.0,2018-04-28
11,-1.4192314858052502e-12,283.5386962890625,31,R_A5,9,1698.4970703125,283.5386962890625,0,21,STANDARD,1.0,2018-04-28
12,-1.6604880448065074e-12,284.19476318359375,31,R_A5,10,1700.533447265625,284.19476318359375,0,21,STANDARD,1.0,2018-04-28
13,-5.624668414946736e-14,284.395263671875,31,R_A5,11,1702.5699462890625,284.395263671875,0,21,STANDARD,1.0,2018-04-28
14,-9.624187568852555e-14,284.5839538574219,31,R_A5,12,1704.6063232421875,284.5839538574219,0,21,STANDARD,1.0,2018-04-28
15,0.0,285.0904541015625,31,R_A5,13,1706.642578125,285.0904541015625,0,21,STANDARD,1.0,2018-04-28
16,-1.535053246353498e-14,285.8958740234375,31,R_A5,14,1708.6790771484375,285.8958740234375,0,21,STANDARD,1.0,2018-04-28
17,-4.809899884389594e-15,286.0846862792969,31,R_A5,15,1710.7154541015625,286.0846862792969,0,21,STANDARD,1.0,2018-04-28
18,-8.410061384279965e-15,286.2489013671875,31,R_A5,16,1712.49853515625,286.2489013671875,0,21,STANDARD,1.0,2018-04-28
19,0.0,286.3447265625,31,R_A5,17,1713.5362548828125,286.3447265625,0,21,STANDARD,1.0,2018-04-28
30,2.9769149114105414e-14,283.51806640625,31,R_A5,18,1715.03173828125,283.51806640625,0,21,STANDARD,1.0,2018-04-28
31,3.416105560320043e-14,283.73455810546875,31,R_A5,19,1717.25048828125,283.73455810546875,0,21,STANDARD,1.0,2018-04-28
32,3.7271050273674505e-18,285.7264099121094,31,R_A5,20,1719.46923828125,285.7264099121094,0,21,STANDARD,1.0,2018-04-28
33,3.8595089328866697e-19,287.15411376953125,31,R_A5,21,1721.68798828125,287.15411376953125,0,21,STANDARD,1.0,2018-04-28
34,1.1926473238980858e-21,296.8858337402344,31,R_A5,22,1723.9066162109375,296.8858337402344,0,21,STANDARD,1.0,2018-04-28
1,0.0,270.3592529296875,28,R_A3,1,1605.614501953125,270.3592529296875,0,41,STANDARD,0.6499460935592651,2018-07-03
2,0.0,270.525390625,28,R_A3,2,1607.7490234375,270.525390625,0,41,STANDARD,0.193240687251091,2018-07-03
3,0.0,270.66943359375,28,R_A3,3,1609.8837890625,270.66943359375,0,41,STANDARD,0.19212859869003296,2018-07-03
4,0.0,270.8263854980469,28,R_A3,4,1612.0184326171875,270.8263854980469,0,41,STANDARD,0.36806562542915344,2018-07-03
4,0.0,270.4486389160156,29,R_A3,5,1606.6307373046875,270.4486389160156,0,41,STANDARD,0.6518735289573669,2018-07-03
5,0.0,270.58355712890625,29,R_A3,6,1608.7069091796875,270.58355712890625,0,41,STANDARD,0.8054087162017822,2018-07-03
6,0.0,270.5135803222656,29,R_A3,7,1610.782958984375,270.5135803222656,0,41,STANDARD,0.23125715553760529,2018-07-03
7,0.0,270.6507263183594,29,R_A3,8,1612.859130859375,270.6507263183594,0,41,STANDARD,0.1995011270046234,2018-07-03
8,0.0,270.7867126464844,29,R_A3,9,1614.9351806640625,270.7867126464844,0,41,STANDARD,0.15266944468021393,2018-07-03
9,0.0,270.9244384765625,29,R_A3,10,1617.0113525390625,270.9244384765625,0,41,STANDARD,0.2278558909893036,2018-07-03
10,0.0,271.0821228027344,29,R_A3,11,1619.0875244140625,271.0821228027344,0,41,STANDARD,0.28570908308029175,2018-07-03
11,0.0,282.3959045410156,29,R_A3,12,1621.2523193359375,282.3959045410156,0,41,STANDARD,0.048762157559394836,2018-07-03
12,0.0,282.5463562011719,29,R_A3,13,1623.5059814453125,282.5463562011719,0,41,STANDARD,0.054266516119241714,2018-07-03
13,0.0,282.6971740722656,29,R_A3,14,1625.759521484375,282.6971740722656,0,41,STANDARD,0.3672606945037842,2018-07-03
15,0.0,283.3041687011719,29,R_A3,15,1630.2667236328125,283.3041687011719,0,41,STANDARD,0.4984964430332184,2018-07-03
16,0.0,283.4706726074219,29,R_A3,16,1632.38623046875,283.4706726074219,0,41,STANDARD,0.8143172264099121,2018-07-03
30,0.0,282.20758056640625,29,R_A3,17,1635.23193359375,282.20758056640625,0,41,STANDARD,0.733949601650238,2018-07-03
31,0.0,281.72796630859375,29,R_A3,18,1638.838623046875,281.72796630859375,0,41,STANDARD,0.044034797698259354,2018-07-03
32,0.0,281.9676818847656,29,R_A3,19,1642.4451904296875,281.9676818847656,0,41,STANDARD,0.05276774242520332,2018-07-03
33,0.0,287.0594482421875,29,R_A3,20,1646.0517578125,287.0594482421875,0,41,STANDARD,0.8006429672241211,2018-07-03
34,0.0,282.22686767578125,29,R_A3,21,1649.658447265625,282.22686767578125,0,41,STANDARD,0.06634218990802765,2018-07-03
1,0.0,274.5168762207031,30,R_A4,1,1635.0389404296875,274.5168762207031,0,52,STANDARD,0.052378375083208084,2018-09-12
1,0.0,274.3651428222656,31,R_A4,2,1629.6611328125,274.3651428222656,0,52,STANDARD,0.05048239976167679,2018-09-12
2,0.0,274.4991149902344,31,R_A4,3,1631.673095703125,274.4991149902344,0,52,STANDARD,0.05274286866188049,2018-09-12
2,0.0,274.4814758300781,32,R_A4,4,1628.134521484375,274.4814758300781,0,52,STANDARD,0.051714520901441574,2018-09-12
2,0.0,274.7310485839844,32,R_A4,5,1635.693603515625,274.7310485839844,0,51,STANDARD,0.05668135732412338,2018-09-12
3,0.0,274.85107421875,32,R_A4,6,1637.4990234375,274.85107421875,0,51,STANDARD,0.058052223175764084,2018-09-12
3,0.0,275.22039794921875,33,R_A4,7,1638.800048828125,275.22039794921875,0,51,STANDARD,0.10052035748958588,2018-09-12
2,0.0,275.10162353515625,33,R_A4,8,1637.0177001953125,275.10162353515625,0,51,STANDARD,0.05841084569692612,2018-09-12
1,0.0,274.9828796386719,33,R_A4,9,1635.2352294921875,274.9828796386719,0,51,STANDARD,0.0580095499753952,2018-09-12
2,0.0,275.06494140625,33,R_A4,10,1640.238037109375,275.06494140625,0,50,STANDARD,0.14736561477184296,2018-09-12
2,0.0,275.3113098144531,34,R_A4,11,1640.1041259765625,275.3113098144531,0,50,STANDARD,0.20418401062488556,2018-09-12
1,0.0,275.1767272949219,34,R_A4,12,1638.082763671875,275.1767272949219,0,50,STANDARD,0.05920455604791641,2018-09-12
2,0.0,275.7376403808594,35,R_A4,13,1642.7593994140625,275.7376403808594,0,50,STANDARD,0.23225462436676025,2018-09-12
2,0.0,275.3609313964844,35,R_A4,14,1643.289306640625,275.3609313964844,0,49,STANDARD,0.18585965037345886,2018-09-12
1,0.0,275.2383728027344,35,R_A4,15,1641.419189453125,275.2383728027344,0,49,STANDARD,0.23168781399726868,2018-09-12
33,0.0,274.0923767089844,36,R_A4,16,1644.1407470703125,274.0923767089844,0,49,STANDARD,0.2929072678089142,2018-09-12
33,0.0,272.02520751953125,36,R_A4,17,1642.642822265625,272.02520751953125,0,48,STANDARD,0.6918556690216064,2018-09-12
33,0.0,293.0970764160156,37,R_A4,18,1650.881591796875,293.0970764160156,0,48,STANDARD,0.7824423313140869,2018-09-12
32,0.0,283.1826171875,37,R_A4,19,1645.248046875,283.1826171875,0,48,STANDARD,0.9999926090240479,2018-09-12
32,0.0,275.6292419433594,38,R_A4,20,1653.43896484375,275.6292419433594,0,48,STANDARD,0.6794185042381287,2018-09-12
32,0.0,298.56488037109375,38,R_A4,21,1659.101318359375,298.56488037109375,0,47,STANDARD,0.7989599704742432,2018-09-12
1,-5.743670031146694e-18,270.3758544921875,17,R_A6,1,1694.71435546875,270.3758544921875,0,42,STANDARD,1.0,2018-11-07
2,-3.2212847031767335e-18,270.51971435546875,17,R_A6,2,1696.252685546875,270.51971435546875,0,42,STANDARD,1.0,2018-11-07
3,-2.534016728153375e-18,270.66009521484375,17,R_A6,3,1697.7908935546875,270.66009521484375,0,42,STANDARD,1.0,2018-11-07
4,-2.245156572853426e-18,270.79547119140625,17,R_A6,4,1699.3292236328125,270.79547119140625,0,42,STANDARD,1.0,2018-11-07
5,-2.753208423541658e-18,270.92767333984375,17,R_A6,5,1700.867431640625,270.92767333984375,0,42,STANDARD,1.0,2018-11-07
6,-7.639895062332437e-17,270.766845703125,17,R_A6,6,1702.40576171875,270.766845703125,0,42,STANDARD,1.0,2018-11-07
7,-9.90835517419786e-17,270.91217041015625,17,R_A6,7,1703.9439697265625,270.91217041015625,0,42,STANDARD,1.0,2018-11-07
8,-3.5286168355307574e-17,271.05120849609375,17,R_A6,8,1705.482177734375,271.05120849609375,0,42,STANDARD,1.0,2018-11-07
9,-7.539800087076988e-18,271.4870910644531,17,R_A6,9,1707.0205078125,271.4870910644531,0,42,STANDARD,1.0,2018-11-07
10,-2.0424002531330512e-16,271.30755615234375,17,R_A6,10,1708.558837890625,271.30755615234375,0,42,STANDARD,1.0,2018-11-07
11,-2.669351748173176e-18,275.1497802734375,17,R_A6,11,1710.4388427734375,275.1497802734375,0,42,STANDARD,1.0,2018-11-07
12,-1.2382008686663393e-18,275.3154602050781,17,R_A6,12,1712.6605224609375,275.3154602050781,0,42,STANDARD,1.0,2018-11-07
13,-7.311370593704078e-20,275.5380554199219,17,R_A6,13,1714.88232421875,275.5380554199219,0,42,STANDARD,1.0,2018-11-07
14,-5.765045618945983e-20,275.7484436035156,17,R_A6,14,1717.10400390625,275.7484436035156,0,42,STANDARD,1.0,2018-11-07
