CONIDX,DATE,WELLMODEL,WELL,CONKPOS,DRAWDOWN,SWAT,SGAS,PRESSURE,CONIPOS,CONJPOS,DEPTH,CONBPRES
23,2018-01-01,STANDARD,R_A2,27,0,0.6854282021522522,0.0,303.3877868652344,22,29,1679.717041015625,303.3877868652344
24,2018-01-01,STANDARD,R_A2,28,0,1.0,0.0,303.8191223144531,22,29,1681.5361328125,303.8191223144531
25,2018-01-01,STANDARD,R_A2,29,0,1.0,0.0,303.9914855957031,22,29,1683.355224609375,303.9914855957031
1,2018-01-01,STANDARD,R_A3,1,0,0.6481541991233826,0.0,298.62322998046875,28,41,1608.66552734375,298.62322998046875
2,2018-01-01,STANDARD,R_A3,2,0,0.15213677287101746,0.0,298.75775146484375,28,41,1610.6729736328125,298.75775146484375
3,2018-01-01,STANDARD,R_A3,3,0,0.11411584913730621,0.0,298.8923034667969,28,41,1612.680419921875,298.8923034667969
4,2018-01-01,STANDARD,R_A3,3,0,0.1653001308441162,0.0,298.3077087402344,29,41,1603.9576416015625,298.3077087402344
5,2018-01-01,STANDARD,R_A3,4,0,0.6481541991233826,0.0,298.44927978515625,29,41,1606.070068359375,298.44927978515625
6,2018-01-01,STANDARD,R_A3,5,0,0.8107817769050598,0.0,298.5908508300781,29,41,1608.1824951171875,298.5908508300781
7,2018-01-01,STANDARD,R_A3,6,0,0.6481541991233826,0.0,298.732421875,29,41,1610.294921875,298.732421875
8,2018-01-01,STANDARD,R_A3,7,0,0.19422656297683716,0.0,298.8739929199219,29,41,1612.407470703125,298.8739929199219
9,2018-01-01,STANDARD,R_A3,8,0,0.24010886251926422,0.0,299.01556396484375,29,41,1614.5198974609375,299.01556396484375
10,2018-01-01,STANDARD,R_A3,9,0,0.7907279133796692,0.0,299.15716552734375,29,41,1616.63232421875,299.15716552734375
11,2018-01-01,STANDARD,R_A3,10,0,0.788748025894165,0.0,299.29876708984375,29,41,1618.7447509765625,299.29876708984375
12,2018-01-01,STANDARD,R_A3,11,0,0.04768693447113037,0.0,299.4462585449219,29,41,1620.9453125,299.4462585449219
13,2018-01-01,STANDARD,R_A3,12,0,0.05353004112839699,0.0,299.5997009277344,29,41,1623.234130859375,299.5997009277344
14,2018-01-01,STANDARD,R_A3,13,0,0.36690017580986023,0.0,299.75311279296875,29,41,1625.52294921875,299.75311279296875
15,2018-01-01,STANDARD,R_A3,14,0,0.19186560809612274,0.0,299.90655517578125,29,41,1627.8116455078125,299.90655517578125
16,2018-01-01,STANDARD,R_A3,15,0,0.49778276681900024,0.0,300.05999755859375,29,41,1630.1004638671875,300.05999755859375
17,2018-01-01,STANDARD,R_A3,16,0,0.8034339547157288,0.0,300.18988037109375,29,41,1632.037841796875,300.18988037109375
18,2018-01-01,STANDARD,R_A3,25,0,0.6481541991233826,0.0,300.3619384765625,29,41,1634.604248046875,300.3619384765625
19,2018-01-01,STANDARD,R_A3,26,0,0.04312637820839882,0.0,300.5997619628906,29,41,1638.151123046875,300.5997619628906
20,2018-01-01,STANDARD,R_A3,27,0,0.04858851432800293,0.0,300.8376159667969,29,41,1641.6981201171875,300.8376159667969
21,2018-01-01,STANDARD,R_A3,28,0,0.324142187833786,0.0,301.0754699707031,29,41,1645.2451171875,301.0754699707031
22,2018-01-01,STANDARD,R_A3,29,0,0.05790436640381813,0.0,301.3133239746094,29,41,1648.7919921875,301.3133239746094
1,2018-01-01,STANDARD,R_A4,1,0,0.13251540064811707,0.0,300.2242431640625,30,52,1632.5504150390625,300.2242431640625
2,2018-01-01,STANDARD,R_A4,1,0,0.6481541991233826,0.0,299.88067626953125,31,52,1627.42578125,299.88067626953125
3,2018-01-01,STANDARD,R_A4,2,0,0.04991479963064194,0.0,300.0199890136719,31,52,1629.5035400390625,300.0199890136719
4,2018-01-01,STANDARD,R_A4,3,0,0.05099061504006386,0.0,300.1592712402344,31,52,1631.5811767578125,300.1592712402344
5,2018-01-01,STANDARD,R_A4,4,0,0.05366094410419464,0.0,300.2985534667969,31,52,1633.6588134765625,300.2985534667969
6,2018-01-01,STANDARD,R_A4,4,0,0.05314131826162338,0.0,300.1773986816406,32,52,1631.8516845703125,300.1773986816406
7,2018-01-01,STANDARD,R_A4,4,0,0.05665384978055954,0.0,300.48046875,32,51,1636.3719482421875,300.48046875
8,2018-01-01,STANDARD,R_A4,4,0,0.057025931775569916,0.0,300.5353088378906,33,51,1637.1895751953125,300.5353088378906
9,2018-01-01,STANDARD,R_A4,3,0,0.10017028450965881,0.0,300.40966796875,33,51,1635.315673828125,300.40966796875
