WELL,CONJPOS,CONIPOS,CONKPOS,SGAS,WELLMODEL,PRESSURE,DEPTH,CONBPRES,CONIDX,DATE,DRAWDOWN,SWAT
R_A3,41,29,30,0.0,STANDARD,301.2783508300781,1648.254150390625,301.2783508300781,22,2018-01-01,0,0.17403090000152588
R_A4,52,30,1,0.0,STANDARD,300.300537109375,1633.671630859375,300.300537109375,1,2018-01-01,0,0.0502871572971344
R_A4,52,31,1,0.0,STANDARD,299.8709716796875,1627.26416015625,299.8709716796875,2,2018-01-01,0,0.04776449874043465
R_A4,52,31,2,0.0,STANDARD,300.0086669921875,1629.318359375,300.0086669921875,3,2018-01-01,0,0.13396082818508148
R_A4,52,31,3,0.0,STANDARD,300.1463928222656,1631.3724365234375,300.1463928222656,4,2018-01-01,0,0.14852479100227356
R_A4,52,31,4,0.0,STANDARD,300.2840881347656,1633.426513671875,300.2840881347656,5,2018-01-01,0,0.05400870367884636
R_A4,52,32,4,0.0,STANDARD,300.1415710449219,1631.300537109375,300.1415710449219,6,2018-01-01,0,0.05322824418544769
R_A4,52,32,5,0.0,STANDARD,300.26727294921875,1633.1756591796875,300.26727294921875,7,2018-01-01,0,0.05481979623436928
R_A4,51,32,5,0.0,STANDARD,300.47479248046875,1636.270751953125,300.47479248046875,8,2018-01-01,0,0.058706458657979965
R_A4,51,33,5,0.0,STANDARD,300.5428161621094,1637.28515625,300.5428161621094,9,2018-01-01,0,0.056459084153175354
R_A4,51,33,4,0.0,STANDARD,300.42010498046875,1635.4552001953125,300.42010498046875,10,2018-01-01,0,0.1469234824180603
R_A4,50,33,5,0.0,STANDARD,300.8959655761719,1642.5521240234375,300.8959655761719,11,2018-01-01,0,0.06105842813849449
R_A4,50,34,5,0.0,STANDARD,300.84588623046875,1641.8050537109375,300.84588623046875,12,2018-01-01,0,0.058758411556482315
R_A4,50,34,4,0.0,STANDARD,300.72235107421875,1639.962890625,300.72235107421875,13,2018-01-01,0,0.06062989681959152
R_A4,50,35,4,0.0,STANDARD,300.8699035644531,1642.163330078125,300.8699035644531,14,2018-01-01,0,0.061087869107723236
R_A4,50,35,3,0.0,STANDARD,300.75177001953125,1640.401611328125,300.75177001953125,15,2018-01-01,0,0.229694664478302
R_A4,50,35,2,0.0,STANDARD,300.6336364746094,1638.639892578125,300.6336364746094,16,2018-01-01,0,0.22528541088104248
R_A4,49,35,2,0.0,STANDARD,300.9386901855469,1643.1888427734375,300.9386901855469,17,2018-01-01,0,0.23370502889156342
R_A4,49,35,1,0.0,STANDARD,300.8199462890625,1641.4183349609375,300.8199462890625,18,2018-01-01,0,0.2245088517665863
R_A4,49,36,29,0.0,STANDARD,300.9183044433594,1642.8848876953125,300.9183044433594,19,2018-01-01,0,0.1645815521478653
R_A4,48,36,29,0.0,STANDARD,300.8183288574219,1641.39404296875,300.8183288574219,20,2018-01-01,0,0.09104934334754944
R_A4,48,37,29,0.0,STANDARD,301.29571533203125,1648.5130615234375,301.29571533203125,21,2018-01-01,0,0.1839895397424698
R_A4,48,37,28,0.0,STANDARD,300.9159240722656,1642.849609375,300.9159240722656,22,2018-01-01,0,0.05340958386659622
R_A4,48,38,28,0.0,STANDARD,301.29931640625,1648.566650390625,301.29931640625,23,2018-01-01,0,0.09590700268745422
R_A4,47,38,28,0.0,STANDARD,301.7736511230469,1655.63916015625,301.7736511230469,24,2018-01-01,0,0.06219276413321495
R_A5,20,31,1,0.0,STANDARD,303.9586181640625,1686.235107421875,303.9586181640625,1,2018-01-01,0,1.0
R_A5,20,31,2,0.0,STANDARD,304.1669616699219,1688.433837890625,304.1669616699219,2,2018-01-01,0,1.0
R_A5,20,31,3,0.0,STANDARD,304.3753356933594,1690.6324462890625,304.3753356933594,3,2018-01-01,0,1.0
R_A5,20,31,4,0.0,STANDARD,304.58367919921875,1692.8311767578125,304.58367919921875,4,2018-01-01,0,1.0
R_A5,20,31,5,0.0,STANDARD,304.79205322265625,1695.0299072265625,304.79205322265625,5,2018-01-01,0,1.0
R_A5,20,31,6,0.0,STANDARD,305.0003967285156,1697.228515625,305.0003967285156,6,2018-01-01,0,1.0
R_A5,20,31,7,0.0,STANDARD,305.5145568847656,1699.42724609375,305.5145568847656,7,2018-01-01,0,1.0
R_A5,21,31,8,0.0,STANDARD,304.5259704589844,1692.2222900390625,304.5259704589844,8,2018-01-01,0,1.0
R_A5,21,31,11,0.0,STANDARD,305.18267822265625,1699.1507568359375,305.18267822265625,9,2018-01-01,0,1.0
R_A5,21,31,12,0.0,STANDARD,305.3827819824219,1701.2620849609375,305.3827819824219,10,2018-01-01,0,1.0
R_A5,21,31,13,0.0,STANDARD,305.5948181152344,1703.373291015625,305.5948181152344,11,2018-01-01,0,1.0
R_A5,21,31,14,0.0,STANDARD,305.794921875,1705.484619140625,305.794921875,12,2018-01-01,0,1.0
R_A5,21,31,15,0.0,STANDARD,305.9949951171875,1707.5958251953125,305.9949951171875,13,2018-01-01,0,1.0
R_A5,21,31,16,0.0,STANDARD,306.340087890625,1709.7071533203125,306.340087890625,14,2018-01-01,0,1.0
R_A5,21,31,17,0.0,STANDARD,306.5401916503906,1711.8184814453125,306.5401916503906,15,2018-01-01,0,1.0
R_A5,21,31,18,0.0,STANDARD,306.6856994628906,1713.3538818359375,306.6856994628906,16,2018-01-01,0,1.0
R_A5,21,31,19,0.0,STANDARD,306.74530029296875,1713.982666015625,306.74530029296875,17,2018-01-01,0,1.0
R_A5,21,31,26,0.0,STANDARD,306.7164001464844,1715.33544921875,306.7164001464844,18,2018-01-01,0,1.0
