DATE,BLOCK,BPR
2002-06-01,"15,28,13",280.2951354980469
2002-06-01,24135,279.7425537109375
2002-06-01,31815,280.2951354980469
2002-07-01,1095,280.83343505859375
2002-07-01,"15,28,1",280.83343505859375
2002-07-01,"15,28,10",279.973388671875
2002-07-01,"15,28,13",280.5271301269531
2002-07-01,24135,279.973388671875
2002-07-01,31815,280.5271301269531
2002-08-01,1095,281.0427551269531
2002-08-01,"15,28,1",281.0427551269531
2002-08-01,"15,28,10",280.2012023925781
2002-08-01,"15,28,13",280.7561950683594
2002-08-01,24135,280.2012023925781
2002-08-01,31815,280.7561950683594
2002-09-01,1095,281.27471923828125
2002-09-01,"15,28,1",281.27471923828125
2002-09-01,"15,28,10",280.454833984375
2002-09-01,"15,28,13",281.0112609863281
2002-09-01,24135,280.454833984375
2002-09-01,31815,281.0112609863281
2002-10-01,1095,281.5460510253906
2002-10-01,"15,28,1",281.5460510253906
2002-10-01,"15,28,10",280.7527770996094
2002-10-01,"15,28,13",281.3107604980469
2002-10-01,24135,280.7527770996094
2002-10-01,31815,281.3107604980469
2002-11-01,1095,281.8948974609375
2002-11-01,"15,28,1",281.8948974609375
2002-11-01,"15,28,10",281.12841796875
2002-11-01,"15,28,13",281.6879577636719
2002-11-01,24135,281.12841796875
2002-11-01,31815,281.6879577636719
2002-12-01,1095,282.2232360839844
2002-12-01,"15,28,1",282.2232360839844
2002-12-01,"15,28,10",281.4814147949219
2002-12-01,"15,28,13",282.0417785644531
2002-12-01,24135,281.4814147949219
2002-12-01,31815,282.0417785644531
2003-01-01,1095,282.4382629394531
2003-01-01,"15,28,1",282.4382629394531
2003-01-01,"15,28,10",281.76605224609375
2003-01-01,"15,28,13",282.3277893066406
2003-01-01,24135,281.76605224609375
2003-01-01,31815,282.3277893066406
2003-02-01,1095,282.44659423828125
2003-02-01,"15,28,1",282.44659423828125
2003-02-01,"15,28,10",281.7752685546875
2003-02-01,"15,28,13",282.3370056152344
2003-02-01,24135,281.7752685546875
2003-02-01,31815,282.3370056152344
