CONKPOS,WELL,CONIDX,CONIPOS,DEPTH,PRESSURE,CONJPOS,CONBPRES,DRAWDOWN,DATE,WELLMODEL,SGAS,SWAT
16,R_A3,17,29,1632.41357421875,300.21368408203125,41,300.21368408203125,0,2018-01-01,STANDARD,0.0,0.8076300621032715
26,R_A3,18,29,1634.8834228515625,300.3793029785156,41,300.3793029785156,0,2018-01-01,STANDARD,0.0,0.12228888273239136
27,R_A3,19,29,1638.3828125,300.6139221191406,41,300.6139221191406,0,2018-01-01,STANDARD,0.0,0.04497252404689789
28,R_A3,20,29,1641.88232421875,300.84857177734375,41,300.84857177734375,0,2018-01-01,STANDARD,0.0,0.04915807768702507
29,R_A3,21,29,1645.381591796875,301.0832214355469,41,301.0832214355469,0,2018-01-01,STANDARD,0.0,0.3186677396297455
30,R_A3,22,29,1648.881103515625,301.3179016113281,41,301.3179016113281,0,2018-01-01,STANDARD,0.0,0.10770455747842789
1,R_A4,1,30,1631.2352294921875,300.13470458984375,52,300.13470458984375,0,2018-01-01,STANDARD,0.0,0.04816034063696861
1,R_A4,2,31,1626.3450927734375,299.8068542480469,52,299.8068542480469,0,2018-01-01,STANDARD,0.0,0.047334183007478714
2,R_A4,3,31,1628.4007568359375,299.9446716308594,52,299.9446716308594,0,2018-01-01,STANDARD,0.0,0.04876692220568657
3,R_A4,4,31,1630.456298828125,300.0824890136719,52,300.0824890136719,0,2018-01-01,STANDARD,0.0,0.04928337410092354
4,R_A4,5,31,1632.511962890625,300.22027587890625,52,300.22027587890625,0,2018-01-01,STANDARD,0.0,0.05208088830113411
5,R_A4,6,31,1634.5675048828125,300.3581237792969,52,300.3581237792969,0,2018-01-01,STANDARD,0.0,0.054376084357500076
5,R_A4,7,32,1633.966552734375,300.31781005859375,52,300.31781005859375,0,2018-01-01,STANDARD,0.0,0.05362388864159584
5,R_A4,8,32,1634.491455078125,300.35302734375,51,300.35302734375,0,2018-01-01,STANDARD,0.0,0.056484196335077286
5,R_A4,9,33,1637.185546875,300.53363037109375,51,300.53363037109375,0,2018-01-01,STANDARD,0.0,0.057247113436460495
5,R_A4,10,33,1639.9599609375,300.71966552734375,50,300.71966552734375,0,2018-01-01,STANDARD,0.0,0.1549934297800064
5,R_A4,11,34,1641.2633056640625,300.80706787109375,50,300.80706787109375,0,2018-01-01,STANDARD,0.0,0.05936996266245842
4,R_A4,12,34,1639.4310302734375,300.6842041015625,50,300.6842041015625,0,2018-01-01,STANDARD,0.0,0.0612238347530365
3,R_A4,13,34,1637.5987548828125,300.56134033203125,50,300.56134033203125,0,2018-01-01,STANDARD,0.0,0.10328816622495651
3,R_A4,14,35,1640.4754638671875,300.7542419433594,50,300.7542419433594,0,2018-01-01,STANDARD,0.0,0.12514536082744598
2,R_A4,15,35,1638.7115478515625,300.6359558105469,50,300.6359558105469,0,2018-01-01,STANDARD,0.0,0.17738448083400726
2,R_A4,16,35,1643.4476318359375,300.9535217285156,49,300.9535217285156,0,2018-01-01,STANDARD,0.0,0.22771693766117096
1,R_A4,17,35,1641.7020263671875,300.83648681640625,49,300.83648681640625,0,2018-01-01,STANDARD,0.0,0.2289332002401352
29,R_A4,18,36,1646.6240234375,301.1665344238281,49,301.1665344238281,0,2018-01-01,STANDARD,0.0,0.22761060297489166
28,R_A4,19,36,1640.6907958984375,300.7686767578125,49,300.7686767578125,0,2018-01-01,STANDARD,0.0,0.052865710109472275
28,R_A4,20,36,1640.5206298828125,300.75726318359375,48,300.75726318359375,0,2018-01-01,STANDARD,0.0,0.09684062004089355
28,R_A4,21,37,1647.890869140625,301.2514953613281,48,301.2514953613281,0,2018-01-01,STANDARD,0.0,0.09361572563648224
28,R_A4,22,38,1652.16552734375,301.5381774902344,48,301.5381774902344,0,2018-01-01,STANDARD,0.0,0.056909918785095215
28,R_A4,23,38,1660.2086181640625,302.07763671875,47,302.07763671875,0,2018-01-01,STANDARD,0.0,0.06248683109879494
1,R_A5,1,31,1685.252197265625,303.865478515625,20,303.865478515625,0,2018-01-01,STANDARD,0.0,1.0
2,R_A5,2,31,1687.337646484375,304.0630798339844,20,304.0630798339844,0,2018-01-01,STANDARD,0.0,1.0
3,R_A5,3,31,1689.4232177734375,304.2607116699219,20,304.2607116699219,0,2018-01-01,STANDARD,0.0,1.0
4,R_A5,4,31,1691.5086669921875,304.4583435058594,20,304.4583435058594,0,2018-01-01,STANDARD,0.0,1.0
5,R_A5,5,31,1693.5941162109375,304.6559753417969,20,304.6559753417969,0,2018-01-01,STANDARD,0.0,1.0
6,R_A5,6,31,1695.6795654296875,304.8536071777344,20,304.8536071777344,0,2018-01-01,STANDARD,0.0,1.0
7,R_A5,7,31,1697.76513671875,305.3570251464844,20,305.3570251464844,0,2018-01-01,STANDARD,0.0,1.0
8,R_A5,8,31,1699.8505859375,305.5546875,20,305.5546875,0,2018-01-01,STANDARD,0.0,1.0
9,R_A5,9,31,1696.7935791015625,305.2649841308594,21,305.2649841308594,0,2018-01-01,STANDARD,0.0,1.0
11,R_A5,10,31,1701.206787109375,305.3775329589844,21,305.3775329589844,0,2018-01-01,STANDARD,0.0,1.0
12,R_A5,11,31,1703.275390625,305.5735778808594,21,305.5735778808594,0,2018-01-01,STANDARD,0.0,1.0
13,R_A5,12,31,1705.343994140625,305.7815856933594,21,305.7815856933594,0,2018-01-01,STANDARD,0.0,1.0
14,R_A5,13,31,1707.4127197265625,305.9776306152344,21,305.9776306152344,0,2018-01-01,STANDARD,0.0,1.0
15,R_A5,14,31,1709.4813232421875,306.1736755371094,21,306.1736755371094,0,2018-01-01,STANDARD,0.0,1.0
16,R_A5,15,31,1711.550048828125,306.5147399902344,21,306.5147399902344,0,2018-01-01,STANDARD,0.0,1.0
17,R_A5,16,31,1713.5067138671875,306.7001953125,21,306.7001953125,0,2018-01-01,STANDARD,0.0,1.0
18,R_A5,17,31,1714.7169189453125,306.81488037109375,21,306.81488037109375,0,2018-01-01,STANDARD,0.0,1.0
26,R_A5,18,31,1716.27294921875,306.8052673339844,21,306.8052673339844,0,2018-01-01,STANDARD,0.0,1.0
27,R_A5,19,31,1718.4813232421875,307.0145568847656,21,307.0145568847656,0,2018-01-01,STANDARD,0.0,1.0
28,R_A5,20,31,1720.6895751953125,307.5296325683594,21,307.5296325683594,0,2018-01-01,STANDARD,0.0,1.0
29,R_A5,21,31,1722.89794921875,307.7389221191406,21,307.7389221191406,0,2018-01-01,STANDARD,0.0,1.0
30,R_A5,22,31,1725.106201171875,307.9482421875,21,307.9482421875,0,2018-01-01,STANDARD,0.0,1.0
1,R_A6,1,17,1694.08154296875,305.0079650878906,42,305.0079650878906,0,2018-01-01,STANDARD,0.0,1.0
2,R_A6,2,17,1695.6142578125,305.1531982421875,42,305.1531982421875,0,2018-01-01,STANDARD,0.0,1.0
3,R_A6,3,17,1697.14697265625,305.2984619140625,42,305.2984619140625,0,2018-01-01,STANDARD,0.0,1.0
4,R_A6,4,17,1698.6795654296875,305.4436950683594,42,305.4436950683594,0,2018-01-01,STANDARD,0.0,1.0
5,R_A6,5,17,1700.2122802734375,305.5889587402344,42,305.5889587402344,0,2018-01-01,STANDARD,0.0,1.0
6,R_A6,6,17,1701.7449951171875,305.7342224121094,42,305.7342224121094,0,2018-01-01,STANDARD,0.0,1.0
7,R_A6,7,17,1703.2777099609375,305.5804138183594,42,305.5804138183594,0,2018-01-01,STANDARD,0.0,1.0
8,R_A6,8,17,1704.810302734375,305.7256774902344,42,305.7256774902344,0,2018-01-01,STANDARD,0.0,1.0
9,R_A6,9,17,1706.343017578125,306.1699523925781,42,306.1699523925781,0,2018-01-01,STANDARD,0.0,1.0
10,R_A6,10,17,1707.875732421875,306.0094299316406,42,306.0094299316406,0,2018-01-01,STANDARD,0.0,1.0
11,R_A6,11,17,1709.805908203125,306.1924743652344,42,306.1924743652344,0,2018-01-01,STANDARD,0.0,1.0
12,R_A6,12,17,1712.1337890625,306.4130859375,42,306.4130859375,0,2018-01-01,STANDARD,0.0,1.0
13,R_A6,13,17,1714.4615478515625,306.6456604003906,42,306.6456604003906,0,2018-01-01,STANDARD,0.0,1.0
14,R_A6,14,17,1716.789306640625,306.86627197265625,42,306.86627197265625,0,2018-01-01,STANDARD,0.0,1.0
15,R_A6,15,17,1719.1170654296875,307.0868835449219,42,307.0868835449219,0,2018-01-01,STANDARD,0.0,1.0
16,R_A6,16,17,1721.44482421875,307.4525146484375,42,307.4525146484375,0,2018-01-01,STANDARD,0.0,1.0
17,R_A6,17,17,1723.7725830078125,307.67315673828125,42,307.67315673828125,0,2018-01-01,STANDARD,0.0,1.0
18,R_A6,18,17,1725.1875,307.8072509765625,42,307.8072509765625,0,2018-01-01,STANDARD,0.0,1.0
26,R_A6,19,17,1726.2928466796875,307.7549133300781,42,307.7549133300781,0,2018-01-01,STANDARD,0.0,1.0
27,R_A6,20,17,1728.00146484375,308.22265625,42,308.22265625,0,2018-01-01,STANDARD,0.0,1.0
28,R_A6,21,17,1729.710205078125,308.38458251953125,42,308.38458251953125,0,2018-01-01,STANDARD,0.0,1.0
29,R_A6,22,17,1731.4189453125,308.5465393066406,42,308.5465393066406,0,2018-01-01,STANDARD,0.0,1.0
30,R_A6,23,17,1733.1275634765625,308.4027099609375,42,308.4027099609375,0,2018-01-01,STANDARD,0.0,1.0
1,R_A2,1,22,1638.989013671875,297.6705627441406,30,297.6705627441406,0,2018-03-01,STANDARD,0.0,0.05293835327029228
2,R_A2,2,22,1640.6787109375,297.78375244140625,30,297.78375244140625,0,2018-03-01,STANDARD,0.0,0.054386574774980545
3,R_A2,3,22,1642.3685302734375,297.8970031738281,30,297.8970031738281,0,2018-03-01,STANDARD,0.0,0.059042587876319885
4,R_A2,4,22,1644.0582275390625,298.01025390625,30,298.01025390625,0,2018-03-01,STANDARD,0.0,0.06171482056379318
5,R_A2,5,22,1645.748046875,298.1235046386719,30,298.1235046386719,0,2018-03-01,STANDARD,0.0,0.06390931457281113
6,R_A2,6,22,1647.437744140625,298.29412841796875,30,298.29412841796875,0,2018-03-01,STANDARD,0.0,0.30838149785995483
7,R_A2,7,22,1649.12744140625,298.5014953613281,30,298.5014953613281,0,2018-03-01,STANDARD,0.0,0.8693253397941589
8,R_A2,8,22,1650.817138671875,298.80072021484375,30,298.80072021484375,0,2018-03-01,STANDARD,0.0,0.8459838032722473
9,R_A2,9,22,1652.5069580078125,298.94549560546875,30,298.94549560546875,0,2018-03-01,STANDARD,0.0,0.6484330892562866
10,R_A2,10,22,1654.19677734375,299.1781311035156,30,299.1781311035156,0,2018-03-01,STANDARD,0.0,0.8741641640663147
11,R_A2,11,22,1656.11083984375,299.2715148925781,30,299.2715148925781,0,2018-03-01,STANDARD,0.0,0.06598278135061264
12,R_A2,12,22,1658.2493896484375,299.42034912109375,30,299.42034912109375,0,2018-03-01,STANDARD,0.0,0.06151829659938812
13,R_A2,13,22,1660.387939453125,299.58721923828125,30,299.58721923828125,0,2018-03-01,STANDARD,0.0,0.4291546940803528
14,R_A2,14,22,1662.5263671875,299.7325439453125,30,299.7325439453125,0,2018-03-01,STANDARD,0.0,0.4625394940376282
15,R_A2,15,22,1664.6649169921875,299.8783874511719,30,299.8783874511719,0,2018-03-01,STANDARD,0.0,0.8866189122200012
16,R_A2,16,22,1666.803466796875,300.02276611328125,30,300.02276611328125,0,2018-03-01,STANDARD,0.0,0.8706766366958618
17,R_A2,17,22,1668.904296875,300.1641540527344,30,300.1641540527344,0,2018-03-01,STANDARD,0.0,0.8781379461288452
18,R_A2,18,22,1670.17041015625,300.24920654296875,30,300.24920654296875,0,2018-03-01,STANDARD,0.0,0.9116379618644714
26,R_A2,19,22,1671.1983642578125,301.2369689941406,30,301.2369689941406,0,2018-03-01,STANDARD,0.0,0.3145540654659271
26,R_A2,20,22,1681.172607421875,301.6839294433594,29,301.6839294433594,0,2018-03-01,STANDARD,0.0,0.8683423399925232
27,R_A2,21,22,1682.9765625,303.9134521484375,29,303.9134521484375,0,2018-03-01,STANDARD,4.0433927340208563e-19,1.0
28,R_A2,22,22,1684.780517578125,304.076904296875,29,304.076904296875,0,2018-03-01,STANDARD,7.028142659496214e-20,1.0
29,R_A2,23,22,1686.58447265625,304.2347717285156,29,304.2347717285156,0,2018-03-01,STANDARD,-1.2418314003216482e-22,1.0
30,R_A2,24,22,1688.388427734375,304.4006652832031,29,304.4006652832031,0,2018-03-01,STANDARD,-8.463698118447098e-23,1.0
1,R_A5,1,31,1685.252197265625,283.0181884765625,20,283.0181884765625,0,2018-04-28,STANDARD,0.0,0.9999746084213257
2,R_A5,2,31,1687.337646484375,283.21539306640625,20,283.21539306640625,0,2018-04-28,STANDARD,-4.470031456094148e-09,0.9999999403953552
3,R_A5,3,31,1689.4232177734375,283.4122619628906,20,283.4122619628906,0,2018-04-28,STANDARD,-3.5570146827978988e-09,0.9999999403953552
4,R_A5,4,31,1691.5086669921875,283.6089782714844,20,283.6089782714844,0,2018-04-28,STANDARD,-4.371331296937342e-09,0.9999999403953552
5,R_A5,5,31,1693.5941162109375,283.80596923828125,20,283.80596923828125,0,2018-04-28,STANDARD,-3.5358274086405572e-09,0.9999999403953552
6,R_A5,6,31,1695.6795654296875,284.0031433105469,20,284.0031433105469,0,2018-04-28,STANDARD,-3.4265050796733476e-09,0.9999999403953552
7,R_A5,7,31,1697.76513671875,284.5172424316406,20,284.5172424316406,0,2018-04-28,STANDARD,-6.510804916037838e-12,1.0
8,R_A5,8,31,1699.8505859375,284.8633728027344,20,284.8633728027344,0,2018-04-28,STANDARD,-1.0753695676990471e-11,1.0
9,R_A5,9,31,1696.7935791015625,284.3231506347656,21,284.3231506347656,0,2018-04-28,STANDARD,3.005387822288541e-12,1.0
11,R_A5,10,31,1701.206787109375,280.7035217285156,21,280.7035217285156,0,2018-04-28,STANDARD,-1.5973143641101473e-10,1.0
12,R_A5,11,31,1703.275390625,280.93365478515625,21,280.93365478515625,0,2018-04-28,STANDARD,-1.0773444636402729e-10,1.0
13,R_A5,12,31,1705.343994140625,281.1422424316406,21,281.1422424316406,0,2018-04-28,STANDARD,-6.572740615662376e-12,1.0
14,R_A5,13,31,1707.4127197265625,281.3399353027344,21,281.3399353027344,0,2018-04-28,STANDARD,-6.878832139317614e-12,1.0
15,R_A5,14,31,1709.4813232421875,281.5389099121094,21,281.5389099121094,0,2018-04-28,STANDARD,-1.640734098064256e-12,1.0
16,R_A5,15,31,1711.550048828125,281.88739013671875,21,281.88739013671875,0,2018-04-28,STANDARD,-2.8883267847758243e-13,1.0
17,R_A5,16,31,1713.5067138671875,282.07818603515625,21,282.07818603515625,0,2018-04-28,STANDARD,-3.7233432483019246e-13,1.0
18,R_A5,17,31,1714.7169189453125,282.1925048828125,21,282.1925048828125,0,2018-04-28,STANDARD,-2.0648147566206497e-14,1.0
26,R_A5,18,31,1716.27294921875,289.0213317871094,21,289.0213317871094,0,2018-04-28,STANDARD,-1.718326175792484e-11,1.0
27,R_A5,19,31,1718.4813232421875,289.40533447265625,21,289.40533447265625,0,2018-04-28,STANDARD,-2.3753221611855224e-11,1.0
28,R_A5,20,31,1720.6895751953125,298.7615051269531,21,298.7615051269531,0,2018-04-28,STANDARD,-1.0257102280438338e-19,1.0
29,R_A5,21,31,1722.89794921875,301.560302734375,21,301.560302734375,0,2018-04-28,STANDARD,-1.5638064353403796e-20,1.0
30,R_A5,22,31,1725.106201171875,296.2904357910156,21,296.2904357910156,0,2018-04-28,STANDARD,-5.657289753745109e-21,1.0
1,R_A3,1,28,1608.5380859375,282.42523193359375,41,282.42523193359375,0,2018-07-03,STANDARD,0.0,0.2905919551849365
2,R_A3,2,28,1610.5086669921875,282.5355224609375,41,282.5355224609375,0,2018-07-03,STANDARD,0.0,0.19321425259113312
2,R_A3,3,29,1602.7447509765625,281.9670715332031,41,281.9670715332031,0,2018-07-03,STANDARD,0.0,0.18580539524555206
3,R_A3,4,29,1604.807373046875,282.1047058105469,41,282.1047058105469,0,2018-07-03,STANDARD,0.0,0.14335660636425018
4,R_A3,5,29,1606.8699951171875,282.23724365234375,41,282.23724365234375,0,2018-07-03,STANDARD,0.0,0.6564075946807861
5,R_A3,6,29,1608.9326171875,282.8217468261719,41,282.8217468261719,0,2018-07-03,STANDARD,0.0,0.8006371259689331
6,R_A3,7,29,1610.9952392578125,282.968505859375,41,282.968505859375,0,2018-07-03,STANDARD,0.0,0.6493164896965027
7,R_A3,8,29,1613.057861328125,283.1582336425781,41,283.1582336425781,0,2018-07-03,STANDARD,0.0,0.1955149620771408
8,R_A3,9,29,1615.1204833984375,283.2970275878906,41,283.2970275878906,0,2018-07-03,STANDARD,0.0,0.28436312079429626
9,R_A3,10,29,1617.18310546875,283.5054931640625,41,283.5054931640625,0,2018-07-03,STANDARD,0.0,0.8003952503204346
10,R_A3,11,29,1619.245849609375,285.3866271972656,41,285.3866271972656,0,2018-07-03,STANDARD,0.0,0.795153021812439
11,R_A3,12,29,1621.4188232421875,286.4139709472656,41,286.4139709472656,0,2018-07-03,STANDARD,0.0,0.047859981656074524
12,R_A3,13,29,1623.7020263671875,286.5665283203125,41,286.5665283203125,0,2018-07-03,STANDARD,0.0,0.05350957810878754
13,R_A3,14,29,1625.9852294921875,286.7202453613281,41,286.7202453613281,0,2018-07-03,STANDARD,0.0,0.3733151853084564
14,R_A3,15,29,1628.2685546875,286.9526672363281,41,286.9526672363281,0,2018-07-03,STANDARD,0.0,0.223379984498024
15,R_A3,16,29,1630.5517578125,287.1785888671875,41,287.1785888671875,0,2018-07-03,STANDARD,0.0,0.6034663915634155
16,R_A3,17,29,1632.41357421875,287.3530578613281,41,287.3530578613281,0,2018-07-03,STANDARD,0.0,0.8069367408752441
26,R_A3,18,29,1634.8834228515625,286.8103942871094,41,286.8103942871094,0,2018-07-03,STANDARD,0.0,0.12302155047655106
27,R_A3,19,29,1638.3828125,287.0393981933594,41,287.0393981933594,0,2018-07-03,STANDARD,0.0,0.045411616563797
28,R_A3,20,29,1641.88232421875,287.2732849121094,41,287.2732849121094,0,2018-07-03,STANDARD,0.0,0.049600981175899506
29,R_A3,21,29,1645.381591796875,287.53521728515625,41,287.53521728515625,0,2018-07-03,STANDARD,0.0,0.3142643868923187
30,R_A3,22,29,1648.881103515625,287.702880859375,41,287.702880859375,0,2018-07-03,STANDARD,0.0,0.10980206727981567
1,R_A4,1,30,1631.2352294921875,278.3856201171875,52,278.3856201171875,0,2018-09-12,STANDARD,0.0,0.048266950994729996
1,R_A4,2,31,1626.3450927734375,278.1580810546875,52,278.1580810546875,0,2018-09-12,STANDARD,0.0,0.047438595443964005
2,R_A4,3,31,1628.4007568359375,278.2950439453125,52,278.2950439453125,0,2018-09-12,STANDARD,0.0,0.04888085275888443
3,R_A4,4,31,1630.456298828125,278.43194580078125,52,278.43194580078125,0,2018-09-12,STANDARD,0.0,0.04941257834434509
4,R_A4,5,31,1632.511962890625,278.5688781738281,52,278.5688781738281,0,2018-09-12,STANDARD,0.0,0.052215028554201126
5,R_A4,6,31,1634.5675048828125,278.7057189941406,52,278.7057189941406,0,2018-09-12,STANDARD,0.0,0.054518673568964005
5,R_A4,7,32,1633.966552734375,278.7731628417969,52,278.7731628417969,0,2018-09-12,STANDARD,0.0,0.05374601483345032
5,R_A4,8,32,1634.491455078125,278.684814453125,51,278.684814453125,0,2018-09-12,STANDARD,0.0,0.05657171085476875
5,R_A4,9,33,1637.185546875,278.99554443359375,51,278.99554443359375,0,2018-09-12,STANDARD,0.0,0.057234812527894974
5,R_A4,10,33,1639.9599609375,279.0939636230469,50,279.0939636230469,0,2018-09-12,STANDARD,0.0,0.15487921237945557
5,R_A4,11,34,1641.2633056640625,279.27001953125,50,279.27001953125,0,2018-09-12,STANDARD,0.0,0.0595819316804409
4,R_A4,12,34,1639.4310302734375,279.14794921875,50,279.14794921875,0,2018-09-12,STANDARD,0.0,0.061724692583084106
3,R_A4,13,34,1637.5987548828125,279.0259704589844,50,279.0259704589844,0,2018-09-12,STANDARD,0.0,0.10386972874403
3,R_A4,14,35,1640.4754638671875,279.2803955078125,50,279.2803955078125,0,2018-09-12,STANDARD,0.0,0.12498146295547485
2,R_A4,15,35,1638.7115478515625,279.1628723144531,50,279.1628723144531,0,2018-09-12,STANDARD,0.0,0.1773437112569809
2,R_A4,16,35,1643.4476318359375,279.4069519042969,49,279.4069519042969,0,2018-09-12,STANDARD,0.0,0.22713133692741394
1,R_A4,17,35,1641.7020263671875,279.2899475097656,49,279.2899475097656,0,2018-09-12,STANDARD,0.0,0.22836852073669434
29,R_A4,18,36,1646.6240234375,278.7466735839844,49,278.7466735839844,0,2018-09-12,STANDARD,0.0,0.21120648086071014
28,R_A4,19,36,1640.6907958984375,278.1657409667969,49,278.1657409667969,0,2018-09-12,STANDARD,0.0,0.05653691291809082
28,R_A4,20,36,1640.5206298828125,277.8898010253906,48,277.8898010253906,0,2018-09-12,STANDARD,0.0,0.10199353843927383
28,R_A4,21,37,1647.890869140625,278.6879577636719,48,278.6879577636719,0,2018-09-12,STANDARD,0.0,0.09397709369659424
28,R_A4,22,38,1652.16552734375,279.2535095214844,48,279.2535095214844,0,2018-09-12,STANDARD,0.0,0.05872202292084694
28,R_A4,23,38,1660.2086181640625,279.54498291015625,47,279.54498291015625,0,2018-09-12,STANDARD,0.0,0.06688442826271057
1,R_A6,1,17,1694.08154296875,277.2917785644531,42,277.2917785644531,0,2018-11-07,STANDARD,9.531713526106378e-13,1.0
2,R_A6,2,17,1695.6142578125,277.4633483886719,42,277.4633483886719,0,2018-11-07,STANDARD,3.2207087474409035e-13,1.0
3,R_A6,3,17,1697.14697265625,277.6497802734375,42,277.6497802734375,0,2018-11-07,STANDARD,2.3004916114427454e-13,1.0
4,R_A6,4,17,1698.6795654296875,277.8482971191406,42,277.8482971191406,0,2018-11-07,STANDARD,1.8391286215301006e-13,1.0
5,R_A6,5,17,1700.2122802734375,278.0401611328125,42,278.0401611328125,0,2018-11-07,STANDARD,3.0463712065095794e-13,1.0
6,R_A6,6,17,1701.7449951171875,278.2083435058594,42,278.2083435058594,0,2018-11-07,STANDARD,3.3988699441739323e-12,1.0
7,R_A6,7,17,1703.2777099609375,278.065673828125,42,278.065673828125,0,2018-11-07,STANDARD,2.2882046951666624e-11,1.0
8,R_A6,8,17,1704.810302734375,278.2248840332031,42,278.2248840332031,0,2018-11-07,STANDARD,1.7363104010126307e-11,1.0
9,R_A6,9,17,1706.343017578125,278.7229919433594,42,278.7229919433594,0,2018-11-07,STANDARD,9.185780391537945e-13,1.0
