SWAT,DATE,CONKPOS,DEPTH,CONJPOS,WELL,PRESSURE,CONIDX,CONIPOS,WELLMODEL,DRAWDOWN,CONBPRES,SGAS
0.058938320726156235,2018-01-01,4,1639.8951416015625,50,R_A4,300.73052978515625,14,34,STANDARD,0,300.73052978515625,0.0
0.0606541782617569,2018-01-01,4,1642.2777099609375,50,R_A4,300.8902893066406,15,35,STANDARD,0,300.8902893066406,0.0
0.2241615504026413,2018-01-01,3,1640.4873046875,50,R_A4,300.7702331542969,16,35,STANDARD,0,300.7702331542969,0.0
0.23024849593639374,2018-01-01,3,1643.53271484375,49,R_A4,300.9744567871094,17,35,STANDARD,0,300.9744567871094,0.0
0.222989022731781,2018-01-01,2,1641.69189453125,49,R_A4,300.85101318359375,18,35,STANDARD,0,300.85101318359375,0.0
0.6481541991233826,2018-01-01,1,1639.8511962890625,49,R_A4,300.7275695800781,19,35,STANDARD,0,300.7275695800781,0.0
0.05814523994922638,2018-01-01,28,1646.75146484375,49,R_A4,301.1903076171875,20,36,STANDARD,0,301.1903076171875,0.0
0.0905182734131813,2018-01-01,27,1640.820068359375,49,R_A4,300.79254150390625,21,36,STANDARD,0,300.79254150390625,0.0
0.34317123889923096,2018-01-01,27,1640.285400390625,48,R_A4,300.7567138671875,22,36,STANDARD,0,300.7567138671875,0.0
0.6481541991233826,2018-01-01,27,1648.6712646484375,48,R_A4,301.31903076171875,23,37,STANDARD,0,301.31903076171875,0.0
1.0,2018-01-01,27,1652.8680419921875,48,R_A4,301.6004943847656,24,38,STANDARD,0,301.6004943847656,0.0
1.0,2018-01-01,27,1660.105224609375,47,R_A4,302.0859069824219,25,38,STANDARD,0,302.0859069824219,0.0
1.0,2018-01-01,1,1683.9088134765625,20,R_A5,303.7381591796875,1,31,STANDARD,0,303.7381591796875,0.0
1.0,2018-01-01,2,1685.9334716796875,20,R_A5,303.9300231933594,2,31,STANDARD,0,303.9300231933594,0.0
1.0,2018-01-01,3,1687.9580078125,20,R_A5,304.12188720703125,3,31,STANDARD,0,304.12188720703125,0.0
1.0,2018-01-01,4,1689.9825439453125,20,R_A5,304.313720703125,4,31,STANDARD,0,304.313720703125,0.0
1.0,2018-01-01,5,1692.0072021484375,20,R_A5,304.5055847167969,5,31,STANDARD,0,304.5055847167969,0.0
1.0,2018-01-01,6,1694.03173828125,20,R_A5,304.69744873046875,6,31,STANDARD,0,304.69744873046875,0.0
1.0,2018-01-01,7,1696.056396484375,20,R_A5,305.1950988769531,7,31,STANDARD,0,305.1950988769531,0.0
1.0,2018-01-01,8,1696.0196533203125,21,R_A5,305.1916198730469,8,31,STANDARD,0,305.1916198730469,0.0
1.0,2018-01-01,11,1702.735107421875,21,R_A5,305.5223693847656,9,31,STANDARD,0,305.5223693847656,0.0
1.0,2018-01-01,12,1704.804443359375,21,R_A5,305.7184753417969,10,31,STANDARD,0,305.7184753417969,0.0
1.0,2018-01-01,13,1706.8736572265625,21,R_A5,305.9265441894531,11,31,STANDARD,0,305.9265441894531,0.0
1.0,2018-01-01,14,1708.94287109375,21,R_A5,306.1226501464844,12,31,STANDARD,0,306.1226501464844,0.0
1.0,2018-01-01,15,1711.01220703125,21,R_A5,306.4637756347656,13,31,STANDARD,0,306.4637756347656,0.0
1.0,2018-01-01,16,1713.0814208984375,21,R_A5,306.6598815917969,14,31,STANDARD,0,306.6598815917969,0.0
1.0,2018-01-01,17,1714.92236328125,21,R_A5,306.8343505859375,15,31,STANDARD,0,306.8343505859375,0.0
1.0,2018-01-01,18,1715.9967041015625,21,R_A5,306.9361877441406,16,31,STANDARD,0,306.9361877441406,0.0
1.0,2018-01-01,25,1717.373779296875,21,R_A5,306.90960693359375,17,31,STANDARD,0,306.90960693359375,0.0
1.0,2018-01-01,26,1719.4869384765625,21,R_A5,307.4156494140625,18,31,STANDARD,0,307.4156494140625,0.0
1.0,2018-01-01,27,1721.60009765625,21,R_A5,307.6159362792969,19,31,STANDARD,0,307.6159362792969,0.0
1.0,2018-01-01,28,1723.713134765625,21,R_A5,307.8161926269531,20,31,STANDARD,0,307.8161926269531,0.0
1.0,2018-01-01,29,1725.8262939453125,21,R_A5,308.0164794921875,21,31,STANDARD,0,308.0164794921875,0.0
1.0,2018-01-01,1,1694.6009521484375,42,R_A6,305.05718994140625,1,17,STANDARD,0,305.05718994140625,0.0
1.0,2018-01-01,2,1696.137939453125,42,R_A6,305.2028503417969,2,17,STANDARD,0,305.2028503417969,0.0
1.0,2018-01-01,3,1697.6749267578125,42,R_A6,305.3484802246094,3,17,STANDARD,0,305.3484802246094,0.0
1.0,2018-01-01,4,1699.2119140625,42,R_A6,305.494140625,4,17,STANDARD,0,305.494140625,0.0
1.0,2018-01-01,5,1700.7489013671875,42,R_A6,305.6398010253906,5,17,STANDARD,0,305.6398010253906,0.0
1.0,2018-01-01,6,1702.2857666015625,42,R_A6,305.78546142578125,6,17,STANDARD,0,305.78546142578125,0.0
1.0,2018-01-01,7,1703.8226318359375,42,R_A6,305.6320495605469,7,17,STANDARD,0,305.6320495605469,0.0
1.0,2018-01-01,8,1705.359619140625,42,R_A6,305.7777099609375,8,17,STANDARD,0,305.7777099609375,0.0
1.0,2018-01-01,9,1706.8966064453125,42,R_A6,306.222412109375,9,17,STANDARD,0,306.222412109375,0.0
1.0,2018-01-01,10,1708.43359375,42,R_A6,306.0622863769531,10,17,STANDARD,0,306.0622863769531,0.0
1.0,2018-01-01,11,1710.3663330078125,42,R_A6,306.2455749511719,11,17,STANDARD,0,306.2455749511719,0.0
1.0,2018-01-01,12,1712.6949462890625,42,R_A6,306.4662780761719,12,17,STANDARD,0,306.4662780761719,0.0
1.0,2018-01-01,13,1715.0235595703125,42,R_A6,306.6989440917969,13,17,STANDARD,0,306.6989440917969,0.0
1.0,2018-01-01,14,1717.3521728515625,42,R_A6,306.91961669921875,14,17,STANDARD,0,306.91961669921875,0.0
1.0,2018-01-01,15,1719.6807861328125,42,R_A6,307.14031982421875,15,17,STANDARD,0,307.14031982421875,0.0
1.0,2018-01-01,16,1722.00927734375,42,R_A6,307.50604248046875,16,17,STANDARD,0,307.50604248046875,0.0
1.0,2018-01-01,17,1724.337890625,42,R_A6,307.7267150878906,17,17,STANDARD,0,307.7267150878906,0.0
1.0,2018-01-01,18,1725.776123046875,42,R_A6,307.863037109375,18,17,STANDARD,0,307.863037109375,0.0
1.0,2018-01-01,25,1726.90625,42,R_A6,307.81304931640625,19,17,STANDARD,0,307.81304931640625,0.0
1.0,2018-01-01,26,1728.6185302734375,42,R_A6,308.2811279296875,20,17,STANDARD,0,308.2811279296875,0.0
1.0,2018-01-01,27,1730.330810546875,42,R_A6,308.44342041015625,21,17,STANDARD,0,308.44342041015625,0.0
1.0,2018-01-01,28,1732.043212890625,42,R_A6,308.605712890625,22,17,STANDARD,0,308.605712890625,0.0
1.0,2018-01-01,29,1733.755615234375,42,R_A6,308.46221923828125,23,17,STANDARD,0,308.46221923828125,0.0
0.08349771052598953,2018-03-01,1,1637.9158935546875,30,R_A2,298.61358642578125,1,22,STANDARD,0,298.61358642578125,0.0
