SGAS,SWAT,CONIPOS,CONJPOS,DRAWDOWN,PRESSURE,DATE,CONKPOS,CONBPRES,DEPTH,WELLMODEL,WELL,CONIDX
0.0,1.0,31,20,0,304.4066467285156,2018-01-01,4,304.4066467285156,1690.9630126953125,STANDARD,R_A5,4
0.0,1.0,31,20,0,304.6047668457031,2018-01-01,5,304.6047668457031,1693.0538330078125,STANDARD,R_A5,5
0.0,1.0,31,20,0,304.80291748046875,2018-01-01,6,304.80291748046875,1695.14453125,STANDARD,R_A5,6
0.0,1.0,31,20,0,305.30682373046875,2018-01-01,7,305.30682373046875,1697.2352294921875,STANDARD,R_A5,7
0.0,1.0,31,20,0,305.5049743652344,2018-01-01,8,305.5049743652344,1699.3260498046875,STANDARD,R_A5,8
0.0,1.0,31,21,0,305.486572265625,2018-01-01,9,305.486572265625,1699.132080078125,STANDARD,R_A5,9
0.0,1.0,31,21,0,305.5768127441406,2018-01-01,11,305.5768127441406,1703.3094482421875,STANDARD,R_A5,10
0.0,1.0,31,21,0,305.76519775390625,2018-01-01,12,305.76519775390625,1705.29736328125,STANDARD,R_A5,11
0.0,1.0,31,21,0,305.9655456542969,2018-01-01,13,305.9655456542969,1707.2852783203125,STANDARD,R_A5,12
0.0,1.0,31,21,0,306.1539611816406,2018-01-01,14,306.1539611816406,1709.273193359375,STANDARD,R_A5,13
0.0,1.0,31,21,0,306.48736572265625,2018-01-01,15,306.48736572265625,1711.2611083984375,STANDARD,R_A5,14
0.0,1.0,31,21,0,306.67578125,2018-01-01,16,306.67578125,1713.2490234375,STANDARD,R_A5,15
0.0,1.0,31,21,0,306.8402404785156,2018-01-01,17,306.8402404785156,1714.984375,STANDARD,R_A5,16
0.0,1.0,31,21,0,306.9305114746094,2018-01-01,18,306.9305114746094,1715.93701171875,STANDARD,R_A5,17
0.0,1.0,31,21,0,306.89251708984375,2018-01-01,30,306.89251708984375,1717.1937255859375,STANDARD,R_A5,18
0.0,1.0,31,21,0,307.0906982421875,2018-01-01,31,307.0906982421875,1719.28466796875,STANDARD,R_A5,19
0.0,1.0,31,21,0,307.5946350097656,2018-01-01,32,307.5946350097656,1721.3756103515625,STANDARD,R_A5,20
0.0,1.0,31,21,0,307.7928161621094,2018-01-01,33,307.7928161621094,1723.466552734375,STANDARD,R_A5,21
0.0,1.0,31,21,0,307.9909973144531,2018-01-01,34,307.9909973144531,1725.557373046875,STANDARD,R_A5,22
0.0,1.0,17,42,0,305.0097351074219,2018-01-01,1,305.0097351074219,1694.100341796875,STANDARD,R_A6,1
0.0,1.0,17,42,0,305.1547546386719,2018-01-01,2,305.1547546386719,1695.6304931640625,STANDARD,R_A6,2
0.0,1.0,17,42,0,305.29974365234375,2018-01-01,3,305.29974365234375,1697.16064453125,STANDARD,R_A6,3
0.0,1.0,17,42,0,305.44476318359375,2018-01-01,4,305.44476318359375,1698.6907958984375,STANDARD,R_A6,4
0.0,1.0,17,42,0,305.58978271484375,2018-01-01,5,305.58978271484375,1700.220947265625,STANDARD,R_A6,5
0.0,1.0,17,42,0,305.7347717285156,2018-01-01,6,305.7347717285156,1701.7509765625,STANDARD,R_A6,6
0.0,1.0,17,42,0,305.58074951171875,2018-01-01,7,305.58074951171875,1703.2811279296875,STANDARD,R_A6,7
0.0,1.0,17,42,0,305.72576904296875,2018-01-01,8,305.72576904296875,1704.811279296875,STANDARD,R_A6,8
0.0,1.0,17,42,0,306.1698303222656,2018-01-01,9,306.1698303222656,1706.341552734375,STANDARD,R_A6,9
0.0,1.0,17,42,0,306.3148498535156,2018-01-01,10,306.3148498535156,1707.8717041015625,STANDARD,R_A6,10
0.0,1.0,17,42,0,306.19146728515625,2018-01-01,11,306.19146728515625,1709.795166015625,STANDARD,R_A6,11
0.0,1.0,17,42,0,306.4110412597656,2018-01-01,12,306.4110412597656,1712.112060546875,STANDARD,R_A6,12
0.0,1.0,17,42,0,306.6426086425781,2018-01-01,13,306.6426086425781,1714.4290771484375,STANDARD,R_A6,13
0.0,1.0,17,42,0,306.8621826171875,2018-01-01,14,306.8621826171875,1716.7459716796875,STANDARD,R_A6,14
0.0,1.0,17,42,0,307.0817565917969,2018-01-01,15,307.0817565917969,1719.06298828125,STANDARD,R_A6,15
0.0,1.0,17,42,0,307.4463806152344,2018-01-01,16,307.4463806152344,1721.3798828125,STANDARD,R_A6,16
0.0,1.0,17,42,0,307.66595458984375,2018-01-01,17,307.66595458984375,1723.69677734375,STANDARD,R_A6,17
0.0,1.0,17,42,0,307.802978515625,2018-01-01,18,307.802978515625,1725.142578125,STANDARD,R_A6,18
0.0,1.0,17,42,0,307.7539367675781,2018-01-01,30,307.7539367675781,1726.2825927734375,STANDARD,R_A6,19
0.0,1.0,17,42,0,308.2213439941406,2018-01-01,31,308.2213439941406,1727.9879150390625,STANDARD,R_A6,20
0.0,1.0,17,42,0,308.38299560546875,2018-01-01,32,308.38299560546875,1729.6932373046875,STANDARD,R_A6,21
0.0,1.0,17,42,0,308.54461669921875,2018-01-01,33,308.54461669921875,1731.3985595703125,STANDARD,R_A6,22
0.0,1.0,17,42,0,308.40045166015625,2018-01-01,34,308.40045166015625,1733.10400390625,STANDARD,R_A6,23
0.0,0.05073938146233559,22,30,0,297.9447021484375,2018-03-01,1,297.9447021484375,1637.2823486328125,STANDARD,R_A2,1
0.0,0.05328218638896942,22,30,0,298.06298828125,2018-03-01,2,298.06298828125,1639.0482177734375,STANDARD,R_A2,2
0.0,0.05525578185915947,22,30,0,298.1813049316406,2018-03-01,3,298.1813049316406,1640.814208984375,STANDARD,R_A2,3
0.0,0.12754130363464355,22,30,0,298.2996826171875,2018-03-01,4,298.2996826171875,1642.580078125,STANDARD,R_A2,4
0.0,0.13625435531139374,22,30,0,298.4182434082031,2018-03-01,5,298.4182434082031,1644.345947265625,STANDARD,R_A2,5
0.0,0.25069448351860046,22,30,0,298.6456298828125,2018-03-01,6,298.6456298828125,1646.1119384765625,STANDARD,R_A2,6
0.0,0.8694506287574768,22,30,0,298.84954833984375,2018-03-01,7,298.84954833984375,1647.8778076171875,STANDARD,R_A2,7
0.0,0.8430187702178955,22,30,0,299.1119079589844,2018-03-01,8,299.1119079589844,1649.6436767578125,STANDARD,R_A2,8
0.0,0.6484472751617432,22,30,0,299.26519775390625,2018-03-01,9,299.26519775390625,1651.40966796875,STANDARD,R_A2,9
0.0,0.8638719916343689,22,30,0,299.56427001953125,2018-03-01,10,299.56427001953125,1653.175537109375,STANDARD,R_A2,10
0.0,0.06466643512248993,22,30,0,299.66314697265625,2018-03-01,11,299.66314697265625,1655.0977783203125,STANDARD,R_A2,11
0.0,0.41255658864974976,22,30,0,300.636962890625,2018-03-01,13,300.636962890625,1659.2548828125,STANDARD,R_A2,12
0.0,0.4530789256095886,22,30,0,300.7763366699219,2018-03-01,14,300.7763366699219,1661.33349609375,STANDARD,R_A2,13
0.0,0.8716859817504883,22,30,0,300.9153137207031,2018-03-01,15,300.9153137207031,1663.412109375,STANDARD,R_A2,14
0.0,0.8916590213775635,22,30,0,301.0536804199219,2018-03-01,16,301.0536804199219,1665.4906005859375,STANDARD,R_A2,15
0.0,0.8494570851325989,22,30,0,301.1928405761719,2018-03-01,17,301.1928405761719,1667.569091796875,STANDARD,R_A2,16
0.0,0.9128037095069885,22,30,0,301.30108642578125,2018-03-01,18,301.30108642578125,1669.1856689453125,STANDARD,R_A2,17
-2.4806625115807147e-16,1.0,22,30,0,302.5978698730469,2018-03-01,30,302.5978698730469,1670.6160888671875,STANDARD,R_A2,18
-1.0902911316925685e-17,1.0,22,30,0,302.67449951171875,2018-03-01,31,302.67449951171875,1672.322509765625,STANDARD,R_A2,19
0.0,0.8460777401924133,22,29,0,301.3282165527344,2018-03-01,31,301.3282165527344,1679.04296875,STANDARD,R_A2,20
-1.520047434276639e-12,1.0,22,29,0,302.20965576171875,2018-03-01,32,302.20965576171875,1680.76806640625,STANDARD,R_A2,21
3.771095236805572e-17,1.0,22,29,0,303.33648681640625,2018-03-01,33,303.33648681640625,1682.4931640625,STANDARD,R_A2,22
-1.8398055363802283e-15,1.0,22,29,0,303.7643127441406,2018-03-01,34,303.7643127441406,1684.21826171875,STANDARD,R_A2,23
-6.41719402971557e-15,1.0,31,20,0,275.8089294433594,2018-04-28,1,275.8089294433594,1684.6907958984375,STANDARD,R_A5,1
-4.741200921448696e-12,1.0,31,20,0,276.00726318359375,2018-04-28,2,276.00726318359375,1686.781494140625,STANDARD,R_A5,2
-8.016015802525533e-12,1.0,31,20,0,276.2054443359375,2018-04-28,3,276.2054443359375,1688.872314453125,STANDARD,R_A5,3
-7.16068393816216e-12,1.0,31,20,0,276.40350341796875,2018-04-28,4,276.40350341796875,1690.9630126953125,STANDARD,R_A5,4
-5.247350731013567e-12,1.0,31,20,0,276.60137939453125,2018-04-28,5,276.60137939453125,1693.0538330078125,STANDARD,R_A5,5
-2.7114940067546334e-12,1.0,31,20,0,276.7992248535156,2018-04-28,6,276.7992248535156,1695.14453125,STANDARD,R_A5,6
-5.101150079601935e-13,1.0,31,20,0,277.2888488769531,2018-04-28,7,277.2888488769531,1697.2352294921875,STANDARD,R_A5,7
-8.651171142307068e-13,1.0,31,20,0,277.4222412109375,2018-04-28,8,277.4222412109375,1699.3260498046875,STANDARD,R_A5,8
0.0,1.0,31,21,0,277.4019470214844,2018-04-28,9,277.4019470214844,1699.132080078125,STANDARD,R_A5,9
-1.3594443626363528e-10,1.0,31,21,0,277.3475341796875,2018-04-28,11,277.3475341796875,1703.3094482421875,STANDARD,R_A5,10
-9.82821740658224e-11,1.0,31,21,0,277.5370788574219,2018-04-28,12,277.5370788574219,1705.29736328125,STANDARD,R_A5,11
