CONIDX,DATE,CONJPOS,DEPTH,CONKPOS,SGAS,SWAT,WELLMODEL,WELL,PRESSURE,DRAWDOWN,CONIPOS,CONBPRES
15,2018-01-01,41,1628.01806640625,14,0.0,0.140817329287529,STANDARD,R_A3,299.8930358886719,0,29,299.8930358886719
16,2018-01-01,41,1630.226806640625,15,0.0,0.601466715335846,STANDARD,R_A3,300.0411071777344,0,29,300.0411071777344
17,2018-01-01,41,1631.973876953125,16,0.0,0.8119962215423584,STANDARD,R_A3,300.1582336425781,0,29,300.1582336425781
18,2018-01-01,41,1632.765869140625,17,0.0,0.7496081590652466,STANDARD,R_A3,300.2113342285156,0,29,300.2113342285156
19,2018-01-01,41,1634.6923828125,28,0.0,1.0,STANDARD,R_A3,300.3404846191406,0,29,300.3404846191406
20,2018-01-01,41,1638.246826171875,29,0.0,0.04465218633413315,STANDARD,R_A3,300.5788269042969,0,29,300.5788269042969
21,2018-01-01,41,1641.8013916015625,30,0.0,0.05017661675810814,STANDARD,R_A3,300.8171691894531,0,29,300.8171691894531
22,2018-01-01,41,1645.3558349609375,31,0.0,0.6481541991233826,STANDARD,R_A3,301.0555114746094,0,29,301.0555114746094
23,2018-01-01,41,1648.9102783203125,32,0.0,0.1587449163198471,STANDARD,R_A3,301.29388427734375,0,29,301.29388427734375
1,2018-01-01,52,1630.88525390625,1,0.0,0.048326216638088226,STANDARD,R_A4,300.08526611328125,0,30,300.08526611328125
2,2018-01-01,52,1625.818359375,1,0.0,0.0475197397172451,STANDARD,R_A4,299.7455749511719,0,31,299.7455749511719
3,2018-01-01,52,1627.8944091796875,2,0.0,0.04878396540880203,STANDARD,R_A4,299.8847351074219,0,31,299.8847351074219
4,2018-01-01,52,1629.9705810546875,3,0.0,0.0496194027364254,STANDARD,R_A4,300.02392578125,0,31,300.02392578125
5,2018-01-01,52,1632.0467529296875,4,0.0,0.052748482674360275,STANDARD,R_A4,300.1631164550781,0,31,300.1631164550781
6,2018-01-01,52,1634.123046875,5,0.0,0.053466055542230606,STANDARD,R_A4,300.30230712890625,0,31,300.30230712890625
7,2018-01-01,52,1633.5865478515625,5,0.0,0.05506918951869011,STANDARD,R_A4,300.266357421875,0,32,300.266357421875
8,2018-01-01,51,1634.53857421875,5,0.0,0.055150311440229416,STANDARD,R_A4,300.3302001953125,0,32,300.3302001953125
9,2018-01-01,51,1637.80419921875,5,0.0,0.0590519942343235,STANDARD,R_A4,300.54913330078125,0,33,300.54913330078125
10,2018-01-01,51,1635.96142578125,4,0.0,0.13615548610687256,STANDARD,R_A4,300.42559814453125,0,33,300.42559814453125
11,2018-01-01,50,1640.612548828125,4,0.0,0.05946020036935806,STANDARD,R_A4,300.7374572753906,0,33,300.7374572753906
12,2018-01-01,50,1640.340087890625,4,0.0,0.06092996895313263,STANDARD,R_A4,300.71917724609375,0,34,300.71917724609375
13,2018-01-01,50,1642.4476318359375,4,0.0,0.06085112690925598,STANDARD,R_A4,300.8605041503906,0,35,300.8605041503906
14,2018-01-01,50,1640.7073974609375,3,0.0,0.23195530474185944,STANDARD,R_A4,300.7438049316406,0,35,300.7438049316406
15,2018-01-01,50,1638.967041015625,2,0.0,0.22690676152706146,STANDARD,R_A4,300.6271057128906,0,35,300.6271057128906
16,2018-01-01,49,1641.0701904296875,31,0.0,1.0,STANDARD,R_A4,300.76812744140625,0,35,300.76812744140625
17,2018-01-01,49,1645.7662353515625,31,0.0,0.36401304602622986,STANDARD,R_A4,301.0830383300781,0,36,301.0830383300781
18,2018-01-01,48,1646.239501953125,31,0.0,0.23626463115215302,STANDARD,R_A4,301.1147766113281,0,36,301.1147766113281
19,2018-01-01,48,1651.534423828125,31,0.0,0.09568032622337341,STANDARD,R_A4,301.4698486328125,0,37,301.4698486328125
20,2018-01-01,48,1646.07177734375,30,0.0,0.29348376393318176,STANDARD,R_A4,301.103515625,0,37,301.103515625
21,2018-01-01,48,1649.2099609375,30,0.0,0.7082911133766174,STANDARD,R_A4,301.31396484375,0,38,301.31396484375
22,2018-01-01,47,1660.168701171875,30,0.0,0.15825091302394867,STANDARD,R_A4,302.0489807128906,0,38,302.0489807128906
1,2018-01-01,20,1685.801025390625,1,0.0,1.0,STANDARD,R_A5,303.91748046875,0,31,303.91748046875
2,2018-01-01,20,1688.110595703125,2,0.0,1.0,STANDARD,R_A5,304.1363525390625,0,31,304.1363525390625
3,2018-01-01,20,1690.420166015625,3,0.0,1.0,STANDARD,R_A5,304.3551940917969,0,31,304.3551940917969
4,2018-01-01,20,1692.7298583984375,4,0.0,1.0,STANDARD,R_A5,304.5740661621094,0,31,304.5740661621094
5,2018-01-01,20,1695.0394287109375,5,0.0,1.0,STANDARD,R_A5,304.7929382324219,0,31,304.7929382324219
6,2018-01-01,20,1697.34912109375,6,0.0,1.0,STANDARD,R_A5,305.0118408203125,0,31,305.0118408203125
7,2018-01-01,20,1699.65869140625,7,0.0,1.0,STANDARD,R_A5,305.5364990234375,0,31,305.5364990234375
8,2018-01-01,21,1699.730224609375,11,0.0,1.0,STANDARD,R_A5,305.23760986328125,0,31,305.23760986328125
9,2018-01-01,21,1701.77001953125,12,0.0,1.0,STANDARD,R_A5,305.430908203125,0,31,305.430908203125
10,2018-01-01,21,1703.8099365234375,13,0.0,1.0,STANDARD,R_A5,305.6361999511719,0,31,305.6361999511719
11,2018-01-01,21,1705.8497314453125,14,0.0,1.0,STANDARD,R_A5,305.82952880859375,0,31,305.82952880859375
12,2018-01-01,21,1707.8896484375,15,0.0,1.0,STANDARD,R_A5,306.0228271484375,0,31,306.0228271484375
13,2018-01-01,21,1709.929443359375,16,0.0,1.0,STANDARD,R_A5,306.3611755371094,0,31,306.3611755371094
14,2018-01-01,21,1711.96923828125,17,0.0,1.0,STANDARD,R_A5,306.5544738769531,0,31,306.5544738769531
15,2018-01-01,21,1713.517822265625,18,0.0,1.0,STANDARD,R_A5,306.70123291015625,0,31,306.70123291015625
16,2018-01-01,21,1714.2508544921875,19,0.0,1.0,STANDARD,R_A5,306.7707214355469,0,31,306.7707214355469
17,2018-01-01,21,1715.619140625,28,0.0,1.0,STANDARD,R_A5,306.7432861328125,0,31,306.7432861328125
18,2018-01-01,21,1717.946533203125,29,0.0,1.0,STANDARD,R_A5,306.9638671875,0,31,306.9638671875
19,2018-01-01,21,1720.27392578125,30,0.0,1.0,STANDARD,R_A5,307.490234375,0,31,307.490234375
20,2018-01-01,21,1722.6011962890625,31,0.0,1.0,STANDARD,R_A5,307.7108154296875,0,31,307.7108154296875
21,2018-01-01,21,1724.9285888671875,32,0.0,1.0,STANDARD,R_A5,307.931396484375,0,31,307.931396484375
1,2018-01-01,42,1693.79931640625,1,0.0,1.0,STANDARD,R_A6,304.9812316894531,0,17,304.9812316894531
2,2018-01-01,42,1695.3228759765625,2,0.0,1.0,STANDARD,R_A6,305.1256103515625,0,17,305.1256103515625
3,2018-01-01,42,1696.8463134765625,3,0.0,1.0,STANDARD,R_A6,305.26995849609375,0,17,305.26995849609375
4,2018-01-01,42,1698.3697509765625,4,0.0,1.0,STANDARD,R_A6,305.4143371582031,0,17,305.4143371582031
5,2018-01-01,42,1699.893310546875,5,0.0,1.0,STANDARD,R_A6,305.5587158203125,0,17,305.5587158203125
6,2018-01-01,42,1701.416748046875,6,0.0,1.0,STANDARD,R_A6,305.404052734375,0,17,305.404052734375
7,2018-01-01,42,1702.940185546875,7,0.0,1.0,STANDARD,R_A6,305.5484313964844,0,17,305.5484313964844
8,2018-01-01,42,1704.463623046875,8,0.0,1.0,STANDARD,R_A6,305.69281005859375,0,17,305.69281005859375
9,2018-01-01,42,1705.987060546875,9,0.0,1.0,STANDARD,R_A6,306.13623046875,0,17,306.13623046875
10,2018-01-01,42,1707.5106201171875,10,0.0,1.0,STANDARD,R_A6,305.9748229980469,0,17,305.9748229980469
11,2018-01-01,42,1709.44091796875,11,0.0,1.0,STANDARD,R_A6,306.15789794921875,0,17,306.15789794921875
12,2018-01-01,42,1711.7781982421875,12,0.0,1.0,STANDARD,R_A6,306.37939453125,0,17,306.37939453125
13,2018-01-01,42,1714.115478515625,13,0.0,1.0,STANDARD,R_A6,306.6128845214844,0,17,306.6128845214844
14,2018-01-01,42,1716.4527587890625,14,0.0,1.0,STANDARD,R_A6,306.8343811035156,0,17,306.8343811035156
15,2018-01-01,42,1718.7900390625,15,0.0,1.0,STANDARD,R_A6,307.055908203125,0,17,307.055908203125
16,2018-01-01,42,1721.1273193359375,16,0.0,1.0,STANDARD,R_A6,307.42242431640625,0,17,307.42242431640625
17,2018-01-01,42,1723.453125,17,0.0,1.0,STANDARD,R_A6,307.64288330078125,0,17,307.64288330078125
18,2018-01-01,42,1724.7989501953125,18,0.0,1.0,STANDARD,R_A6,307.7704162597656,0,17,307.7704162597656
19,2018-01-01,42,1725.8359375,28,0.0,1.0,STANDARD,R_A6,307.71160888671875,0,17,307.71160888671875
20,2018-01-01,42,1727.5328369140625,29,0.0,1.0,STANDARD,R_A6,308.17822265625,0,17,308.17822265625
21,2018-01-01,42,1729.2298583984375,30,0.0,1.0,STANDARD,R_A6,308.33905029296875,0,17,308.33905029296875
22,2018-01-01,42,1730.9267578125,31,0.0,1.0,STANDARD,R_A6,308.4999084472656,0,17,308.4999084472656
23,2018-01-01,42,1732.623779296875,32,0.0,1.0,STANDARD,R_A6,308.3549499511719,0,17,308.3549499511719
1,2018-03-01,30,1639.990966796875,1,0.0,0.05307343974709511,STANDARD,R_A2,298.1502990722656,0,22,298.1502990722656
2,2018-03-01,30,1641.76318359375,2,0.0,0.05488628149032593,STANDARD,R_A2,298.2690734863281,0,22,298.2690734863281
3,2018-03-01,30,1643.535400390625,3,0.0,0.058632589876651764,STANDARD,R_A2,298.38787841796875,0,22,298.38787841796875
4,2018-03-01,30,1645.3076171875,4,0.0,0.06508418917655945,STANDARD,R_A2,298.5067138671875,0,22,298.5067138671875
5,2018-03-01,30,1647.079833984375,5,0.0,0.06767082959413528,STANDARD,R_A2,298.6255798339844,0,22,298.6255798339844
6,2018-03-01,30,1648.85205078125,6,0.0,0.11160710453987122,STANDARD,R_A2,298.74444580078125,0,22,298.74444580078125
7,2018-03-01,30,1650.624267578125,7,0.0,0.6544099450111389,STANDARD,R_A2,298.885498046875,0,22,298.885498046875
8,2018-03-01,30,1652.396484375,8,0.0,0.8463630676269531,STANDARD,R_A2,299.2271423339844,0,22,299.2271423339844
9,2018-03-01,30,1654.168701171875,9,0.0,0.6482956409454346,STANDARD,R_A2,299.4203796386719,0,22,299.4203796386719
10,2018-03-01,30,1655.94091796875,10,0.0,0.648598313331604,STANDARD,R_A2,299.6684265136719,0,22,299.6684265136719
11,2018-03-01,30,1657.83642578125,11,0.0,0.06849922984838486,STANDARD,R_A2,299.8290710449219,0,22,299.8290710449219
12,2018-03-01,30,1661.874267578125,13,0.0,0.43140384554862976,STANDARD,R_A2,300.2976989746094,0,22,300.2976989746094
13,2018-03-01,30,1663.8931884765625,14,0.0,0.46952909231185913,STANDARD,R_A2,300.4331359863281,0,22,300.4331359863281
14,2018-03-01,30,1665.912109375,15,0.0,0.9014315009117126,STANDARD,R_A2,300.56781005859375,0,22,300.56781005859375
15,2018-03-01,30,1667.9310302734375,16,0.0,0.9278416037559509,STANDARD,R_A2,300.702392578125,0,22,300.702392578125
16,2018-03-01,29,1670.82666015625,16,0.0,0.9443512558937073,STANDARD,R_A2,300.8065185546875,0,22,300.8065185546875
17,2018-03-01,29,1672.9644775390625,17,0.0,0.9327512383460999,STANDARD,R_A2,300.9493103027344,0,22,300.9493103027344
18,2018-03-01,29,1674.73046875,18,0.0,0.9720238447189331,STANDARD,R_A2,301.067626953125,0,22,301.067626953125
19,2018-03-01,29,1676.302490234375,28,-3.90772818592453e-18,1.0,STANDARD,R_A2,303.08746337890625,0,22,303.08746337890625
20,2018-03-01,29,1678.052490234375,29,-1.6644339291565667e-15,1.0,STANDARD,R_A2,303.20477294921875,0,22,303.20477294921875
21,2018-03-01,29,1679.8023681640625,30,0.0,0.8411257266998291,STANDARD,R_A2,303.2925109863281,0,22,303.2925109863281
22,2018-03-01,29,1681.55224609375,31,-1.340195265013425e-14,1.0,STANDARD,R_A2,303.7825927734375,0,22,303.7825927734375
23,2018-03-01,29,1683.3021240234375,32,-3.880074633442164e-14,1.0,STANDARD,R_A2,303.9620361328125,0,22,303.9620361328125
1,2018-04-28,20,1685.801025390625,1,-6.191084450657414e-11,1.0,STANDARD,R_A5,276.16290283203125,0,31,276.16290283203125
2,2018-04-28,20,1688.110595703125,2,-6.169190852611806e-11,1.0,STANDARD,R_A5,276.3813781738281,0,31,276.3813781738281
3,2018-04-28,20,1690.420166015625,3,-7.161263249066963e-11,1.0,STANDARD,R_A5,276.60015869140625,0,31,276.60015869140625
4,2018-04-28,20,1692.7298583984375,4,-7.30159058215385e-11,1.0,STANDARD,R_A5,276.8189392089844,0,31,276.8189392089844
5,2018-04-28,20,1695.0394287109375,5,-5.55222083586937e-11,1.0,STANDARD,R_A5,277.037841796875,0,31,277.037841796875
6,2018-04-28,20,1697.34912109375,6,-5.131288796644817e-11,1.0,STANDARD,R_A5,277.2568359375,0,31,277.2568359375
7,2018-04-28,20,1699.65869140625,7,-2.148847641708987e-13,1.0,STANDARD,R_A5,277.83111572265625,0,31,277.83111572265625
8,2018-04-28,21,1699.730224609375,11,-1.6815680792259258e-11,1.0,STANDARD,R_A5,272.95233154296875,0,31,272.95233154296875
9,2018-04-28,21,1701.77001953125,12,-1.193046182679236e-11,1.0,STANDARD,R_A5,273.216552734375,0,31,273.216552734375
10,2018-04-28,21,1703.8099365234375,13,-5.773290374412599e-13,1.0,STANDARD,R_A5,273.4217834472656,0,31,273.4217834472656
11,2018-04-28,21,1705.8497314453125,14,-9.54744855223566e-13,1.0,STANDARD,R_A5,273.6150207519531,0,31,273.6150207519531
12,2018-04-28,21,1707.8896484375,15,-1.5583988635138601e-13,1.0,STANDARD,R_A5,274.0733947753906,0,31,274.0733947753906
13,2018-04-28,21,1709.929443359375,16,-2.300064774599965e-14,1.0,STANDARD,R_A5,274.9460144042969,0,31,274.9460144042969
14,2018-04-28,21,1711.96923828125,17,-2.333313697691717e-14,1.0,STANDARD,R_A5,275.1495056152344,0,31,275.1495056152344
15,2018-04-28,21,1713.517822265625,18,-1.2927290633085991e-14,1.0,STANDARD,R_A5,275.30267333984375,0,31,275.30267333984375
16,2018-04-28,21,1714.2508544921875,19,0.0,1.0,STANDARD,R_A5,275.3733215332031,0,31,275.3733215332031
17,2018-04-28,21,1715.619140625,28,-1.835744962075045e-13,1.0,STANDARD,R_A5,285.36993408203125,0,31,285.36993408203125
18,2018-04-28,21,1717.946533203125,29,-1.5679158546586663e-13,1.0,STANDARD,R_A5,285.5722961425781,0,31,285.5722961425781
19,2018-04-28,21,1720.27392578125,30,-4.3544144537983847e-20,1.0,STANDARD,R_A5,297.15777587890625,0,31,297.15777587890625
20,2018-04-28,21,1722.6011962890625,31,-1.0469385259953002e-19,1.0,STANDARD,R_A5,304.5104675292969,0,31,304.5104675292969
21,2018-04-28,21,1724.9285888671875,32,-1.0487702019473188e-21,1.0,STANDARD,R_A5,306.7585754394531,0,31,306.7585754394531
1,2018-07-03,41,1609.778076171875,1,0.0,0.11930230259895325,STANDARD,R_A3,283.20721435546875,0,28,283.20721435546875
2,2018-07-03,41,1600.9248046875,1,0.0,0.6506096124649048,STANDARD,R_A3,282.60260009765625,0,29,282.60260009765625
3,2018-07-03,41,1602.9630126953125,2,0.0,0.11862298846244812,STANDARD,R_A3,282.7484436035156,0,29,282.7484436035156
4,2018-07-03,41,1605.001220703125,3,0.0,0.11865059286355972,STANDARD,R_A3,282.884521484375,0,29,282.884521484375
5,2018-07-03,41,1607.039306640625,4,0.0,0.149825781583786,STANDARD,R_A3,283.0207214355469,0,29,283.0207214355469
6,2018-07-03,41,1609.0775146484375,5,0.0,0.6498755216598511,STANDARD,R_A3,283.15814208984375,0,29,283.15814208984375
7,2018-07-03,41,1611.11572265625,6,0.0,0.32942110300064087,STANDARD,R_A3,283.3065490722656,0,29,283.3065490722656
8,2018-07-03,41,1613.15380859375,7,0.0,0.19710583984851837,STANDARD,R_A3,283.4454345703125,0,29,283.4454345703125
9,2018-07-03,41,1615.19189453125,8,0.0,0.1968843638896942,STANDARD,R_A3,283.58233642578125,0,29,283.58233642578125
10,2018-07-03,41,1617.230224609375,9,0.0,0.24458476901054382,STANDARD,R_A3,283.7189025878906,0,29,283.7189025878906
11,2018-07-03,41,1619.268310546875,10,0.0,0.25944432616233826,STANDARD,R_A3,283.93963623046875,0,29,283.93963623046875
12,2018-07-03,41,1621.391845703125,11,0.0,0.04978048428893089,STANDARD,R_A3,284.1601867675781,0,29,284.1601867675781
13,2018-07-03,41,1623.6005859375,12,0.0,0.0533730685710907,STANDARD,R_A3,284.30767822265625,0,29,284.30767822265625
14,2018-07-03,41,1625.809326171875,13,0.0,0.37201622128486633,STANDARD,R_A3,284.45758056640625,0,29,284.45758056640625
15,2018-07-03,41,1628.01806640625,14,0.0,0.14094050228595734,STANDARD,R_A3,284.6429138183594,0,29,284.6429138183594
16,2018-07-03,41,1630.226806640625,15,0.0,0.6047410368919373,STANDARD,R_A3,284.80316162109375,0,29,284.80316162109375
17,2018-07-03,41,1631.973876953125,16,0.0,0.811216413974762,STANDARD,R_A3,284.9945983886719,0,29,284.9945983886719
18,2018-07-03,41,1632.765869140625,17,0.0,0.7488639950752258,STANDARD,R_A3,285.048095703125,0,29,285.048095703125
19,2018-07-03,41,1634.6923828125,28,3.942610127261048e-12,1.0,STANDARD,R_A3,289.0751953125,0,29,289.0751953125
20,2018-07-03,41,1638.246826171875,29,0.0,0.04556210711598396,STANDARD,R_A3,286.5216369628906,0,29,286.5216369628906
21,2018-07-03,41,1641.8013916015625,30,0.0,0.05078846588730812,STANDARD,R_A3,286.75946044921875,0,29,286.75946044921875
22,2018-07-03,41,1645.3558349609375,31,0.0,0.6495868563652039,STANDARD,R_A3,287.02386474609375,0,29,287.02386474609375
23,2018-07-03,41,1648.9102783203125,32,0.0,0.16050146520137787,STANDARD,R_A3,287.20611572265625,0,29,287.20611572265625
1,2018-09-12,52,1630.88525390625,1,0.0,0.04836343601346016,STANDARD,R_A4,276.2828063964844,0,30,276.2828063964844
2,2018-09-12,52,1625.818359375,1,0.0,0.04763497784733772,STANDARD,R_A4,276.1713562011719,0,31,276.1713562011719
3,2018-09-12,52,1627.8944091796875,2,0.0,0.04890873283147812,STANDARD,R_A4,276.3097229003906,0,31,276.3097229003906
4,2018-09-12,52,1629.9705810546875,3,0.0,0.04975578188896179,STANDARD,R_A4,276.4480285644531,0,31,276.4480285644531
5,2018-09-12,52,1632.0467529296875,4,0.0,0.05288229137659073,STANDARD,R_A4,276.5862121582031,0,31,276.5862121582031
6,2018-09-12,52,1634.123046875,5,0.0,0.05361182615160942,STANDARD,R_A4,276.72430419921875,0,31,276.72430419921875
7,2018-09-12,52,1633.5865478515625,5,0.0,0.055079057812690735,STANDARD,R_A4,276.9313659667969,0,32,276.9313659667969
8,2018-09-12,51,1634.53857421875,5,0.0,0.055526312440633774,STANDARD,R_A4,276.692138671875,0,32,276.692138671875
9,2018-09-12,51,1637.80419921875,5,0.0,0.058959316462278366,STANDARD,R_A4,277.22998046875,0,33,277.22998046875
10,2018-09-12,51,1635.96142578125,4,0.0,0.13662861287593842,STANDARD,R_A4,277.1068115234375,0,33,277.1068115234375
11,2018-09-12,50,1640.612548828125,4,0.0,0.05965859815478325,STANDARD,R_A4,277.13995361328125,0,33,277.13995361328125
12,2018-09-12,50,1640.340087890625,4,0.0,0.06131245940923691,STANDARD,R_A4,277.4665222167969,0,34,277.4665222167969
13,2018-09-12,50,1642.4476318359375,4,0.0,0.06102106347680092,STANDARD,R_A4,278.1213073730469,0,35,278.1213073730469
14,2018-09-12,50,1640.7073974609375,3,0.0,0.23200203478336334,STANDARD,R_A4,278.0047607421875,0,35,278.0047607421875
15,2018-09-12,50,1638.967041015625,2,0.0,0.22697216272354126,STANDARD,R_A4,277.8865966796875,0,35,277.8865966796875
16,2018-09-12,49,1641.0701904296875,31,4.099736609225468e-12,1.0,STANDARD,R_A4,289.44183349609375,0,35,289.44183349609375
17,2018-09-12,49,1645.7662353515625,31,0.0,0.3569502830505371,STANDARD,R_A4,279.8401794433594,0,36,279.8401794433594
18,2018-09-12,48,1646.239501953125,31,0.0,0.23745349049568176,STANDARD,R_A4,279.7896423339844,0,36,279.7896423339844
19,2018-09-12,48,1651.534423828125,31,0.0,0.09579939395189285,STANDARD,R_A4,280.3697814941406,0,37,280.3697814941406
20,2018-09-12,48,1646.07177734375,30,0.0,0.2770623564720154,STANDARD,R_A4,279.9585266113281,0,37,279.9585266113281
21,2018-09-12,48,1649.2099609375,30,0.0,0.7045770883560181,STANDARD,R_A4,280.5282287597656,0,38,280.5282287597656
22,2018-09-12,47,1660.168701171875,30,0.0,0.1639755666255951,STANDARD,R_A4,280.9905700683594,0,38,280.9905700683594
1,2018-11-07,42,1693.79931640625,1,2.9439274368964208e-12,1.0,STANDARD,R_A6,277.4129943847656,0,17,277.4129943847656
2,2018-11-07,42,1695.3228759765625,2,8.34582945287432e-13,1.0,STANDARD,R_A6,277.557861328125,0,17,277.557861328125
3,2018-11-07,42,1696.8463134765625,3,5.3171329101806e-13,1.0,STANDARD,R_A6,277.70233154296875,0,17,277.70233154296875
4,2018-11-07,42,1698.3697509765625,4,3.7408669369652647e-13,1.0,STANDARD,R_A6,277.8456115722656,0,17,277.8456115722656
5,2018-11-07,42,1699.893310546875,5,4.727628336552436e-13,1.0,STANDARD,R_A6,277.9876403808594,0,17,277.9876403808594
6,2018-11-07,42,1701.416748046875,6,2.6968014626982395e-11,1.0,STANDARD,R_A6,277.8314514160156,0,17,277.8314514160156
7,2018-11-07,42,1702.940185546875,7,5.763067453812276e-11,1.0,STANDARD,R_A6,277.9758605957031,0,17,277.9758605957031
8,2018-11-07,42,1704.463623046875,8,4.1185714561020603e-11,1.0,STANDARD,R_A6,278.1207580566406,0,17,278.1207580566406
9,2018-11-07,42,1705.987060546875,9,1.681987340206026e-12,1.0,STANDARD,R_A6,278.6156005859375,0,17,278.6156005859375
10,2018-11-07,42,1707.5106201171875,10,9.600462785863684e-13,1.0,STANDARD,R_A6,278.5539855957031,0,17,278.5539855957031
11,2018-11-07,42,1709.44091796875,11,1.992036499946434e-13,1.0,STANDARD,R_A6,278.7728271484375,0,17,278.7728271484375
12,2018-11-07,42,1711.7781982421875,12,4.108119280952366e-13,1.0,STANDARD,R_A6,279.047119140625,0,17,279.047119140625
13,2018-11-07,42,1714.115478515625,13,3.144295736864748e-14,1.0,STANDARD,R_A6,279.2752685546875,0,17,279.2752685546875
14,2018-11-07,42,1716.4527587890625,14,2.54073207649674e-14,1.0,STANDARD,R_A6,279.49652099609375,0,17,279.49652099609375
