SWAT,SGAS,CONIPOS,WELLMODEL,WELL,CONKPOS,CONIDX,DRAWDOWN,CONJPOS,DATE,PRESSURE,DEPTH,CONBPRES
0.8313468098640442,0.0,28,STANDARD,R_A3,5,5,0,41,2018-01-01,299.15771484375,1618.652587890625,299.15771484375
0.8148418664932251,0.0,29,STANDARD,R_A3,5,6,0,41,2018-01-01,298.22039794921875,1604.6668701171875,298.22039794921875
0.6481541991233826,0.0,29,STANDARD,R_A3,6,7,0,41,2018-01-01,298.36651611328125,1606.8472900390625,298.36651611328125
0.11823459714651108,0.0,29,STANDARD,R_A3,7,8,0,41,2018-01-01,298.5126647949219,1609.02783203125,298.5126647949219
0.11823459714651108,0.0,29,STANDARD,R_A3,8,9,0,41,2018-01-01,298.6587829589844,1611.2083740234375,298.6587829589844
0.7967907190322876,0.0,29,STANDARD,R_A3,9,10,0,41,2018-01-01,298.804931640625,1613.388916015625,298.804931640625
0.7958871126174927,0.0,29,STANDARD,R_A3,10,11,0,41,2018-01-01,298.9510803222656,1615.5694580078125,298.9510803222656
0.05227651074528694,0.0,29,STANDARD,R_A3,11,12,0,41,2018-01-01,299.1034240722656,1617.842529296875,299.1034240722656
0.052470989525318146,0.0,29,STANDARD,R_A3,12,13,0,41,2018-01-01,299.2619934082031,1620.2081298828125,299.2619934082031
0.22625605762004852,0.0,29,STANDARD,R_A3,13,14,0,41,2018-01-01,299.4205627441406,1622.5738525390625,299.4205627441406
0.3874143958091736,0.0,29,STANDARD,R_A3,14,15,0,41,2018-01-01,299.5791320800781,1624.9395751953125,299.5791320800781
0.35604578256607056,0.0,29,STANDARD,R_A3,15,16,0,41,2018-01-01,299.73773193359375,1627.30517578125,299.73773193359375
0.7999328970909119,0.0,29,STANDARD,R_A3,16,17,0,41,2018-01-01,299.8816833496094,1629.452880859375,299.8816833496094
0.7881360054016113,0.0,29,STANDARD,R_A3,17,18,0,41,2018-01-01,299.96051025390625,1630.628662109375,299.96051025390625
0.6481541991233826,0.0,29,STANDARD,R_A3,28,19,0,41,2018-01-01,300.1082458496094,1632.832275390625,300.1082458496094
0.04844764992594719,0.0,29,STANDARD,R_A3,29,20,0,41,2018-01-01,300.37542724609375,1636.8173828125,300.37542724609375
0.054031141102313995,0.0,29,STANDARD,R_A3,30,21,0,41,2018-01-01,300.64263916015625,1640.802490234375,300.64263916015625
1.0,0.0,29,STANDARD,R_A3,31,22,0,41,2018-01-01,300.90985107421875,1644.78759765625,300.90985107421875
0.15451976656913757,0.0,29,STANDARD,R_A3,32,23,0,41,2018-01-01,301.1770935058594,1648.772705078125,301.1770935058594
0.05140775814652443,0.0,30,STANDARD,R_A4,1,1,0,52,2018-01-01,299.9962463378906,1631.1614990234375,299.9962463378906
0.04973136633634567,0.0,31,STANDARD,R_A4,1,2,0,52,2018-01-01,299.8045654296875,1628.302490234375,299.8045654296875
0.052706606686115265,0.0,31,STANDARD,R_A4,2,3,0,52,2018-01-01,299.9435119628906,1630.375,299.9435119628906
0.055415909737348557,0.0,31,STANDARD,R_A4,3,4,0,52,2018-01-01,300.08245849609375,1632.447509765625,300.08245849609375
0.055791448801755905,0.0,32,STANDARD,R_A4,3,5,0,52,2018-01-01,300.0662536621094,1632.205810546875,300.0662536621094
0.05783657729625702,0.0,32,STANDARD,R_A4,4,6,0,52,2018-01-01,300.19244384765625,1634.0882568359375,300.19244384765625
0.06101218983530998,0.0,32,STANDARD,R_A4,4,7,0,51,2018-01-01,300.4466552734375,1637.8797607421875,300.4466552734375
0.06010520085692406,0.0,32,STANDARD,R_A4,3,8,0,51,2018-01-01,300.32421875,1636.053466796875,300.32421875
0.058285314589738846,0.0,33,STANDARD,R_A4,3,9,0,51,2018-01-01,300.3243103027344,1636.0550537109375,300.3243103027344
0.06125651299953461,0.0,33,STANDARD,R_A4,4,10,0,51,2018-01-01,300.45013427734375,1637.931640625,300.45013427734375
0.09970664232969284,0.0,34,STANDARD,R_A4,4,11,0,51,2018-01-01,300.49066162109375,1638.5361328125,300.49066162109375
0.16568034887313843,0.0,34,STANDARD,R_A4,4,12,0,50,2018-01-01,300.6921081542969,1641.54052734375,300.6921081542969
0.1625738888978958,0.0,34,STANDARD,R_A4,3,13,0,50,2018-01-01,300.5649719238281,1639.64404296875,300.5649719238281
0.20666614174842834,0.0,35,STANDARD,R_A4,3,14,0,50,2018-01-01,300.5633239746094,1639.6197509765625,300.5633239746094
0.23129253089427948,0.0,35,STANDARD,R_A4,2,15,0,50,2018-01-01,300.44036865234375,1637.7860107421875,300.44036865234375
0.2089301347732544,0.0,35,STANDARD,R_A4,31,16,0,49,2018-01-01,300.7181396484375,1641.9285888671875,300.7181396484375
0.29105260968208313,0.0,36,STANDARD,R_A4,31,17,0,49,2018-01-01,300.8252258300781,1643.525634765625,300.8252258300781
0.6481541991233826,0.0,36,STANDARD,R_A4,31,18,0,48,2018-01-01,300.7949523925781,1643.07421875,300.7949523925781
0.13167674839496613,0.0,37,STANDARD,R_A4,31,19,0,48,2018-01-01,300.9457702636719,1645.3231201171875,300.9457702636719
0.16796068847179413,0.0,38,STANDARD,R_A4,31,20,0,48,2018-01-01,301.0677490234375,1647.14208984375,301.0677490234375
0.06957539170980453,0.0,38,STANDARD,R_A4,31,21,0,47,2018-01-01,301.529052734375,1654.02099609375,301.529052734375
0.29245784878730774,0.0,38,STANDARD,R_A4,32,22,0,47,2018-01-01,301.9056701660156,1659.6363525390625,301.9056701660156
1.0,0.0,31,STANDARD,R_A5,1,1,0,20,2018-01-01,303.8077392578125,1684.6429443359375,303.8077392578125
1.0,0.0,31,STANDARD,R_A5,2,2,0,20,2018-01-01,304.02044677734375,1686.8876953125,304.02044677734375
1.0,0.0,31,STANDARD,R_A5,3,3,0,20,2018-01-01,304.2331848144531,1689.1324462890625,304.2331848144531
1.0,0.0,31,STANDARD,R_A5,4,4,0,20,2018-01-01,304.4458923339844,1691.377197265625,304.4458923339844
1.0,0.0,31,STANDARD,R_A5,5,5,0,20,2018-01-01,304.65863037109375,1693.6219482421875,304.65863037109375
1.0,0.0,31,STANDARD,R_A5,6,6,0,20,2018-01-01,304.871337890625,1695.86669921875,304.871337890625
1.0,0.0,31,STANDARD,R_A5,7,7,0,20,2018-01-01,305.3898620605469,1698.111328125,305.3898620605469
1.0,0.0,31,STANDARD,R_A5,11,8,0,20,2018-01-01,305.9220275878906,1706.952392578125,305.9220275878906
1.0,0.0,31,STANDARD,R_A5,11,9,0,21,2018-01-01,305.25714111328125,1699.936279296875,305.25714111328125
1.0,0.0,31,STANDARD,R_A5,12,10,0,21,2018-01-01,305.4342041015625,1701.8046875,305.4342041015625
1.0,0.0,31,STANDARD,R_A5,13,11,0,21,2018-01-01,305.62322998046875,1703.6732177734375,305.62322998046875
