CONIDX,SWAT,CONIPOS,SGAS,DEPTH,DATE,PRESSURE,CONJPOS,CONBPRES,WELL,WELLMODEL,CONKPOS,DRAWDOWN
22,0.7462307214736938,22,0.0,1679.9613037109375,2018-01-01,303.4044494628906,30,303.4044494628906,R_A2,STANDARD,28,0
23,1.0,22,0.0,1681.7763671875,2018-01-01,303.8418884277344,30,303.8418884277344,R_A2,STANDARD,29,0
24,0.8887398838996887,22,0.0,1681.379150390625,2018-01-01,303.49957275390625,29,303.49957275390625,R_A2,STANDARD,29,0
25,1.0,22,0.0,1683.168212890625,2018-01-01,303.9737854003906,29,303.9737854003906,R_A2,STANDARD,30,0
1,0.6481541991233826,28,0.0,1609.902587890625,2018-01-01,298.7063903808594,41,298.7063903808594,R_A3,STANDARD,1,0
2,0.11823459714651108,28,0.0,1611.95458984375,2018-01-01,298.84393310546875,41,298.84393310546875,R_A3,STANDARD,2,0
3,0.11823459714651108,28,0.0,1614.0064697265625,2018-01-01,298.9814453125,41,298.9814453125,R_A3,STANDARD,3,0
4,0.11823459714651108,29,0.0,1603.172607421875,2018-01-01,298.25537109375,41,298.25537109375,R_A3,STANDARD,3,0
5,0.13600480556488037,29,0.0,1605.2481689453125,2018-01-01,298.39447021484375,41,298.39447021484375,R_A3,STANDARD,4,0
6,0.21495789289474487,29,0.0,1607.3236083984375,2018-01-01,298.5335693359375,41,298.5335693359375,R_A3,STANDARD,5,0
7,0.22660526633262634,29,0.0,1609.399169921875,2018-01-01,298.67266845703125,41,298.67266845703125,R_A3,STANDARD,6,0
8,0.1921926885843277,29,0.0,1611.4747314453125,2018-01-01,298.811767578125,41,298.811767578125,R_A3,STANDARD,7,0
9,0.19375619292259216,29,0.0,1613.5501708984375,2018-01-01,298.95086669921875,41,298.95086669921875,R_A3,STANDARD,8,0
10,0.795047402381897,29,0.0,1615.625732421875,2018-01-01,299.0899658203125,41,299.0899658203125,R_A3,STANDARD,9,0
11,0.799495279788971,29,0.0,1617.701171875,2018-01-01,299.2290954589844,41,299.2290954589844,R_A3,STANDARD,10,0
12,0.04869375377893448,29,0.0,1619.9146728515625,2018-01-01,299.37744140625,41,299.37744140625,R_A3,STANDARD,11,0
13,0.05391319468617439,29,0.0,1622.265869140625,2018-01-01,299.5350646972656,41,299.5350646972656,R_A3,STANDARD,12,0
14,0.3649890124797821,29,0.0,1624.6171875,2018-01-01,299.69268798828125,41,299.69268798828125,R_A3,STANDARD,13,0
15,0.22681091725826263,29,0.0,1626.968505859375,2018-01-01,299.8503112792969,41,299.8503112792969,R_A3,STANDARD,14,0
16,0.49327418208122253,29,0.0,1629.31982421875,2018-01-01,300.0079345703125,41,300.0079345703125,R_A3,STANDARD,15,0
17,0.8032864332199097,29,0.0,1631.2430419921875,2018-01-01,300.1368713378906,41,300.1368713378906,R_A3,STANDARD,16,0
18,0.23698832094669342,29,0.0,1633.810791015625,2018-01-01,300.30902099609375,41,300.30902099609375,R_A3,STANDARD,26,0
19,0.04399735480546951,29,0.0,1637.4512939453125,2018-01-01,300.5531311035156,41,300.5531311035156,R_A3,STANDARD,27,0
20,0.05122682452201843,29,0.0,1641.091796875,2018-01-01,300.7972412109375,41,300.7972412109375,R_A3,STANDARD,28,0
21,0.6481541991233826,29,0.0,1644.7322998046875,2018-01-01,301.0413513183594,41,301.0413513183594,R_A3,STANDARD,29,0
22,0.15060442686080933,29,0.0,1648.372802734375,2018-01-01,301.2854919433594,41,301.2854919433594,R_A3,STANDARD,30,0
1,0.04856782406568527,30,0.0,1630.1041259765625,2018-01-01,300.0605163574219,52,300.0605163574219,R_A4,STANDARD,1,0
2,0.04810740426182747,31,0.0,1627.0538330078125,2018-01-01,299.85601806640625,52,299.85601806640625,R_A4,STANDARD,1,0
3,0.049093231558799744,31,0.0,1629.0645751953125,2018-01-01,299.9908142089844,52,299.9908142089844,R_A4,STANDARD,2,0
4,0.049696456640958786,31,0.0,1631.0751953125,2018-01-01,300.1256103515625,52,300.1256103515625,R_A4,STANDARD,3,0
5,0.053425516933202744,31,0.0,1633.0859375,2018-01-01,300.26043701171875,52,300.26043701171875,R_A4,STANDARD,4,0
6,0.05330587178468704,32,0.0,1632.5567626953125,2018-01-01,300.2249450683594,52,300.2249450683594,R_A4,STANDARD,4,0
7,0.05409102141857147,32,0.0,1636.11181640625,2018-01-01,300.46331787109375,51,300.46331787109375,R_A4,STANDARD,4,0
8,0.05666707828640938,33,0.0,1638.4149169921875,2018-01-01,300.61773681640625,51,300.61773681640625,R_A4,STANDARD,4,0
9,0.058035463094711304,33,0.0,1636.5919189453125,2018-01-01,300.4954833984375,51,300.4954833984375,R_A4,STANDARD,3,0
10,0.06081409379839897,33,0.0,1641.677490234375,2018-01-01,300.83648681640625,50,300.83648681640625,R_A4,STANDARD,3,0
11,0.060328736901283264,34,0.0,1640.5260009765625,2018-01-01,300.75927734375,50,300.75927734375,R_A4,STANDARD,3,0
12,0.05882836878299713,34,0.0,1638.6197509765625,2018-01-01,300.6314697265625,50,300.6314697265625,R_A4,STANDARD,2,0
13,0.0610172338783741,35,0.0,1641.8900146484375,2018-01-01,300.8507385253906,50,300.8507385253906,R_A4,STANDARD,3,0
14,0.07507625967264175,35,0.0,1640.0234375,2018-01-01,300.7255859375,50,300.7255859375,R_A4,STANDARD,2,0
15,0.16129165887832642,35,0.0,1642.4652099609375,2018-01-01,300.8893127441406,49,300.8893127441406,R_A4,STANDARD,30,0
16,0.12732923030853271,35,0.0,1636.5023193359375,2018-01-01,300.489501953125,49,300.489501953125,R_A4,STANDARD,29,0
17,0.26094451546669006,36,0.0,1642.9696044921875,2018-01-01,300.92315673828125,49,300.92315673828125,R_A4,STANDARD,29,0
18,0.2150060087442398,36,0.0,1642.9365234375,2018-01-01,300.9209289550781,48,300.9209289550781,R_A4,STANDARD,29,0
19,0.6481541991233826,37,0.0,1650.22509765625,2018-01-01,301.4096984863281,48,301.4096984863281,R_A4,STANDARD,29,0
20,1.0,37,0.0,1644.635498046875,2018-01-01,301.03485107421875,48,301.03485107421875,R_A4,STANDARD,28,0
21,0.8152381181716919,38,0.0,1651.359130859375,2018-01-01,301.4857482910156,48,301.4857482910156,R_A4,STANDARD,28,0
22,0.19055026769638062,38,0.0,1660.2552490234375,2018-01-01,302.0824279785156,47,302.0824279785156,R_A4,STANDARD,28,0
1,1.0,31,0.0,1684.0770263671875,2018-01-01,303.75408935546875,20,303.75408935546875,R_A5,STANDARD,1,0
2,1.0,31,0.0,1686.198486328125,2018-01-01,304.26092529296875,20,304.26092529296875,R_A5,STANDARD,2,0
3,1.0,31,0.0,1688.320068359375,2018-01-01,304.15618896484375,20,304.15618896484375,R_A5,STANDARD,3,0
4,1.0,31,0.0,1690.441650390625,2018-01-01,304.35723876953125,20,304.35723876953125,R_A5,STANDARD,4,0
5,1.0,31,0.0,1692.563232421875,2018-01-01,304.55828857421875,20,304.55828857421875,R_A5,STANDARD,5,0
6,1.0,31,0.0,1694.6846923828125,2018-01-01,304.75933837890625,20,304.75933837890625,R_A5,STANDARD,6,0
7,1.0,31,0.0,1696.80615234375,2018-01-01,305.26617431640625,20,305.26617431640625,R_A5,STANDARD,7,0
8,1.0,31,0.0,1701.701416015625,2018-01-01,305.4244079589844,21,305.4244079589844,R_A5,STANDARD,11,0
9,1.0,31,0.0,1703.6846923828125,2018-01-01,305.61236572265625,21,305.61236572265625,R_A5,STANDARD,12,0
10,1.0,31,0.0,1705.66796875,2018-01-01,305.8122863769531,21,305.8122863769531,R_A5,STANDARD,13,0
11,1.0,31,0.0,1707.6513671875,2018-01-01,306.000244140625,21,306.000244140625,R_A5,STANDARD,14,0
12,1.0,31,0.0,1709.6346435546875,2018-01-01,306.1882019042969,21,306.1882019042969,R_A5,STANDARD,15,0
13,1.0,31,0.0,1711.617919921875,2018-01-01,306.52117919921875,21,306.52117919921875,R_A5,STANDARD,16,0
14,1.0,31,0.0,1713.6011962890625,2018-01-01,306.7091369628906,21,306.7091369628906,R_A5,STANDARD,17,0
15,1.0,31,0.0,1715.07470703125,2018-01-01,306.8487854003906,21,306.8487854003906,R_A5,STANDARD,18,0
16,1.0,31,0.0,1717.17041015625,2018-01-01,306.89031982421875,21,306.89031982421875,R_A5,STANDARD,26,0
17,1.0,31,0.0,1719.390869140625,2018-01-01,307.10076904296875,21,307.10076904296875,R_A5,STANDARD,27,0
18,1.0,31,0.0,1721.611328125,2018-01-01,307.61700439453125,21,307.61700439453125,R_A5,STANDARD,28,0
19,1.0,31,0.0,1723.8319091796875,2018-01-01,307.82745361328125,21,307.82745361328125,R_A5,STANDARD,29,0
20,1.0,31,0.0,1726.0523681640625,2018-01-01,308.03790283203125,21,308.03790283203125,R_A5,STANDARD,30,0
1,1.0,17,0.0,1694.7342529296875,2018-01-01,305.06982421875,42,305.06982421875,R_A6,STANDARD,1,0
2,1.0,17,0.0,1696.270751953125,2018-01-01,305.2154235839844,42,305.2154235839844,R_A6,STANDARD,2,0
3,1.0,17,0.0,1697.807373046875,2018-01-01,305.3610534667969,42,305.3610534667969,R_A6,STANDARD,3,0
4,1.0,17,0.0,1699.343994140625,2018-01-01,305.5066833496094,42,305.5066833496094,R_A6,STANDARD,4,0
5,1.0,17,0.0,1700.880615234375,2018-01-01,305.65228271484375,42,305.65228271484375,R_A6,STANDARD,5,0
6,1.0,17,0.0,1702.4171142578125,2018-01-01,305.79791259765625,42,305.79791259765625,R_A6,STANDARD,6,0
7,1.0,17,0.0,1703.9537353515625,2018-01-01,305.64447021484375,42,305.64447021484375,R_A6,STANDARD,7,0
8,1.0,17,0.0,1705.4903564453125,2018-01-01,305.79010009765625,42,305.79010009765625,R_A6,STANDARD,8,0
9,1.0,17,0.0,1707.02685546875,2018-01-01,306.2347717285156,42,306.2347717285156,R_A6,STANDARD,9,0
10,1.0,17,0.0,1708.5634765625,2018-01-01,306.0746154785156,42,306.0746154785156,R_A6,STANDARD,10,0
11,1.0,17,0.0,1710.4708251953125,2018-01-01,306.2554931640625,42,306.2554931640625,R_A6,STANDARD,11,0
12,1.0,17,0.0,1712.7489013671875,2018-01-01,306.4714050292969,42,306.4714050292969,R_A6,STANDARD,12,0
13,1.0,17,0.0,1715.0269775390625,2018-01-01,306.6992492675781,42,306.6992492675781,R_A6,STANDARD,13,0
14,1.0,17,0.0,1717.304931640625,2018-01-01,306.9151611328125,42,306.9151611328125,R_A6,STANDARD,14,0
15,1.0,17,0.0,1719.5831298828125,2018-01-01,307.1310729980469,42,307.1310729980469,R_A6,STANDARD,15,0
16,1.0,17,0.0,1721.8612060546875,2018-01-01,307.4919738769531,42,307.4919738769531,R_A6,STANDARD,16,0
17,1.0,17,0.0,1724.1392822265625,2018-01-01,307.7078857421875,42,307.7078857421875,R_A6,STANDARD,17,0
18,1.0,17,0.0,1725.7313232421875,2018-01-01,307.8587951660156,42,307.8587951660156,R_A6,STANDARD,18,0
19,1.0,17,0.0,1727.0416259765625,2018-01-01,307.82586669921875,42,307.82586669921875,R_A6,STANDARD,26,0
20,1.0,17,0.0,1728.756103515625,2018-01-01,308.2941589355469,42,308.2941589355469,R_A6,STANDARD,27,0
21,1.0,17,0.0,1730.4705810546875,2018-01-01,308.4566650390625,42,308.4566650390625,R_A6,STANDARD,28,0
22,1.0,17,0.0,1732.18505859375,2018-01-01,308.619140625,42,308.619140625,R_A6,STANDARD,29,0
23,1.0,17,0.0,1733.8995361328125,2018-01-01,308.4758605957031,42,308.4758605957031,R_A6,STANDARD,30,0
1,0.05428427830338478,22,0.0,1641.2060546875,2018-03-01,298.5686340332031,30,298.5686340332031,R_A2,STANDARD,1,0
2,0.05669042095541954,22,0.0,1643.044677734375,2018-03-01,298.6918640136719,30,298.6918640136719,R_A2,STANDARD,2,0
3,0.058745127171278,22,0.0,1644.8834228515625,2018-03-01,298.8150939941406,30,298.8150939941406,R_A2,STANDARD,3,0
4,0.06445884704589844,22,0.0,1646.7220458984375,2018-03-01,298.9383544921875,30,298.9383544921875,R_A2,STANDARD,4,0
5,0.10594357550144196,22,0.0,1648.560791015625,2018-03-01,299.0616149902344,30,299.0616149902344,R_A2,STANDARD,5,0
6,0.3119116723537445,22,0.0,1650.3994140625,2018-03-01,299.2310791015625,30,299.2310791015625,R_A2,STANDARD,6,0
7,0.8685445189476013,22,0.0,1652.238037109375,2018-03-01,299.36407470703125,30,299.36407470703125,R_A2,STANDARD,7,0
8,0.8394736051559448,22,0.0,1654.0767822265625,2018-03-01,299.4991760253906,30,299.4991760253906,R_A2,STANDARD,8,0
9,0.8694608807563782,22,0.0,1655.9154052734375,2018-03-01,299.6354064941406,30,299.6354064941406,R_A2,STANDARD,9,0
10,0.8910612463951111,22,0.0,1657.754150390625,2018-03-01,299.9762878417969,30,299.9762878417969,R_A2,STANDARD,10,0
11,0.07052428275346756,22,0.0,1659.703125,2018-03-01,300.2832946777344,30,300.2832946777344,R_A2,STANDARD,11,0
12,0.07164936512708664,22,0.0,1661.76220703125,2018-03-01,300.4248046875,30,300.4248046875,R_A2,STANDARD,12,0
13,0.43735891580581665,22,0.0,1663.8212890625,2018-03-01,300.67059326171875,30,300.67059326171875,R_A2,STANDARD,13,0
14,0.46710723638534546,22,0.0,1665.8804931640625,2018-03-01,300.8829650878906,30,300.8829650878906,R_A2,STANDARD,14,0
15,0.543569803237915,22,0.0,1667.9395751953125,2018-03-01,301.0220642089844,30,301.0220642089844,R_A2,STANDARD,15,0
16,0.9382303953170776,22,0.0,1669.998779296875,2018-03-01,301.1572570800781,30,301.1572570800781,R_A2,STANDARD,16,0
