CONBPRES,CONKPOS,CONIDX,WELLMODEL,PRESSURE,SGAS,SWAT,WELL,CONJPOS,DEPTH,CONIPOS,DRAWDOWN,DATE
305.1368408203125,11,9,STANDARD,305.1368408203125,0.0,1.0,R_A5,21,1698.666748046875,31,0,2018-01-01
305.3316650390625,12,10,STANDARD,305.3316650390625,0.0,1.0,R_A5,21,1700.72265625,31,0,2018-01-01
305.5384521484375,13,11,STANDARD,305.5384521484375,0.0,1.0,R_A5,21,1702.778564453125,31,0,2018-01-01
305.7333068847656,14,12,STANDARD,305.7333068847656,0.0,1.0,R_A5,21,1704.83447265625,31,0,2018-01-01
305.9281311035156,15,13,STANDARD,305.9281311035156,0.0,1.0,R_A5,21,1706.8902587890625,31,0,2018-01-01
306.2679748535156,16,14,STANDARD,306.2679748535156,0.0,1.0,R_A5,21,1708.9461669921875,31,0,2018-01-01
306.46282958984375,17,15,STANDARD,306.46282958984375,0.0,1.0,R_A5,21,1711.0020751953125,31,0,2018-01-01
306.6183776855469,18,16,STANDARD,306.6183776855469,0.0,1.0,R_A5,21,1712.643310546875,31,0,2018-01-01
306.70074462890625,19,17,STANDARD,306.70074462890625,0.0,1.0,R_A5,21,1713.5125732421875,31,0,2018-01-01
306.7328186035156,20,18,STANDARD,306.7328186035156,0.0,1.0,R_A5,21,1713.85107421875,31,0,2018-01-01
306.6956787109375,26,19,STANDARD,306.6956787109375,0.0,1.0,R_A5,21,1715.1165771484375,31,0,2018-01-01
306.91986083984375,27,20,STANDARD,306.91986083984375,0.0,1.0,R_A5,21,1717.4822998046875,31,0,2018-01-01
307.4498596191406,28,21,STANDARD,307.4498596191406,0.0,1.0,R_A5,21,1719.847900390625,31,0,2018-01-01
307.674072265625,29,22,STANDARD,307.674072265625,0.0,1.0,R_A5,21,1722.213623046875,31,0,2018-01-01
307.8982849121094,30,23,STANDARD,307.8982849121094,0.0,1.0,R_A5,21,1724.5792236328125,31,0,2018-01-01
305.0084533691406,1,1,STANDARD,305.0084533691406,0.0,1.0,R_A6,42,1694.086669921875,17,0,2018-01-01
305.1533203125,2,2,STANDARD,305.1533203125,0.0,1.0,R_A6,42,1695.6153564453125,17,0,2018-01-01
305.2981872558594,3,3,STANDARD,305.2981872558594,0.0,1.0,R_A6,42,1697.14404296875,17,0,2018-01-01
305.44305419921875,4,4,STANDARD,305.44305419921875,0.0,1.0,R_A6,42,1698.6728515625,17,0,2018-01-01
305.58795166015625,5,5,STANDARD,305.58795166015625,0.0,1.0,R_A6,42,1700.2015380859375,17,0,2018-01-01
305.7328186035156,6,6,STANDARD,305.7328186035156,0.0,1.0,R_A6,42,1701.7303466796875,17,0,2018-01-01
305.5786437988281,7,7,STANDARD,305.5786437988281,0.0,1.0,R_A6,42,1703.259033203125,17,0,2018-01-01
305.7235107421875,8,8,STANDARD,305.7235107421875,0.0,1.0,R_A6,42,1704.787841796875,17,0,2018-01-01
306.1674499511719,9,9,STANDARD,306.1674499511719,0.0,1.0,R_A6,42,1706.3165283203125,17,0,2018-01-01
306.00653076171875,10,10,STANDARD,306.00653076171875,0.0,1.0,R_A6,42,1707.84521484375,17,0,2018-01-01
306.188720703125,11,11,STANDARD,306.188720703125,0.0,1.0,R_A6,42,1709.766357421875,17,0,2018-01-01
306.4079895019531,12,12,STANDARD,306.4079895019531,0.0,1.0,R_A6,42,1712.0797119140625,17,0,2018-01-01
306.6391906738281,13,13,STANDARD,306.6391906738281,0.0,1.0,R_A6,42,1714.39306640625,17,0,2018-01-01
306.8584289550781,14,14,STANDARD,306.8584289550781,0.0,1.0,R_A6,42,1716.70654296875,17,0,2018-01-01
307.07769775390625,15,15,STANDARD,307.07769775390625,0.0,1.0,R_A6,42,1719.0198974609375,17,0,2018-01-01
307.44195556640625,16,16,STANDARD,307.44195556640625,0.0,1.0,R_A6,42,1721.333251953125,17,0,2018-01-01
307.66119384765625,17,17,STANDARD,307.66119384765625,0.0,1.0,R_A6,42,1723.6466064453125,17,0,2018-01-01
307.79779052734375,18,18,STANDARD,307.79779052734375,0.0,1.0,R_A6,42,1725.087646484375,17,0,2018-01-01
307.7484436035156,26,19,STANDARD,307.7484436035156,0.0,1.0,R_A6,42,1726.2247314453125,17,0,2018-01-01
308.2158508300781,27,20,STANDARD,308.2158508300781,0.0,1.0,R_A6,42,1727.9300537109375,17,0,2018-01-01
308.3774719238281,28,21,STANDARD,308.3774719238281,0.0,1.0,R_A6,42,1729.63525390625,17,0,2018-01-01
308.5390930175781,29,22,STANDARD,308.5390930175781,0.0,1.0,R_A6,42,1731.3404541015625,17,0,2018-01-01
308.3949279785156,30,23,STANDARD,308.3949279785156,0.0,1.0,R_A6,42,1733.045654296875,17,0,2018-01-01
297.3439636230469,1,1,STANDARD,297.3439636230469,0.0,0.0517578087747097,R_A2,30,1639.5489501953125,22,0,2018-03-01
297.4608154296875,2,2,STANDARD,297.4608154296875,0.0,0.055084843188524246,R_A2,30,1641.293212890625,22,0,2018-03-01
297.5776672363281,3,3,STANDARD,297.5776672363281,0.0,0.0565522275865078,R_A2,30,1643.0374755859375,22,0,2018-03-01
297.69451904296875,4,4,STANDARD,297.69451904296875,0.0,0.06262339651584625,R_A2,30,1644.7818603515625,22,0,2018-03-01
297.8114013671875,5,5,STANDARD,297.8114013671875,0.0,0.06494199484586716,R_A2,30,1646.526123046875,22,0,2018-03-01
297.9612121582031,6,6,STANDARD,297.9612121582031,0.0,0.30038270354270935,R_A2,30,1648.2703857421875,22,0,2018-03-01
298.0924072265625,7,7,STANDARD,298.0924072265625,0.0,0.8689309358596802,R_A2,30,1650.0146484375,22,0,2018-03-01
298.2213134765625,8,8,STANDARD,298.2213134765625,0.0,0.857484757900238,R_A2,30,1651.7589111328125,22,0,2018-03-01
298.3466796875,9,9,STANDARD,298.3466796875,0.0,0.865050196647644,R_A2,30,1653.5032958984375,22,0,2018-03-01
298.8244323730469,10,10,STANDARD,298.8244323730469,0.0,0.878471314907074,R_A2,30,1655.24755859375,22,0,2018-03-01
299.20562744140625,11,11,STANDARD,299.20562744140625,0.0,0.06811235845088959,R_A2,30,1657.16064453125,22,0,2018-03-01
299.3451843261719,12,12,STANDARD,299.3451843261719,0.0,0.07226795703172684,R_A2,30,1659.2427978515625,22,0,2018-03-01
299.48614501953125,13,13,STANDARD,299.48614501953125,0.0,0.4339292347431183,R_A2,30,1661.3248291015625,22,0,2018-03-01
299.6280212402344,14,14,STANDARD,299.6280212402344,0.0,0.46870139241218567,R_A2,30,1663.4068603515625,22,0,2018-03-01
299.77044677734375,15,15,STANDARD,299.77044677734375,0.0,0.8929218649864197,R_A2,30,1665.489013671875,22,0,2018-03-01
299.9110412597656,16,16,STANDARD,299.9110412597656,0.0,0.9110861420631409,R_A2,30,1667.571044921875,22,0,2018-03-01
300.0443420410156,16,17,STANDARD,300.0443420410156,0.0,0.9367862939834595,R_A2,29,1671.56396484375,22,0,2018-03-01
300.1851806640625,17,18,STANDARD,300.1851806640625,0.0,0.93276047706604,R_A2,29,1673.646484375,22,0,2018-03-01
300.301513671875,18,19,STANDARD,300.301513671875,0.0,0.9766058921813965,R_A2,29,1675.3775634765625,22,0,2018-03-01
302.7638244628906,26,20,STANDARD,302.7638244628906,1.8284776565568282e-14,1.0,R_A2,29,1676.9876708984375,22,0,2018-03-01
302.61376953125,27,21,STANDARD,302.61376953125,0.0,0.7829822897911072,R_A2,29,1678.75634765625,22,0,2018-03-01
302.227783203125,28,22,STANDARD,302.227783203125,0.0,0.7124024033546448,R_A2,29,1680.525146484375,22,0,2018-03-01
302.827392578125,29,23,STANDARD,302.827392578125,1.5698132762231518e-14,1.0,R_A2,29,1682.2938232421875,22,0,2018-03-01
302.6788635253906,30,24,STANDARD,302.6788635253906,4.244072801529164e-11,1.0,R_A2,29,1684.0625,22,0,2018-03-01
279.3707580566406,1,1,STANDARD,279.3707580566406,-1.2399405946439401e-09,1.0,R_A5,20,1685.886474609375,31,0,2018-04-28
279.5838928222656,2,2,STANDARD,279.5838928222656,-1.164915053308846e-09,1.0,R_A5,20,1688.1385498046875,31,0,2018-04-28
279.7970275878906,3,3,STANDARD,279.7970275878906,-1.0058476274110717e-09,1.0,R_A5,20,1690.390625,31,0,2018-04-28
280.0103759765625,4,4,STANDARD,280.0103759765625,-1.1285616885459149e-09,1.0,R_A5,20,1692.642822265625,31,0,2018-04-28
280.2237854003906,5,5,STANDARD,280.2237854003906,-9.343684714835376e-10,1.0,R_A5,20,1694.8948974609375,31,0,2018-04-28
280.4374084472656,6,6,STANDARD,280.4374084472656,-9.447962412423294e-10,1.0,R_A5,20,1697.14697265625,31,0,2018-04-28
281.0149841308594,7,7,STANDARD,281.0149841308594,-1.577430894239562e-11,1.0,R_A5,20,1699.3990478515625,31,0,2018-04-28
281.2817077636719,8,8,STANDARD,281.2817077636719,-5.358972814117902e-12,1.0,R_A5,20,1701.6512451171875,31,0,2018-04-28
279.29266357421875,11,9,STANDARD,279.29266357421875,-4.148720256225147e-10,1.0,R_A5,21,1698.666748046875,31,0,2018-04-28
279.4872741699219,12,10,STANDARD,279.4872741699219,-4.2026448987542153e-10,1.0,R_A5,21,1700.72265625,31,0,2018-04-28
279.69354248046875,13,11,STANDARD,279.69354248046875,-1.7482930034229405e-11,1.0,R_A5,21,1702.778564453125,31,0,2018-04-28
279.8879699707031,14,12,STANDARD,279.8879699707031,-3.024896652603637e-11,1.0,R_A5,21,1704.83447265625,31,0,2018-04-28
280.08416748046875,15,13,STANDARD,280.08416748046875,-5.63763272176665e-12,1.0,R_A5,21,1706.8902587890625,31,0,2018-04-28
280.4306945800781,16,14,STANDARD,280.4306945800781,-1.4778822696875915e-12,1.0,R_A5,21,1708.9461669921875,31,0,2018-04-28
280.6338195800781,17,15,STANDARD,280.6338195800781,-1.4928109746611962e-12,1.0,R_A5,21,1711.0020751953125,31,0,2018-04-28
280.7973937988281,18,16,STANDARD,280.7973937988281,-2.430814880979848e-12,1.0,R_A5,21,1712.643310546875,31,0,2018-04-28
280.8821105957031,19,17,STANDARD,280.8821105957031,0.0,1.0,R_A5,21,1713.5125732421875,31,0,2018-04-28
280.91455078125,20,18,STANDARD,280.91455078125,0.0,1.0,R_A5,21,1713.85107421875,31,0,2018-04-28
286.7852783203125,26,19,STANDARD,286.7852783203125,-1.7138549260331537e-11,1.0,R_A5,21,1715.1165771484375,31,0,2018-04-28
