DATE,CONJPOS,CONIPOS,CONBPRES,DEPTH,PRESSURE,SGAS,CONIDX,WELL,CONKPOS,WELLMODEL,SWAT,DRAWDOWN
2018-03-01,29,22,301.1238708496094,1676.1097412109375,301.1238708496094,0.0,20,R_A2,19,STANDARD,0.9899463057518005,0
2018-03-01,29,22,303.12042236328125,1677.100830078125,303.12042236328125,0.0,21,R_A2,26,STANDARD,0.7564572691917419,0
2018-03-01,29,22,303.1112976074219,1678.8782958984375,303.1112976074219,-4.8983608280650515e-08,22,R_A2,27,STANDARD,0.9999995231628418,0
2018-03-01,29,22,302.98248291015625,1680.6558837890625,302.98248291015625,-2.127857623174939e-13,23,R_A2,28,STANDARD,1.0,0
2018-03-01,29,22,302.7641296386719,1682.4334716796875,302.7641296386719,-3.0309861287491913e-09,24,R_A2,29,STANDARD,0.9999999403953552,0
2018-03-01,29,22,302.83367919921875,1684.2110595703125,302.83367919921875,0.0,25,R_A2,30,STANDARD,0.9999914169311523,0
2018-04-28,20,31,282.8340759277344,1686.0111083984375,282.8340759277344,3.2590624643447086e-10,1,R_A5,1,STANDARD,1.0,0
2018-04-28,20,31,283.0387878417969,1688.174560546875,283.0387878417969,3.750978694316842e-10,2,R_A5,2,STANDARD,1.0,0
2018-04-28,20,31,283.2433166503906,1690.3380126953125,283.2433166503906,2.9774840926144464e-10,3,R_A5,3,STANDARD,1.0,0
2018-04-28,20,31,283.4478454589844,1692.50146484375,283.4478454589844,2.7376986788674174e-10,4,R_A5,4,STANDARD,1.0,0
2018-04-28,20,31,283.6525573730469,1694.6649169921875,283.6525573730469,2.8499222426425774e-10,5,R_A5,5,STANDARD,1.0,0
2018-04-28,20,31,283.8573303222656,1696.828369140625,283.8573303222656,2.469975335372965e-10,6,R_A5,6,STANDARD,1.0,0
2018-04-28,20,31,284.3760986328125,1698.991943359375,284.3760986328125,5.345044285648415e-12,7,R_A5,7,STANDARD,1.0,0
2018-04-28,21,31,276.7474365234375,1699.135986328125,276.7474365234375,-9.54696599553273e-11,8,R_A5,11,STANDARD,1.0,0
2018-04-28,21,31,277.0215148925781,1701.1630859375,277.0215148925781,-6.89696771916104e-11,9,R_A5,12,STANDARD,1.0,0
2018-04-28,21,31,277.2271423339844,1703.190185546875,277.2271423339844,-1.2877289512491785e-11,10,R_A5,13,STANDARD,1.0,0
2018-04-28,21,31,277.4262390136719,1705.21728515625,277.4262390136719,-1.5980531134496267e-11,11,R_A5,14,STANDARD,1.0,0
2018-04-28,21,31,277.698974609375,1707.244384765625,277.698974609375,-2.9812495788011928e-12,12,R_A5,15,STANDARD,1.0,0
2018-04-28,21,31,278.0803527832031,1709.271484375,278.0803527832031,-4.996331039869295e-13,13,R_A5,16,STANDARD,1.0,0
2018-04-28,21,31,278.2904357910156,1711.298583984375,278.2904357910156,-5.449686925687591e-13,14,R_A5,17,STANDARD,1.0,0
2018-04-28,21,31,278.4466247558594,1712.87744140625,278.4466247558594,-8.277271554800458e-13,15,R_A5,18,STANDARD,1.0,0
2018-04-28,21,31,278.52252197265625,1713.672607421875,278.52252197265625,0.0,16,R_A5,19,STANDARD,1.0,0
2018-04-28,21,31,284.29290771484375,1715.0721435546875,284.29290771484375,1.5669157459171842e-14,17,R_A5,26,STANDARD,1.0,0
2018-04-28,21,31,284.67218017578125,1717.4117431640625,284.67218017578125,1.139516896776294e-14,18,R_A5,27,STANDARD,1.0,0
2018-04-28,21,31,296.0409851074219,1719.7513427734375,296.0409851074219,9.13233144678489e-22,19,R_A5,28,STANDARD,1.0,0
2018-04-28,21,31,303.7348327636719,1722.091064453125,303.7348327636719,6.144124570759269e-23,20,R_A5,29,STANDARD,1.0,0
2018-04-28,21,31,306.7355651855469,1724.4306640625,306.7355651855469,3.2888646518602085e-25,21,R_A5,30,STANDARD,1.0,0
2018-07-03,41,28,277.851806640625,1609.020263671875,277.851806640625,0.0,1,R_A3,1,STANDARD,0.24768997728824615,0
