CONIDX,SWAT,WELLMODEL,SGAS,WELL,DATE,CONJPOS,CONIPOS,CONBPRES,DRAWDOWN,CONKPOS,DEPTH,PRESSURE
8,0.058436330407857895,STANDARD,0.0,R_A4,2018-01-01,52,32,300.12359619140625,0,6,1633.9600830078125,300.12359619140625
9,0.14740058779716492,STANDARD,0.0,R_A4,2018-01-01,51,32,300.2695617675781,0,6,1636.137451171875,300.2695617675781
10,0.6481541991233826,STANDARD,0.0,R_A4,2018-01-01,51,32,300.1513366699219,0,5,1634.3740234375,300.1513366699219
11,0.6481541991233826,STANDARD,0.0,R_A4,2018-01-01,51,33,300.3858337402344,0,5,1637.8714599609375,300.3858337402344
12,0.10156727582216263,STANDARD,0.0,R_A4,2018-01-01,51,33,300.2670593261719,0,4,1636.0999755859375,300.2670593261719
13,0.10460758954286575,STANDARD,0.0,R_A4,2018-01-01,51,33,300.1482849121094,0,3,1634.328369140625,300.1482849121094
14,0.06547370553016663,STANDARD,0.0,R_A4,2018-01-01,50,33,300.64923095703125,0,3,1641.800048828125,300.64923095703125
15,0.06490311026573181,STANDARD,0.0,R_A4,2018-01-01,50,34,300.5798645019531,0,3,1640.7652587890625,300.5798645019531
16,0.1696522980928421,STANDARD,0.0,R_A4,2018-01-01,50,34,300.4521789550781,0,2,1638.8612060546875,300.4521789550781
17,0.06727592647075653,STANDARD,0.0,R_A4,2018-01-01,50,35,300.6276550292969,0,3,1641.4783935546875,300.6276550292969
18,0.1898230016231537,STANDARD,0.0,R_A4,2018-01-01,50,35,300.5022888183594,0,2,1639.608642578125,300.5022888183594
19,0.24601370096206665,STANDARD,0.0,R_A4,2018-01-01,49,35,300.6808166503906,0,2,1642.2708740234375,300.6808166503906
20,0.3117680251598358,STANDARD,0.0,R_A4,2018-01-01,49,35,300.5506286621094,0,1,1640.3292236328125,300.5506286621094
21,0.6872686743736267,STANDARD,0.0,R_A4,2018-01-01,49,36,300.8950500488281,0,31,1645.4658203125,300.8950500488281
22,1.0,STANDARD,0.0,R_A4,2018-01-01,48,36,300.64129638671875,0,31,1641.681640625,300.64129638671875
23,0.6481541991233826,STANDARD,0.0,R_A4,2018-01-01,48,37,301.1712341308594,0,31,1649.58447265625,301.1712341308594
24,0.25789299607276917,STANDARD,0.0,R_A4,2018-01-01,48,38,301.4871826171875,0,31,1654.2957763671875,301.4871826171875
25,0.11250424385070801,STANDARD,0.0,R_A4,2018-01-01,47,38,301.49176025390625,0,31,1654.364013671875,301.49176025390625
1,1.0,STANDARD,0.0,R_A5,2018-01-01,20,31,303.70611572265625,0,1,1683.5706787109375,303.70611572265625
2,1.0,STANDARD,0.0,R_A5,2018-01-01,20,31,303.9113464355469,0,2,1685.736328125,303.9113464355469
3,1.0,STANDARD,0.0,R_A5,2018-01-01,20,31,304.1165771484375,0,3,1687.902099609375,304.1165771484375
4,1.0,STANDARD,0.0,R_A5,2018-01-01,20,31,304.3218078613281,0,4,1690.06787109375,304.3218078613281
5,1.0,STANDARD,0.0,R_A5,2018-01-01,20,31,304.52703857421875,0,5,1692.233642578125,304.52703857421875
6,1.0,STANDARD,0.0,R_A5,2018-01-01,20,31,304.7322998046875,0,6,1694.3992919921875,304.7322998046875
7,1.0,STANDARD,0.0,R_A5,2018-01-01,20,31,305.2433166503906,0,7,1696.56494140625,305.2433166503906
8,1.0,STANDARD,0.0,R_A5,2018-01-01,21,31,305.4564208984375,0,11,1702.039306640625,305.4564208984375
9,1.0,STANDARD,0.0,R_A5,2018-01-01,21,31,305.641357421875,0,12,1703.9906005859375,305.641357421875
10,1.0,STANDARD,0.0,R_A5,2018-01-01,21,31,305.8382568359375,0,13,1705.94189453125,305.8382568359375
11,1.0,STANDARD,0.0,R_A5,2018-01-01,21,31,306.0231628417969,0,14,1707.8931884765625,306.0231628417969
12,1.0,STANDARD,0.0,R_A5,2018-01-01,21,31,306.2080993652344,0,15,1709.844482421875,306.2080993652344
13,1.0,STANDARD,0.0,R_A5,2018-01-01,21,31,306.5380554199219,0,16,1711.7957763671875,306.5380554199219
14,1.0,STANDARD,0.0,R_A5,2018-01-01,21,31,306.72296142578125,0,17,1713.7470703125,306.72296142578125
15,1.0,STANDARD,0.0,R_A5,2018-01-01,21,31,306.8744812011719,0,18,1715.3458251953125,306.8744812011719
16,1.0,STANDARD,0.0,R_A5,2018-01-01,21,31,306.9567565917969,0,19,1716.2138671875,306.9567565917969
17,1.0,STANDARD,0.0,R_A5,2018-01-01,21,31,306.99151611328125,0,20,1716.5806884765625,306.99151611328125
18,1.0,STANDARD,0.0,R_A5,2018-01-01,21,31,306.9512634277344,0,27,1717.8135986328125,306.9512634277344
19,1.0,STANDARD,0.0,R_A5,2018-01-01,21,31,307.161865234375,0,28,1720.0355224609375,307.161865234375
20,1.0,STANDARD,0.0,R_A5,2018-01-01,21,31,307.6782531738281,0,29,1722.257568359375,307.6782531738281
21,1.0,STANDARD,0.0,R_A5,2018-01-01,21,31,307.88885498046875,0,30,1724.4796142578125,307.88885498046875
22,1.0,STANDARD,0.0,R_A5,2018-01-01,21,31,308.0994567871094,0,31,1726.70166015625,308.0994567871094
1,1.0,STANDARD,0.0,R_A6,2018-01-01,42,17,305.087646484375,0,1,1694.9224853515625,305.087646484375
2,1.0,STANDARD,0.0,R_A6,2018-01-01,42,17,305.2333679199219,0,2,1696.460205078125,305.2333679199219
3,1.0,STANDARD,0.0,R_A6,2018-01-01,42,17,305.3791198730469,0,3,1697.9979248046875,305.3791198730469
4,1.0,STANDARD,0.0,R_A6,2018-01-01,42,17,305.52484130859375,0,4,1699.53564453125,305.52484130859375
5,1.0,STANDARD,0.0,R_A6,2018-01-01,42,17,305.6705627441406,0,5,1701.0733642578125,305.6705627441406
6,1.0,STANDARD,0.0,R_A6,2018-01-01,42,17,305.8162841796875,0,6,1702.611083984375,305.8162841796875
