ENSEMBLE,REAL,Sg,Sw,krg,krog,krow,krw,pcog,pcow,satnum,tag,type,INTERPOLATE_RELPERM:INTERPOLATE_GO,INTERPOLATE_RELPERM:INTERPOLATE_WO,LOG10_MULTFLT:MULTFLT_F1,LOG10_MULTFLT:MULTFLT_F2,LOG10_MULTFLT:MULTFLT_F3,LOG10_MULTFLT:MULTFLT_F4,LOG10_MULTFLT:MULTFLT_F5,LOG10_MULTZ:MULTZ_MIDREEK,MULTFLT:MULTFLT_F1,MULTFLT:MULTFLT_F2,MULTFLT:MULTFLT_F3,MULTFLT:MULTFLT_F4,MULTFLT:MULTFLT_F5,MULTZ:MULTZ_MIDREEK,RMSGLOBPARAMS:COHIBA_MODEL_MODE,RMSGLOBPARAMS:FWL,INTERPOLATE_GO,INTERPOLATE_WO,MULTFLT_F1,MULTFLT_F2,MULTFLT_F3,MULTFLT_F4,MULTFLT_F5,MULTZ_MIDREEK,COHIBA_MODEL_MODE,FWL
iter-0,3,,0.52,,,0.2896579,0.0423481,,0.31465590000000004,1,eclipse/include/props/swof.inc,SWOF,-0.307419,0.306254,-0.102147,-4.56349,-0.53127,-0.549943,-3.07068,-5.22893,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51,-0.307419,0.306254,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51
iter-0,3,,0.53,,,0.26266880000000004,0.049278,,0.2979507,1,eclipse/include/props/swof.inc,SWOF,-0.307419,0.306254,-0.102147,-4.56349,-0.53127,-0.549943,-3.07068,-5.22893,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51,-0.307419,0.306254,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51
iter-0,3,,0.54,,,0.237539,0.0570115,,0.28267309999999995,1,eclipse/include/props/swof.inc,SWOF,-0.307419,0.306254,-0.102147,-4.56349,-0.53127,-0.549943,-3.07068,-5.22893,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51,-0.307419,0.306254,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51
iter-0,3,,0.55,,,0.2142246,0.0656051,,0.2686579,1,eclipse/include/props/swof.inc,SWOF,-0.307419,0.306254,-0.102147,-4.56349,-0.53127,-0.549943,-3.07068,-5.22893,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51,-0.307419,0.306254,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51
iter-0,3,,0.56,,,0.19266770000000005,0.0751154,,0.25576370000000004,1,eclipse/include/props/swof.inc,SWOF,-0.307419,0.306254,-0.102147,-4.56349,-0.53127,-0.549943,-3.07068,-5.22893,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51,-0.307419,0.306254,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51
iter-0,3,,0.57,,,0.17280009999999998,0.085599,,0.243869,1,eclipse/include/props/swof.inc,SWOF,-0.307419,0.306254,-0.102147,-4.56349,-0.53127,-0.549943,-3.07068,-5.22893,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51,-0.307419,0.306254,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51
iter-0,3,,0.58,,,0.1545456,0.0971111,,0.2328684,1,eclipse/include/props/swof.inc,SWOF,-0.307419,0.306254,-0.102147,-4.56349,-0.53127,-0.549943,-3.07068,-5.22893,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51,-0.307419,0.306254,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51
iter-0,3,,0.59,,,0.13782270000000002,0.10970539999999998,,0.22267070000000005,1,eclipse/include/props/swof.inc,SWOF,-0.307419,0.306254,-0.102147,-4.56349,-0.53127,-0.549943,-3.07068,-5.22893,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51,-0.307419,0.306254,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51
iter-0,3,,0.6,,,0.1225466,0.1234329,,0.2131962,1,eclipse/include/props/swof.inc,SWOF,-0.307419,0.306254,-0.102147,-4.56349,-0.53127,-0.549943,-3.07068,-5.22893,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51,-0.307419,0.306254,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51
iter-0,3,,0.61,,,0.1086307,0.1383412,,0.204375,1,eclipse/include/props/swof.inc,SWOF,-0.307419,0.306254,-0.102147,-4.56349,-0.53127,-0.549943,-3.07068,-5.22893,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51,-0.307419,0.306254,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51
