SWAT,CONJPOS,CONIPOS,DRAWDOWN,SGAS,CONIDX,DATE,CONBPRES,WELLMODEL,PRESSURE,CONKPOS,DEPTH,WELL
0.35888317227363586,41,29,0,0.0,15,2018-01-01,299.6007995605469,STANDARD,299.6007995605469,14,1626.376220703125,R_A3
0.501603364944458,41,29,0,0.0,16,2018-01-01,299.7490539550781,STANDARD,299.7490539550781,15,1628.5877685546875,R_A3
0.8058200478553772,41,29,0,0.0,17,2018-01-01,299.8821105957031,STANDARD,299.8821105957031,16,1630.5726318359375,R_A3
0.7692245244979858,41,29,0,0.0,18,2018-01-01,299.9501953125,STANDARD,299.9501953125,17,1631.5882568359375,R_A3
1.0,41,29,0,0.0,19,2018-01-01,300.0828857421875,STANDARD,300.0828857421875,27,1633.5675048828125,R_A3
0.18813523650169373,41,29,0,0.0,20,2018-01-01,300.3299560546875,STANDARD,300.3299560546875,28,1637.2528076171875,R_A3
0.05362464487552643,41,29,0,0.0,21,2018-01-01,300.5770568847656,STANDARD,300.5770568847656,29,1640.9381103515625,R_A3
0.286314457654953,41,29,0,0.0,22,2018-01-01,300.82415771484375,STANDARD,300.82415771484375,30,1644.6234130859375,R_A3
0.06709461659193039,41,29,0,0.0,23,2018-01-01,301.0712890625,STANDARD,301.0712890625,31,1648.3087158203125,R_A3
0.05094852298498154,52,30,0,0.0,1,2018-01-01,299.72686767578125,STANDARD,299.72686767578125,1,1628.2569580078125,R_A4
0.05140382796525955,52,31,0,0.0,2,2018-01-01,299.6255187988281,STANDARD,299.6255187988281,1,1626.7452392578125,R_A4
0.053334057331085205,52,31,0,0.0,3,2018-01-01,299.7644348144531,STANDARD,299.7644348144531,2,1628.8175048828125,R_A4
0.054815467447042465,52,31,0,0.0,4,2018-01-01,299.90338134765625,STANDARD,299.90338134765625,3,1630.8897705078125,R_A4
0.05765419453382492,52,31,0,0.0,5,2018-01-01,300.04229736328125,STANDARD,300.04229736328125,4,1632.9620361328125,R_A4
0.05774601176381111,52,32,0,0.0,6,2018-01-01,299.9488830566406,STANDARD,299.9488830566406,4,1631.5687255859375,R_A4
0.058357756584882736,51,32,0,0.0,7,2018-01-01,300.10247802734375,STANDARD,300.10247802734375,4,1633.859619140625,R_A4
0.06020079925656319,51,33,0,0.0,8,2018-01-01,300.2328186035156,STANDARD,300.2328186035156,4,1635.8038330078125,R_A4
0.06247471645474434,50,33,0,0.0,9,2018-01-01,300.5195617675781,STANDARD,300.5195617675781,4,1640.0804443359375,R_A4
0.18093375861644745,50,34,0,0.0,10,2018-01-01,300.5204772949219,STANDARD,300.5204772949219,4,1640.09423828125,R_A4
0.25800612568855286,50,35,0,0.0,11,2018-01-01,300.6197814941406,STANDARD,300.6197814941406,4,1641.5750732421875,R_A4
0.3164493143558502,50,35,0,0.0,12,2018-01-01,300.4953308105469,STANDARD,300.4953308105469,3,1639.7193603515625,R_A4
0.248219832777977,49,35,0,0.0,13,2018-01-01,300.68280029296875,STANDARD,300.68280029296875,3,1642.51513671875,R_A4
0.24822057783603668,49,35,0,0.0,14,2018-01-01,300.55615234375,STANDARD,300.55615234375,2,1640.626220703125,R_A4
0.2009950429201126,49,36,0,0.0,15,2018-01-01,300.7806396484375,STANDARD,300.7806396484375,30,1643.97412109375,R_A4
0.2702495753765106,48,36,0,0.0,16,2018-01-01,300.43328857421875,STANDARD,300.43328857421875,30,1638.7939453125,R_A4
0.2772102952003479,48,37,0,0.0,17,2018-01-01,300.8360595703125,STANDARD,300.8360595703125,30,1644.800537109375,R_A4
0.6481541991233826,48,37,0,0.0,18,2018-01-01,301.2284240722656,STANDARD,301.2284240722656,31,1650.65185546875,R_A4
0.1782335788011551,48,38,0,0.0,19,2018-01-01,301.451171875,STANDARD,301.451171875,31,1653.97314453125,R_A4
0.11121020466089249,47,38,0,0.0,20,2018-01-01,301.4140625,STANDARD,301.4140625,31,1653.420166015625,R_A4
1.0,20,31,0,0.0,1,2018-01-01,303.6905517578125,STANDARD,303.6905517578125,1,1683.406494140625,R_A5
1.0,20,31,0,0.0,2,2018-01-01,303.8945007324219,STANDARD,303.8945007324219,2,1685.5587158203125,R_A5
1.0,20,31,0,0.0,3,2018-01-01,304.09844970703125,STANDARD,304.09844970703125,3,1687.7109375,R_A5
1.0,20,31,0,0.0,4,2018-01-01,304.30242919921875,STANDARD,304.30242919921875,4,1689.8631591796875,R_A5
1.0,20,31,0,0.0,5,2018-01-01,304.5063781738281,STANDARD,304.5063781738281,5,1692.015380859375,R_A5
1.0,20,31,0,0.0,6,2018-01-01,304.7103271484375,STANDARD,304.7103271484375,6,1694.167724609375,R_A5
1.0,20,31,0,0.0,7,2018-01-01,305.2200927734375,STANDARD,305.2200927734375,7,1696.3199462890625,R_A5
1.0,20,31,0,0.0,8,2018-01-01,305.4240417480469,STANDARD,305.4240417480469,8,1698.47216796875,R_A5
1.0,21,31,0,0.0,9,2018-01-01,305.6098937988281,STANDARD,305.6098937988281,11,1703.65869140625,R_A5
1.0,21,31,0,0.0,10,2018-01-01,305.79583740234375,STANDARD,305.79583740234375,12,1705.62060546875,R_A5
1.0,21,31,0,0.0,11,2018-01-01,305.99371337890625,STANDARD,305.99371337890625,13,1707.58251953125,R_A5
1.0,21,31,0,0.0,12,2018-01-01,306.1796569824219,STANDARD,306.1796569824219,14,1709.5443115234375,R_A5
1.0,21,31,0,0.0,13,2018-01-01,306.3656005859375,STANDARD,306.3656005859375,15,1711.5062255859375,R_A5
1.0,21,31,0,0.0,14,2018-01-01,306.696533203125,STANDARD,306.696533203125,16,1713.468017578125,R_A5
1.0,21,31,0,0.0,15,2018-01-01,306.8824768066406,STANDARD,306.8824768066406,17,1715.429931640625,R_A5
1.0,21,31,0,0.0,16,2018-01-01,307.016845703125,STANDARD,307.016845703125,18,1716.847900390625,R_A5
1.0,21,31,0,0.0,17,2018-01-01,307.0065002441406,STANDARD,307.0065002441406,27,1718.396240234375,R_A5
1.0,21,31,0,0.0,18,2018-01-01,307.2148132324219,STANDARD,307.2148132324219,28,1720.5943603515625,R_A5
1.0,21,31,0,0.0,19,2018-01-01,307.72894287109375,STANDARD,307.72894287109375,29,1722.79248046875,R_A5
1.0,21,31,0,0.0,20,2018-01-01,307.9372863769531,STANDARD,307.9372863769531,30,1724.99072265625,R_A5
1.0,21,31,0,0.0,21,2018-01-01,308.1456298828125,STANDARD,308.1456298828125,31,1727.1888427734375,R_A5
1.0,42,17,0,0.0,1,2018-01-01,305.24462890625,STANDARD,305.24462890625,1,1696.578857421875,R_A6
1.0,42,17,0,0.0,2,2018-01-01,305.39385986328125,STANDARD,305.39385986328125,2,1698.1536865234375,R_A6
1.0,42,17,0,0.0,3,2018-01-01,305.5430908203125,STANDARD,305.5430908203125,3,1699.728515625,R_A6
1.0,42,17,0,0.0,4,2018-01-01,305.6923522949219,STANDARD,305.6923522949219,4,1701.30322265625,R_A6
1.0,42,17,0,0.0,5,2018-01-01,305.8415832519531,STANDARD,305.8415832519531,5,1702.8780517578125,R_A6
1.0,42,17,0,0.0,6,2018-01-01,305.9908447265625,STANDARD,305.9908447265625,6,1704.452880859375,R_A6
1.0,42,17,0,0.0,7,2018-01-01,305.8410339355469,STANDARD,305.8410339355469,7,1706.0277099609375,R_A6
1.0,42,17,0,0.0,8,2018-01-01,305.9902648925781,STANDARD,305.9902648925781,8,1707.6025390625,R_A6
1.0,42,17,0,0.0,9,2018-01-01,306.4385681152344,STANDARD,306.4385681152344,9,1709.17724609375,R_A6
1.0,42,17,0,0.0,10,2018-01-01,306.28204345703125,STANDARD,306.28204345703125,10,1710.752197265625,R_A6
1.0,42,17,0,0.0,11,2018-01-01,306.4626770019531,STANDARD,306.4626770019531,11,1712.656982421875,R_A6
1.0,42,17,0,0.0,12,2018-01-01,306.67449951171875,STANDARD,306.67449951171875,12,1714.891845703125,R_A6
1.0,42,17,0,0.0,13,2018-01-01,306.89825439453125,STANDARD,306.89825439453125,13,1717.126708984375,R_A6
1.0,42,17,0,0.0,14,2018-01-01,307.1100769042969,STANDARD,307.1100769042969,14,1719.361572265625,R_A6
1.0,42,17,0,0.0,15,2018-01-01,307.3218994140625,STANDARD,307.3218994140625,15,1721.5965576171875,R_A6
1.0,42,17,0,0.0,16,2018-01-01,307.6787109375,STANDARD,307.6787109375,16,1723.8314208984375,R_A6
1.0,42,17,0,0.0,17,2018-01-01,307.8905334472656,STANDARD,307.8905334472656,17,1726.0662841796875,R_A6
1.0,42,17,0,0.0,18,2018-01-01,308.0721130371094,STANDARD,308.0721130371094,18,1727.98193359375,R_A6
1.0,42,17,0,0.0,19,2018-01-01,308.0737609863281,STANDARD,308.0737609863281,27,1729.656982421875,R_A6
1.0,42,17,0,0.0,20,2018-01-01,308.5452880859375,STANDARD,308.5452880859375,28,1731.4058837890625,R_A6
1.0,42,17,0,0.0,21,2018-01-01,308.7110595703125,STANDARD,308.7110595703125,29,1733.15478515625,R_A6
1.0,42,17,0,0.0,22,2018-01-01,308.8768310546875,STANDARD,308.8768310546875,30,1734.903564453125,R_A6
1.0,42,17,0,0.0,23,2018-01-01,308.73681640625,STANDARD,308.73681640625,31,1736.652587890625,R_A6
0.060011427849531174,30,22,0,0.0,1,2018-03-01,296.7051086425781,STANDARD,296.7051086425781,1,1641.0223388671875,R_A2
0.0626811608672142,30,22,0,0.0,2,2018-03-01,296.81829833984375,STANDARD,296.81829833984375,2,1642.7125244140625,R_A2
0.065013088285923,30,22,0,0.0,3,2018-03-01,296.9315185546875,STANDARD,296.9315185546875,3,1644.4027099609375,R_A2
0.06781291216611862,30,22,0,0.0,4,2018-03-01,297.0447082519531,STANDARD,297.0447082519531,4,1646.0928955078125,R_A2
0.21038608253002167,30,22,0,0.0,5,2018-03-01,297.1579284667969,STANDARD,297.1579284667969,5,1647.7830810546875,R_A2
0.6495039463043213,30,22,0,0.0,6,2018-03-01,297.2210998535156,STANDARD,297.2210998535156,6,1649.4732666015625,R_A2
0.9060273766517639,30,22,0,0.0,7,2018-03-01,297.35595703125,STANDARD,297.35595703125,7,1651.1634521484375,R_A2
0.894591212272644,30,22,0,0.0,8,2018-03-01,297.4753112792969,STANDARD,297.4753112792969,8,1652.853515625,R_A2
0.9041875004768372,30,22,0,0.0,9,2018-03-01,297.7750244140625,STANDARD,297.7750244140625,9,1654.543701171875,R_A2
0.9261218905448914,30,22,0,0.0,10,2018-03-01,298.1423645019531,STANDARD,298.1423645019531,10,1656.2340087890625,R_A2
0.08000572770833969,30,22,0,0.0,11,2018-03-01,299.14141845703125,STANDARD,299.14141845703125,11,1658.1107177734375,R_A2
0.17753185331821442,30,22,0,0.0,12,2018-03-01,299.2936096191406,STANDARD,299.2936096191406,12,1660.1741943359375,R_A2
0.48458194732666016,30,22,0,0.0,13,2018-03-01,299.4486083984375,STANDARD,299.4486083984375,13,1662.2376708984375,R_A2
0.5463966131210327,30,22,0,0.0,14,2018-03-01,299.5873718261719,STANDARD,299.5873718261719,14,1664.301025390625,R_A2
0.7023191452026367,29,22,0,0.0,15,2018-03-01,299.4971923828125,STANDARD,299.4971923828125,14,1666.669921875,R_A2
0.9946111440658569,29,22,0,0.0,16,2018-03-01,299.63134765625,STANDARD,299.63134765625,15,1668.784423828125,R_A2
1.0,29,22,0,-1.4898617062275576e-10,17,2018-03-01,299.772216796875,STANDARD,299.772216796875,16,1670.8988037109375,R_A2
1.0,29,22,0,-3.735831366480369e-10,18,2018-03-01,299.9133605957031,STANDARD,299.9133605957031,17,1673.01318359375,R_A2
1.0,29,22,0,-1.1203060701348022e-10,19,2018-03-01,300.2238464355469,STANDARD,300.2238464355469,18,1674.875732421875,R_A2
1.0,29,22,0,-3.782467554094967e-15,20,2018-03-01,301.9471130371094,STANDARD,301.9471130371094,27,1676.753662109375,R_A2
1.0,29,22,0,-2.178972351537427e-15,21,2018-03-01,301.60748291015625,STANDARD,301.60748291015625,28,1678.572998046875,R_A2
1.0,29,22,0,-2.700315249182239e-10,22,2018-03-01,300.90966796875,STANDARD,300.90966796875,29,1680.3922119140625,R_A2
1.0,29,22,0,-8.419107272640168e-16,23,2018-03-01,302.0205383300781,STANDARD,302.0205383300781,30,1682.21142578125,R_A2
1.0,29,22,0,-4.066530071768276e-17,24,2018-03-01,303.0287170410156,STANDARD,303.0287170410156,31,1684.0306396484375,R_A2
1.0,20,31,0,-2.4162108945569027e-12,1,2018-04-28,266.3167419433594,STANDARD,266.3167419433594,1,1683.406494140625,R_A5
1.0,20,31,0,-2.1490250984995685e-12,2,2018-04-28,266.5203552246094,STANDARD,266.5203552246094,2,1685.5587158203125,R_A5
1.0,20,31,0,-2.436267116864843e-12,3,2018-04-28,266.7240295410156,STANDARD,266.7240295410156,3,1687.7109375,R_A5
1.0,20,31,0,-2.5122495229956687e-12,4,2018-04-28,266.92767333984375,STANDARD,266.92767333984375,4,1689.8631591796875,R_A5
1.0,20,31,0,-2.0409663542553247e-12,5,2018-04-28,267.1313171386719,STANDARD,267.1313171386719,5,1692.015380859375,R_A5
1.0,20,31,0,-1.8774959885392573e-12,6,2018-04-28,267.3349609375,STANDARD,267.3349609375,6,1694.167724609375,R_A5
1.0,20,31,0,-6.18868508956566e-13,7,2018-04-28,267.87933349609375,STANDARD,267.87933349609375,7,1696.3199462890625,R_A5
1.0,20,31,0,-2.6270218639323772e-11,8,2018-04-28,270.4714660644531,STANDARD,270.4714660644531,8,1698.47216796875,R_A5
1.0,21,31,0,-7.633497722814298e-10,9,2018-04-28,275.197265625,STANDARD,275.197265625,11,1703.65869140625,R_A5
1.0,21,31,0,-8.077789548366354e-10,10,2018-04-28,275.3832092285156,STANDARD,275.3832092285156,12,1705.62060546875,R_A5
1.0,21,31,0,-3.1907164410593936e-11,11,2018-04-28,275.58154296875,STANDARD,275.58154296875,13,1707.58251953125,R_A5
1.0,21,31,0,-3.557829725275852e-11,12,2018-04-28,275.7682800292969,STANDARD,275.7682800292969,14,1709.5443115234375,R_A5
1.0,21,31,0,-1.3291680256433125e-11,13,2018-04-28,275.9550476074219,STANDARD,275.9550476074219,15,1711.5062255859375,R_A5
1.0,21,31,0,-2.500982710859634e-12,14,2018-04-28,276.2969970703125,STANDARD,276.2969970703125,16,1713.468017578125,R_A5
1.0,21,31,0,-2.321341036060076e-11,15,2018-04-28,276.52099609375,STANDARD,276.52099609375,17,1715.429931640625,R_A5
1.0,21,31,0,-1.1319393339315198e-10,16,2018-04-28,276.6759338378906,STANDARD,276.6759338378906,18,1716.847900390625,R_A5
1.0,21,31,0,-9.704066439297776e-10,17,2018-04-28,282.840087890625,STANDARD,282.840087890625,27,1718.396240234375,R_A5
1.0,21,31,0,-1.1653933373878544e-09,18,2018-04-28,283.0294189453125,STANDARD,283.0294189453125,28,1720.5943603515625,R_A5
1.0,21,31,0,-4.8462344876277e-17,19,2018-04-28,293.05560302734375,STANDARD,293.05560302734375,29,1722.79248046875,R_A5
1.0,21,31,0,-5.664892658329594e-18,20,2018-04-28,291.90606689453125,STANDARD,291.90606689453125,30,1724.99072265625,R_A5
1.0,21,31,0,-5.490264059354599e-12,21,2018-04-28,284.9965515136719,STANDARD,284.9965515136719,31,1727.1888427734375,R_A5
0.18193435668945312,41,28,0,0.0,1,2018-07-03,271.6661682128906,STANDARD,271.6661682128906,1,1611.4952392578125,R_A3
0.15747307240962982,41,28,0,0.0,2,2018-07-03,271.8061218261719,STANDARD,271.8061218261719,2,1613.59375,R_A3
0.19849976897239685,41,28,0,0.0,3,2018-07-03,271.946044921875,STANDARD,271.946044921875,3,1615.692138671875,R_A3
0.2114458680152893,41,28,0,0.0,4,2018-07-03,272.0858459472656,STANDARD,272.0858459472656,4,1617.79052734375,R_A3
0.37306198477745056,41,29,0,0.0,5,2018-07-03,271.2667541503906,STANDARD,271.2667541503906,4,1605.4725341796875,R_A3
0.8095059990882874,41,29,0,0.0,6,2018-07-03,271.5116882324219,STANDARD,271.5116882324219,5,1607.4976806640625,R_A3
0.6501532196998596,41,29,0,0.0,7,2018-07-03,271.6484680175781,STANDARD,271.6484680175781,6,1609.5228271484375,R_A3
0.20059362053871155,41,29,0,0.0,8,2018-07-03,271.8037414550781,STANDARD,271.8037414550781,7,1611.5478515625,R_A3
0.2514951527118683,41,29,0,0.0,9,2018-07-03,271.938232421875,STANDARD,271.938232421875,8,1613.572998046875,R_A3
0.8035106062889099,41,29,0,0.0,10,2018-07-03,272.1858825683594,STANDARD,272.1858825683594,9,1615.59814453125,R_A3
0.8008641004562378,41,29,0,0.0,11,2018-07-03,272.90625,STANDARD,272.90625,10,1617.623291015625,R_A3
0.04938845708966255,41,29,0,0.0,12,2018-07-03,287.47283935546875,STANDARD,287.47283935546875,11,1619.74169921875,R_A3
0.055355191230773926,41,29,0,0.0,13,2018-07-03,287.6206359863281,STANDARD,287.6206359863281,12,1621.9532470703125,R_A3
0.37638241052627563,41,29,0,0.0,14,2018-07-03,287.7687683105469,STANDARD,287.7687683105469,13,1624.164794921875,R_A3
0.3592688739299774,41,29,0,0.0,15,2018-07-03,288.4990539550781,STANDARD,288.4990539550781,14,1626.376220703125,R_A3
0.5023887157440186,41,29,0,0.0,16,2018-07-03,288.3642883300781,STANDARD,288.3642883300781,15,1628.5877685546875,R_A3
0.805133581161499,41,29,0,0.0,17,2018-07-03,288.514892578125,STANDARD,288.514892578125,16,1630.5726318359375,R_A3
0.7685761451721191,41,29,0,0.0,18,2018-07-03,288.5834045410156,STANDARD,288.5834045410156,17,1631.5882568359375,R_A3
0.999997615814209,41,29,0,0.0,19,2018-07-03,291.3276062011719,STANDARD,291.3276062011719,27,1633.5675048828125,R_A3
