WELLMODEL,DRAWDOWN,SWAT,CONBPRES,CONIDX,CONKPOS,SGAS,DATE,PRESSURE,CONIPOS,WELL,DEPTH,CONJPOS
STANDARD,0,0.1401253342628479,276.0087890625,4,4,0.0,2018-07-03,276.0087890625,28,R_A3,1615.765625,41
STANDARD,0,0.6499910354614258,276.1432800292969,5,5,0.0,2018-07-03,276.1432800292969,28,R_A3,1617.7847900390625,41
STANDARD,0,0.6497474312782288,276.27789306640625,6,6,0.0,2018-07-03,276.27789306640625,28,R_A3,1619.803955078125,41
STANDARD,0,0.6496515870094299,275.6501159667969,7,6,0.0,2018-07-03,275.6501159667969,29,R_A3,1609.7901611328125,41
STANDARD,0,0.19471411406993866,275.7938232421875,8,7,0.0,2018-07-03,275.7938232421875,29,R_A3,1611.8707275390625,41
STANDARD,0,0.19502554833889008,275.9324645996094,9,8,0.0,2018-07-03,275.9324645996094,29,R_A3,1613.9512939453125,41
STANDARD,0,0.7948282957077026,276.18359375,10,9,0.0,2018-07-03,276.18359375,29,R_A3,1616.0318603515625,41
STANDARD,0,0.7884515523910522,276.90277099609375,11,10,0.0,2018-07-03,276.90277099609375,29,R_A3,1618.1124267578125,41
STANDARD,0,0.049063533544540405,291.5570068359375,12,11,0.0,2018-07-03,291.5570068359375,29,R_A3,1620.37939453125,41
STANDARD,0,0.054919831454753876,291.7211608886719,13,12,0.0,2018-07-03,291.7211608886719,29,R_A3,1622.8326416015625,41
STANDARD,0,0.3776054382324219,291.8868408203125,14,13,0.0,2018-07-03,291.8868408203125,29,R_A3,1625.285888671875,41
STANDARD,0,0.3527733385562897,292.05267333984375,15,14,0.0,2018-07-03,292.05267333984375,29,R_A3,1627.739013671875,41
STANDARD,0,0.7946100234985352,292.23748779296875,16,15,0.0,2018-07-03,292.23748779296875,29,R_A3,1630.1363525390625,41
STANDARD,0,0.7671450972557068,292.3363342285156,17,16,0.0,2018-07-03,292.3363342285156,29,R_A3,1631.6009521484375,41
STANDARD,0,0.7359896898269653,290.8363342285156,18,26,0.0,2018-07-03,290.8363342285156,29,R_A3,1633.6324462890625,41
STANDARD,0,0.04374454542994499,285.8934631347656,19,27,0.0,2018-07-03,285.8934631347656,29,R_A3,1637.107666015625,41
STANDARD,0,0.050515636801719666,286.1256408691406,20,28,0.0,2018-07-03,286.1256408691406,29,R_A3,1640.5828857421875,41
STANDARD,0,0.8258535861968994,288.79083251953125,21,29,0.0,2018-07-03,288.79083251953125,29,R_A3,1644.0579833984375,41
STANDARD,0,0.06136411800980568,286.5735778808594,22,30,0.0,2018-07-03,286.5735778808594,29,R_A3,1647.533203125,41
STANDARD,0,0.10291468352079391,276.3371887207031,1,1,0.0,2018-09-12,276.3371887207031,30,R_A4,1635.055419921875,52
STANDARD,0,0.21418608725070953,275.98846435546875,2,1,0.0,2018-09-12,275.98846435546875,31,R_A4,1628.21875,52
STANDARD,0,0.1186240166425705,276.12664794921875,3,2,0.0,2018-09-12,276.12664794921875,31,R_A4,1630.33251953125,52
STANDARD,0,0.10267219692468643,276.26519775390625,4,3,0.0,2018-09-12,276.26519775390625,31,R_A4,1632.4462890625,52
STANDARD,0,0.05524599552154541,276.4056091308594,5,4,0.0,2018-09-12,276.4056091308594,31,R_A4,1634.56005859375,52
STANDARD,0,0.05491692200303078,276.5251770019531,6,4,0.0,2018-09-12,276.5251770019531,32,R_A4,1632.9503173828125,52
STANDARD,0,0.05550685524940491,276.6400451660156,7,4,0.0,2018-09-12,276.6400451660156,32,R_A4,1637.3546142578125,51
STANDARD,0,0.05480886995792389,276.5174255371094,8,3,0.0,2018-09-12,276.5174255371094,32,R_A4,1635.5135498046875,51
STANDARD,0,0.05575075373053551,276.78875732421875,9,3,0.0,2018-09-12,276.78875732421875,33,R_A4,1636.5865478515625,51
STANDARD,0,0.060108985751867294,276.95416259765625,10,3,0.0,2018-09-12,276.95416259765625,33,R_A4,1641.42724609375,50
STANDARD,0,0.060420453548431396,277.0758361816406,11,3,0.0,2018-09-12,277.0758361816406,34,R_A4,1639.8843994140625,50
STANDARD,0,0.06009235605597496,277.20660400390625,12,3,0.0,2018-09-12,277.20660400390625,35,R_A4,1638.431884765625,50
STANDARD,0,0.08557526767253876,277.4302978515625,13,3,0.0,2018-09-12,277.4302978515625,35,R_A4,1643.7950439453125,49
STANDARD,0,0.053791023790836334,278.50732421875,14,29,0.0,2018-09-12,278.50732421875,36,R_A4,1640.8319091796875,49
STANDARD,0,0.12216152995824814,278.4932861328125,15,29,0.0,2018-09-12,278.4932861328125,36,R_A4,1643.602783203125,48
STANDARD,0,0.05644729733467102,278.9906921386719,16,29,0.0,2018-09-12,278.9906921386719,37,R_A4,1646.747802734375,48
STANDARD,0,0.10055681318044662,279.4237365722656,17,29,0.0,2018-09-12,279.4237365722656,38,R_A4,1650.137451171875,48
STANDARD,0,0.07601261138916016,280.20330810546875,18,29,0.0,2018-09-12,280.20330810546875,38,R_A4,1663.68359375,47
STANDARD,0,0.07024985551834106,279.8381042480469,19,28,0.0,2018-09-12,279.8381042480469,38,R_A4,1658.20068359375,47
STANDARD,0,1.0,275.2113952636719,1,1,-8.221068791003372e-12,2018-11-07,275.2113952636719,17,R_A6,1694.395263671875,42
STANDARD,0,1.0,275.3647766113281,2,2,-2.0479568561826422e-12,2018-11-07,275.3647766113281,17,R_A6,1695.928466796875,42
STANDARD,0,1.0,275.5252990722656,3,3,-1.195674635690036e-12,2018-11-07,275.5252990722656,17,R_A6,1697.4617919921875,42
STANDARD,0,1.0,275.6914367675781,4,4,-7.359729687662908e-13,2018-11-07,275.6914367675781,17,R_A6,1698.9949951171875,42
STANDARD,0,1.0,275.8548889160156,5,5,-5.863890644754177e-13,2018-11-07,275.8548889160156,17,R_A6,1700.5283203125,42
STANDARD,0,1.0,276.0086669921875,6,6,-1.6078116268913867e-11,2018-11-07,276.0086669921875,17,R_A6,1702.0616455078125,42
STANDARD,0,1.0,275.8589172363281,7,7,-2.622332385959769e-11,2018-11-07,275.8589172363281,17,R_A6,1703.5948486328125,42
STANDARD,0,1.0,276.00408935546875,8,8,-1.764727600161997e-11,2018-11-07,276.00408935546875,17,R_A6,1705.1280517578125,42
STANDARD,0,1.0,276.4539489746094,9,9,-6.610575281618125e-11,2018-11-07,276.4539489746094,17,R_A6,1706.661376953125,42
STANDARD,0,1.0,276.3551330566406,10,10,-1.768206137064965e-10,2018-11-07,276.3551330566406,17,R_A6,1708.1947021484375,42
STANDARD,0,1.0,277.6939697265625,11,11,-8.783277382316823e-13,2018-11-07,277.6939697265625,17,R_A6,1710.135498046875,42
STANDARD,0,1.0,277.9348449707031,12,12,-2.724312474829821e-13,2018-11-07,277.9348449707031,17,R_A6,1712.4837646484375,42
STANDARD,0,1.0,278.2055969238281,13,13,-2.055716267514423e-14,2018-11-07,278.2055969238281,17,R_A6,1714.83203125,42
STANDARD,0,1.0,278.4281005859375,14,14,-1.4189013970657052e-14,2018-11-07,278.4281005859375,17,R_A6,1717.180419921875,42
STANDARD,0,1.0,278.800537109375,15,15,-6.255544991512138e-15,2018-11-07,278.800537109375,17,R_A6,1719.52880859375,42
STANDARD,0,1.0,279.03106689453125,16,16,-4.020516423041895e-15,2018-11-07,279.03106689453125,17,R_A6,1721.8770751953125,42
