CONKPOS,WELL,SWAT,CONJPOS,CONIDX,DATE,CONIPOS,SGAS,PRESSURE,DRAWDOWN,CONBPRES,DEPTH,WELLMODEL
27,R_A3,0.05054737627506256,41,20,2018-01-01,29,0.0,300.8294982910156,0,300.8294982910156,1641.478271484375,STANDARD
28,R_A3,0.8211342096328735,41,21,2018-01-01,29,0.0,301.07183837890625,0,301.07183837890625,1645.092041015625,STANDARD
29,R_A3,0.6481541991233826,41,22,2018-01-01,29,0.0,301.3141784667969,0,301.3141784667969,1648.7059326171875,STANDARD
1,R_A4,0.04827168583869934,52,1,2018-01-01,30,0.0,300.23846435546875,0,300.23846435546875,1632.663330078125,STANDARD
1,R_A4,0.04790782928466797,52,2,2018-01-01,31,0.0,299.892578125,0,299.892578125,1627.504150390625,STANDARD
2,R_A4,0.049719445407390594,52,3,2018-01-01,31,0.0,300.0299377441406,0,300.0299377441406,1629.5533447265625,STANDARD
3,R_A4,0.05050218105316162,52,4,2018-01-01,31,0.0,300.1673278808594,0,300.1673278808594,1631.6024169921875,STANDARD
4,R_A4,0.05300503224134445,52,5,2018-01-01,31,0.0,300.3047180175781,0,300.3047180175781,1633.651611328125,STANDARD
4,R_A4,0.05283427610993385,52,6,2018-01-01,32,0.0,300.17437744140625,0,300.17437744140625,1631.70751953125,STANDARD
4,R_A4,0.05377361550927162,51,7,2018-01-01,32,0.0,300.4220275878906,0,300.4220275878906,1635.401123046875,STANDARD
4,R_A4,0.05661449581384659,51,8,2018-01-01,33,0.0,300.4997863769531,0,300.4997863769531,1636.5611572265625,STANDARD
4,R_A4,0.05836718901991844,50,9,2018-01-01,33,0.0,300.78277587890625,0,300.78277587890625,1640.7813720703125,STANDARD
4,R_A4,0.11734429001808167,50,10,2018-01-01,34,0.0,300.6937255859375,0,300.6937255859375,1639.453369140625,STANDARD
4,R_A4,0.1371619701385498,50,11,2018-01-01,35,0.0,300.7344665527344,0,300.7344665527344,1640.0611572265625,STANDARD
3,R_A4,0.22492679953575134,50,12,2018-01-01,35,0.0,300.61590576171875,0,300.61590576171875,1638.29296875,STANDARD
3,R_A4,0.2338324338197708,49,13,2018-01-01,35,0.0,300.9540100097656,0,300.9540100097656,1643.3353271484375,STANDARD
2,R_A4,0.23071640729904175,49,14,2018-01-01,35,0.0,300.8379211425781,0,300.8379211425781,1641.6038818359375,STANDARD
28,R_A4,0.17115959525108337,49,15,2018-01-01,36,0.0,300.9288635253906,0,300.9288635253906,1642.9603271484375,STANDARD
28,R_A4,0.09401717036962509,48,16,2018-01-01,36,0.0,301.021240234375,0,301.021240234375,1644.337646484375,STANDARD
28,R_A4,0.24564778804779053,48,17,2018-01-01,37,0.0,301.396484375,0,301.396484375,1649.93310546875,STANDARD
27,R_A4,0.22550378739833832,48,18,2018-01-01,37,0.0,301.0180358886719,0,301.0180358886719,1644.2900390625,STANDARD
27,R_A4,0.2375830113887787,48,19,2018-01-01,38,0.0,301.3328552246094,0,301.3328552246094,1648.9842529296875,STANDARD
27,R_A4,0.06705277413129807,47,20,2018-01-01,38,0.0,301.88641357421875,0,301.88641357421875,1657.23828125,STANDARD
1,R_A5,1.0,20,1,2018-01-01,31,0.0,303.87286376953125,0,303.87286376953125,1685.330322265625,STANDARD
2,R_A5,1.0,20,2,2018-01-01,31,0.0,304.0689697265625,0,304.0689697265625,1687.3997802734375,STANDARD
3,R_A5,1.0,20,3,2018-01-01,31,0.0,304.26507568359375,0,304.26507568359375,1689.46923828125,STANDARD
4,R_A5,1.0,20,4,2018-01-01,31,0.0,304.461181640625,0,304.461181640625,1691.53857421875,STANDARD
5,R_A5,1.0,20,5,2018-01-01,31,0.0,304.65728759765625,0,304.65728759765625,1693.60791015625,STANDARD
6,R_A5,1.0,20,6,2018-01-01,31,0.0,304.8533935546875,0,304.8533935546875,1695.6773681640625,STANDARD
7,R_A5,1.0,20,7,2018-01-01,31,0.0,305.35528564453125,0,305.35528564453125,1697.7467041015625,STANDARD
8,R_A5,1.0,20,8,2018-01-01,31,0.0,305.5514221191406,0,305.5514221191406,1699.8160400390625,STANDARD
9,R_A5,1.0,21,9,2018-01-01,31,0.0,305.27569580078125,0,305.27569580078125,1696.90673828125,STANDARD
10,R_A5,1.0,21,10,2018-01-01,31,0.0,305.4877014160156,0,305.4877014160156,1699.1439208984375,STANDARD
11,R_A5,1.0,21,11,2018-01-01,31,0.0,305.38311767578125,0,305.38311767578125,1701.2657470703125,STANDARD
12,R_A5,1.0,21,12,2018-01-01,31,0.0,305.5732727050781,0,305.5732727050781,1703.272216796875,STANDARD
13,R_A5,1.0,21,13,2018-01-01,31,0.0,305.775390625,0,305.775390625,1705.278564453125,STANDARD
14,R_A5,1.0,21,14,2018-01-01,31,0.0,305.9655456542969,0,305.9655456542969,1707.2850341796875,STANDARD
15,R_A5,1.0,21,15,2018-01-01,31,0.0,306.1556701660156,0,306.1556701660156,1709.2913818359375,STANDARD
16,R_A5,1.0,21,16,2018-01-01,31,0.0,306.4908447265625,0,306.4908447265625,1711.2978515625,STANDARD
17,R_A5,1.0,21,17,2018-01-01,31,0.0,306.6775207519531,0,306.6775207519531,1713.267333984375,STANDARD
18,R_A5,1.0,21,18,2018-01-01,31,0.0,306.8056945800781,0,306.8056945800781,1714.6201171875,STANDARD
19,R_A5,1.0,21,19,2018-01-01,31,0.0,306.8521423339844,0,306.8521423339844,1715.1099853515625,STANDARD
25,R_A5,1.0,21,20,2018-01-01,31,0.0,306.8086853027344,0,306.8086853027344,1716.3089599609375,STANDARD
26,R_A5,1.0,21,21,2018-01-01,31,0.0,307.0163269042969,0,307.0163269042969,1718.4998779296875,STANDARD
27,R_A5,1.0,21,22,2018-01-01,31,0.0,307.5297546386719,0,307.5297546386719,1720.6907958984375,STANDARD
28,R_A5,1.0,21,23,2018-01-01,31,0.0,307.7373962402344,0,307.7373962402344,1722.8817138671875,STANDARD
29,R_A5,1.0,21,24,2018-01-01,31,0.0,307.9450378417969,0,307.9450378417969,1725.0726318359375,STANDARD
1,R_A6,1.0,42,1,2018-01-01,17,0.0,305.0358581542969,0,305.0358581542969,1694.3758544921875,STANDARD
2,R_A6,1.0,42,2,2018-01-01,17,0.0,305.1809997558594,0,305.1809997558594,1695.9075927734375,STANDARD
3,R_A6,1.0,42,3,2018-01-01,17,0.0,305.326171875,0,305.326171875,1697.439208984375,STANDARD
4,R_A6,1.0,42,4,2018-01-01,17,0.0,305.4713134765625,0,305.4713134765625,1698.970947265625,STANDARD
5,R_A6,1.0,42,5,2018-01-01,17,0.0,305.616455078125,0,305.616455078125,1700.5025634765625,STANDARD
6,R_A6,1.0,42,6,2018-01-01,17,0.0,305.7616271972656,0,305.7616271972656,1702.0341796875,STANDARD
7,R_A6,1.0,42,7,2018-01-01,17,0.0,305.60772705078125,0,305.60772705078125,1703.56591796875,STANDARD
8,R_A6,1.0,42,8,2018-01-01,17,0.0,305.75286865234375,0,305.75286865234375,1705.0975341796875,STANDARD
9,R_A6,1.0,42,9,2018-01-01,17,0.0,306.19708251953125,0,306.19708251953125,1706.629150390625,STANDARD
10,R_A6,1.0,42,10,2018-01-01,17,0.0,306.03643798828125,0,306.03643798828125,1708.160888671875,STANDARD
11,R_A6,1.0,42,11,2018-01-01,17,0.0,306.21435546875,0,306.21435546875,1710.03662109375,STANDARD
12,R_A6,1.0,42,12,2018-01-01,17,0.0,306.42474365234375,0,306.42474365234375,1712.2567138671875,STANDARD
13,R_A6,1.0,42,13,2018-01-01,17,0.0,306.6471252441406,0,306.6471252441406,1714.476806640625,STANDARD
14,R_A6,1.0,42,14,2018-01-01,17,0.0,306.8575134277344,0,306.8575134277344,1716.6968994140625,STANDARD
15,R_A6,1.0,42,15,2018-01-01,17,0.0,307.06793212890625,0,307.06793212890625,1718.9168701171875,STANDARD
16,R_A6,1.0,42,16,2018-01-01,17,0.0,307.42333984375,0,307.42333984375,1721.136962890625,STANDARD
17,R_A6,1.0,42,17,2018-01-01,17,0.0,307.6337585449219,0,307.6337585449219,1723.35693359375,STANDARD
18,R_A6,1.0,42,18,2018-01-01,17,0.0,307.7978210449219,0,307.7978210449219,1725.0880126953125,STANDARD
25,R_A6,1.0,42,19,2018-01-01,17,0.0,307.7804260253906,0,307.7804260253906,1726.56201171875,STANDARD
26,R_A6,1.0,42,20,2018-01-01,17,0.0,308.2478942871094,0,308.2478942871094,1728.2679443359375,STANDARD
27,R_A6,1.0,42,21,2018-01-01,17,0.0,308.4095764160156,0,308.4095764160156,1729.973876953125,STANDARD
28,R_A6,1.0,42,22,2018-01-01,17,0.0,308.5712890625,0,308.5712890625,1731.679931640625,STANDARD
29,R_A6,1.0,42,23,2018-01-01,17,0.0,308.42718505859375,0,308.42718505859375,1733.3858642578125,STANDARD
1,R_A2,0.05268299579620361,30,1,2018-03-01,22,0.0,298.6548767089844,0,298.6548767089844,1639.0633544921875,STANDARD
2,R_A2,0.053946562111377716,30,2,2018-03-01,22,0.0,298.771484375,0,298.771484375,1640.8031005859375,STANDARD
3,R_A2,0.05811368674039841,30,3,2018-03-01,22,0.0,298.8880920410156,0,298.8880920410156,1642.5428466796875,STANDARD
4,R_A2,0.06312934309244156,30,4,2018-03-01,22,0.0,299.00469970703125,0,299.00469970703125,1644.282470703125,STANDARD
5,R_A2,0.0644293799996376,30,5,2018-03-01,22,0.0,299.12127685546875,0,299.12127685546875,1646.0220947265625,STANDARD
6,R_A2,0.6486417651176453,30,6,2018-03-01,22,0.0,299.2077941894531,0,299.2077941894531,1647.7618408203125,STANDARD
7,R_A2,0.8688473105430603,30,7,2018-03-01,22,0.0,299.3366394042969,0,299.3366394042969,1649.50146484375,STANDARD
8,R_A2,0.8493402004241943,30,8,2018-03-01,22,0.0,299.4581604003906,0,299.4581604003906,1651.2412109375,STANDARD
9,R_A2,0.8863081336021423,30,9,2018-03-01,22,0.0,299.66656494140625,0,299.66656494140625,1652.98095703125,STANDARD
10,R_A2,0.8747124671936035,30,10,2018-03-01,22,0.0,299.90869140625,0,299.90869140625,1654.720703125,STANDARD
11,R_A2,0.06520412862300873,30,11,2018-03-01,22,0.0,299.8973388671875,0,299.8973388671875,1656.57568359375,STANDARD
12,R_A2,0.13843558728694916,30,12,2018-03-01,22,0.0,300.0294494628906,0,300.0294494628906,1658.546142578125,STANDARD
13,R_A2,0.4124082028865814,30,13,2018-03-01,22,0.0,300.1619567871094,0,300.1619567871094,1660.5166015625,STANDARD
14,R_A2,0.4574671983718872,30,14,2018-03-01,22,0.0,300.29498291015625,0,300.29498291015625,1662.4869384765625,STANDARD
15,R_A2,0.8901857137680054,30,15,2018-03-01,22,0.0,300.4319152832031,0,300.4319152832031,1664.4573974609375,STANDARD
16,R_A2,0.9043818116188049,30,16,2018-03-01,22,0.0,300.5663757324219,0,300.5663757324219,1666.4278564453125,STANDARD
17,R_A2,0.8525838255882263,30,17,2018-03-01,22,0.0,300.7000732421875,0,300.7000732421875,1668.3983154296875,STANDARD
17,R_A2,0.9088489413261414,29,18,2018-03-01,22,0.0,301.083251953125,0,301.083251953125,1673.762939453125,STANDARD
18,R_A2,0.9662342667579651,29,19,2018-03-01,22,0.0,301.2078857421875,0,301.2078857421875,1675.6243896484375,STANDARD
25,R_A2,0.6482449173927307,29,20,2018-03-01,22,0.0,302.23114013671875,0,302.23114013671875,1677.3984375,STANDARD
26,R_A2,1.0,29,21,2018-03-01,22,-5.2192108875723505e-17,303.20697021484375,0,303.20697021484375,1679.1434326171875,STANDARD
27,R_A2,1.0,29,22,2018-03-01,22,-2.7640627950730585e-16,303.1883239746094,0,303.1883239746094,1680.8885498046875,STANDARD
28,R_A2,1.0,29,23,2018-03-01,22,-2.38432236058855e-15,303.2445983886719,0,303.2445983886719,1682.633544921875,STANDARD
29,R_A2,1.0,29,24,2018-03-01,22,-7.570058810487876e-15,302.95416259765625,0,302.95416259765625,1684.3785400390625,STANDARD
1,R_A5,1.0,20,1,2018-04-28,31,-8.598743939103315e-10,280.03753662109375,0,280.03753662109375,1685.330322265625,STANDARD
2,R_A5,1.0,20,2,2018-04-28,31,-7.522967249151691e-10,280.23321533203125,0,280.23321533203125,1687.3997802734375,STANDARD
3,R_A5,1.0,20,3,2018-04-28,31,-7.363264442616924e-10,280.4290466308594,0,280.4290466308594,1689.46923828125,STANDARD
4,R_A5,1.0,20,4,2018-04-28,31,-8.25893964329083e-10,280.62481689453125,0,280.62481689453125,1691.53857421875,STANDARD
5,R_A5,1.0,20,5,2018-04-28,31,-3.9578215704771935e-10,280.8204345703125,0,280.8204345703125,1693.60791015625,STANDARD
6,R_A5,1.0,20,6,2018-04-28,31,-1.2029452434170196e-10,281.01617431640625,0,281.01617431640625,1695.6773681640625,STANDARD
7,R_A5,1.0,20,7,2018-04-28,31,-5.132528083096055e-12,281.5955505371094,0,281.5955505371094,1697.7467041015625,STANDARD
8,R_A5,1.0,20,8,2018-04-28,31,-2.659470517071827e-12,281.85174560546875,0,281.85174560546875,1699.8160400390625,STANDARD
9,R_A5,1.0,21,9,2018-04-28,31,-1.7135893398689817e-12,280.6248474121094,0,280.6248474121094,1696.90673828125,STANDARD
10,R_A5,1.0,21,10,2018-04-28,31,-2.7879892947231533e-13,280.725830078125,0,280.725830078125,1699.1439208984375,STANDARD
11,R_A5,1.0,21,11,2018-04-28,31,-3.280224702972845e-11,279.5722351074219,0,279.5722351074219,1701.2657470703125,STANDARD
12,R_A5,1.0,21,12,2018-04-28,31,-6.296788784831975e-11,279.7875671386719,0,279.7875671386719,1703.272216796875,STANDARD
13,R_A5,1.0,21,13,2018-04-28,31,-2.6359433299288915e-12,279.9896545410156,0,279.9896545410156,1705.278564453125,STANDARD
14,R_A5,1.0,21,14,2018-04-28,31,-2.157984728412554e-12,280.17962646484375,0,280.17962646484375,1707.2850341796875,STANDARD
15,R_A5,1.0,21,15,2018-04-28,31,-1.6282702183095799e-12,280.37066650390625,0,280.37066650390625,1709.2913818359375,STANDARD
16,R_A5,1.0,21,16,2018-04-28,31,-2.8582087326263494e-13,280.7135009765625,0,280.7135009765625,1711.2978515625,STANDARD
17,R_A5,1.0,21,17,2018-04-28,31,-4.230574495323741e-13,280.9117431640625,0,280.9117431640625,1713.267333984375,STANDARD
18,R_A5,1.0,21,18,2018-04-28,31,-1.6413660795105978e-13,281.0456237792969,0,281.0456237792969,1714.6201171875,STANDARD
19,R_A5,1.0,21,19,2018-04-28,31,0.0,281.09368896484375,0,281.09368896484375,1715.1099853515625,STANDARD
25,R_A5,1.0,21,20,2018-04-28,31,-1.6799148183643808e-10,285.88018798828125,0,285.88018798828125,1716.3089599609375,STANDARD
26,R_A5,1.0,21,21,2018-04-28,31,-1.6809144354201777e-10,286.111572265625,0,286.111572265625,1718.4998779296875,STANDARD
27,R_A5,1.0,21,22,2018-04-28,31,-1.1138843907141123e-17,296.68719482421875,0,296.68719482421875,1720.6907958984375,STANDARD
28,R_A5,1.0,21,23,2018-04-28,31,-7.525872743705856e-19,304.0831298828125,0,304.0831298828125,1722.8817138671875,STANDARD
29,R_A5,1.0,21,24,2018-04-28,31,-7.539305381371893e-21,306.6324768066406,0,306.6324768066406,1725.0726318359375,STANDARD
1,R_A3,0.24703797698020935,41,1,2018-07-03,28,0.0,280.40106201171875,0,280.40106201171875,1609.547119140625,STANDARD
2,R_A3,0.14648613333702087,41,2,2018-07-03,28,0.0,280.52001953125,0,280.52001953125,1611.584716796875,STANDARD
3,R_A3,0.11933112144470215,41,3,2018-07-03,28,0.0,280.6558532714844,0,280.6558532714844,1613.622314453125,STANDARD
3,R_A3,0.16209842264652252,41,4,2018-07-03,29,0.0,279.9267272949219,0,279.9267272949219,1602.8953857421875,STANDARD
4,R_A3,0.1793641597032547,41,5,2018-07-03,29,0.0,280.0712890625,0,280.0712890625,1605.0634765625,STANDARD
5,R_A3,0.7984552383422852,41,6,2018-07-03,29,0.0,280.301025390625,0,280.301025390625,1607.2314453125,STANDARD
6,R_A3,0.6513516306877136,41,7,2018-07-03,29,0.0,280.4317932128906,0,280.4317932128906,1609.3995361328125,STANDARD
7,R_A3,0.194827139377594,41,8,2018-07-03,29,0.0,280.6180725097656,0,280.6180725097656,1611.567626953125,STANDARD
8,R_A3,0.34650951623916626,41,9,2018-07-03,29,0.0,280.765625,0,280.765625,1613.735595703125,STANDARD
9,R_A3,0.7908399701118469,41,10,2018-07-03,29,0.0,281.0232849121094,0,281.0232849121094,1615.9036865234375,STANDARD
10,R_A3,0.7908451557159424,41,11,2018-07-03,29,0.0,283.15594482421875,0,283.15594482421875,1618.07177734375,STANDARD
11,R_A3,0.047449976205825806,41,12,2018-07-03,29,0.0,284.4564208984375,0,284.4564208984375,1620.2791748046875,STANDARD
12,R_A3,0.05302540585398674,41,13,2018-07-03,29,0.0,284.6064453125,0,284.6064453125,1622.5257568359375,STANDARD
13,R_A3,0.36016845703125,41,14,2018-07-03,29,0.0,284.7569580078125,0,284.7569580078125,1624.7723388671875,STANDARD
14,R_A3,0.3508213460445404,41,15,2018-07-03,29,0.0,286.06207275390625,0,286.06207275390625,1627.0189208984375,STANDARD
15,R_A3,0.6035677790641785,41,16,2018-07-03,29,0.0,285.75543212890625,0,285.75543212890625,1629.2655029296875,STANDARD
16,R_A3,0.7993373870849609,41,17,2018-07-03,29,0.0,285.9526672363281,0,285.9526672363281,1631.35546875,STANDARD
25,R_A3,1.0,41,18,2018-07-03,29,1.32904147756574e-12,289.61785888671875,0,289.61785888671875,1634.25048828125,STANDARD
26,R_A3,0.045147959142923355,41,19,2018-07-03,29,0.0,286.8621520996094,0,286.8621520996094,1637.8643798828125,STANDARD
27,R_A3,0.05078251659870148,41,20,2018-07-03,29,0.0,287.1036682128906,0,287.1036682128906,1641.478271484375,STANDARD
28,R_A3,0.8205843567848206,41,21,2018-07-03,29,0.0,290.9199523925781,0,290.9199523925781,1645.092041015625,STANDARD
29,R_A3,0.6529550552368164,41,22,2018-07-03,29,0.0,287.6341552734375,0,287.6341552734375,1648.7059326171875,STANDARD
1,R_A4,0.04835568740963936,52,1,2018-09-12,30,0.0,282.5092468261719,0,282.5092468261719,1632.663330078125,STANDARD
1,R_A4,0.048005905002355576,52,2,2018-09-12,31,0.0,282.18243408203125,0,282.18243408203125,1627.504150390625,STANDARD
2,R_A4,0.04982214793562889,52,3,2018-09-12,31,0.0,282.3191833496094,0,282.3191833496094,1629.5533447265625,STANDARD
3,R_A4,0.0506134107708931,52,4,2018-09-12,31,0.0,282.4559631347656,0,282.4559631347656,1631.6024169921875,STANDARD
4,R_A4,0.05311648175120354,52,5,2018-09-12,31,0.0,282.59271240234375,0,282.59271240234375,1633.651611328125,STANDARD
4,R_A4,0.05292746424674988,52,6,2018-09-12,32,0.0,282.4791564941406,0,282.4791564941406,1631.70751953125,STANDARD
4,R_A4,0.05389264598488808,51,7,2018-09-12,32,0.0,282.7189025878906,0,282.7189025878906,1635.401123046875,STANDARD
4,R_A4,0.056711483746767044,51,8,2018-09-12,33,0.0,282.8192138671875,0,282.8192138671875,1636.5611572265625,STANDARD
4,R_A4,0.05847868695855141,50,9,2018-09-12,33,0.0,283.09307861328125,0,283.09307861328125,1640.7813720703125,STANDARD
4,R_A4,0.117795929312706,50,10,2018-09-12,34,0.0,283.0008239746094,0,283.0008239746094,1639.453369140625,STANDARD
4,R_A4,0.13729311525821686,50,11,2018-09-12,35,0.0,283.0220947265625,0,283.0220947265625,1640.0611572265625,STANDARD
3,R_A4,0.22505827248096466,50,12,2018-09-12,35,0.0,282.90484619140625,0,282.90484619140625,1638.29296875,STANDARD
3,R_A4,0.2339903712272644,49,13,2018-09-12,35,0.0,283.1900634765625,0,283.1900634765625,1643.3353271484375,STANDARD
2,R_A4,0.2308771014213562,49,14,2018-09-12,35,0.0,283.073974609375,0,283.073974609375,1641.6038818359375,STANDARD
28,R_A4,0.17452049255371094,49,15,2018-09-12,36,0.0,278.2483215332031,0,278.2483215332031,1642.9603271484375,STANDARD
28,R_A4,0.10423540323972702,48,16,2018-09-12,36,0.0,278.04052734375,0,278.04052734375,1644.337646484375,STANDARD
28,R_A4,0.23391829431056976,48,17,2018-09-12,37,0.0,278.8952331542969,0,278.8952331542969,1649.93310546875,STANDARD
27,R_A4,0.2264038473367691,48,18,2018-09-12,37,0.0,278.4054870605469,0,278.4054870605469,1644.2900390625,STANDARD
27,R_A4,0.22961677610874176,48,19,2018-09-12,38,0.0,279.1692199707031,0,279.1692199707031,1648.9842529296875,STANDARD
27,R_A4,0.09109096229076385,47,20,2018-09-12,38,0.0,279.2355041503906,0,279.2355041503906,1657.23828125,STANDARD
1,R_A6,1.0,42,1,2018-11-07,17,-1.2149275455033276e-13,279.6175842285156,0,279.6175842285156,1694.3758544921875,STANDARD
2,R_A6,1.0,42,2,2018-11-07,17,-6.565356439926229e-14,279.761474609375,0,279.761474609375,1695.9075927734375,STANDARD
3,R_A6,1.0,42,3,2018-11-07,17,-3.812316063419967e-14,279.90325927734375,0,279.90325927734375,1697.439208984375,STANDARD
4,R_A6,1.0,42,4,2018-11-07,17,-1.3245382844999029e-14,280.0421447753906,0,280.0421447753906,1698.970947265625,STANDARD
5,R_A6,1.0,42,5,2018-11-07,17,1.4212409867693163e-14,280.17974853515625,0,280.17974853515625,1700.5025634765625,STANDARD
6,R_A6,1.0,42,6,2018-11-07,17,1.870707148216022e-12,280.31988525390625,0,280.31988525390625,1702.0341796875,STANDARD
7,R_A6,1.0,42,7,2018-11-07,17,4.86440922264908e-12,280.1646423339844,0,280.1646423339844,1703.56591796875,STANDARD
8,R_A6,1.0,42,8,2018-11-07,17,5.413150830357871e-12,280.3099670410156,0,280.3099670410156,1705.0975341796875,STANDARD
9,R_A6,1.0,42,9,2018-11-07,17,7.678544215392047e-13,280.7566223144531,0,280.7566223144531,1706.629150390625,STANDARD
10,R_A6,1.0,42,10,2018-11-07,17,1.4628162570140546e-10,280.601318359375,0,280.601318359375,1708.160888671875,STANDARD
11,R_A6,1.0,42,11,2018-11-07,17,3.6699535771456127e-11,281.273681640625,0,281.273681640625,1710.03662109375,STANDARD
