PRESSURE,SWAT,DRAWDOWN,WELL,CONIDX,DEPTH,CONKPOS,DATE,CONBPRES,CONJPOS,WELLMODEL,SGAS,CONIPOS
303.1637878417969,1.0,0,R_A2,18,1676.663330078125,27,2018-01-01,303.1637878417969,29,STANDARD,0.0,22
303.28155517578125,1.0,0,R_A2,19,1678.41845703125,28,2018-01-01,303.28155517578125,29,STANDARD,0.0,22
303.3993225097656,1.0,0,R_A2,20,1680.1737060546875,29,2018-01-01,303.3993225097656,29,STANDARD,0.0,22
303.8563232421875,1.0,0,R_A2,21,1681.928955078125,30,2018-01-01,303.8563232421875,29,STANDARD,0.0,22
304.0226745605469,1.0,0,R_A2,22,1683.6842041015625,31,2018-01-01,304.0226745605469,29,STANDARD,0.0,22
298.5383605957031,0.6481541991233826,0,R_A3,1,1607.6837158203125,1,2018-01-01,298.5383605957031,41,STANDARD,0.0,28
298.67364501953125,0.1515321284532547,0,R_A3,2,1609.7022705078125,2,2018-01-01,298.67364501953125,41,STANDARD,0.0,28
298.8089294433594,0.11957906931638718,0,R_A3,3,1611.720947265625,3,2018-01-01,298.8089294433594,41,STANDARD,0.0,28
298.9442138671875,0.1397426724433899,0,R_A3,4,1613.7396240234375,4,2018-01-01,298.9442138671875,41,STANDARD,0.0,28
299.07952880859375,0.6481541991233826,0,R_A3,5,1615.75830078125,5,2018-01-01,299.07952880859375,41,STANDARD,0.0,28
298.6864929199219,0.8123109936714172,0,R_A3,6,1609.8944091796875,5,2018-01-01,298.6864929199219,41,STANDARD,0.0,29
298.8119201660156,0.6481541991233826,0,R_A3,7,1611.765625,6,2018-01-01,298.8119201660156,41,STANDARD,0.0,29
298.93731689453125,0.09325335174798965,0,R_A3,8,1613.6368408203125,7,2018-01-01,298.93731689453125,41,STANDARD,0.0,29
299.062744140625,0.10571417957544327,0,R_A3,9,1615.508056640625,8,2018-01-01,299.062744140625,41,STANDARD,0.0,29
299.18817138671875,0.7973397374153137,0,R_A3,10,1617.3792724609375,9,2018-01-01,299.18817138671875,41,STANDARD,0.0,29
299.3135986328125,0.7963194847106934,0,R_A3,11,1619.2503662109375,10,2018-01-01,299.3135986328125,41,STANDARD,0.0,29
299.45330810546875,0.04607906565070152,0,R_A3,12,1621.3348388671875,11,2018-01-01,299.45330810546875,41,STANDARD,0.0,29
299.6073303222656,0.053973495960235596,0,R_A3,13,1623.63232421875,12,2018-01-01,299.6073303222656,41,STANDARD,0.0,29
299.7613525390625,0.38011011481285095,0,R_A3,14,1625.929931640625,13,2018-01-01,299.7613525390625,41,STANDARD,0.0,29
299.9153747558594,0.3483397662639618,0,R_A3,15,1628.2275390625,14,2018-01-01,299.9153747558594,41,STANDARD,0.0,29
300.06939697265625,0.494712769985199,0,R_A3,16,1630.525146484375,15,2018-01-01,300.06939697265625,41,STANDARD,0.0,29
300.17852783203125,0.8018189072608948,0,R_A3,17,1632.15283203125,16,2018-01-01,300.17852783203125,41,STANDARD,0.0,29
300.3262023925781,1.0,0,R_A3,18,1634.3555908203125,27,2018-01-01,300.3262023925781,41,STANDARD,0.0,29
300.5573425292969,0.1918117105960846,0,R_A3,19,1637.802978515625,28,2018-01-01,300.5573425292969,41,STANDARD,0.0,29
300.78851318359375,0.04525722190737724,0,R_A3,20,1641.250244140625,29,2018-01-01,300.78851318359375,41,STANDARD,0.0,29
301.0196533203125,0.6481541991233826,0,R_A3,21,1644.6976318359375,30,2018-01-01,301.0196533203125,41,STANDARD,0.0,29
301.2508544921875,0.16390568017959595,0,R_A3,22,1648.14501953125,31,2018-01-01,301.2508544921875,41,STANDARD,0.0,29
300.1018371582031,0.05010192096233368,0,R_A4,1,1631.0087890625,1,2018-01-01,300.1018371582031,52,STANDARD,0.0,30
299.8726806640625,0.048551905900239944,0,R_A4,2,1627.5906982421875,1,2018-01-01,299.8726806640625,52,STANDARD,0.0,31
300.01458740234375,0.05028232932090759,0,R_A4,3,1629.707275390625,2,2018-01-01,300.01458740234375,52,STANDARD,0.0,31
300.156494140625,0.051378048956394196,0,R_A4,4,1631.823974609375,3,2018-01-01,300.156494140625,52,STANDARD,0.0,31
300.29840087890625,0.05379749462008476,0,R_A4,5,1633.940673828125,4,2018-01-01,300.29840087890625,52,STANDARD,0.0,31
300.25689697265625,0.05381985381245613,0,R_A4,6,1633.32177734375,4,2018-01-01,300.25689697265625,52,STANDARD,0.0,32
300.3654479980469,0.05564100295305252,0,R_A4,7,1634.94091796875,4,2018-01-01,300.3654479980469,51,STANDARD,0.0,32
