WELL,DRAWDOWN,PRESSURE,SGAS,CONJPOS,DEPTH,CONIPOS,CONKPOS,DATE,WELLMODEL,CONIDX,SWAT,CONBPRES
R_A3,0,300.2026062011719,0.0,41,1632.1861572265625,29,16,2018-01-01,STANDARD,17,0.7981560826301575,300.2026062011719
R_A3,0,300.36492919921875,0.0,41,1634.6075439453125,29,25,2018-01-01,STANDARD,18,0.1856873333454132,300.36492919921875
R_A3,0,300.5997009277344,0.0,41,1638.109130859375,29,26,2018-01-01,STANDARD,19,0.0437498539686203,300.5997009277344
R_A3,0,300.8345031738281,0.0,41,1641.6107177734375,29,27,2018-01-01,STANDARD,20,0.04880094900727272,300.8345031738281
R_A3,0,301.0693054199219,0.0,41,1645.1123046875,29,28,2018-01-01,STANDARD,21,0.6481541991233826,301.0693054199219
R_A3,0,301.30413818359375,0.0,41,1648.61376953125,29,29,2018-01-01,STANDARD,22,0.059625957161188126,301.30413818359375
R_A4,0,300.2178649902344,0.0,52,1632.4140625,30,1,2018-01-01,STANDARD,1,0.04978210851550102,300.2178649902344
R_A4,0,299.850341796875,0.0,52,1626.931640625,31,1,2018-01-01,STANDARD,2,0.04719614237546921,299.850341796875
R_A4,0,299.98944091796875,0.0,52,1629.0068359375,31,2,2018-01-01,STANDARD,3,0.04910742864012718,299.98944091796875
R_A4,0,300.1285705566406,0.0,52,1631.0819091796875,31,3,2018-01-01,STANDARD,4,0.05154254660010338,300.1285705566406
R_A4,0,300.2676696777344,0.0,52,1633.156982421875,31,4,2018-01-01,STANDARD,5,0.05307614430785179,300.2676696777344
R_A4,0,300.1819763183594,0.0,52,1631.8787841796875,32,4,2018-01-01,STANDARD,6,0.05367353931069374,300.1819763183594
R_A4,0,300.416259765625,0.0,51,1635.3731689453125,32,4,2018-01-01,STANDARD,7,0.10656129568815231,300.416259765625
R_A4,0,300.538330078125,0.0,51,1637.193603515625,33,4,2018-01-01,STANDARD,8,0.0557495579123497,300.538330078125
R_A4,0,300.4140319824219,0.0,51,1635.3397216796875,33,3,2018-01-01,STANDARD,9,0.1350211799144745,300.4140319824219
R_A4,0,300.77789306640625,0.0,50,1640.766357421875,33,4,2018-01-01,STANDARD,10,0.057212140411138535,300.77789306640625
R_A4,0,300.7235107421875,0.0,50,1639.95556640625,34,4,2018-01-01,STANDARD,11,0.059052132070064545,300.7235107421875
R_A4,0,300.7856140136719,0.0,50,1640.8817138671875,35,4,2018-01-01,STANDARD,12,0.05749475583434105,300.7856140136719
R_A4,0,300.6640930175781,0.0,50,1639.0693359375,35,3,2018-01-01,STANDARD,13,0.19411301612854004,300.6640930175781
R_A4,0,300.9407043457031,0.0,49,1643.1942138671875,35,3,2018-01-01,STANDARD,14,0.2282671332359314,300.9407043457031
R_A4,0,300.82159423828125,0.0,49,1641.418212890625,35,2,2018-01-01,STANDARD,15,0.22575031220912933,300.82159423828125
R_A4,0,300.943603515625,0.0,49,1643.2374267578125,36,28,2018-01-01,STANDARD,16,0.1683240532875061,300.943603515625
R_A4,0,300.9067077636719,0.0,48,1642.6873779296875,36,28,2018-01-01,STANDARD,17,0.05313487350940704,300.9067077636719
R_A4,0,301.3077392578125,0.0,48,1648.66748046875,37,28,2018-01-01,STANDARD,18,0.6481541991233826,301.3077392578125
R_A4,0,301.668701171875,0.0,48,1654.0499267578125,38,28,2018-01-01,STANDARD,19,0.6481541991233826,301.668701171875
R_A4,0,302.16754150390625,0.0,47,1661.4869384765625,38,28,2018-01-01,STANDARD,20,1.0,302.16754150390625
R_A5,0,303.93487548828125,0.0,20,1685.984619140625,31,1,2018-01-01,STANDARD,1,1.0,303.93487548828125
R_A5,0,304.1374816894531,0.0,20,1688.12255859375,31,2,2018-01-01,STANDARD,2,1.0,304.1374816894531
R_A5,0,304.340087890625,0.0,20,1690.2606201171875,31,3,2018-01-01,STANDARD,3,1.0,304.340087890625
R_A5,0,304.5426940917969,0.0,20,1692.398681640625,31,4,2018-01-01,STANDARD,4,1.0,304.5426940917969
R_A5,0,304.74530029296875,0.0,20,1694.5367431640625,31,5,2018-01-01,STANDARD,5,1.0,304.74530029296875
R_A5,0,304.94793701171875,0.0,20,1696.6748046875,31,6,2018-01-01,STANDARD,6,1.0,304.94793701171875
R_A5,0,305.4563293457031,0.0,20,1698.812744140625,31,7,2018-01-01,STANDARD,7,1.0,305.4563293457031
R_A5,0,305.658935546875,0.0,20,1700.9508056640625,31,8,2018-01-01,STANDARD,8,1.0,305.658935546875
R_A5,0,305.18548583984375,0.0,21,1695.954833984375,31,9,2018-01-01,STANDARD,9,1.0,305.18548583984375
R_A5,0,305.4020690917969,0.0,21,1698.240234375,31,10,2018-01-01,STANDARD,10,1.0,305.4020690917969
R_A5,0,305.2995300292969,0.0,21,1700.383544921875,31,11,2018-01-01,STANDARD,11,1.0,305.2995300292969
R_A5,0,305.48919677734375,0.0,21,1702.385009765625,31,12,2018-01-01,STANDARD,12,1.0,305.48919677734375
R_A5,0,305.6908264160156,0.0,21,1704.3863525390625,31,13,2018-01-01,STANDARD,13,1.0,305.6908264160156
R_A5,0,305.8805236816406,0.0,21,1706.3878173828125,31,14,2018-01-01,STANDARD,14,1.0,305.8805236816406
R_A5,0,306.0701904296875,0.0,21,1708.3892822265625,31,15,2018-01-01,STANDARD,15,1.0,306.0701904296875
R_A5,0,306.4048767089844,0.0,21,1710.390625,31,16,2018-01-01,STANDARD,16,1.0,306.4048767089844
