DATE,REGION,RGIP,RGIPG,RGIPL,RGPR,RGPT,ROIP,ROIPG,ROIPL,RPR
2001-01-01,3,2890061056.0,210.06716918945312,2890060800.0,827338.5,311440768.0,15706853.0,0.0,15706853.0,268.0843505859375
2001-01-01,4,455659.0625,63.4339485168457,455595.625,0.0,0.0,2474.7275390625,0.0,2474.7275390625,275.8776550292969
2001-01-01,5,1736542336.0,1327.7510986328125,1736540928.0,343522.0625,178155472.0,9437729.0,0.0,9437729.0,268.33251953125
2001-01-01,6,1873259.75,47.56951904296875,1873212.25,0.0,0.0,10180.720703125,0.0,10180.720703125,275.2582092285156
2001-02-01,1,3152273408.0,247.33627319335938,3152273152.0,490252.75,40176640.0,17131920.0,0.0,17131920.0,264.8018798828125
2001-02-01,2,6349648.0,36.48263168334961,6349611.5,0.0,0.0,34507.046875,0.0,34507.046875,273.128173828125
2001-02-01,3,2871750144.0,160.88912963867188,2871749888.0,652148.875,331574432.0,15607337.0,0.0,15607337.0,265.4989929199219
2001-02-01,4,466567.375,55.824554443359375,466511.53125,0.0,0.0,2534.012939453125,0.0,2534.012939453125,270.72882080078125
2001-02-01,5,1713452416.0,1027.950439453125,1713451392.0,800717.4375,201824320.0,9312241.0,0.0,9312241.0,265.4471740722656
2001-02-01,6,1887287.125,35.324703216552734,1887251.875,0.0,0.0,10256.95703125,0.0,10256.95703125,270.3943786621094
2001-03-01,1,3140349184.0,259.7017517089844,3140348928.0,379488.28125,50330996.0,17067114.0,0.0,17067114.0,264.4380798339844
2001-03-01,2,6660140.0,36.455020904541016,6660103.5,0.0,0.0,36194.45703125,0.0,36194.45703125,269.2961730957031
2001-03-01,3,2858493952.0,166.19464111328125,2858493696.0,508946.84375,345938432.0,15535293.0,0.0,15535293.0,265.76251220703125
2001-03-01,4,477861.90625,61.16279983520508,477800.75,0.0,0.0,2595.396728515625,0.0,2595.396728515625,267.1863708496094
2001-03-01,5,1697693568.0,1062.5479736328125,1697692416.0,545703.25,217900704.0,9226594.0,0.0,9226594.0,265.4923095703125
2001-03-01,6,1909857.5,37.674015045166016,1909819.75,0.0,0.0,10379.6220703125,0.0,10379.6220703125,266.8363342285156
2001-04-01,1,3128193024.0,261.01861572265625,3128192768.0,351820.15625,61119204.0,17001048.0,0.0,17001048.0,265.2000732421875
2001-04-01,2,6813218.5,23.396259307861328,6813195.0,0.0,0.0,37026.40625,0.0,37026.40625,270.996826171875
2001-04-01,3,2842595584.0,190.7281494140625,2842595328.0,552804.25,363412384.0,15448888.0,0.0,15448888.0,267.0006103515625
2001-04-01,4,488737.53125,69.04520416259766,488668.5,0.0,0.0,2654.506103515625,0.0,2654.506103515625,269.8979797363281
2001-04-01,5,1683129856.0,1153.4544677734375,1683128704.0,436606.15625,232077904.0,9147444.0,0.0,9147444.0,266.83685302734375
2001-04-01,6,1924827.25,49.12516784667969,1924778.125,0.0,0.0,10460.9814453125,0.0,10460.9814453125,269.8280334472656
2001-05-01,1,3116495616.0,248.4129180908203,3116495360.0,354262.03125,71721392.0,16937476.0,0.0,16937476.0,265.9710693359375
2001-05-01,2,6943134.0,27.85483169555664,6943106.0,0.0,0.0,37732.46875,0.0,37732.46875,271.70556640625
2001-05-01,3,2826879232.0,203.641845703125,2826878976.0,587850.9375,381273408.0,15363474.0,0.0,15363474.0,267.7026672363281
2001-05-01,4,499187.75,67.28182983398438,499120.46875,0.0,0.0,2711.30419921875,0.0,2711.30419921875,270.1814880371094
2001-05-01,5,1669862400.0,1220.27880859375,1669861120.0,387700.6875,244142224.0,9075338.0,0.0,9075338.0,267.44976806640625
2001-05-01,6,1937966.0,46.875244140625,1937919.125,0.0,0.0,10532.3896484375,0.0,10532.3896484375,270.10101318359375
2001-06-01,1,3104388096.0,233.22569274902344,3104387840.0,354327.5,82703520.0,16871674.0,0.0,16871674.0,266.5506896972656
2001-06-01,2,7080949.0,33.87165451049805,7080915.0,0.0,0.0,38481.46484375,0.0,38481.46484375,271.7240295410156
2001-06-01,3,2810626816.0,203.31561279296875,2810626560.0,595895.625,399943680.0,15275146.0,0.0,15275146.0,268.2249755859375
2001-06-01,4,509194.125,71.94229125976562,509122.15625,0.0,0.0,2765.686767578125,0.0,2765.686767578125,270.1366882324219
2001-06-01,5,1656896000.0,1227.904296875,1656894720.0,362169.1875,255657824.0,9004868.0,0.0,9004868.0,267.90570068359375
2001-06-01,6,1948302.75,51.607139587402344,1948251.125,0.0,0.0,10588.568359375,0.0,10588.568359375,270.030517578125
2001-07-01,1,3092819200.0,225.1282196044922,3092818944.0,345928.8125,93095392.0,16808800.0,0.0,16808800.0,267.0627746582031
2001-07-01,2,7207311.0,33.57815170288086,7207277.5,0.0,0.0,39168.21484375,0.0,39168.21484375,271.69781494140625
2001-07-01,3,2795180544.0,209.7339630126953,2795180288.0,594449.5625,417942560.0,15191198.0,0.0,15191198.0,268.6391906738281
2001-07-01,4,518185.03125,73.17325592041016,518111.875,0.0,0.0,2814.5517578125,0.0,2814.5517578125,270.17694091796875
2001-07-01,5,1644716032.0,1259.682861328125,1644714752.0,350684.125,266318832.0,8938673.0,0.0,8938673.0,268.2618408203125
2001-07-01,6,1956525.375,52.84986114501953,1956472.625,0.0,0.0,10633.2578125,0.0,10633.2578125,270.0518798828125
2001-08-01,1,3081095424.0,232.36669921875,3081095168.0,332206.53125,103426192.0,16745084.0,0.0,16745084.0,267.6068420410156
2001-08-01,2,7328075.5,35.52705001831055,7328040.0,0.0,0.0,39824.546875,0.0,39824.546875,271.8074951171875
2001-08-01,3,2779621888.0,203.00723266601562,2779621632.0,588220.3125,436343104.0,15106640.0,0.0,15106640.0,269.0432434082031
2001-08-01,4,526794.4375,72.69963073730469,526721.75,0.0,0.0,2861.342041015625,0.0,2861.342041015625,270.3916015625
2001-08-01,5,1632293888.0,1215.904296875,1632292736.0,347232.59375,277155392.0,8871162.0,0.0,8871162.0,268.6104736328125
2001-08-01,6,1963569.375,52.018226623535156,1963517.375,0.0,0.0,10671.5400390625,0.0,10671.5400390625,270.2539978027344
2001-09-01,1,3069485568.0,203.14845275878906,3069485312.0,323354.25,113548784.0,16681987.0,0.0,16681987.0,268.0517883300781
2001-09-01,2,7440548.5,38.624576568603516,7440510.0,0.0,0.0,40435.8125,0.0,40435.8125,271.99578857421875
2001-09-01,3,2764053504.0,200.76651000976562,2764053248.0,581246.875,454517216.0,15022030.0,0.0,15022030.0,269.400146484375
2001-09-01,4,534736.25,75.78794860839844,534660.4375,0.0,0.0,2904.504150390625,0.0,2904.504150390625,270.6417236328125
2001-09-01,5,1620231680.0,1242.2918701171875,1620230400.0,347991.09375,287972832.0,8805606.0,0.0,8805606.0,268.93310546875
2001-09-01,6,1969507.875,56.076454162597656,1969451.875,0.0,0.0,10703.814453125,0.0,10703.814453125,270.4984436035156
2001-10-01,1,3058517248.0,195.44381713867188,3058517248.0,313497.59375,123078736.0,16622377.0,0.0,16622377.0,268.46539306640625
2001-10-01,2,7543656.0,42.32978439331055,7543614.0,0.0,0.0,40996.1796875,0.0,40996.1796875,272.18096923828125
2001-10-01,3,2749040384.0,200.2682342529297,2749040128.0,569318.5,471749888.0,14940436.0,0.0,14940436.0,269.77435302734375
