CONBPRES,WELL,CONIPOS,CONKPOS,WELLMODEL,SGAS,CONJPOS,DRAWDOWN,DATE,PRESSURE,SWAT,DEPTH,CONIDX
300.5718688964844,R_A2,22,13,STANDARD,0.0,30,0,2018-03-01,300.5718688964844,0.43070709705352783,1663.056396484375,13
300.70294189453125,R_A2,22,14,STANDARD,0.0,30,0,2018-03-01,300.70294189453125,0.46848127245903015,1665.0067138671875,14
300.83465576171875,R_A2,22,15,STANDARD,0.0,30,0,2018-03-01,300.83465576171875,0.6347646117210388,1666.95703125,15
300.96502685546875,R_A2,22,16,STANDARD,0.0,30,0,2018-03-01,300.96502685546875,0.9140541553497314,1668.9072265625,16
301.0577697753906,R_A2,22,16,STANDARD,0.0,29,0,2018-03-01,301.0577697753906,0.9394823908805847,1670.3492431640625,17
301.19482421875,R_A2,22,17,STANDARD,0.0,29,0,2018-03-01,301.19482421875,0.8977036476135254,1672.403076171875,18
301.3266296386719,R_A2,22,18,STANDARD,0.0,29,0,2018-03-01,301.3266296386719,0.957007884979248,1674.3758544921875,19
301.4009704589844,R_A2,22,19,STANDARD,0.0,29,0,2018-03-01,301.4009704589844,0.9600133299827576,1675.4847412109375,20
303.13995361328125,R_A2,22,29,STANDARD,-4.778693551976687e-10,29,0,2018-03-01,303.13995361328125,1.0,1676.534423828125,21
303.2649841308594,R_A2,22,30,STANDARD,-7.276330146049892e-14,29,0,2018-03-01,303.2649841308594,1.0,1678.307861328125,22
303.3890075683594,R_A2,22,31,STANDARD,-9.827384674261641e-15,29,0,2018-03-01,303.3890075683594,1.0,1680.081298828125,23
303.8349304199219,R_A2,22,32,STANDARD,-6.46898808273692e-16,29,0,2018-03-01,303.8349304199219,1.0,1681.8546142578125,24
304.00030517578125,R_A2,22,33,STANDARD,-8.278787529900224e-17,29,0,2018-03-01,304.00030517578125,1.0,1683.6280517578125,25
278.15362548828125,R_A5,31,1,STANDARD,0.0,20,0,2018-04-28,278.15362548828125,1.0,1685.738525390625,1
278.3573913574219,R_A5,31,2,STANDARD,0.0,20,0,2018-04-28,278.3573913574219,1.0,1687.8944091796875,2
278.56121826171875,R_A5,31,3,STANDARD,0.0,20,0,2018-04-28,278.56121826171875,1.0,1690.05029296875,3
278.76531982421875,R_A5,31,4,STANDARD,0.0,20,0,2018-04-28,278.76531982421875,1.0,1692.2060546875,4
278.9689636230469,R_A5,31,5,STANDARD,0.0,20,0,2018-04-28,278.9689636230469,1.0,1694.3619384765625,5
279.1725769042969,R_A5,31,6,STANDARD,0.0,20,0,2018-04-28,279.1725769042969,1.0,1696.5177001953125,6
279.6939697265625,R_A5,31,7,STANDARD,0.0,20,0,2018-04-28,279.6939697265625,1.0,1698.673583984375,7
278.94696044921875,R_A5,31,8,STANDARD,-6.832711479942688e-11,21,0,2018-04-28,278.94696044921875,1.0,1691.5467529296875,8
276.0453796386719,R_A5,31,11,STANDARD,0.0,21,0,2018-04-28,276.0453796386719,1.0,1698.6041259765625,9
277.10076904296875,R_A5,31,12,STANDARD,0.0,21,0,2018-04-28,277.10076904296875,1.0,1700.61865234375,10
277.25714111328125,R_A5,31,13,STANDARD,0.0,21,0,2018-04-28,277.25714111328125,1.0,1702.633056640625,11
277.4486083984375,R_A5,31,14,STANDARD,0.0,21,0,2018-04-28,277.4486083984375,1.0,1704.6475830078125,12
277.6429748535156,R_A5,31,15,STANDARD,0.0,21,0,2018-04-28,277.6429748535156,1.0,1706.6619873046875,13
278.0132751464844,R_A5,31,16,STANDARD,0.0,21,0,2018-04-28,278.0132751464844,1.0,1708.676513671875,14
278.32098388671875,R_A5,31,17,STANDARD,0.0,21,0,2018-04-28,278.32098388671875,1.0,1710.69091796875,15
278.6116638183594,R_A5,31,18,STANDARD,0.0,21,0,2018-04-28,278.6116638183594,1.0,1712.5919189453125,16
278.7832336425781,R_A5,31,19,STANDARD,0.0,21,0,2018-04-28,278.7832336425781,1.0,1713.8056640625,17
278.8713684082031,R_A5,31,20,STANDARD,0.0,21,0,2018-04-28,278.8713684082031,1.0,1714.3692626953125,18
282.1770935058594,R_A5,31,29,STANDARD,0.0,21,0,2018-04-28,282.1770935058594,1.0,1715.807861328125,19
282.4886474609375,R_A5,31,30,STANDARD,0.0,21,0,2018-04-28,282.4886474609375,1.0,1718.1982421875,20
295.1857604980469,R_A5,31,31,STANDARD,0.0,21,0,2018-04-28,295.1857604980469,1.0,1720.588623046875,21
304.2494201660156,R_A5,31,32,STANDARD,0.0,21,0,2018-04-28,304.2494201660156,1.0,1722.97900390625,22
307.09002685546875,R_A5,31,33,STANDARD,0.0,21,0,2018-04-28,307.09002685546875,1.0,1725.3692626953125,23
273.6722717285156,R_A3,28,1,STANDARD,0.0,41,0,2018-07-03,273.6722717285156,0.1312011480331421,1609.8482666015625,1
273.8123779296875,R_A3,28,2,STANDARD,0.0,41,0,2018-07-03,273.8123779296875,0.11864772439002991,1611.9515380859375,2
273.95257568359375,R_A3,28,3,STANDARD,0.0,41,0,2018-07-03,273.95257568359375,0.12170908600091934,1614.054931640625,3
274.0929260253906,R_A3,28,4,STANDARD,0.0,41,0,2018-07-03,274.0929260253906,0.1425013393163681,1616.158203125,4
274.23382568359375,R_A3,28,5,STANDARD,0.0,41,0,2018-07-03,274.23382568359375,0.21151559054851532,1618.261474609375,5
273.5445861816406,R_A3,29,5,STANDARD,0.0,41,0,2018-07-03,273.5445861816406,0.6781776547431946,1607.587646484375,6
273.718505859375,R_A3,29,6,STANDARD,0.0,41,0,2018-07-03,273.718505859375,0.6498523950576782,1609.6123046875,7
273.8694152832031,R_A3,29,7,STANDARD,0.0,41,0,2018-07-03,273.8694152832031,0.19523797929286957,1611.636962890625,8
274.0046081542969,R_A3,29,8,STANDARD,0.0,41,0,2018-07-03,274.0046081542969,0.2841857969760895,1613.66162109375,9
274.2440185546875,R_A3,29,9,STANDARD,0.0,41,0,2018-07-03,274.2440185546875,0.7957876920700073,1615.686279296875,10
277.3286437988281,R_A3,29,10,STANDARD,0.0,41,0,2018-07-03,277.3286437988281,0.7899256348609924,1617.7110595703125,11
284.9363708496094,R_A3,29,11,STANDARD,0.0,41,0,2018-07-03,284.9363708496094,0.04675576835870743,1619.864013671875,12
285.0887145996094,R_A3,29,12,STANDARD,0.0,41,0,2018-07-03,285.0887145996094,0.05227484181523323,1622.145263671875,13
285.2415466308594,R_A3,29,13,STANDARD,0.0,41,0,2018-07-03,285.2415466308594,0.3620382845401764,1624.426513671875,14
287.2237548828125,R_A3,29,14,STANDARD,0.0,41,0,2018-07-03,287.2237548828125,0.38766205310821533,1626.7078857421875,15
286.6673583984375,R_A3,29,15,STANDARD,0.0,41,0,2018-07-03,286.6673583984375,0.49673789739608765,1628.9891357421875,16
286.81103515625,R_A3,29,16,STANDARD,0.0,41,0,2018-07-03,286.81103515625,0.8037549257278442,1630.992919921875,17
290.7426452636719,R_A3,29,29,STANDARD,2.217899475187579e-12,41,0,2018-07-03,290.7426452636719,1.0,1633.718505859375,18
285.83538818359375,R_A3,29,30,STANDARD,0.0,41,0,2018-07-03,285.83538818359375,0.07687287032604218,1637.3795166015625,19
286.0802001953125,R_A3,29,31,STANDARD,0.0,41,0,2018-07-03,286.0802001953125,0.07789439707994461,1641.04052734375,20
289.3287658691406,R_A3,29,32,STANDARD,-4.683731735788399e-10,41,0,2018-07-03,289.3287658691406,1.0,1644.701416015625,21
286.57305908203125,R_A3,29,33,STANDARD,0.0,41,0,2018-07-03,286.57305908203125,0.18150269985198975,1648.3623046875,22
274.73284912109375,R_A4,30,1,STANDARD,0.0,52,0,2018-09-12,274.73284912109375,0.04846661165356636,1626.57373046875,1
274.84722900390625,R_A4,31,1,STANDARD,0.0,52,0,2018-09-12,274.84722900390625,0.04699517786502838,1624.529296875,2
274.9839782714844,R_A4,31,2,STANDARD,0.0,52,0,2018-09-12,274.9839782714844,0.04971836879849434,1626.582763671875,3
275.1207275390625,R_A4,31,3,STANDARD,0.0,52,0,2018-09-12,275.1207275390625,0.04909513518214226,1628.6363525390625,4
275.2574768066406,R_A4,31,4,STANDARD,0.0,52,0,2018-09-12,275.2574768066406,0.050473202019929886,1630.68994140625,5
275.39422607421875,R_A4,31,5,STANDARD,0.0,52,0,2018-09-12,275.39422607421875,0.05341130495071411,1632.7435302734375,6
275.636474609375,R_A4,32,5,STANDARD,0.0,52,0,2018-09-12,275.636474609375,0.053515657782554626,1632.8128662109375,7
275.7598571777344,R_A4,32,6,STANDARD,0.0,52,0,2018-09-12,275.7598571777344,0.16015926003456116,1634.66455078125,8
275.48175048828125,R_A4,32,6,STANDARD,0.0,51,0,2018-09-12,275.48175048828125,0.12413173913955688,1635.166015625,9
275.3643493652344,R_A4,32,5,STANDARD,0.0,51,0,2018-09-12,275.3643493652344,0.05303597450256348,1633.3836669921875,10
275.8486022949219,R_A4,33,5,STANDARD,0.0,51,0,2018-09-12,275.8486022949219,0.05800078436732292,1637.33935546875,11
275.7366943359375,R_A4,33,4,STANDARD,0.0,51,0,2018-09-12,275.7366943359375,0.1987585425376892,1635.54638671875,12
275.77386474609375,R_A4,33,5,STANDARD,0.0,50,0,2018-09-12,275.77386474609375,0.06025918200612068,1641.0350341796875,13
275.9989929199219,R_A4,34,5,STANDARD,0.0,50,0,2018-09-12,275.9989929199219,0.06240948289632797,1641.059326171875,14
275.8250732421875,R_A4,34,4,STANDARD,0.0,50,0,2018-09-12,275.8250732421875,0.6499649286270142,1639.1708984375,15
276.1722412109375,R_A4,35,4,STANDARD,0.0,50,0,2018-09-12,276.1722412109375,0.24176745116710663,1639.3262939453125,16
276.2764587402344,R_A4,35,4,STANDARD,0.0,49,0,2018-09-12,276.2764587402344,0.1380295753479004,1644.5931396484375,17
276.1543884277344,R_A4,35,3,STANDARD,0.0,49,0,2018-09-12,276.1543884277344,0.22738328576087952,1642.783447265625,18
275.0005187988281,R_A4,36,33,STANDARD,0.0,49,0,2018-09-12,275.0005187988281,0.10641682147979736,1645.444580078125,19
273.65338134765625,R_A4,36,32,STANDARD,0.0,49,0,2018-09-12,273.65338134765625,0.6538208723068237,1639.3251953125,20
273.0421142578125,R_A4,36,32,STANDARD,0.0,48,0,2018-09-12,273.0421142578125,0.2124049961566925,1639.3621826171875,21
274.30377197265625,R_A4,37,32,STANDARD,0.0,48,0,2018-09-12,274.30377197265625,0.7078320980072021,1648.68603515625,22
279.62860107421875,R_A4,37,31,STANDARD,-5.108054279036323e-13,48,0,2018-09-12,279.62860107421875,1.0,1643.0042724609375,23
280.70233154296875,R_A4,38,31,STANDARD,-1.1934130350610417e-09,48,0,2018-09-12,280.70233154296875,1.0,1653.3277587890625,24
276.589111328125,R_A4,38,30,STANDARD,0.0,48,0,2018-09-12,276.589111328125,0.1923760026693344,1647.492431640625,25
276.4084777832031,R_A4,38,30,STANDARD,0.0,47,0,2018-09-12,276.4084777832031,0.10877134650945663,1653.8231201171875,26
