WELLMODEL,SWAT,PRESSURE,DEPTH,CONBPRES,DRAWDOWN,SGAS,CONIDX,CONIPOS,CONKPOS,CONJPOS,DATE,WELL
STANDARD,0.051985930651426315,300.09637451171875,1632.506591796875,300.09637451171875,0,0.0,1,30,1,52,2018-01-01,R_A4
STANDARD,0.0499534010887146,299.775634765625,1627.7222900390625,299.775634765625,0,0.0,2,31,1,52,2018-01-01,R_A4
STANDARD,0.05210630223155022,299.91741943359375,1629.837158203125,299.91741943359375,0,0.0,3,31,2,52,2018-01-01,R_A4
STANDARD,0.054834384471178055,300.0592041015625,1631.9521484375,300.0592041015625,0,0.0,4,31,3,52,2018-01-01,R_A4
STANDARD,0.05627362057566643,300.20098876953125,1634.067138671875,300.20098876953125,0,0.0,5,31,4,52,2018-01-01,R_A4
STANDARD,0.057885847985744476,300.15069580078125,1633.31689453125,300.15069580078125,0,0.0,6,32,4,52,2018-01-01,R_A4
STANDARD,0.057613931596279144,300.2936706542969,1635.4495849609375,300.2936706542969,0,0.0,7,32,4,51,2018-01-01,R_A4
STANDARD,0.06063329800963402,300.4464416503906,1637.72802734375,300.4464416503906,0,0.0,8,33,4,51,2018-01-01,R_A4
STANDARD,0.059178195893764496,300.3172912597656,1635.8018798828125,300.3172912597656,0,0.0,9,33,3,51,2018-01-01,R_A4
STANDARD,0.06364573538303375,300.703857421875,1641.567138671875,300.703857421875,0,0.0,10,33,4,50,2018-01-01,R_A4
STANDARD,0.06381261348724365,300.75128173828125,1642.2745361328125,300.75128173828125,0,0.0,11,34,4,50,2018-01-01,R_A4
STANDARD,0.16565348207950592,300.6137390136719,1640.222900390625,300.6137390136719,0,0.0,12,34,3,50,2018-01-01,R_A4
STANDARD,0.1179172471165657,300.4761657714844,1638.1712646484375,300.4761657714844,0,0.0,13,34,2,50,2018-01-01,R_A4
STANDARD,0.24220173060894012,300.77996826171875,1642.7021484375,300.77996826171875,0,0.0,14,35,3,50,2018-01-01,R_A4
STANDARD,0.2364574521780014,300.5909118652344,1639.8826904296875,300.5909118652344,0,0.0,15,35,2,49,2018-01-01,R_A4
STANDARD,0.06178782135248184,300.9983825683594,1645.959228515625,300.9983825683594,0,0.0,16,36,29,49,2018-01-01,R_A4
STANDARD,0.05121016129851341,300.60565185546875,1640.102294921875,300.60565185546875,0,0.0,17,36,28,49,2018-01-01,R_A4
STANDARD,0.24536576867103577,300.33917236328125,1636.1282958984375,300.33917236328125,0,0.0,18,36,28,48,2018-01-01,R_A4
STANDARD,0.6481541991233826,300.98828125,1645.8087158203125,300.98828125,0,0.0,19,37,28,48,2018-01-01,R_A4
STANDARD,0.16995659470558167,301.4176330566406,1652.211181640625,301.4176330566406,0,0.0,20,38,28,48,2018-01-01,R_A4
STANDARD,0.31440970301628113,301.523681640625,1653.792236328125,301.523681640625,0,0.0,21,38,28,47,2018-01-01,R_A4
STANDARD,1.0,303.74798583984375,1684.0125732421875,303.74798583984375,0,0.0,1,31,1,20,2018-01-01,R_A5
STANDARD,1.0,303.9488830566406,1686.132568359375,303.9488830566406,0,0.0,2,31,2,20,2018-01-01,R_A5
STANDARD,1.0,304.1497802734375,1688.2525634765625,304.1497802734375,0,0.0,3,31,3,20,2018-01-01,R_A5
STANDARD,1.0,304.3506774902344,1690.37255859375,304.3506774902344,0,0.0,4,31,4,20,2018-01-01,R_A5
STANDARD,1.0,304.55157470703125,1692.4925537109375,304.55157470703125,0,0.0,5,31,5,20,2018-01-01,R_A5
STANDARD,1.0,304.75250244140625,1694.6124267578125,304.75250244140625,0,0.0,6,31,6,20,2018-01-01,R_A5
STANDARD,1.0,305.2591857910156,1696.732421875,305.2591857910156,0,0.0,7,31,7,20,2018-01-01,R_A5
STANDARD,1.0,305.4600830078125,1698.8524169921875,305.4600830078125,0,0.0,8,31,8,20,2018-01-01,R_A5
STANDARD,1.0,305.7452392578125,1705.0865478515625,305.7452392578125,0,0.0,9,31,11,20,2018-01-01,R_A5
STANDARD,1.0,305.4814147949219,1702.3028564453125,305.4814147949219,0,0.0,10,31,11,21,2018-01-01,R_A5
STANDARD,1.0,305.6664733886719,1704.255615234375,305.6664733886719,0,0.0,11,31,12,21,2018-01-01,R_A5
STANDARD,1.0,305.8634948730469,1706.2083740234375,305.8634948730469,0,0.0,12,31,13,21,2018-01-01,R_A5
STANDARD,1.0,306.0485534667969,1708.1611328125,306.0485534667969,0,0.0,13,31,14,21,2018-01-01,R_A5
STANDARD,1.0,306.2336120605469,1710.11376953125,306.2336120605469,0,0.0,14,31,15,21,2018-01-01,R_A5
STANDARD,1.0,306.5636901855469,1712.0665283203125,306.5636901855469,0,0.0,15,31,16,21,2018-01-01,R_A5
STANDARD,1.0,306.748779296875,1714.019287109375,306.748779296875,0,0.0,16,31,17,21,2018-01-01,R_A5
STANDARD,1.0,306.88690185546875,1715.4766845703125,306.88690185546875,0,0.0,17,31,18,21,2018-01-01,R_A5
STANDARD,1.0,306.9563903808594,1716.2099609375,306.9563903808594,0,0.0,18,31,19,21,2018-01-01,R_A5
STANDARD,1.0,306.9234313964844,1717.519775390625,306.9234313964844,0,0.0,19,31,25,21,2018-01-01,R_A5
STANDARD,1.0,307.1239013671875,1719.635009765625,307.1239013671875,0,0.0,20,31,26,21,2018-01-01,R_A5
STANDARD,1.0,307.6301574707031,1721.750244140625,307.6301574707031,0,0.0,21,31,27,21,2018-01-01,R_A5
STANDARD,1.0,307.8306579589844,1723.8656005859375,307.8306579589844,0,0.0,22,31,28,21,2018-01-01,R_A5
STANDARD,1.0,308.0311279296875,1725.9808349609375,308.0311279296875,0,0.0,23,31,29,21,2018-01-01,R_A5
STANDARD,1.0,304.951416015625,1693.4849853515625,304.951416015625,0,0.0,1,17,1,42,2018-01-01,R_A6
STANDARD,1.0,305.0954895019531,1695.0050048828125,305.0954895019531,0,0.0,2,17,2,42,2018-01-01,R_A6
STANDARD,1.0,305.2395324707031,1696.525146484375,305.2395324707031,0,0.0,3,17,3,42,2018-01-01,R_A6
STANDARD,1.0,305.3835754394531,1698.045166015625,305.3835754394531,0,0.0,4,17,4,42,2018-01-01,R_A6
STANDARD,1.0,305.52764892578125,1699.5653076171875,305.52764892578125,0,0.0,5,17,5,42,2018-01-01,R_A6
STANDARD,1.0,305.3726501464844,1701.08544921875,305.3726501464844,0,0.0,6,17,6,42,2018-01-01,R_A6
STANDARD,1.0,305.5167236328125,1702.60546875,305.5167236328125,0,0.0,7,17,7,42,2018-01-01,R_A6
STANDARD,1.0,305.6607666015625,1704.1256103515625,305.6607666015625,0,0.0,8,17,8,42,2018-01-01,R_A6
STANDARD,1.0,306.1038818359375,1705.6456298828125,306.1038818359375,0,0.0,9,17,9,42,2018-01-01,R_A6
STANDARD,1.0,305.942138671875,1707.165771484375,305.942138671875,0,0.0,10,17,10,42,2018-01-01,R_A6
STANDARD,1.0,306.1175537109375,1709.0152587890625,306.1175537109375,0,0.0,11,17,11,42,2018-01-01,R_A6
STANDARD,1.0,306.32403564453125,1711.194091796875,306.32403564453125,0,0.0,12,17,12,42,2018-01-01,R_A6
STANDARD,1.0,306.5425109863281,1713.3729248046875,306.5425109863281,0,0.0,13,17,13,42,2018-01-01,R_A6
STANDARD,1.0,306.7489929199219,1715.5517578125,306.7489929199219,0,0.0,14,17,14,42,2018-01-01,R_A6
STANDARD,1.0,307.1004943847656,1717.7305908203125,307.1004943847656,0,0.0,15,17,15,42,2018-01-01,R_A6
STANDARD,1.0,307.3070068359375,1719.909423828125,307.3070068359375,0,0.0,16,17,16,42,2018-01-01,R_A6
STANDARD,1.0,307.5135192871094,1722.0882568359375,307.5135192871094,0,0.0,17,17,17,42,2018-01-01,R_A6
STANDARD,1.0,307.68365478515625,1723.8834228515625,307.68365478515625,0,0.0,18,17,18,42,2018-01-01,R_A6
STANDARD,1.0,307.67364501953125,1725.4354248046875,307.67364501953125,0,0.0,19,17,25,42,2018-01-01,R_A6
STANDARD,1.0,308.1398620605469,1727.128173828125,308.1398620605469,0,0.0,20,17,26,42,2018-01-01,R_A6
STANDARD,1.0,308.30029296875,1728.8209228515625,308.30029296875,0,0.0,21,17,27,42,2018-01-01,R_A6
STANDARD,1.0,308.46075439453125,1730.513671875,308.46075439453125,0,0.0,22,17,28,42,2018-01-01,R_A6
STANDARD,1.0,308.3153991699219,1732.206298828125,308.3153991699219,0,0.0,23,17,29,42,2018-01-01,R_A6
STANDARD,0.14826977252960205,297.4129333496094,1641.0977783203125,297.4129333496094,0,0.0,1,22,1,30,2018-03-01,R_A2
STANDARD,0.05818427354097366,297.53143310546875,1642.869873046875,297.53143310546875,0,0.0,2,22,2,30,2018-03-01,R_A2
STANDARD,0.062438055872917175,297.6501159667969,1644.64208984375,297.6501159667969,0,0.0,3,22,3,30,2018-03-01,R_A2
STANDARD,0.06684950739145279,297.7687683105469,1646.414306640625,297.7687683105469,0,0.0,4,22,4,30,2018-03-01,R_A2
STANDARD,0.07120829075574875,297.887451171875,1648.1864013671875,297.887451171875,0,0.0,5,22,5,30,2018-03-01,R_A2
STANDARD,0.1668333262205124,298.0061950683594,1649.9586181640625,298.0061950683594,0,0.0,6,22,6,30,2018-03-01,R_A2
STANDARD,0.8950114846229553,298.13299560546875,1651.730712890625,298.13299560546875,0,0.0,7,22,7,30,2018-03-01,R_A2
STANDARD,0.8743813633918762,298.258544921875,1653.5029296875,298.258544921875,0,0.0,8,22,8,30,2018-03-01,R_A2
STANDARD,0.8924400210380554,298.62823486328125,1655.2750244140625,298.62823486328125,0,0.0,9,22,9,30,2018-03-01,R_A2
STANDARD,0.9102407693862915,299.0351867675781,1657.0472412109375,299.0351867675781,0,0.0,10,22,10,30,2018-03-01,R_A2
STANDARD,0.07600218802690506,299.3805847167969,1658.882080078125,299.3805847167969,0,0.0,11,22,11,30,2018-03-01,R_A2
STANDARD,0.0783209279179573,299.4920349121094,1660.7796630859375,299.4920349121094,0,0.0,12,22,12,30,2018-03-01,R_A2
STANDARD,0.4656445384025574,299.63409423828125,1662.67724609375,299.63409423828125,0,0.0,13,22,13,30,2018-03-01,R_A2
STANDARD,0.5037655234336853,299.7628479003906,1664.5748291015625,299.7628479003906,0,0.0,14,22,14,30,2018-03-01,R_A2
STANDARD,0.5353220105171204,300.25048828125,1666.472412109375,300.25048828125,0,0.0,15,22,15,30,2018-03-01,R_A2
STANDARD,0.6773514151573181,299.61260986328125,1665.13720703125,299.61260986328125,0,0.0,16,22,15,29,2018-03-01,R_A2
STANDARD,0.962399959564209,299.7509460449219,1667.1639404296875,299.7509460449219,0,0.0,17,22,16,29,2018-03-01,R_A2
STANDARD,0.9584559798240662,299.8902587890625,1669.1907958984375,299.8902587890625,0,0.0,18,22,17,29,2018-03-01,R_A2
STANDARD,0.9531692862510681,300.0276184082031,1671.2176513671875,300.0276184082031,0,0.0,19,22,18,29,2018-03-01,R_A2
STANDARD,0.9909738302230835,300.1319885253906,1672.7711181640625,300.1319885253906,0,0.0,20,22,19,29,2018-03-01,R_A2
STANDARD,1.0,302.5920715332031,1674.2237548828125,302.5920715332031,0,-4.321310670407641e-11,21,22,25,29,2018-03-01,R_A2
STANDARD,0.6482375860214233,302.612060546875,1676.04931640625,302.612060546875,0,0.0,22,22,26,29,2018-03-01,R_A2
STANDARD,1.0,303.23876953125,1677.874755859375,303.23876953125,0,-2.5700564497749124e-17,23,22,27,29,2018-03-01,R_A2
STANDARD,1.0,303.4794616699219,1679.7003173828125,303.4794616699219,0,9.423258081816342e-17,24,22,28,29,2018-03-01,R_A2
STANDARD,1.0,303.5509033203125,1681.5257568359375,303.5509033203125,0,4.675699689995767e-16,25,22,29,29,2018-03-01,R_A2
STANDARD,1.0,281.08770751953125,1684.0125732421875,281.08770751953125,0,-9.46598078784347e-14,1,31,1,20,2018-04-28,R_A5
STANDARD,1.0,281.28839111328125,1686.132568359375,281.28839111328125,0,-1.7406856392485764e-13,2,31,2,20,2018-04-28,R_A5
STANDARD,1.0,281.4891357421875,1688.2525634765625,281.4891357421875,0,-1.851767843881122e-13,3,31,3,20,2018-04-28,R_A5
STANDARD,1.0,281.6898498535156,1690.37255859375,281.6898498535156,0,-1.619780020832226e-13,4,31,4,20,2018-04-28,R_A5
STANDARD,1.0,281.89056396484375,1692.4925537109375,281.89056396484375,0,-1.656277111988791e-13,5,31,5,20,2018-04-28,R_A5
STANDARD,1.0,282.0912780761719,1694.6124267578125,282.0912780761719,0,-1.4123205101072844e-13,6,31,6,20,2018-04-28,R_A5
STANDARD,1.0,282.6110534667969,1696.732421875,282.6110534667969,0,-1.1237090596948659e-15,7,31,7,20,2018-04-28,R_A5
STANDARD,1.0,282.4404296875,1698.8524169921875,282.4404296875,0,-1.3009130448229933e-13,8,31,8,20,2018-04-28,R_A5
STANDARD,1.0,267.2632141113281,1705.0865478515625,267.2632141113281,0,-2.1466250950180274e-14,9,31,11,20,2018-04-28,R_A5
STANDARD,1.0,266.3382568359375,1702.3028564453125,266.3382568359375,0,-9.162451613392575e-13,10,31,11,21,2018-04-28,R_A5
STANDARD,1.0,266.6531677246094,1704.255615234375,266.6531677246094,0,-1.2898030083210998e-12,11,31,12,21,2018-04-28,R_A5
STANDARD,1.0,267.07843017578125,1706.2083740234375,267.07843017578125,0,-4.421246897236275e-13,12,31,13,21,2018-04-28,R_A5
STANDARD,1.0,267.5794982910156,1708.1611328125,267.5794982910156,0,-8.700364105378167e-13,13,31,14,21,2018-04-28,R_A5
STANDARD,1.0,267.76507568359375,1710.11376953125,267.76507568359375,0,-3.016377295508854e-13,14,31,15,21,2018-04-28,R_A5
STANDARD,1.0,268.10247802734375,1712.0665283203125,268.10247802734375,0,-3.657240254997113e-14,15,31,16,21,2018-04-28,R_A5
STANDARD,1.0,268.2987976074219,1714.019287109375,268.2987976074219,0,-5.6685081297911874e-14,16,31,17,21,2018-04-28,R_A5
STANDARD,1.0,268.4421081542969,1715.4766845703125,268.4421081542969,0,-6.947554646386314e-14,17,31,18,21,2018-04-28,R_A5
STANDARD,1.0,268.5132751464844,1716.2099609375,268.5132751464844,0,0.0,18,31,19,21,2018-04-28,R_A5
STANDARD,1.0,278.8621520996094,1717.519775390625,278.8621520996094,0,-5.911440228382331e-14,19,31,25,21,2018-04-28,R_A5
STANDARD,1.0,279.0761413574219,1719.635009765625,279.0761413574219,0,-3.961630692548776e-14,20,31,26,21,2018-04-28,R_A5
STANDARD,1.0,291.2308044433594,1721.750244140625,291.2308044433594,0,-7.817291381565129e-21,21,31,27,21,2018-04-28,R_A5
STANDARD,1.0,300.7933349609375,1723.8656005859375,300.7933349609375,0,-1.5267154527056262e-22,22,31,28,21,2018-04-28,R_A5
STANDARD,1.0,305.6991271972656,1725.9808349609375,305.6991271972656,0,-1.239984917545102e-24,23,31,29,21,2018-04-28,R_A5
STANDARD,0.6493412852287292,279.9267883300781,1610.8818359375,279.9267883300781,0,0.0,1,28,1,41,2018-07-03,R_A3
STANDARD,0.20057934522628784,280.0658264160156,1612.9544677734375,280.0658264160156,0,0.0,2,28,2,41,2018-07-03,R_A3
STANDARD,0.20068669319152832,280.2041015625,1615.027099609375,280.2041015625,0,0.0,3,28,3,41,2018-07-03,R_A3
STANDARD,0.19118021428585052,279.3380432128906,1601.9423828125,279.3380432128906,0,0.0,4,29,3,41,2018-07-03,R_A3
STANDARD,0.6520061492919922,279.4755859375,1604.0206298828125,279.4755859375,0,0.0,5,29,4,41,2018-07-03,R_A3
STANDARD,0.8113735318183899,279.6658020019531,1606.0989990234375,279.6658020019531,0,0.0,6,29,5,41,2018-07-03,R_A3
STANDARD,0.18406522274017334,279.8068542480469,1608.17724609375,279.8068542480469,0,0.0,7,29,6,41,2018-07-03,R_A3
STANDARD,0.1973337084054947,279.9456787109375,1610.255615234375,279.9456787109375,0,0.0,8,29,7,41,2018-07-03,R_A3
STANDARD,0.20065347850322723,280.0844421386719,1612.3338623046875,280.0844421386719,0,0.0,9,29,8,41,2018-07-03,R_A3
STANDARD,0.7991449236869812,280.2312927246094,1614.4122314453125,280.2312927246094,0,0.0,10,29,9,41,2018-07-03,R_A3
STANDARD,0.8046910762786865,280.6070556640625,1616.490478515625,280.6070556640625,0,0.0,11,29,10,41,2018-07-03,R_A3
STANDARD,0.04761233180761337,291.8631896972656,1618.606201171875,291.8631896972656,0,0.0,12,29,11,41,2018-07-03,R_A3
STANDARD,0.0513044148683548,292.0072326660156,1620.75927734375,292.0072326660156,0,0.0,13,29,12,41,2018-07-03,R_A3
STANDARD,0.24349190294742584,292.15155029296875,1622.9122314453125,292.15155029296875,0,0.0,14,29,13,41,2018-07-03,R_A3
STANDARD,0.3776059150695801,292.44189453125,1625.0653076171875,292.44189453125,0,0.0,15,29,14,41,2018-07-03,R_A3
STANDARD,0.35719603300094604,292.5904235839844,1627.2183837890625,292.5904235839844,0,0.0,16,29,15,41,2018-07-03,R_A3
STANDARD,0.7937572002410889,292.88568115234375,1629.2554931640625,292.88568115234375,0,0.0,17,29,16,41,2018-07-03,R_A3
STANDARD,0.8027631640434265,292.98004150390625,1630.6728515625,292.98004150390625,0,0.0,18,29,17,41,2018-07-03,R_A3
STANDARD,0.24942292273044586,282.1590576171875,1633.0631103515625,282.1590576171875,0,0.0,19,29,25,41,2018-07-03,R_A3
STANDARD,0.045172158628702164,282.44549560546875,1636.9296875,282.44549560546875,0,0.0,20,29,26,41,2018-07-03,R_A3
STANDARD,0.049767039716243744,282.70953369140625,1640.79638671875,282.70953369140625,0,0.0,21,29,27,41,2018-07-03,R_A3
STANDARD,0.6493650674819946,282.9735107421875,1644.6630859375,282.9735107421875,0,0.0,22,29,28,41,2018-07-03,R_A3
STANDARD,0.0654153972864151,283.20928955078125,1648.5296630859375,283.20928955078125,0,0.0,23,29,29,41,2018-07-03,R_A3
STANDARD,0.0520683191716671,281.307373046875,1632.506591796875,281.307373046875,0,0.0,1,30,1,52,2018-09-12,R_A4
STANDARD,0.05004099756479263,281.13189697265625,1627.7222900390625,281.13189697265625,0,0.0,2,31,1,52,2018-09-12,R_A4
STANDARD,0.05219583585858345,281.27301025390625,1629.837158203125,281.27301025390625,0,0.0,3,31,2,52,2018-09-12,R_A4
STANDARD,0.054919738322496414,281.41412353515625,1631.9521484375,281.41412353515625,0,0.0,4,31,3,52,2018-09-12,R_A4
STANDARD,0.05635731667280197,281.5552673339844,1634.067138671875,281.5552673339844,0,0.0,5,31,4,52,2018-09-12,R_A4
STANDARD,0.057981789112091064,281.66510009765625,1633.31689453125,281.66510009765625,0,0.0,6,32,4,52,2018-09-12,R_A4
STANDARD,0.05769359692931175,281.69415283203125,1635.4495849609375,281.69415283203125,0,0.0,7,32,4,51,2018-09-12,R_A4
STANDARD,0.06080774962902069,282.0218505859375,1637.72802734375,282.0218505859375,0,0.0,8,33,4,51,2018-09-12,R_A4
STANDARD,0.05924637243151665,281.8930969238281,1635.8018798828125,281.8930969238281,0,0.0,9,33,3,51,2018-09-12,R_A4
STANDARD,0.06377556174993515,282.18646240234375,1641.567138671875,282.18646240234375,0,0.0,10,33,4,50,2018-09-12,R_A4
STANDARD,0.06397883594036102,282.4240417480469,1642.2745361328125,282.4240417480469,0,0.0,11,34,4,50,2018-09-12,R_A4
STANDARD,0.1659172922372818,282.2867431640625,1640.222900390625,282.2867431640625,0,0.0,12,34,3,50,2018-09-12,R_A4
STANDARD,0.11810482293367386,282.14947509765625,1638.1712646484375,282.14947509765625,0,0.0,13,34,2,50,2018-09-12,R_A4
STANDARD,0.2425210177898407,282.6245422363281,1642.7021484375,282.6245422363281,0,0.0,14,35,3,50,2018-09-12,R_A4
STANDARD,0.2365724742412567,282.37176513671875,1639.8826904296875,282.37176513671875,0,0.0,15,35,2,49,2018-09-12,R_A4
STANDARD,0.0652402713894844,284.69769287109375,1645.959228515625,284.69769287109375,0,0.0,16,36,29,49,2018-09-12,R_A4
STANDARD,0.057070620357990265,284.30694580078125,1640.102294921875,284.30694580078125,0,0.0,17,36,28,49,2018-09-12,R_A4
STANDARD,0.2411441057920456,284.08978271484375,1636.1282958984375,284.08978271484375,0,0.0,18,36,28,48,2018-09-12,R_A4
STANDARD,0.6600084900856018,284.69805908203125,1645.8087158203125,284.69805908203125,0,0.0,19,37,28,48,2018-09-12,R_A4
STANDARD,0.16938066482543945,285.1058654785156,1652.211181640625,285.1058654785156,0,0.0,20,38,28,48,2018-09-12,R_A4
STANDARD,0.2921730577945709,285.2650451660156,1653.792236328125,285.2650451660156,0,0.0,21,38,28,47,2018-09-12,R_A4
STANDARD,1.0,275.6308288574219,1693.4849853515625,275.6308288574219,0,-1.0694677696702199e-16,1,17,1,42,2018-11-07,R_A6
STANDARD,1.0,275.7699279785156,1695.0050048828125,275.7699279785156,0,-6.399826916151321e-17,2,17,2,42,2018-11-07,R_A6
STANDARD,1.0,275.9046936035156,1696.525146484375,275.9046936035156,0,-5.006012033003953e-17,3,17,3,42,2018-11-07,R_A6
STANDARD,1.0,276.0351867675781,1698.045166015625,276.0351867675781,0,-3.47851053536148e-17,4,17,4,42,2018-11-07,R_A6
STANDARD,1.0,276.1639404296875,1699.5653076171875,276.1639404296875,0,-1.1054538056156412e-15,5,17,5,42,2018-11-07,R_A6
STANDARD,1.0,275.99273681640625,1701.08544921875,275.99273681640625,0,-4.722440767970272e-15,6,17,6,42,2018-11-07,R_A6
STANDARD,1.0,276.1360778808594,1702.60546875,276.1360778808594,0,-5.77618109457367e-15,7,17,7,42,2018-11-07,R_A6
