CONKPOS,PRESSURE,CONJPOS,DRAWDOWN,CONIPOS,DATE,WELLMODEL,CONIDX,SGAS,DEPTH,WELL,SWAT,CONBPRES
3,300.8766784667969,49,0,35,2018-01-01,STANDARD,13,0.0,1642.177978515625,R_A4,0.13610060513019562,300.8766784667969
27,300.8797607421875,49,0,36,2018-01-01,STANDARD,14,0.0,1642.2236328125,R_A4,0.12828069925308228,300.8797607421875
27,300.9422302246094,48,0,36,2018-01-01,STANDARD,15,0.0,1643.1553955078125,R_A4,0.05561336502432823,300.9422302246094
27,301.3562316894531,48,0,37,2018-01-01,STANDARD,16,0.0,1649.328857421875,R_A4,0.6481541991233826,301.3562316894531
27,301.5906677246094,48,0,38,2018-01-01,STANDARD,17,0.0,1652.8243408203125,R_A4,0.6481541991233826,301.5906677246094
27,302.1768798828125,47,0,38,2018-01-01,STANDARD,18,0.0,1661.5643310546875,R_A4,1.0,302.1768798828125
1,303.8758850097656,20,0,31,2018-01-01,STANDARD,1,0.0,1685.362060546875,R_A5,1.0,303.8758850097656
2,304.0743408203125,20,0,31,2018-01-01,STANDARD,2,0.0,1687.456298828125,R_A5,1.0,304.0743408203125
3,304.2727966308594,20,0,31,2018-01-01,STANDARD,3,0.0,1689.5506591796875,R_A5,1.0,304.2727966308594
4,304.47125244140625,20,0,31,2018-01-01,STANDARD,4,0.0,1691.6448974609375,R_A5,1.0,304.47125244140625
5,304.66973876953125,20,0,31,2018-01-01,STANDARD,5,0.0,1693.7391357421875,R_A5,1.0,304.66973876953125
6,304.8681945800781,20,0,31,2018-01-01,STANDARD,6,0.0,1695.83349609375,R_A5,1.0,304.8681945800781
7,305.3724670410156,20,0,31,2018-01-01,STANDARD,7,0.0,1697.927734375,R_A5,1.0,305.3724670410156
8,305.5709228515625,20,0,31,2018-01-01,STANDARD,8,0.0,1700.02197265625,R_A5,1.0,305.5709228515625
9,305.2185363769531,21,0,31,2018-01-01,STANDARD,9,0.0,1696.3035888671875,R_A5,1.0,305.2185363769531
10,305.13812255859375,21,0,31,2018-01-01,STANDARD,10,0.0,1698.610595703125,R_A5,1.0,305.13812255859375
11,305.3349914550781,21,0,31,2018-01-01,STANDARD,11,0.0,1700.7578125,R_A5,1.0,305.3349914550781
12,305.5233154296875,21,0,31,2018-01-01,STANDARD,12,0.0,1702.7449951171875,R_A5,1.0,305.5233154296875
13,305.7236022949219,21,0,31,2018-01-01,STANDARD,13,0.0,1704.732177734375,R_A5,1.0,305.7236022949219
14,305.91192626953125,21,0,31,2018-01-01,STANDARD,14,0.0,1706.7193603515625,R_A5,1.0,305.91192626953125
15,306.1002502441406,21,0,31,2018-01-01,STANDARD,15,0.0,1708.7066650390625,R_A5,1.0,306.1002502441406
16,306.4336242675781,21,0,31,2018-01-01,STANDARD,16,0.0,1710.69384765625,R_A5,1.0,306.4336242675781
17,306.6219482421875,21,0,31,2018-01-01,STANDARD,17,0.0,1712.6810302734375,R_A5,1.0,306.6219482421875
18,306.75445556640625,21,0,31,2018-01-01,STANDARD,18,0.0,1714.079345703125,R_A5,1.0,306.75445556640625
19,306.808349609375,21,0,31,2018-01-01,STANDARD,19,0.0,1714.64794921875,R_A5,1.0,306.808349609375
24,306.7720031738281,21,0,31,2018-01-01,STANDARD,20,0.0,1715.922119140625,R_A5,1.0,306.7720031738281
25,306.9824523925781,21,0,31,2018-01-01,STANDARD,21,0.0,1718.1424560546875,R_A5,1.0,306.9824523925781
26,307.4986572265625,21,0,31,2018-01-01,STANDARD,22,0.0,1720.3626708984375,R_A5,1.0,307.4986572265625
27,307.7090759277344,21,0,31,2018-01-01,STANDARD,23,0.0,1722.5828857421875,R_A5,1.0,307.7090759277344
28,307.9195251464844,21,0,31,2018-01-01,STANDARD,24,0.0,1724.80322265625,R_A5,1.0,307.9195251464844
1,305.0492248535156,42,0,17,2018-01-01,STANDARD,1,0.0,1694.516845703125,R_A6,1.0,305.0492248535156
2,305.1948547363281,42,0,17,2018-01-01,STANDARD,2,0.0,1696.0537109375,R_A6,1.0,305.1948547363281
3,305.34051513671875,42,0,17,2018-01-01,STANDARD,3,0.0,1697.590576171875,R_A6,1.0,305.34051513671875
4,305.48614501953125,42,0,17,2018-01-01,STANDARD,4,0.0,1699.12744140625,R_A6,1.0,305.48614501953125
5,305.63177490234375,42,0,17,2018-01-01,STANDARD,5,0.0,1700.664306640625,R_A6,1.0,305.63177490234375
6,305.7774353027344,42,0,17,2018-01-01,STANDARD,6,0.0,1702.2010498046875,R_A6,1.0,305.7774353027344
7,305.6240234375,42,0,17,2018-01-01,STANDARD,7,0.0,1703.7379150390625,R_A6,1.0,305.6240234375
8,305.7696838378906,42,0,17,2018-01-01,STANDARD,8,0.0,1705.2747802734375,R_A6,1.0,305.7696838378906
9,306.21435546875,42,0,17,2018-01-01,STANDARD,9,0.0,1706.8116455078125,R_A6,1.0,306.21435546875
10,306.0542297363281,42,0,17,2018-01-01,STANDARD,10,0.0,1708.3485107421875,R_A6,1.0,306.0542297363281
11,306.23406982421875,42,0,17,2018-01-01,STANDARD,11,0.0,1710.2447509765625,R_A6,1.0,306.23406982421875
12,306.4478454589844,42,0,17,2018-01-01,STANDARD,12,0.0,1712.50048828125,R_A6,1.0,306.4478454589844
13,306.6736145019531,42,0,17,2018-01-01,STANDARD,13,0.0,1714.7562255859375,R_A6,1.0,306.6736145019531
14,306.88739013671875,42,0,17,2018-01-01,STANDARD,14,0.0,1717.011962890625,R_A6,1.0,306.88739013671875
15,307.1011657714844,42,0,17,2018-01-01,STANDARD,15,0.0,1719.2677001953125,R_A6,1.0,307.1011657714844
16,307.4599609375,42,0,17,2018-01-01,STANDARD,16,0.0,1721.5234375,R_A6,1.0,307.4599609375
17,307.67376708984375,42,0,17,2018-01-01,STANDARD,17,0.0,1723.7791748046875,R_A6,1.0,307.67376708984375
18,307.82958984375,42,0,17,2018-01-01,STANDARD,18,0.0,1725.4232177734375,R_A6,1.0,307.82958984375
24,307.80242919921875,42,0,17,2018-01-01,STANDARD,19,0.0,1726.7940673828125,R_A6,1.0,307.80242919921875
25,307.9643859863281,42,0,17,2018-01-01,STANDARD,20,0.0,1728.503173828125,R_A6,1.0,307.9643859863281
26,308.4321594238281,42,0,17,2018-01-01,STANDARD,21,0.0,1730.212158203125,R_A6,1.0,308.4321594238281
27,308.5941467285156,42,0,17,2018-01-01,STANDARD,22,0.0,1731.9212646484375,R_A6,1.0,308.5941467285156
28,308.4503479003906,42,0,17,2018-01-01,STANDARD,23,0.0,1733.63037109375,R_A6,1.0,308.4503479003906
1,298.7349853515625,30,0,22,2018-03-01,STANDARD,1,0.0,1641.10009765625,R_A2,0.05218635872006416,298.7349853515625
2,298.8525390625,30,0,22,2018-03-01,STANDARD,2,0.0,1642.85400390625,R_A2,0.054885465651750565,298.8525390625
3,298.9700927734375,30,0,22,2018-03-01,STANDARD,3,0.0,1644.6080322265625,R_A2,0.057189617305994034,298.9700927734375
4,299.0876770019531,30,0,22,2018-03-01,STANDARD,4,0.0,1646.3619384765625,R_A2,0.06328695267438889,299.0876770019531
5,299.20526123046875,30,0,22,2018-03-01,STANDARD,5,0.0,1648.1158447265625,R_A2,0.06533708423376083,299.20526123046875
6,299.3578186035156,30,0,22,2018-03-01,STANDARD,6,0.0,1649.86962890625,R_A2,0.3016252815723419,299.3578186035156
7,299.6330871582031,30,0,22,2018-03-01,STANDARD,7,0.0,1651.62353515625,R_A2,0.8686729669570923,299.6330871582031
8,299.828125,30,0,22,2018-03-01,STANDARD,8,0.0,1653.37744140625,R_A2,0.6485446095466614,299.828125
9,300.0041809082031,30,0,22,2018-03-01,STANDARD,9,0.0,1655.1314697265625,R_A2,0.25453779101371765,300.0041809082031
10,300.2355651855469,30,0,22,2018-03-01,STANDARD,10,0.0,1656.8853759765625,R_A2,0.881131649017334,300.2355651855469
11,300.1592102050781,30,0,22,2018-03-01,STANDARD,11,0.0,1658.77294921875,R_A2,0.06804323196411133,300.1592102050781
12,300.298828125,30,0,22,2018-03-01,STANDARD,12,0.0,1660.79443359375,R_A2,0.06741337478160858,300.298828125
13,300.4543762207031,30,0,22,2018-03-01,STANDARD,13,0.0,1662.81591796875,R_A2,0.4289896786212921,300.4543762207031
14,300.5906982421875,30,0,22,2018-03-01,STANDARD,14,0.0,1664.83740234375,R_A2,0.4646112024784088,300.5906982421875
15,300.7315368652344,30,0,22,2018-03-01,STANDARD,15,0.0,1666.85888671875,R_A2,0.9012981653213501,300.7315368652344
16,300.8704528808594,30,0,22,2018-03-01,STANDARD,16,0.0,1668.88037109375,R_A2,0.9159350395202637,300.8704528808594
17,301.0074462890625,30,0,22,2018-03-01,STANDARD,17,0.0,1670.90185546875,R_A2,0.8641995787620544,301.0074462890625
17,301.2284240722656,29,0,22,2018-03-01,STANDARD,18,0.0,1673.55078125,R_A2,0.9013484120368958,301.2284240722656
18,301.3563232421875,29,0,22,2018-03-01,STANDARD,19,0.0,1675.4600830078125,R_A2,0.9678334593772888,301.3563232421875
24,303.10760498046875,29,0,22,2018-03-01,STANDARD,20,0.0,1677.4378662109375,R_A2,0.7871317863464355,303.10760498046875
25,303.2326354980469,29,0,22,2018-03-01,STANDARD,21,-1.428667575774473e-16,1679.2137451171875,R_A2,1.0,303.2326354980469
26,303.2724304199219,29,0,22,2018-03-01,STANDARD,22,-4.3276782041662084e-16,1680.9896240234375,R_A2,1.0,303.2724304199219
27,303.43212890625,29,0,22,2018-03-01,STANDARD,23,-4.652217077961681e-15,1682.765380859375,R_A2,1.0,303.43212890625
28,302.9082946777344,29,0,22,2018-03-01,STANDARD,24,-7.067915995312077e-14,1684.541259765625,R_A2,1.0,302.9082946777344
1,280.44219970703125,20,0,31,2018-04-28,STANDARD,1,-1.2533370175038527e-10,1685.362060546875,R_A5,1.0,280.44219970703125
2,280.6414489746094,20,0,31,2018-04-28,STANDARD,2,-3.851267915688794e-10,1687.456298828125,R_A5,1.0,280.6414489746094
3,280.8404541015625,20,0,31,2018-04-28,STANDARD,3,-3.6750000265151073e-10,1689.5506591796875,R_A5,1.0,280.8404541015625
4,281.0393371582031,20,0,31,2018-04-28,STANDARD,4,-4.1065253975069993e-10,1691.6448974609375,R_A5,1.0,281.0393371582031
5,281.2380065917969,20,0,31,2018-04-28,STANDARD,5,-2.33597419185827e-10,1693.7391357421875,R_A5,1.0,281.2380065917969
6,281.43682861328125,20,0,31,2018-04-28,STANDARD,6,-3.1075986228756847e-10,1695.83349609375,R_A5,1.0,281.43682861328125
7,282.16717529296875,20,0,31,2018-04-28,STANDARD,7,-3.96242379185896e-11,1697.927734375,R_A5,1.0,282.16717529296875
8,282.4244079589844,20,0,31,2018-04-28,STANDARD,8,-4.167594654796991e-12,1700.02197265625,R_A5,1.0,282.4244079589844
9,281.24053955078125,21,0,31,2018-04-28,STANDARD,9,-1.0956900664549352e-10,1696.3035888671875,R_A5,1.0,281.24053955078125
10,281.7084655761719,21,0,31,2018-04-28,STANDARD,10,-2.536896474142347e-13,1698.610595703125,R_A5,1.0,281.7084655761719
11,279.49530029296875,21,0,31,2018-04-28,STANDARD,11,-1.3723758240935524e-10,1700.7578125,R_A5,1.0,279.49530029296875
12,279.67864990234375,21,0,31,2018-04-28,STANDARD,12,-1.1769653307514005e-10,1702.7449951171875,R_A5,1.0,279.67864990234375
13,279.8782653808594,21,0,31,2018-04-28,STANDARD,13,-1.2141769360762833e-11,1704.732177734375,R_A5,1.0,279.8782653808594
14,280.0655212402344,21,0,31,2018-04-28,STANDARD,14,0.0,1706.7193603515625,R_A5,1.0,280.0655212402344
15,280.258056640625,21,0,31,2018-04-28,STANDARD,15,-8.674726735546923e-12,1708.7066650390625,R_A5,1.0,280.258056640625
16,280.60211181640625,21,0,31,2018-04-28,STANDARD,16,-1.3043935506371063e-12,1710.69384765625,R_A5,1.0,280.60211181640625
17,280.8016662597656,21,0,31,2018-04-28,STANDARD,17,-1.7224705819648967e-12,1712.6810302734375,R_A5,1.0,280.8016662597656
18,280.93524169921875,21,0,31,2018-04-28,STANDARD,18,-1.7358621050983514e-12,1714.079345703125,R_A5,1.0,280.93524169921875
19,280.98876953125,21,0,31,2018-04-28,STANDARD,19,0.0,1714.64794921875,R_A5,1.0,280.98876953125
24,279.3631591796875,21,0,31,2018-04-28,STANDARD,20,-2.168470264463096e-11,1715.922119140625,R_A5,1.0,279.3631591796875
25,279.5958557128906,21,0,31,2018-04-28,STANDARD,21,-2.228916183566465e-11,1718.1424560546875,R_A5,1.0,279.5958557128906
26,281.77996826171875,21,0,31,2018-04-28,STANDARD,22,-7.454480542795206e-18,1720.3626708984375,R_A5,1.0,281.77996826171875
27,282.77630615234375,21,0,31,2018-04-28,STANDARD,23,-1.0381274679037495e-17,1722.5828857421875,R_A5,1.0,282.77630615234375
28,298.2156066894531,21,0,31,2018-04-28,STANDARD,24,-2.803666324585119e-20,1724.80322265625,R_A5,1.0,298.2156066894531
1,277.2910461425781,41,0,28,2018-07-03,STANDARD,1,0.0,1608.625732421875,R_A3,0.6498253345489502,277.2910461425781
2,277.4229736328125,41,0,28,2018-07-03,STANDARD,2,0.0,1610.6544189453125,R_A3,0.14717327058315277,277.4229736328125
2,276.7689208984375,41,0,29,2018-07-03,STANDARD,3,0.0,1601.1995849609375,R_A3,0.18339119851589203,276.7689208984375
3,276.9136657714844,41,0,29,2018-07-03,STANDARD,4,0.0,1603.3743896484375,R_A3,0.16429801285266876,276.9136657714844
4,277.0586853027344,41,0,29,2018-07-03,STANDARD,5,0.0,1605.5491943359375,R_A3,0.17359425127506256,277.0586853027344
5,277.2835388183594,41,0,29,2018-07-03,STANDARD,6,0.0,1607.7239990234375,R_A3,0.8052272796630859,277.2835388183594
6,277.390869140625,41,0,29,2018-07-03,STANDARD,7,0.0,1609.8988037109375,R_A3,0.6495481729507446,277.390869140625
7,277.5545349121094,41,0,29,2018-07-03,STANDARD,8,0.0,1612.0736083984375,R_A3,0.1927473098039627,277.5545349121094
8,277.69964599609375,41,0,29,2018-07-03,STANDARD,9,0.0,1614.2484130859375,R_A3,0.19760410487651825,277.69964599609375
9,277.9688415527344,41,0,29,2018-07-03,STANDARD,10,0.0,1616.4232177734375,R_A3,0.7879679203033447,277.9688415527344
10,279.8697204589844,41,0,29,2018-07-03,STANDARD,11,0.0,1618.597900390625,R_A3,0.7932435274124146,279.8697204589844
11,294.7761535644531,41,0,29,2018-07-03,STANDARD,12,0.0,1620.779052734375,R_A3,0.04625694081187248,294.7761535644531
12,294.922607421875,41,0,29,2018-07-03,STANDARD,13,0.0,1622.96630859375,R_A3,0.053117528557777405,294.922607421875
13,295.0693664550781,41,0,29,2018-07-03,STANDARD,14,0.0,1625.153564453125,R_A3,0.36447209119796753,295.0693664550781
14,295.2729797363281,41,0,29,2018-07-03,STANDARD,15,0.0,1627.3408203125,R_A3,0.18136528134346008,295.2729797363281
15,295.46612548828125,41,0,29,2018-07-03,STANDARD,16,0.0,1629.528076171875,R_A3,0.34688785672187805,295.46612548828125
16,295.6142578125,41,0,29,2018-07-03,STANDARD,17,0.0,1631.627197265625,R_A3,0.7984164357185364,295.6142578125
17,295.6893005371094,41,0,29,2018-07-03,STANDARD,18,0.0,1632.8057861328125,R_A3,0.7767078280448914,295.6893005371094
24,286.12841796875,41,0,29,2018-07-03,STANDARD,19,0.0,1634.791259765625,R_A3,0.17094309628009796,286.12841796875
25,286.35552978515625,41,0,29,2018-07-03,STANDARD,20,0.0,1638.4161376953125,R_A3,0.044673554599285126,286.35552978515625
26,286.5977783203125,41,0,29,2018-07-03,STANDARD,21,0.0,1642.0408935546875,R_A3,0.04724009335041046,286.5977783203125
27,286.8403625488281,41,0,29,2018-07-03,STANDARD,22,0.0,1645.6656494140625,R_A3,0.1749773919582367,286.8403625488281
28,287.0826110839844,41,0,29,2018-07-03,STANDARD,23,0.0,1649.2904052734375,R_A3,0.06083650887012482,287.0826110839844
1,280.27099609375,52,0,30,2018-09-12,STANDARD,1,0.0,1632.9327392578125,R_A4,0.04833807796239853,280.27099609375
1,279.9258728027344,52,0,31,2018-09-12,STANDARD,2,0.0,1627.2542724609375,R_A4,0.10975002497434616,279.9258728027344
2,280.064697265625,52,0,31,2018-09-12,STANDARD,3,0.0,1629.3359375,R_A4,0.05007215589284897,280.064697265625
3,280.2035217285156,52,0,31,2018-09-12,STANDARD,4,0.0,1631.41748046875,R_A4,0.052171315997838974,280.2035217285156
4,280.34234619140625,52,0,31,2018-09-12,STANDARD,5,0.0,1633.4991455078125,R_A4,0.05285229533910751,280.34234619140625
4,280.2476806640625,52,0,32,2018-09-12,STANDARD,6,0.0,1631.688232421875,R_A4,0.051877815276384354,280.2476806640625
4,280.4731140136719,51,0,32,2018-09-12,STANDARD,7,0.0,1635.64111328125,R_A4,0.055173296481370926,280.4731140136719
4,280.5299377441406,51,0,33,2018-09-12,STANDARD,8,0.0,1636.227783203125,R_A4,0.05675480142235756,280.5299377441406
4,280.8334045410156,50,0,33,2018-09-12,STANDARD,9,0.0,1641.338623046875,R_A4,0.05980025231838226,280.8334045410156
4,280.7332763671875,50,0,34,2018-09-12,STANDARD,10,0.0,1639.529541015625,R_A4,0.07877669483423233,280.7332763671875
4,280.69403076171875,50,0,35,2018-09-12,STANDARD,11,0.0,1638.9822998046875,R_A4,0.07492265850305557,280.69403076171875
4,281.00396728515625,49,0,35,2018-09-12,STANDARD,12,0.0,1643.9888916015625,R_A4,0.07824453711509705,281.00396728515625
3,280.88311767578125,49,0,35,2018-09-12,STANDARD,13,0.0,1642.177978515625,R_A4,0.13635686039924622,280.88311767578125
27,275.1072082519531,49,0,36,2018-09-12,STANDARD,14,0.0,1642.2236328125,R_A4,0.12880700826644897,275.1072082519531
27,274.597900390625,48,0,36,2018-09-12,STANDARD,15,0.0,1643.1553955078125,R_A4,0.05689612030982971,274.597900390625
27,275.5422668457031,48,0,37,2018-09-12,STANDARD,16,0.0,1649.328857421875,R_A4,0.6511601805686951,275.5422668457031
27,276.3988952636719,48,0,38,2018-09-12,STANDARD,17,0.0,1652.8243408203125,R_A4,0.6512470841407776,276.3988952636719
27,279.5000915527344,47,0,38,2018-09-12,STANDARD,18,1.0779242949621182e-11,1661.5643310546875,R_A4,1.0,279.5000915527344
1,274.3174743652344,42,0,17,2018-11-07,STANDARD,1,-2.5901496659291867e-12,1694.516845703125,R_A6,1.0,274.3174743652344
2,274.4593811035156,42,0,17,2018-11-07,STANDARD,2,-1.5974410379551718e-12,1696.0537109375,R_A6,1.0,274.4593811035156
3,274.59747314453125,42,0,17,2018-11-07,STANDARD,3,-1.2704381817385535e-12,1697.590576171875,R_A6,1.0,274.59747314453125
4,274.7312316894531,42,0,17,2018-11-07,STANDARD,4,-1.2451117610903784e-12,1699.12744140625,R_A6,1.0,274.7312316894531
5,274.8642883300781,42,0,17,2018-11-07,STANDARD,5,-2.241327783092384e-12,1700.664306640625,R_A6,1.0,274.8642883300781
6,275.0022277832031,42,0,17,2018-11-07,STANDARD,6,-1.0493116792131829e-10,1702.2010498046875,R_A6,1.0,275.0022277832031
7,274.84271240234375,42,0,17,2018-11-07,STANDARD,7,-2.3697385720389263e-10,1703.7379150390625,R_A6,1.0,274.84271240234375
8,274.9880676269531,42,0,17,2018-11-07,STANDARD,8,-2.143112215469145e-10,1705.2747802734375,R_A6,1.0,274.9880676269531
9,275.43609619140625,42,0,17,2018-11-07,STANDARD,9,-1.6744852032735125e-11,1706.8116455078125,R_A6,1.0,275.43609619140625
10,275.2843017578125,42,0,17,2018-11-07,STANDARD,10,-1.3310618163231425e-09,1708.3485107421875,R_A6,0.9999999403953552,275.2843017578125
11,281.5060119628906,42,0,17,2018-11-07,STANDARD,11,2.508955265767554e-10,1710.2447509765625,R_A6,1.0,281.5060119628906
12,281.6998291015625,42,0,17,2018-11-07,STANDARD,12,3.305984930257466e-10,1712.50048828125,R_A6,1.0,281.6998291015625
13,281.9398498535156,42,0,17,2018-11-07,STANDARD,13,3.80141126909983e-11,1714.7562255859375,R_A6,1.0,281.9398498535156
