CONKPOS,CONBPRES,DATE,SWAT,PRESSURE,WELLMODEL,DEPTH,SGAS,DRAWDOWN,WELL,CONIPOS,CONJPOS,CONIDX
6,298.54638671875,2018-01-01,0.6481541991233826,298.54638671875,STANDARD,1609.3663330078125,0.0,0,R_A3,29,41,7
7,298.68377685546875,2018-01-01,0.19782783091068268,298.68377685546875,STANDARD,1611.4163818359375,0.0,0,R_A3,29,41,8
8,298.8211669921875,2018-01-01,0.1995648592710495,298.8211669921875,STANDARD,1613.46630859375,0.0,0,R_A3,29,41,9
9,298.95855712890625,2018-01-01,0.7997170090675354,298.95855712890625,STANDARD,1615.516357421875,0.0,0,R_A3,29,41,10
10,299.095947265625,2018-01-01,0.8015515208244324,299.095947265625,STANDARD,1617.5662841796875,0.0,0,R_A3,29,41,11
11,299.24237060546875,2018-01-01,0.04906727373600006,299.24237060546875,STANDARD,1619.750732421875,0.0,0,R_A3,29,41,12
12,299.3978271484375,2018-01-01,0.05435820296406746,299.3978271484375,STANDARD,1622.0697021484375,0.0,0,R_A3,29,41,13
13,299.5532531738281,2018-01-01,0.36790597438812256,299.5532531738281,STANDARD,1624.388671875,0.0,0,R_A3,29,41,14
15,299.8641662597656,2018-01-01,0.5019171237945557,299.8641662597656,STANDARD,1629.026611328125,0.0,0,R_A3,29,41,15
16,299.992919921875,2018-01-01,0.8088846802711487,299.992919921875,STANDARD,1630.9468994140625,0.0,0,R_A3,29,41,16
27,300.16583251953125,2018-01-01,0.6481541991233826,300.16583251953125,STANDARD,1633.5262451171875,0.0,0,R_A3,29,41,17
28,300.40966796875,2018-01-01,0.04671987146139145,300.40966796875,STANDARD,1637.1630859375,0.0,0,R_A3,29,41,18
29,300.6535339355469,2018-01-01,0.052011314779520035,300.6535339355469,STANDARD,1640.8001708984375,0.0,0,R_A3,29,41,19
30,300.89739990234375,2018-01-01,0.6723677515983582,300.89739990234375,STANDARD,1644.4371337890625,0.0,0,R_A3,29,41,20
31,301.14129638671875,2018-01-01,0.06565839052200317,301.14129638671875,STANDARD,1648.0740966796875,0.0,0,R_A3,29,41,21
1,300.009033203125,2018-01-01,0.05159545689821243,300.009033203125,STANDARD,1631.1873779296875,0.0,0,R_A4,30,52,1
1,299.7571105957031,2018-01-01,0.049295369535684586,299.7571105957031,STANDARD,1627.4293212890625,0.0,0,R_A4,31,52,2
2,299.89520263671875,2018-01-01,0.05215280130505562,299.89520263671875,STANDARD,1629.4896240234375,0.0,0,R_A4,31,52,3
3,300.0333251953125,2018-01-01,0.054117489606142044,300.0333251953125,STANDARD,1631.5498046875,0.0,0,R_A4,31,52,4
4,300.17144775390625,2018-01-01,0.05574403703212738,300.17144775390625,STANDARD,1633.610107421875,0.0,0,R_A4,31,52,5
4,300.0901184082031,2018-01-01,0.05757410079240799,300.0901184082031,STANDARD,1632.3968505859375,0.0,0,R_A4,32,52,6
4,300.3236999511719,2018-01-01,0.05810001865029335,300.3236999511719,STANDARD,1635.880615234375,0.0,0,R_A4,32,51,7
4,300.4202575683594,2018-01-01,0.06064717099070549,300.4202575683594,STANDARD,1637.321044921875,0.0,0,R_A4,33,51,8
3,300.29644775390625,2018-01-01,0.058206330984830856,300.29644775390625,STANDARD,1635.474609375,0.0,0,R_A4,33,51,9
4,300.74395751953125,2018-01-01,0.2798222005367279,300.74395751953125,STANDARD,1642.1485595703125,0.0,0,R_A4,33,50,10
4,300.67578125,2018-01-01,0.6481541991233826,300.67578125,STANDARD,1641.132080078125,0.0,0,R_A4,34,50,11
3,300.5467224121094,2018-01-01,0.09663576632738113,300.5467224121094,STANDARD,1639.20703125,0.0,0,R_A4,34,50,12
3,300.66064453125,2018-01-01,0.16213864088058472,300.66064453125,STANDARD,1640.9061279296875,0.0,0,R_A4,35,50,13
2,300.53570556640625,2018-01-01,0.18770018219947815,300.53570556640625,STANDARD,1639.0426025390625,0.0,0,R_A4,35,50,14
2,300.72943115234375,2018-01-01,0.2386992871761322,300.72943115234375,STANDARD,1641.93212890625,0.0,0,R_A4,35,49,15
30,300.7579650878906,2018-01-01,0.09703515470027924,300.7579650878906,STANDARD,1642.357421875,0.0,0,R_A4,36,49,16
30,300.5735168457031,2018-01-01,0.05722138658165932,300.5735168457031,STANDARD,1639.6068115234375,0.0,0,R_A4,36,48,17
30,301.0526123046875,2018-01-01,0.06256399303674698,301.0526123046875,STANDARD,1646.7513427734375,0.0,0,R_A4,37,48,18
30,301.5025939941406,2018-01-01,0.6481541991233826,301.5025939941406,STANDARD,1653.461669921875,0.0,0,R_A4,38,48,19
30,301.7947998046875,2018-01-01,0.17424188554286957,301.7947998046875,STANDARD,1657.8184814453125,0.0,0,R_A4,38,47,20
1,303.8440856933594,2018-01-01,1.0,303.8440856933594,STANDARD,1685.026611328125,0.0,0,R_A5,31,20,1
2,304.0601806640625,2018-01-01,1.0,304.0601806640625,STANDARD,1687.3070068359375,0.0,0,R_A5,31,20,2
3,304.27630615234375,2018-01-01,1.0,304.27630615234375,STANDARD,1689.5875244140625,0.0,0,R_A5,31,20,3
4,304.4924011230469,2018-01-01,1.0,304.4924011230469,STANDARD,1691.8680419921875,0.0,0,R_A5,31,20,4
5,304.7085266113281,2018-01-01,1.0,304.7085266113281,STANDARD,1694.1485595703125,0.0,0,R_A5,31,20,5
6,304.9246520996094,2018-01-01,1.0,304.9246520996094,STANDARD,1696.4290771484375,0.0,0,R_A5,31,20,6
7,305.446533203125,2018-01-01,1.0,305.446533203125,STANDARD,1698.70947265625,0.0,0,R_A5,31,20,7
11,305.988037109375,2018-01-01,1.0,305.988037109375,STANDARD,1707.6488037109375,0.0,0,R_A5,31,20,8
12,306.1695251464844,2018-01-01,1.0,306.1695251464844,STANDARD,1709.5638427734375,0.0,0,R_A5,31,20,9
12,305.4322814941406,2018-01-01,1.0,305.4322814941406,STANDARD,1701.7845458984375,0.0,0,R_A5,31,21,10
13,305.6291198730469,2018-01-01,1.0,305.6291198730469,STANDARD,1703.735107421875,0.0,0,R_A5,31,21,11
14,305.81396484375,2018-01-01,1.0,305.81396484375,STANDARD,1705.6856689453125,0.0,0,R_A5,31,21,12
15,305.9988098144531,2018-01-01,1.0,305.9988098144531,STANDARD,1707.63623046875,0.0,0,R_A5,31,21,13
16,306.3287048339844,2018-01-01,1.0,306.3287048339844,STANDARD,1709.5867919921875,0.0,0,R_A5,31,21,14
17,306.5135498046875,2018-01-01,1.0,306.5135498046875,STANDARD,1711.537353515625,0.0,0,R_A5,31,21,15
18,306.6856994628906,2018-01-01,1.0,306.6856994628906,STANDARD,1713.35400390625,0.0,0,R_A5,31,21,16
19,306.7843933105469,2018-01-01,1.0,306.7843933105469,STANDARD,1714.3951416015625,0.0,0,R_A5,31,21,17
27,306.75689697265625,2018-01-01,1.0,306.75689697265625,STANDARD,1715.7628173828125,0.0,0,R_A5,31,21,18
28,306.978271484375,2018-01-01,1.0,306.978271484375,STANDARD,1718.098388671875,0.0,0,R_A5,31,21,19
29,307.5054016113281,2018-01-01,1.0,307.5054016113281,STANDARD,1720.43408203125,0.0,0,R_A5,31,21,20
30,307.7267761230469,2018-01-01,1.0,307.7267761230469,STANDARD,1722.7696533203125,0.0,0,R_A5,31,21,21
31,307.9481506347656,2018-01-01,1.0,307.9481506347656,STANDARD,1725.105224609375,0.0,0,R_A5,31,21,22
1,305.11419677734375,2018-01-01,1.0,305.11419677734375,STANDARD,1695.20263671875,0.0,0,R_A6,17,42,1
2,305.2609558105469,2018-01-01,1.0,305.2609558105469,STANDARD,1696.7510986328125,0.0,0,R_A6,17,42,2
3,305.4076843261719,2018-01-01,1.0,305.4076843261719,STANDARD,1698.299560546875,0.0,0,R_A6,17,42,3
4,305.554443359375,2018-01-01,1.0,305.554443359375,STANDARD,1699.84814453125,0.0,0,R_A6,17,42,4
5,305.7012023925781,2018-01-01,1.0,305.7012023925781,STANDARD,1701.3966064453125,0.0,0,R_A6,17,42,5
6,305.84796142578125,2018-01-01,1.0,305.84796142578125,STANDARD,1702.9451904296875,0.0,0,R_A6,17,42,6
7,305.6956481933594,2018-01-01,1.0,305.6956481933594,STANDARD,1704.49365234375,0.0,0,R_A6,17,42,7
8,306.1414489746094,2018-01-01,1.0,306.1414489746094,STANDARD,1706.042236328125,0.0,0,R_A6,17,42,8
9,306.2882080078125,2018-01-01,1.0,306.2882080078125,STANDARD,1707.5906982421875,0.0,0,R_A6,17,42,9
10,306.1291809082031,2018-01-01,1.0,306.1291809082031,STANDARD,1709.1392822265625,0.0,0,R_A6,17,42,10
11,306.3109130859375,2018-01-01,1.0,306.3109130859375,STANDARD,1711.055419921875,0.0,0,R_A6,17,42,11
12,306.52734375,2018-01-01,1.0,306.52734375,STANDARD,1713.3392333984375,0.0,0,R_A6,17,42,12
13,306.7557678222656,2018-01-01,1.0,306.7557678222656,STANDARD,1715.623046875,0.0,0,R_A6,17,42,13
14,306.9721984863281,2018-01-01,1.0,306.9721984863281,STANDARD,1717.9068603515625,0.0,0,R_A6,17,42,14
15,307.18865966796875,2018-01-01,1.0,307.18865966796875,STANDARD,1720.190673828125,0.0,0,R_A6,17,42,15
16,307.55010986328125,2018-01-01,1.0,307.55010986328125,STANDARD,1722.474365234375,0.0,0,R_A6,17,42,16
17,307.7665710449219,2018-01-01,1.0,307.7665710449219,STANDARD,1724.7581787109375,0.0,0,R_A6,17,42,17
18,307.921630859375,2018-01-01,1.0,307.921630859375,STANDARD,1726.394287109375,0.0,0,R_A6,17,42,18
27,307.8930969238281,2018-01-01,1.0,307.8930969238281,STANDARD,1727.7508544921875,0.0,0,R_A6,17,42,19
28,308.3623352050781,2018-01-01,1.0,308.3623352050781,STANDARD,1729.4755859375,0.0,0,R_A6,17,42,20
29,308.52581787109375,2018-01-01,1.0,308.52581787109375,STANDARD,1731.2001953125,0.0,0,R_A6,17,42,21
30,308.68927001953125,2018-01-01,1.0,308.68927001953125,STANDARD,1732.9249267578125,0.0,0,R_A6,17,42,22
31,308.5469665527344,2018-01-01,1.0,308.5469665527344,STANDARD,1734.649658203125,0.0,0,R_A6,17,42,23
1,298.36004638671875,2018-03-01,0.056746382266283035,298.36004638671875,STANDARD,1641.094970703125,0.0,0,R_A2,22,30,1
2,298.4802551269531,2018-03-01,0.05779105797410011,298.4802551269531,STANDARD,1642.8890380859375,0.0,0,R_A2,22,30,2
3,298.6004943847656,2018-03-01,0.0600515753030777,298.6004943847656,STANDARD,1644.68310546875,0.0,0,R_A2,22,30,3
4,298.7207336425781,2018-03-01,0.06772805750370026,298.7207336425781,STANDARD,1646.4771728515625,0.0,0,R_A2,22,30,4
5,298.8409729003906,2018-03-01,0.06891945749521255,298.8409729003906,STANDARD,1648.2713623046875,0.0,0,R_A2,22,30,5
6,298.97821044921875,2018-03-01,0.3106507658958435,298.97821044921875,STANDARD,1650.0654296875,0.0,0,R_A2,22,30,6
7,299.1075134277344,2018-03-01,0.8913176655769348,299.1075134277344,STANDARD,1651.859619140625,0.0,0,R_A2,22,30,7
8,299.23370361328125,2018-03-01,0.8773499727249146,299.23370361328125,STANDARD,1653.6536865234375,0.0,0,R_A2,22,30,8
9,299.5066833496094,2018-03-01,0.9037757515907288,299.5066833496094,STANDARD,1655.44775390625,0.0,0,R_A2,22,30,9
10,299.77020263671875,2018-03-01,0.9149129986763,299.77020263671875,STANDARD,1657.2418212890625,0.0,0,R_A2,22,30,10
11,299.8678283691406,2018-03-01,0.07620001584291458,299.8678283691406,STANDARD,1659.1368408203125,0.0,0,R_A2,22,30,11
12,300.00030517578125,2018-03-01,0.07749900966882706,300.00030517578125,STANDARD,1661.132568359375,0.0,0,R_A2,22,30,12
13,300.1563720703125,2018-03-01,0.4619792103767395,300.1563720703125,STANDARD,1663.12841796875,0.0,0,R_A2,22,30,13
14,300.2917785644531,2018-03-01,0.5060766935348511,300.2917785644531,STANDARD,1665.1241455078125,0.0,0,R_A2,22,30,14
15,300.4286804199219,2018-03-01,0.6888589262962341,300.4286804199219,STANDARD,1667.1199951171875,0.0,0,R_A2,22,30,15
16,300.5628967285156,2018-03-01,0.9703996777534485,300.5628967285156,STANDARD,1669.11572265625,0.0,0,R_A2,22,30,16
17,300.6972961425781,2018-03-01,0.9495916366577148,300.6972961425781,STANDARD,1671.111572265625,0.0,0,R_A2,22,30,17
