CONBPRES,CONKPOS,PRESSURE,DATE,SWAT,CONIDX,DRAWDOWN,CONJPOS,SGAS,DEPTH,CONIPOS,WELLMODEL,WELL
304.47650146484375,4,304.47650146484375,2018-01-01,1.0,4,0,20,0.0,1691.7000732421875,31,STANDARD,R_A5
304.6745910644531,5,304.6745910644531,2018-01-01,1.0,5,0,20,0.0,1693.7906494140625,31,STANDARD,R_A5
304.8727111816406,6,304.8727111816406,2018-01-01,1.0,6,0,20,0.0,1695.881103515625,31,STANDARD,R_A5
305.3766174316406,7,305.3766174316406,2018-01-01,1.0,7,0,20,0.0,1697.9715576171875,31,STANDARD,R_A5
305.1655578613281,11,305.1655578613281,2018-01-01,1.0,8,0,21,0.0,1698.9698486328125,31,STANDARD,R_A5
305.3651428222656,12,305.3651428222656,2018-01-01,1.0,9,0,21,0.0,1701.0760498046875,31,STANDARD,R_A5
305.57672119140625,13,305.57672119140625,2018-01-01,1.0,10,0,21,0.0,1703.1822509765625,31,STANDARD,R_A5
305.77630615234375,14,305.77630615234375,2018-01-01,1.0,11,0,21,0.0,1705.2884521484375,31,STANDARD,R_A5
305.9759216308594,15,305.9759216308594,2018-01-01,1.0,12,0,21,0.0,1707.39453125,31,STANDARD,R_A5
306.3205261230469,16,306.3205261230469,2018-01-01,1.0,13,0,21,0.0,1709.500732421875,31,STANDARD,R_A5
306.5201416015625,17,306.5201416015625,2018-01-01,1.0,14,0,21,0.0,1711.60693359375,31,STANDARD,R_A5
306.67913818359375,18,306.67913818359375,2018-01-01,1.0,15,0,21,0.0,1713.28466796875,31,STANDARD,R_A5
306.7576599121094,19,306.7576599121094,2018-01-01,1.0,16,0,21,0.0,1714.1131591796875,31,STANDARD,R_A5
306.7342224121094,27,306.7342224121094,2018-01-01,1.0,17,0,21,0.0,1715.5234375,31,STANDARD,R_A5
306.9628601074219,28,306.9628601074219,2018-01-01,1.0,18,0,21,0.0,1717.9359130859375,31,STANDARD,R_A5
307.4972839355469,29,307.4972839355469,2018-01-01,1.0,19,0,21,0.0,1720.3482666015625,31,STANDARD,R_A5
307.7259216308594,30,307.7259216308594,2018-01-01,1.0,20,0,21,0.0,1722.7607421875,31,STANDARD,R_A5
307.9545593261719,31,307.9545593261719,2018-01-01,1.0,21,0,21,0.0,1725.173095703125,31,STANDARD,R_A5
305.1159362792969,1,305.1159362792969,2018-01-01,1.0,1,0,42,0.0,1695.2208251953125,17,STANDARD,R_A6
305.2627258300781,2,305.2627258300781,2018-01-01,1.0,2,0,42,0.0,1696.7698974609375,17,STANDARD,R_A6
305.4095153808594,3,305.4095153808594,2018-01-01,1.0,3,0,42,0.0,1698.3189697265625,17,STANDARD,R_A6
305.55633544921875,4,305.55633544921875,2018-01-01,1.0,4,0,42,0.0,1699.8680419921875,17,STANDARD,R_A6
305.703125,5,305.703125,2018-01-01,1.0,5,0,42,0.0,1701.4171142578125,17,STANDARD,R_A6
305.8499450683594,6,305.8499450683594,2018-01-01,1.0,6,0,42,0.0,1702.96630859375,17,STANDARD,R_A6
305.6977233886719,7,305.6977233886719,2018-01-01,1.0,7,0,42,0.0,1704.515380859375,17,STANDARD,R_A6
305.8445129394531,8,305.8445129394531,2018-01-01,1.0,8,0,42,0.0,1706.064453125,17,STANDARD,R_A6
306.2903747558594,9,306.2903747558594,2018-01-01,1.0,9,0,42,0.0,1707.613525390625,17,STANDARD,R_A6
306.13140869140625,10,306.13140869140625,2018-01-01,1.0,10,0,42,0.0,1709.16259765625,17,STANDARD,R_A6
306.312744140625,11,306.312744140625,2018-01-01,1.0,11,0,42,0.0,1711.0748291015625,17,STANDARD,R_A6
306.52838134765625,12,306.52838134765625,2018-01-01,1.0,12,0,42,0.0,1713.35009765625,17,STANDARD,R_A6
306.7559509277344,13,306.7559509277344,2018-01-01,1.0,13,0,42,0.0,1715.625244140625,17,STANDARD,R_A6
306.9715881347656,14,306.9715881347656,2018-01-01,1.0,14,0,42,0.0,1717.9005126953125,17,STANDARD,R_A6
307.1872253417969,15,307.1872253417969,2018-01-01,1.0,15,0,42,0.0,1720.17578125,17,STANDARD,R_A6
307.5478820800781,16,307.5478820800781,2018-01-01,1.0,16,0,42,0.0,1722.450927734375,17,STANDARD,R_A6
307.7635192871094,17,307.7635192871094,2018-01-01,1.0,17,0,42,0.0,1724.7261962890625,17,STANDARD,R_A6
307.919921875,18,307.919921875,2018-01-01,1.0,18,0,42,0.0,1726.376220703125,17,STANDARD,R_A6
307.8930969238281,27,307.8930969238281,2018-01-01,1.0,19,0,42,0.0,1727.7508544921875,17,STANDARD,R_A6
308.3623352050781,28,308.3623352050781,2018-01-01,1.0,20,0,42,0.0,1729.475341796875,17,STANDARD,R_A6
308.5257873535156,29,308.5257873535156,2018-01-01,1.0,21,0,42,0.0,1731.1998291015625,17,STANDARD,R_A6
308.689208984375,30,308.689208984375,2018-01-01,1.0,22,0,42,0.0,1732.92431640625,17,STANDARD,R_A6
308.546875,31,308.546875,2018-01-01,1.0,23,0,42,0.0,1734.6488037109375,17,STANDARD,R_A6
298.686279296875,1,298.686279296875,2018-03-01,0.05692264065146446,1,0,30,0.0,1640.1871337890625,22,STANDARD,R_A2
298.8008117675781,2,298.8008117675781,2018-03-01,0.0588475726544857,2,0,30,0.0,1641.89599609375,22,STANDARD,R_A2
298.9153747558594,3,298.9153747558594,2018-03-01,0.06228611618280411,3,0,30,0.0,1643.6048583984375,22,STANDARD,R_A2
299.0299072265625,4,299.0299072265625,2018-03-01,0.06726396083831787,4,0,30,0.0,1645.313720703125,22,STANDARD,R_A2
299.14447021484375,5,299.14447021484375,2018-03-01,0.07104919105768204,5,0,30,0.0,1647.0225830078125,22,STANDARD,R_A2
299.290771484375,6,299.290771484375,2018-03-01,0.3164866864681244,6,0,30,0.0,1648.7313232421875,22,STANDARD,R_A2
