PROPERTY,ZONE,REGION,FACIES,Avg,Avg_Weighted,Max,Min,P10,P90,Stddev,SOURCE,ID
PORO,MidReek,Stormlands,Crevasse,0.20955643,,0.35668516,0.10459672,0.15428215,0.2608346,0.042521983,geogrid,geogrid
SW,MidReek,Stormlands,Crevasse,0.10278895,,0.22247028,0.050438557,0.06850219,0.13983315,0.029327394,geogrid,geogrid
PERM,MidReek,Vale,Background,10.250621,,100.0,0.1136862,1.3211218,23.401358,12.726175,geogrid,geogrid
PORO,MidReek,Vale,Background,0.10161346,,0.25994426,0.0,0.04654916,0.1542405,0.041988153,geogrid,geogrid
SW,MidReek,Vale,Background,0.70156485,,1.0,0.0,0.2256392,1.0,0.35668495,geogrid,geogrid
PERM,MidReek,Vale,Channel,3286.8247,,10000.0,42.08946,451.12314,9344.93,3037.9175,geogrid,geogrid
PORO,MidReek,Vale,Channel,0.25333047,,0.4364363,0.052133486,0.18793744,0.31769764,0.050493974,geogrid,geogrid
SW,MidReek,Vale,Channel,0.57101554,,1.0,0.020290053,0.03084547,1.0,0.46902284,geogrid,geogrid
PERM,MidReek,Vale,Crevasse,247.64651,,1000.0,5.123991,27.726719,683.0505,269.73633,geogrid,geogrid
PORO,MidReek,Vale,Crevasse,0.21569249,,0.37084687,0.072944865,0.14874154,0.28064895,0.04976409,geogrid,geogrid
SW,MidReek,Vale,Crevasse,0.69302034,,1.0,0.052546766,0.098059624,1.0,0.40865466,geogrid,geogrid
PERM,MidReek,Westerlands,Background,9.558456,,100.0,0.053785548,1.1830133,22.27079,13.601848,geogrid,geogrid
PORO,MidReek,Westerlands,Background,0.0957135,,0.27808383,0.0,0.029638665,0.16291538,0.050846636,geogrid,geogrid
SW,MidReek,Westerlands,Background,0.9880208,,1.0,0.0,1.0,1.0,0.06885591,geogrid,geogrid
PERM,MidReek,Westerlands,Channel,3081.0469,,10000.0,12.741801,454.06854,8650.471,2929.5098,geogrid,geogrid
PORO,MidReek,Westerlands,Channel,0.25127944,,0.44975513,0.05123654,0.18748021,0.31525907,0.049852386,geogrid,geogrid
SW,MidReek,Westerlands,Channel,0.97755605,,1.0,0.03261894,1.0,1.0,0.13787259,geogrid,geogrid
PERM,MidReek,Westerlands,Crevasse,176.00385,,1000.0,0.73926055,23.14661,425.626,207.44234,geogrid,geogrid
PORO,MidReek,Westerlands,Crevasse,0.20325555,,0.379702,0.0,0.13948731,0.26595718,0.0500752,geogrid,geogrid
SW,MidReek,Westerlands,Crevasse,0.9855564,,1.0,0.10085645,1.0,1.0,0.10177094,geogrid,geogrid
PERM,UpperReek,Dorne,Background,10.621276,,100.0,0.042973373,1.2652873,25.004072,14.38205,geogrid,geogrid
PORO,UpperReek,Dorne,Background,0.09884899,,0.27091926,0.0,0.03459976,0.16072272,0.047829486,geogrid,geogrid
SW,UpperReek,Dorne,Background,0.96840703,,1.0,0.0,1.0,1.0,0.11271703,geogrid,geogrid
PERM,UpperReek,Dorne,Channel,3011.8123,,10000.0,11.085963,448.61664,8296.034,2892.3838,geogrid,geogrid
PORO,UpperReek,Dorne,Channel,0.2482976,,0.47032744,0.0,0.18382528,0.3123482,0.050094046,geogrid,geogrid
SW,UpperReek,Dorne,Channel,0.937773,,1.0,0.04893801,1.0,1.0,0.21800525,geogrid,geogrid
PERM,UpperReek,Dorne,Crevasse,174.14545,,1000.0,1.8627384,25.001041,429.58212,198.46559,geogrid,geogrid
