CONKPOS,SWAT,SGAS,CONBPRES,CONIDX,CONJPOS,DATE,PRESSURE,CONIPOS,WELLMODEL,DEPTH,WELL,DRAWDOWN
30,0.32039687037467957,0.0,301.5025939941406,19,48,2018-01-01,301.5025939941406,38,STANDARD,1653.461669921875,R_A4,0
30,0.15317369997501373,0.0,301.7947998046875,20,47,2018-01-01,301.7947998046875,38,STANDARD,1657.8184814453125,R_A4,0
1,1.0,0.0,303.8440856933594,1,20,2018-01-01,303.8440856933594,31,STANDARD,1685.026611328125,R_A5,0
2,1.0,0.0,304.0601806640625,2,20,2018-01-01,304.0601806640625,31,STANDARD,1687.3070068359375,R_A5,0
3,1.0,0.0,304.27630615234375,3,20,2018-01-01,304.27630615234375,31,STANDARD,1689.5875244140625,R_A5,0
4,1.0,0.0,304.4924011230469,4,20,2018-01-01,304.4924011230469,31,STANDARD,1691.8680419921875,R_A5,0
5,1.0,0.0,304.7085266113281,5,20,2018-01-01,304.7085266113281,31,STANDARD,1694.1485595703125,R_A5,0
6,1.0,0.0,304.9246520996094,6,20,2018-01-01,304.9246520996094,31,STANDARD,1696.4290771484375,R_A5,0
7,1.0,0.0,305.446533203125,7,20,2018-01-01,305.446533203125,31,STANDARD,1698.70947265625,R_A5,0
11,1.0,0.0,305.988037109375,8,20,2018-01-01,305.988037109375,31,STANDARD,1707.6488037109375,R_A5,0
12,1.0,0.0,306.1695251464844,9,20,2018-01-01,306.1695251464844,31,STANDARD,1709.5638427734375,R_A5,0
12,1.0,0.0,305.4322814941406,10,21,2018-01-01,305.4322814941406,31,STANDARD,1701.7845458984375,R_A5,0
13,1.0,0.0,305.6291198730469,11,21,2018-01-01,305.6291198730469,31,STANDARD,1703.735107421875,R_A5,0
14,1.0,0.0,305.81396484375,12,21,2018-01-01,305.81396484375,31,STANDARD,1705.6856689453125,R_A5,0
15,1.0,0.0,305.9988098144531,13,21,2018-01-01,305.9988098144531,31,STANDARD,1707.63623046875,R_A5,0
16,1.0,0.0,306.3287048339844,14,21,2018-01-01,306.3287048339844,31,STANDARD,1709.5867919921875,R_A5,0
17,1.0,0.0,306.5135498046875,15,21,2018-01-01,306.5135498046875,31,STANDARD,1711.537353515625,R_A5,0
18,1.0,0.0,306.6856994628906,16,21,2018-01-01,306.6856994628906,31,STANDARD,1713.35400390625,R_A5,0
19,1.0,0.0,306.7843933105469,17,21,2018-01-01,306.7843933105469,31,STANDARD,1714.3951416015625,R_A5,0
27,1.0,0.0,306.75689697265625,18,21,2018-01-01,306.75689697265625,31,STANDARD,1715.7628173828125,R_A5,0
28,1.0,0.0,306.978271484375,19,21,2018-01-01,306.978271484375,31,STANDARD,1718.098388671875,R_A5,0
29,1.0,0.0,307.5054016113281,20,21,2018-01-01,307.5054016113281,31,STANDARD,1720.43408203125,R_A5,0
30,1.0,0.0,307.7267761230469,21,21,2018-01-01,307.7267761230469,31,STANDARD,1722.7696533203125,R_A5,0
31,1.0,0.0,307.9481506347656,22,21,2018-01-01,307.9481506347656,31,STANDARD,1725.105224609375,R_A5,0
1,1.0,0.0,305.11419677734375,1,42,2018-01-01,305.11419677734375,17,STANDARD,1695.20263671875,R_A6,0
2,1.0,0.0,305.2609558105469,2,42,2018-01-01,305.2609558105469,17,STANDARD,1696.7510986328125,R_A6,0
3,1.0,0.0,305.4076843261719,3,42,2018-01-01,305.4076843261719,17,STANDARD,1698.299560546875,R_A6,0
4,1.0,0.0,305.554443359375,4,42,2018-01-01,305.554443359375,17,STANDARD,1699.84814453125,R_A6,0
5,1.0,0.0,305.7012023925781,5,42,2018-01-01,305.7012023925781,17,STANDARD,1701.3966064453125,R_A6,0
6,1.0,0.0,305.54888916015625,6,42,2018-01-01,305.54888916015625,17,STANDARD,1702.9451904296875,R_A6,0
7,1.0,0.0,305.6956481933594,7,42,2018-01-01,305.6956481933594,17,STANDARD,1704.49365234375,R_A6,0
8,1.0,0.0,305.8424072265625,8,42,2018-01-01,305.8424072265625,17,STANDARD,1706.042236328125,R_A6,0
9,1.0,0.0,306.2882080078125,9,42,2018-01-01,306.2882080078125,17,STANDARD,1707.5906982421875,R_A6,0
10,1.0,0.0,306.1291809082031,10,42,2018-01-01,306.1291809082031,17,STANDARD,1709.1392822265625,R_A6,0
11,1.0,0.0,306.3109130859375,11,42,2018-01-01,306.3109130859375,17,STANDARD,1711.055419921875,R_A6,0
12,1.0,0.0,306.52734375,12,42,2018-01-01,306.52734375,17,STANDARD,1713.3392333984375,R_A6,0
13,1.0,0.0,306.7557678222656,13,42,2018-01-01,306.7557678222656,17,STANDARD,1715.623046875,R_A6,0
14,1.0,0.0,306.9721984863281,14,42,2018-01-01,306.9721984863281,17,STANDARD,1717.9068603515625,R_A6,0
15,1.0,0.0,307.18865966796875,15,42,2018-01-01,307.18865966796875,17,STANDARD,1720.190673828125,R_A6,0
16,1.0,0.0,307.55010986328125,16,42,2018-01-01,307.55010986328125,17,STANDARD,1722.474365234375,R_A6,0
17,1.0,0.0,307.7665710449219,17,42,2018-01-01,307.7665710449219,17,STANDARD,1724.7581787109375,R_A6,0
18,1.0,0.0,307.921630859375,18,42,2018-01-01,307.921630859375,17,STANDARD,1726.394287109375,R_A6,0
27,1.0,0.0,307.8930969238281,19,42,2018-01-01,307.8930969238281,17,STANDARD,1727.7508544921875,R_A6,0
28,1.0,0.0,308.3623352050781,20,42,2018-01-01,308.3623352050781,17,STANDARD,1729.4755859375,R_A6,0
29,1.0,0.0,308.52581787109375,21,42,2018-01-01,308.52581787109375,17,STANDARD,1731.2001953125,R_A6,0
30,1.0,0.0,308.68927001953125,22,42,2018-01-01,308.68927001953125,17,STANDARD,1732.9249267578125,R_A6,0
31,1.0,0.0,308.5469665527344,23,42,2018-01-01,308.5469665527344,17,STANDARD,1734.649658203125,R_A6,0
1,0.11643347144126892,0.0,297.83770751953125,1,30,2018-03-01,297.83770751953125,22,STANDARD,1641.094970703125,R_A2,0
2,0.05915199965238571,0.0,297.9580078125,2,30,2018-03-01,297.9580078125,22,STANDARD,1642.8890380859375,R_A2,0
3,0.12648363411426544,0.0,298.0785217285156,3,30,2018-03-01,298.0785217285156,22,STANDARD,1644.68310546875,R_A2,0
4,0.10854939371347427,0.0,298.1988220214844,4,30,2018-03-01,298.1988220214844,22,STANDARD,1646.4771728515625,R_A2,0
5,0.1108781099319458,0.0,298.3190002441406,5,30,2018-03-01,298.3190002441406,22,STANDARD,1648.2713623046875,R_A2,0
6,0.31587982177734375,0.0,298.47247314453125,6,30,2018-03-01,298.47247314453125,22,STANDARD,1650.0654296875,R_A2,0
7,0.8964905142784119,0.0,298.60028076171875,7,30,2018-03-01,298.60028076171875,22,STANDARD,1651.859619140625,R_A2,0
8,0.8728519678115845,0.0,298.7240295410156,8,30,2018-03-01,298.7240295410156,22,STANDARD,1653.6536865234375,R_A2,0
9,0.9158051609992981,0.0,299.0582275390625,9,30,2018-03-01,299.0582275390625,22,STANDARD,1655.44775390625,R_A2,0
10,0.9034242033958435,0.0,299.6812438964844,10,30,2018-03-01,299.6812438964844,22,STANDARD,1657.2418212890625,R_A2,0
11,0.07598511129617691,0.0,299.8033142089844,11,30,2018-03-01,299.8033142089844,22,STANDARD,1659.1368408203125,R_A2,0
12,0.08024104684591293,0.0,299.92474365234375,12,30,2018-03-01,299.92474365234375,22,STANDARD,1661.132568359375,R_A2,0
13,0.455022394657135,0.0,300.1707763671875,13,30,2018-03-01,300.1707763671875,22,STANDARD,1663.12841796875,R_A2,0
14,0.5154152512550354,0.0,300.42913818359375,14,30,2018-03-01,300.42913818359375,22,STANDARD,1665.1241455078125,R_A2,0
15,0.7127280831336975,0.0,300.5626220703125,15,30,2018-03-01,300.5626220703125,22,STANDARD,1667.1199951171875,R_A2,0
16,0.9805015921592712,0.0,300.69134521484375,16,30,2018-03-01,300.69134521484375,22,STANDARD,1669.11572265625,R_A2,0
17,0.9451438784599304,0.0,300.82354736328125,17,30,2018-03-01,300.82354736328125,22,STANDARD,1671.111572265625,R_A2,0
18,0.9814751744270325,0.0,300.9491882324219,18,30,2018-03-01,300.9491882324219,22,STANDARD,1672.9881591796875,R_A2,0
18,0.9939940571784973,0.0,300.8717041015625,19,29,2018-03-01,300.8717041015625,22,STANDARD,1674.229736328125,R_A2,0
27,0.9999999403953552,-6.239381011852174e-09,302.6246643066406,20,29,2018-03-01,302.6246643066406,22,STANDARD,1676.1676025390625,R_A2,0
28,1.0,5.188126353360004e-15,302.80029296875,21,29,2018-03-01,302.80029296875,22,STANDARD,1677.9368896484375,R_A2,0
29,1.0,1.03353333920711e-14,302.20831298828125,22,29,2018-03-01,302.20831298828125,22,STANDARD,1679.7061767578125,R_A2,0
30,1.0,7.318888828322656e-10,301.4403381347656,23,29,2018-03-01,301.4403381347656,22,STANDARD,1681.4754638671875,R_A2,0
31,1.0,1.9773674986625894e-15,302.17523193359375,24,29,2018-03-01,302.17523193359375,22,STANDARD,1683.2447509765625,R_A2,0
1,1.0,-1.6651195599757217e-14,271.7921447753906,1,20,2018-04-28,271.7921447753906,31,STANDARD,1685.026611328125,R_A5,0
2,1.0,-1.6913082940455196e-14,272.0079345703125,2,20,2018-04-28,272.0079345703125,31,STANDARD,1687.3070068359375,R_A5,0
3,1.0,-1.4496013439092847e-14,272.22369384765625,3,20,2018-04-28,272.22369384765625,31,STANDARD,1689.5875244140625,R_A5,0
4,1.0,-1.5002044474309723e-14,272.439453125,4,20,2018-04-28,272.439453125,31,STANDARD,1691.8680419921875,R_A5,0
5,1.0,-1.473749914422326e-14,272.6552734375,5,20,2018-04-28,272.6552734375,31,STANDARD,1694.1485595703125,R_A5,0
6,1.0,-1.0725170141649525e-14,272.8710632324219,6,20,2018-04-28,272.8710632324219,31,STANDARD,1696.4290771484375,R_A5,0
7,1.0,-4.31348436718995e-15,273.40606689453125,7,20,2018-04-28,273.40606689453125,31,STANDARD,1698.70947265625,R_A5,0
11,1.0,-1.2844950797452626e-12,275.903076171875,8,20,2018-04-28,275.903076171875,31,STANDARD,1707.6488037109375,R_A5,0
12,1.0,-1.1471337118054703e-12,276.0882263183594,9,20,2018-04-28,276.0882263183594,31,STANDARD,1709.5638427734375,R_A5,0
12,1.0,-2.3018666833740653e-11,274.7756042480469,10,21,2018-04-28,274.7756042480469,31,STANDARD,1701.7845458984375,R_A5,0
13,1.0,-4.670828827879614e-12,274.9746398925781,11,21,2018-04-28,274.9746398925781,31,STANDARD,1703.735107421875,R_A5,0
14,1.0,-5.560496941364734e-12,275.16326904296875,12,21,2018-04-28,275.16326904296875,31,STANDARD,1705.6856689453125,R_A5,0
15,1.0,-2.2795539327685743e-12,275.3559265136719,13,21,2018-04-28,275.3559265136719,31,STANDARD,1707.63623046875,R_A5,0
16,1.0,-2.5414056709777144e-12,275.7276916503906,14,21,2018-04-28,275.7276916503906,31,STANDARD,1709.5867919921875,R_A5,0
17,1.0,-2.1951872557126467e-13,276.0178527832031,15,21,2018-04-28,276.0178527832031,31,STANDARD,1711.537353515625,R_A5,0
18,1.0,-2.2695642023715101e-13,276.2984313964844,16,21,2018-04-28,276.2984313964844,31,STANDARD,1713.35400390625,R_A5,0
19,1.0,0.0,276.4402770996094,17,21,2018-04-28,276.4402770996094,31,STANDARD,1714.3951416015625,R_A5,0
27,1.0,-1.1830360475972856e-11,276.4394226074219,18,21,2018-04-28,276.4394226074219,31,STANDARD,1715.7628173828125,R_A5,0
28,1.0,-8.677978474702641e-12,276.6756286621094,19,21,2018-04-28,276.6756286621094,31,STANDARD,1718.098388671875,R_A5,0
29,1.0,3.6128788293993904e-19,291.6653137207031,20,21,2018-04-28,291.6653137207031,31,STANDARD,1720.43408203125,R_A5,0
30,1.0,6.007937996975517e-21,302.8022155761719,21,21,2018-04-28,302.8022155761719,31,STANDARD,1722.7696533203125,R_A5,0
31,1.0,-1.2201429003556086e-22,306.05731201171875,22,21,2018-04-28,306.05731201171875,31,STANDARD,1725.105224609375,R_A5,0
1,0.649334728717804,0.0,279.9060974121094,1,41,2018-07-03,279.9060974121094,28,STANDARD,1609.243408203125,R_A3,0
2,0.11845789849758148,0.0,280.0491638183594,2,41,2018-07-03,280.0491638183594,28,STANDARD,1611.3077392578125,R_A3,0
3,0.1759120672941208,0.0,280.1869201660156,3,41,2018-07-03,280.1869201660156,28,STANDARD,1613.3720703125,R_A3,0
4,0.1895708292722702,0.0,280.32476806640625,4,41,2018-07-03,280.32476806640625,28,STANDARD,1615.4365234375,R_A3,0
5,0.6494258046150208,0.0,280.4625549316406,5,41,2018-07-03,280.4625549316406,28,STANDARD,1617.5008544921875,R_A3,0
6,0.2596569359302521,0.0,280.600341796875,6,41,2018-07-03,280.600341796875,28,STANDARD,1619.565185546875,R_A3,0
6,0.23079927265644073,0.0,279.8291931152344,7,41,2018-07-03,279.8291931152344,29,STANDARD,1609.3663330078125,R_A3,0
7,0.19802820682525635,0.0,279.966064453125,8,41,2018-07-03,279.966064453125,29,STANDARD,1611.4163818359375,R_A3,0
8,0.24581339955329895,0.0,280.10302734375,9,41,2018-07-03,280.10302734375,29,STANDARD,1613.46630859375,R_A3,0
9,0.7971908450126648,0.0,280.3423767089844,10,41,2018-07-03,280.3423767089844,29,STANDARD,1615.516357421875,R_A3,0
10,0.7961177825927734,0.0,282.2347717285156,11,41,2018-07-03,282.2347717285156,29,STANDARD,1617.5662841796875,R_A3,0
11,0.048797089606523514,0.0,282.7310791015625,12,41,2018-07-03,282.7310791015625,29,STANDARD,1619.750732421875,R_A3,0
12,0.054092563688755035,0.0,282.8858642578125,13,41,2018-07-03,282.8858642578125,29,STANDARD,1622.0697021484375,R_A3,0
13,0.3702877461910248,0.0,283.0409240722656,14,41,2018-07-03,283.0409240722656,29,STANDARD,1624.388671875,R_A3,0
14,0.3862312436103821,0.0,283.3926086425781,15,41,2018-07-03,283.3926086425781,29,STANDARD,1626.707763671875,R_A3,0
15,0.5044885277748108,0.0,283.8187561035156,16,41,2018-07-03,283.8187561035156,29,STANDARD,1629.026611328125,R_A3,0
16,0.8144510388374329,0.0,283.9724426269531,17,41,2018-07-03,283.9724426269531,29,STANDARD,1630.9468994140625,R_A3,0
27,1.0,5.599942384804102e-12,285.5152893066406,18,41,2018-07-03,285.5152893066406,29,STANDARD,1633.5262451171875,R_A3,0
28,0.05052588880062103,0.0,283.87939453125,19,41,2018-07-03,283.87939453125,29,STANDARD,1637.1630859375,R_A3,0
29,0.08595696091651917,0.0,284.12225341796875,20,41,2018-07-03,284.12225341796875,29,STANDARD,1640.8001708984375,R_A3,0
30,0.6904198527336121,0.0,284.3203430175781,21,41,2018-07-03,284.3203430175781,29,STANDARD,1644.4371337890625,R_A3,0
31,0.094754159450531,0.0,284.5360107421875,22,41,2018-07-03,284.5360107421875,29,STANDARD,1648.0740966796875,R_A3,0
1,0.049989212304353714,0.0,276.8193664550781,1,52,2018-09-12,276.8193664550781,30,STANDARD,1631.1873779296875,R_A4,0
1,0.062495484948158264,0.0,276.7489013671875,2,52,2018-09-12,276.7489013671875,31,STANDARD,1627.4293212890625,R_A4,0
2,0.06664954125881195,0.0,276.88616943359375,3,52,2018-09-12,276.88616943359375,31,STANDARD,1629.4896240234375,R_A4,0
3,0.05397307127714157,0.0,277.02337646484375,4,52,2018-09-12,277.02337646484375,31,STANDARD,1631.5498046875,R_A4,0
4,0.05764322355389595,0.0,277.1606140136719,5,52,2018-09-12,277.1606140136719,31,STANDARD,1633.610107421875,R_A4,0
4,0.05663065239787102,0.0,277.25274658203125,6,52,2018-09-12,277.25274658203125,32,STANDARD,1632.3968505859375,R_A4,0
4,0.059867825359106064,0.0,277.2083740234375,7,51,2018-09-12,277.2083740234375,32,STANDARD,1635.880615234375,R_A4,0
4,0.06083426624536514,0.0,277.48236083984375,8,51,2018-09-12,277.48236083984375,33,STANDARD,1637.321044921875,R_A4,0
3,0.05892462655901909,0.0,277.35919189453125,9,51,2018-09-12,277.35919189453125,33,STANDARD,1635.474609375,R_A4,0
4,0.06428129225969315,0.0,277.5528259277344,10,50,2018-09-12,277.5528259277344,33,STANDARD,1642.1485595703125,R_A4,0
4,0.061319500207901,0.0,277.7331237792969,11,50,2018-09-12,277.7331237792969,34,STANDARD,1641.132080078125,R_A4,0
3,0.10132082551717758,0.0,277.6051025390625,12,50,2018-09-12,277.6051025390625,34,STANDARD,1639.20703125,R_A4,0
3,0.09818994253873825,0.0,277.94085693359375,13,50,2018-09-12,277.94085693359375,35,STANDARD,1640.9061279296875,R_A4,0
2,0.20100301504135132,0.0,277.8171081542969,14,50,2018-09-12,277.8171081542969,35,STANDARD,1639.0426025390625,R_A4,0
2,0.23871171474456787,0.0,277.86053466796875,15,49,2018-09-12,277.86053466796875,35,STANDARD,1641.93212890625,R_A4,0
30,0.05384737253189087,0.0,279.9626770019531,16,49,2018-09-12,279.9626770019531,36,STANDARD,1642.357421875,R_A4,0
30,0.09051116555929184,0.0,279.7557678222656,17,48,2018-09-12,279.7557678222656,36,STANDARD,1639.6068115234375,R_A4,0
30,0.18443191051483154,0.0,280.28997802734375,18,48,2018-09-12,280.28997802734375,37,STANDARD,1646.7513427734375,R_A4,0
30,0.32273128628730774,0.0,280.79425048828125,19,48,2018-09-12,280.79425048828125,38,STANDARD,1653.461669921875,R_A4,0
30,0.15820345282554626,0.0,281.0615539550781,20,47,2018-09-12,281.0615539550781,38,STANDARD,1657.8184814453125,R_A4,0
1,1.0,-1.0123006557921901e-16,276.08453369140625,1,42,2018-11-07,276.08453369140625,17,STANDARD,1695.20263671875,R_A6,0
2,1.0,-6.312431644840398e-17,276.2298278808594,2,42,2018-11-07,276.2298278808594,17,STANDARD,1696.7510986328125,R_A6,0
3,1.0,-4.622865281991841e-17,276.3724670410156,3,42,2018-11-07,276.3724670410156,17,STANDARD,1698.299560546875,R_A6,0
4,1.0,-4.238191886441201e-17,276.5118408203125,4,42,2018-11-07,276.5118408203125,17,STANDARD,1699.84814453125,R_A6,0
5,1.0,-4.847933516605884e-17,276.6494140625,5,42,2018-11-07,276.6494140625,17,STANDARD,1701.3966064453125,R_A6,0
6,1.0,-2.9847403947003397e-15,276.4900207519531,6,42,2018-11-07,276.4900207519531,17,STANDARD,1702.9451904296875,R_A6,0
7,1.0,-5.6666546522960055e-15,276.6362609863281,7,42,2018-11-07,276.6362609863281,17,STANDARD,1704.49365234375,R_A6,0
8,1.0,-3.9066633364696554e-15,276.7845458984375,8,42,2018-11-07,276.7845458984375,17,STANDARD,1706.042236328125,R_A6,0
9,1.0,-3.734629939030682e-16,277.237548828125,9,42,2018-11-07,277.237548828125,17,STANDARD,1707.5906982421875,R_A6,0
10,1.0,-4.679803162284564e-14,277.0943603515625,10,42,2018-11-07,277.0943603515625,17,STANDARD,1709.1392822265625,R_A6,0
11,1.0,-3.316864130901119e-14,277.2961120605469,11,42,2018-11-07,277.2961120605469,17,STANDARD,1711.055419921875,R_A6,0
12,1.0,-1.0872460700847575e-14,277.5124206542969,12,42,2018-11-07,277.5124206542969,17,STANDARD,1713.3392333984375,R_A6,0
13,1.0,-6.721824241118777e-16,277.740966796875,13,42,2018-11-07,277.740966796875,17,STANDARD,1715.623046875,R_A6,0
14,1.0,-4.650331053225501e-16,277.9578552246094,14,42,2018-11-07,277.9578552246094,17,STANDARD,1717.9068603515625,R_A6,0
15,1.0,-2.986323711036995e-16,278.18096923828125,15,42,2018-11-07,278.18096923828125,17,STANDARD,1720.190673828125,R_A6,0
