DRAWDOWN,WELLMODEL,CONIPOS,WELL,CONKPOS,SWAT,CONIDX,CONBPRES,CONJPOS,PRESSURE,DEPTH,SGAS,DATE
0,STANDARD,29,R_A3,28,0.044041041284799576,19,300.40966796875,41,300.40966796875,1637.1630859375,0.0,2018-01-01
0,STANDARD,29,R_A3,29,0.08846355974674225,20,300.6535339355469,41,300.6535339355469,1640.8001708984375,0.0,2018-01-01
0,STANDARD,29,R_A3,30,1.0,21,300.89739990234375,41,300.89739990234375,1644.4371337890625,0.0,2018-01-01
0,STANDARD,29,R_A3,31,0.06317919492721558,22,301.14129638671875,41,301.14129638671875,1648.0740966796875,0.0,2018-01-01
0,STANDARD,30,R_A4,1,0.05148448422551155,1,300.009033203125,52,300.009033203125,1631.1873779296875,0.0,2018-01-01
0,STANDARD,31,R_A4,1,0.04942012205719948,2,299.7571105957031,52,299.7571105957031,1627.4293212890625,0.0,2018-01-01
0,STANDARD,31,R_A4,2,0.05094006285071373,3,299.89520263671875,52,299.89520263671875,1629.4896240234375,0.0,2018-01-01
0,STANDARD,31,R_A4,3,0.05282565578818321,4,300.0333251953125,52,300.0333251953125,1631.5498046875,0.0,2018-01-01
0,STANDARD,31,R_A4,4,0.059012703597545624,5,300.17144775390625,52,300.17144775390625,1633.610107421875,0.0,2018-01-01
0,STANDARD,32,R_A4,4,0.05643600597977638,6,300.0901184082031,52,300.0901184082031,1632.3968505859375,0.0,2018-01-01
0,STANDARD,32,R_A4,4,0.05788363516330719,7,300.3236999511719,51,300.3236999511719,1635.880615234375,0.0,2018-01-01
0,STANDARD,33,R_A4,4,0.058634817600250244,8,300.4202575683594,51,300.4202575683594,1637.321044921875,0.0,2018-01-01
0,STANDARD,33,R_A4,3,0.05906778573989868,9,300.29644775390625,51,300.29644775390625,1635.474609375,0.0,2018-01-01
0,STANDARD,33,R_A4,4,0.13861097395420074,10,300.74395751953125,50,300.74395751953125,1642.1485595703125,0.0,2018-01-01
0,STANDARD,34,R_A4,4,0.13421428203582764,11,300.67578125,50,300.67578125,1641.132080078125,0.0,2018-01-01
0,STANDARD,34,R_A4,3,0.1400769203901291,12,300.5467224121094,50,300.5467224121094,1639.20703125,0.0,2018-01-01
0,STANDARD,35,R_A4,3,0.23393802344799042,13,300.66064453125,50,300.66064453125,1640.9061279296875,0.0,2018-01-01
0,STANDARD,35,R_A4,2,0.22923102974891663,14,300.53570556640625,50,300.53570556640625,1639.0426025390625,0.0,2018-01-01
0,STANDARD,35,R_A4,2,0.23608194291591644,15,300.72943115234375,49,300.72943115234375,1641.93212890625,0.0,2018-01-01
0,STANDARD,36,R_A4,30,0.6481541991233826,16,300.7579650878906,49,300.7579650878906,1642.357421875,0.0,2018-01-01
0,STANDARD,36,R_A4,30,0.31965819001197815,17,300.5735168457031,48,300.5735168457031,1639.6068115234375,0.0,2018-01-01
0,STANDARD,37,R_A4,30,0.6481541991233826,18,301.0526123046875,48,301.0526123046875,1646.7513427734375,0.0,2018-01-01
0,STANDARD,38,R_A4,30,0.6481541991233826,19,301.5025939941406,48,301.5025939941406,1653.461669921875,0.0,2018-01-01
