CONIDX,WELLMODEL,DATE,CONBPRES,PRESSURE,WELL,DEPTH,DRAWDOWN,CONIPOS,SWAT,SGAS,CONJPOS,CONKPOS
5,STANDARD,2018-01-01,299.0624694824219,299.0624694824219,R_A3,1617.62744140625,0,28,0.6481541991233826,0.0,41,5
6,STANDARD,2018-01-01,299.195556640625,299.195556640625,R_A3,1619.6131591796875,0,28,0.18796378374099731,0.0,41,6
7,STANDARD,2018-01-01,298.5858459472656,298.5858459472656,R_A3,1610.51611328125,0,29,0.1931053251028061,0.0,41,6
8,STANDARD,2018-01-01,298.7200622558594,298.7200622558594,R_A3,1612.5186767578125,0,29,0.19908669590950012,0.0,41,7
9,STANDARD,2018-01-01,298.8542785644531,298.8542785644531,R_A3,1614.5211181640625,0,29,0.13004688918590546,0.0,41,8
10,STANDARD,2018-01-01,298.9884948730469,298.9884948730469,R_A3,1616.523681640625,0,29,0.6481541991233826,0.0,41,9
11,STANDARD,2018-01-01,299.1227111816406,299.1227111816406,R_A3,1618.5263671875,0,29,0.8072268962860107,0.0,41,10
12,STANDARD,2018-01-01,299.26593017578125,299.26593017578125,R_A3,1620.6629638671875,0,29,0.04741526022553444,0.0,41,11
13,STANDARD,2018-01-01,299.4181213378906,299.4181213378906,R_A3,1622.93359375,0,29,0.0553005114197731,0.0,41,12
14,STANDARD,2018-01-01,299.5703430175781,299.5703430175781,R_A3,1625.2042236328125,0,29,0.37270763516426086,0.0,41,13
15,STANDARD,2018-01-01,299.7225341796875,299.7225341796875,R_A3,1627.474853515625,0,29,0.3865911066532135,0.0,41,14
16,STANDARD,2018-01-01,299.874755859375,299.874755859375,R_A3,1629.7454833984375,0,29,0.5044715404510498,0.0,41,15
17,STANDARD,2018-01-01,299.9905090332031,299.9905090332031,R_A3,1631.4720458984375,0,29,0.8071901202201843,0.0,41,16
18,STANDARD,2018-01-01,300.1478576660156,300.1478576660156,R_A3,1633.8187255859375,0,29,0.33544236421585083,0.0,41,25
19,STANDARD,2018-01-01,300.3832092285156,300.3832092285156,R_A3,1637.329345703125,0,29,0.09878703206777573,0.0,41,26
20,STANDARD,2018-01-01,300.61859130859375,300.61859130859375,R_A3,1640.83984375,0,29,0.21198487281799316,0.0,41,27
21,STANDARD,2018-01-01,300.8539733886719,300.8539733886719,R_A3,1644.350341796875,0,29,1.0,0.0,41,28
22,STANDARD,2018-01-01,301.0893859863281,301.0893859863281,R_A3,1647.8609619140625,0,29,0.24582122266292572,0.0,41,29
1,STANDARD,2018-01-01,299.99957275390625,299.99957275390625,R_A4,1631.607177734375,0,30,0.05114826560020447,0.0,52,1
2,STANDARD,2018-01-01,299.8081359863281,299.8081359863281,R_A4,1628.75146484375,0,31,0.051344938576221466,0.0,52,1
3,STANDARD,2018-01-01,299.94482421875,299.94482421875,R_A4,1630.7906494140625,0,31,0.05442913994193077,0.0,52,2
4,STANDARD,2018-01-01,300.08154296875,300.08154296875,R_A4,1632.8299560546875,0,31,0.056918151676654816,0.0,52,3
5,STANDARD,2018-01-01,300.02850341796875,300.02850341796875,R_A4,1632.0386962890625,0,32,0.057357337325811386,0.0,52,3
6,STANDARD,2018-01-01,300.4186706542969,300.4186706542969,R_A4,1637.858154296875,0,32,0.06022261828184128,0.0,51,3
7,STANDARD,2018-01-01,300.30029296875,300.30029296875,R_A4,1636.0924072265625,0,32,0.05767343193292618,0.0,51,2
8,STANDARD,2018-01-01,300.4171142578125,300.4171142578125,R_A4,1637.8350830078125,0,33,0.06002239137887955,0.0,51,2
9,STANDARD,2018-01-01,300.294189453125,300.294189453125,R_A4,1636.0013427734375,0,33,0.13058288395404816,0.0,51,1
10,STANDARD,2018-01-01,300.8564758300781,300.8564758300781,R_A4,1644.3873291015625,0,33,0.06572773307561874,0.0,50,2
11,STANDARD,2018-01-01,300.6214599609375,300.6214599609375,R_A4,1640.8828125,0,34,0.06349131464958191,0.0,50,2
12,STANDARD,2018-01-01,300.734130859375,300.734130859375,R_A4,1642.5628662109375,0,35,0.08197624981403351,0.0,50,2
13,STANDARD,2018-01-01,300.613037109375,300.613037109375,R_A4,1640.7568359375,0,35,0.23924799263477325,0.0,50,1
14,STANDARD,2018-01-01,300.64581298828125,300.64581298828125,R_A4,1641.2457275390625,0,35,0.1654760241508484,0.0,49,28
15,STANDARD,2018-01-01,301.00177001953125,301.00177001953125,R_A4,1646.554443359375,0,36,0.2625388205051422,0.0,49,28
16,STANDARD,2018-01-01,300.582763671875,300.582763671875,R_A4,1640.3056640625,0,36,0.6481541991233826,0.0,49,27
17,STANDARD,2018-01-01,300.4285888671875,300.4285888671875,R_A4,1638.00634765625,0,36,0.2999213933944702,0.0,48,27
18,STANDARD,2018-01-01,300.7316589355469,300.7316589355469,R_A4,1642.52587890625,0,37,1.0,0.0,48,27
19,STANDARD,2018-01-01,301.12933349609375,301.12933349609375,R_A4,1648.4566650390625,0,37,0.6998575329780579,0.0,48,28
20,STANDARD,2018-01-01,301.4749450683594,301.4749450683594,R_A4,1653.6103515625,0,38,1.0,0.0,48,28
21,STANDARD,2018-01-01,301.6341247558594,301.6341247558594,R_A4,1655.9835205078125,0,38,0.8312350511550903,0.0,47,28
1,STANDARD,2018-01-01,303.91595458984375,303.91595458984375,R_A5,1685.784912109375,0,31,1.0,0.0,20,1
2,STANDARD,2018-01-01,304.12493896484375,304.12493896484375,R_A5,1687.9903564453125,0,31,1.0,0.0,20,2
3,STANDARD,2018-01-01,304.33392333984375,304.33392333984375,R_A5,1690.1956787109375,0,31,1.0,0.0,20,3
4,STANDARD,2018-01-01,304.54290771484375,304.54290771484375,R_A5,1692.4010009765625,0,31,1.0,0.0,20,4
5,STANDARD,2018-01-01,304.75189208984375,304.75189208984375,R_A5,1694.6063232421875,0,31,1.0,0.0,20,5
6,STANDARD,2018-01-01,304.96087646484375,304.96087646484375,R_A5,1696.8115234375,0,31,1.0,0.0,20,6
7,STANDARD,2018-01-01,305.4756774902344,305.4756774902344,R_A5,1699.016845703125,0,31,1.0,0.0,20,7
8,STANDARD,2018-01-01,305.9966125488281,305.9966125488281,R_A5,1707.7392578125,0,31,1.0,0.0,20,11
9,STANDARD,2018-01-01,306.1868896484375,306.1868896484375,R_A5,1709.7470703125,0,31,1.0,0.0,20,12
10,STANDARD,2018-01-01,306.3891296386719,306.3891296386719,R_A5,1711.7547607421875,0,31,1.0,0.0,20,13
11,STANDARD,2018-01-01,305.717529296875,305.717529296875,R_A5,1704.66796875,0,31,1.0,0.0,21,13
12,STANDARD,2018-01-01,305.8830261230469,305.8830261230469,R_A5,1706.41455078125,0,31,1.0,0.0,21,14
13,STANDARD,2018-01-01,306.0485534667969,306.0485534667969,R_A5,1708.1610107421875,0,31,1.0,0.0,21,15
14,STANDARD,2018-01-01,306.3591003417969,306.3591003417969,R_A5,1709.9075927734375,0,31,1.0,0.0,21,16
15,STANDARD,2018-01-01,306.5210266113281,306.5210266113281,R_A5,1711.6162109375,0,31,1.0,0.0,21,17
16,STANDARD,2018-01-01,306.64495849609375,306.64495849609375,R_A5,1712.923828125,0,31,1.0,0.0,21,18
17,STANDARD,2018-01-01,306.70074462890625,306.70074462890625,R_A5,1713.512451171875,0,31,1.0,0.0,21,19
18,STANDARD,2018-01-01,306.666015625,306.666015625,R_A5,1714.8037109375,0,31,1.0,0.0,21,25
19,STANDARD,2018-01-01,306.8887023925781,306.8887023925781,R_A5,1717.1534423828125,0,31,1.0,0.0,21,26
20,STANDARD,2018-01-01,307.11138916015625,307.11138916015625,R_A5,1719.5030517578125,0,31,1.0,0.0,21,27
21,STANDARD,2018-01-01,307.6398620605469,307.6398620605469,R_A5,1721.8526611328125,0,31,1.0,0.0,21,28
22,STANDARD,2018-01-01,307.862548828125,307.862548828125,R_A5,1724.202392578125,0,31,1.0,0.0,21,29
1,STANDARD,2018-01-01,305.1247863769531,305.1247863769531,R_A6,1695.314208984375,0,17,1.0,0.0,42,1
2,STANDARD,2018-01-01,305.27191162109375,305.27191162109375,R_A6,1696.866943359375,0,17,1.0,0.0,42,2
3,STANDARD,2018-01-01,305.4190673828125,305.4190673828125,R_A6,1698.419677734375,0,17,1.0,0.0,42,3
4,STANDARD,2018-01-01,305.56622314453125,305.56622314453125,R_A6,1699.9725341796875,0,17,1.0,0.0,42,4
5,STANDARD,2018-01-01,305.71337890625,305.71337890625,R_A6,1701.5252685546875,0,17,1.0,0.0,42,5
6,STANDARD,2018-01-01,305.86053466796875,305.86053466796875,R_A6,1703.0780029296875,0,17,1.0,0.0,42,6
7,STANDARD,2018-01-01,305.7086486816406,305.7086486816406,R_A6,1704.630859375,0,17,1.0,0.0,42,7
8,STANDARD,2018-01-01,305.8558044433594,305.8558044433594,R_A6,1706.18359375,0,17,1.0,0.0,42,8
9,STANDARD,2018-01-01,306.302001953125,306.302001953125,R_A6,1707.736328125,0,17,1.0,0.0,42,9
10,STANDARD,2018-01-01,306.44915771484375,306.44915771484375,R_A6,1709.2890625,0,17,1.0,0.0,42,10
11,STANDARD,2018-01-01,306.3257141113281,306.3257141113281,R_A6,1711.2119140625,0,17,1.0,0.0,42,11
12,STANDARD,2018-01-01,306.54302978515625,306.54302978515625,R_A6,1713.5047607421875,0,17,1.0,0.0,42,12
13,STANDARD,2018-01-01,306.7723083496094,306.7723083496094,R_A6,1715.797607421875,0,17,1.0,0.0,42,13
14,STANDARD,2018-01-01,306.9895935058594,306.9895935058594,R_A6,1718.0904541015625,0,17,1.0,0.0,42,14
15,STANDARD,2018-01-01,307.2069091796875,307.2069091796875,R_A6,1720.38330078125,0,17,1.0,0.0,42,15
16,STANDARD,2018-01-01,307.5692443847656,307.5692443847656,R_A6,1722.6761474609375,0,17,1.0,0.0,42,16
17,STANDARD,2018-01-01,307.7865295410156,307.7865295410156,R_A6,1724.968994140625,0,17,1.0,0.0,42,17
18,STANDARD,2018-01-01,307.94158935546875,307.94158935546875,R_A6,1726.6048583984375,0,17,1.0,0.0,42,18
19,STANDARD,2018-01-01,307.9128112792969,307.9128112792969,R_A6,1727.958984375,0,17,1.0,0.0,42,25
20,STANDARD,2018-01-01,308.3825378417969,308.3825378417969,R_A6,1729.688720703125,0,17,1.0,0.0,42,26
21,STANDARD,2018-01-01,308.5464782714844,308.5464782714844,R_A6,1731.4183349609375,0,17,1.0,0.0,42,27
22,STANDARD,2018-01-01,308.7104187011719,308.7104187011719,R_A6,1733.14794921875,0,17,1.0,0.0,42,28
23,STANDARD,2018-01-01,308.5685729980469,308.5685729980469,R_A6,1734.877685546875,0,17,1.0,0.0,42,29
1,STANDARD,2018-03-01,296.7239685058594,296.7239685058594,R_A2,1642.6766357421875,0,22,0.05806683376431465,0.0,30,1
2,STANDARD,2018-03-01,296.8514709472656,296.8514709472656,R_A2,1644.5797119140625,0,22,0.0612008273601532,0.0,30,2
3,STANDARD,2018-03-01,296.9790344238281,296.9790344238281,R_A2,1646.4827880859375,0,22,0.06479492783546448,0.0,30,3
4,STANDARD,2018-03-01,297.1066589355469,297.1066589355469,R_A2,1648.3858642578125,0,22,0.07004212588071823,0.0,30,4
5,STANDARD,2018-03-01,297.2342834472656,297.2342834472656,R_A2,1650.2889404296875,0,22,0.07575324922800064,0.0,30,5
6,STANDARD,2018-03-01,297.4048767089844,297.4048767089844,R_A2,1652.192138671875,0,22,0.3211694359779358,0.0,30,6
7,STANDARD,2018-03-01,297.5498962402344,297.5498962402344,R_A2,1654.09521484375,0,22,0.908563494682312,0.0,30,7
8,STANDARD,2018-03-01,297.6906433105469,297.6906433105469,R_A2,1655.998291015625,0,22,0.8975086212158203,0.0,30,8
9,STANDARD,2018-03-01,298.29254150390625,298.29254150390625,R_A2,1657.9013671875,0,22,0.9264298677444458,0.0,30,9
10,STANDARD,2018-03-01,298.7705078125,298.7705078125,R_A2,1659.804443359375,0,22,0.9343067407608032,0.0,30,10
11,STANDARD,2018-03-01,299.2734375,299.2734375,R_A2,1661.76416015625,0,22,0.08777304738759995,0.0,30,11
12,STANDARD,2018-03-01,299.40850830078125,299.40850830078125,R_A2,1663.7802734375,0,22,0.09166444092988968,0.0,30,12
13,STANDARD,2018-03-01,299.6990661621094,299.6990661621094,R_A2,1665.7965087890625,0,22,0.4908476769924164,0.0,30,13
14,STANDARD,2018-03-01,299.92822265625,299.92822265625,R_A2,1667.812744140625,0,22,0.5580431818962097,0.0,30,14
15,STANDARD,2018-03-01,300.062255859375,300.062255859375,R_A2,1669.8289794921875,0,22,0.7520673274993896,0.0,30,15
16,STANDARD,2018-03-01,300.1951904296875,300.1951904296875,R_A2,1671.84521484375,0,22,0.9965720772743225,0.0,30,16
17,STANDARD,2018-03-01,300.3297424316406,300.3297424316406,R_A2,1673.8614501953125,0,22,0.9969326853752136,0.0,30,17
18,STANDARD,2018-03-01,300.07073974609375,300.07073974609375,R_A2,1671.2178955078125,0,22,0.9765370488166809,0.0,29,17
19,STANDARD,2018-03-01,300.2067565917969,300.2067565917969,R_A2,1673.2490234375,0,22,0.9999999403953552,-5.829990268324536e-09,29,18
20,STANDARD,2018-03-01,300.2900390625,300.2900390625,R_A2,1674.490478515625,0,22,1.0,-1.9739834766774322e-10,29,19
21,STANDARD,2018-03-01,302.86724853515625,302.86724853515625,R_A2,1675.6275634765625,0,22,0.817208468914032,0.0,29,25
22,STANDARD,2018-03-01,302.6141052246094,302.6141052246094,R_A2,1677.3953857421875,0,22,1.0,3.812480048998555e-15,29,26
23,STANDARD,2018-03-01,302.3082580566406,302.3082580566406,R_A2,1679.1632080078125,0,22,1.0,2.492734954540575e-15,29,27
24,STANDARD,2018-03-01,301.7732849121094,301.7732849121094,R_A2,1680.9310302734375,0,22,1.0,2.033774190723925e-12,29,28
25,STANDARD,2018-03-01,302.3789978027344,302.3789978027344,R_A2,1682.6988525390625,0,22,1.0,5.026965841408901e-16,29,29
1,STANDARD,2018-04-28,283.8116149902344,283.8116149902344,R_A5,1685.784912109375,0,31,1.0,-2.994591133767023e-14,20,1
2,STANDARD,2018-04-28,284.0210266113281,284.0210266113281,R_A5,1687.9903564453125,0,31,1.0,-1.0988454747897294e-13,20,2
3,STANDARD,2018-04-28,284.2299499511719,284.2299499511719,R_A5,1690.1956787109375,0,31,1.0,-1.1509547384169067e-13,20,3
4,STANDARD,2018-04-28,284.43878173828125,284.43878173828125,R_A5,1692.4010009765625,0,31,1.0,-9.23788633479597e-14,20,4
5,STANDARD,2018-04-28,284.6476135253906,284.6476135253906,R_A5,1694.6063232421875,0,31,1.0,-8.643597854606985e-14,20,5
6,STANDARD,2018-04-28,284.8564147949219,284.8564147949219,R_A5,1696.8115234375,0,31,1.0,-6.753650508848144e-14,20,6
7,STANDARD,2018-04-28,285.38592529296875,285.38592529296875,R_A5,1699.016845703125,0,31,1.0,-2.2165132752762114e-14,20,7
8,STANDARD,2018-04-28,284.03125,284.03125,R_A5,1707.7392578125,0,31,1.0,2.030402755648364e-11,20,11
9,STANDARD,2018-04-28,284.29632568359375,284.29632568359375,R_A5,1709.7470703125,0,31,1.0,2.328947971974582e-11,20,12
10,STANDARD,2018-04-28,284.5018005371094,284.5018005371094,R_A5,1711.7547607421875,0,31,1.0,1.2205135990414617e-12,20,13
11,STANDARD,2018-04-28,282.7598571777344,282.7598571777344,R_A5,1704.66796875,0,31,1.0,1.4593099298410017e-11,21,13
12,STANDARD,2018-04-28,282.93048095703125,282.93048095703125,R_A5,1706.41455078125,0,31,1.0,2.1391782442647944e-11,21,14
13,STANDARD,2018-04-28,283.09942626953125,283.09942626953125,R_A5,1708.1610107421875,0,31,1.0,5.599879067397229e-12,21,15
14,STANDARD,2018-04-28,283.4267578125,283.4267578125,R_A5,1709.9075927734375,0,31,1.0,2.6555448378456914e-12,21,16
15,STANDARD,2018-04-28,283.642822265625,283.642822265625,R_A5,1711.6162109375,0,31,1.0,7.148477773263884e-13,21,17
16,STANDARD,2018-04-28,283.818115234375,283.818115234375,R_A5,1712.923828125,0,31,1.0,2.0079036090053792e-12,21,18
17,STANDARD,2018-04-28,283.8879699707031,283.8879699707031,R_A5,1713.512451171875,0,31,1.0,2.5744801256111227e-12,21,19
18,STANDARD,2018-04-28,284.6108093261719,284.6108093261719,R_A5,1714.8037109375,0,31,1.0,-2.991969866306121e-11,21,25
19,STANDARD,2018-04-28,284.854736328125,284.854736328125,R_A5,1717.1534423828125,0,31,1.0,-2.2845177138908213e-11,21,26
20,STANDARD,2018-04-28,285.07696533203125,285.07696533203125,R_A5,1719.5030517578125,0,31,1.0,-2.553532385540791e-11,21,27
21,STANDARD,2018-04-28,285.3017578125,285.3017578125,R_A5,1721.8526611328125,0,31,1.0,-1.5359408905601063e-17,21,28
22,STANDARD,2018-04-28,294.0250244140625,294.0250244140625,R_A5,1724.202392578125,0,31,1.0,-8.773472969070212e-18,21,29
1,STANDARD,2018-07-03,273.13934326171875,273.13934326171875,R_A3,1609.6844482421875,0,28,0.6497635245323181,0.0,41,1
2,STANDARD,2018-07-03,273.2605895996094,273.2605895996094,R_A3,1611.6702880859375,0,28,0.20104190707206726,0.0,41,2
3,STANDARD,2018-07-03,273.3922119140625,273.3922119140625,R_A3,1613.656005859375,0,28,0.2375069409608841,0.0,41,3
4,STANDARD,2018-07-03,273.5224304199219,273.5224304199219,R_A3,1615.6416015625,0,28,0.650336742401123,0.0,41,4
5,STANDARD,2018-07-03,273.6685791015625,273.6685791015625,R_A3,1617.62744140625,0,28,0.6502800583839417,0.0,41,5
6,STANDARD,2018-07-03,273.80096435546875,273.80096435546875,R_A3,1619.6131591796875,0,28,0.18860597908496857,0.0,41,6
7,STANDARD,2018-07-03,273.26324462890625,273.26324462890625,R_A3,1610.51611328125,0,29,0.19358256459236145,0.0,41,6
8,STANDARD,2018-07-03,273.3955993652344,273.3955993652344,R_A3,1612.5186767578125,0,29,0.19968503713607788,0.0,41,7
9,STANDARD,2018-07-03,273.52764892578125,273.52764892578125,R_A3,1614.5211181640625,0,29,0.13055726885795593,0.0,41,8
10,STANDARD,2018-07-03,273.6460266113281,273.6460266113281,R_A3,1616.523681640625,0,29,0.6519064903259277,0.0,41,9
11,STANDARD,2018-07-03,273.9211120605469,273.9211120605469,R_A3,1618.5263671875,0,29,0.80540931224823,0.0,41,10
12,STANDARD,2018-07-03,283.4111022949219,283.4111022949219,R_A3,1620.6629638671875,0,29,0.04750094190239906,0.0,41,11
13,STANDARD,2018-07-03,283.5627136230469,283.5627136230469,R_A3,1622.93359375,0,29,0.05538781359791756,0.0,41,12
14,STANDARD,2018-07-03,283.71429443359375,283.71429443359375,R_A3,1625.2042236328125,0,29,0.37321987748146057,0.0,41,13
15,STANDARD,2018-07-03,283.3970947265625,283.3970947265625,R_A3,1627.474853515625,0,29,0.38714855909347534,0.0,41,14
16,STANDARD,2018-07-03,283.0721740722656,283.0721740722656,R_A3,1629.7454833984375,0,29,0.501517117023468,0.0,41,15
17,STANDARD,2018-07-03,283.22613525390625,283.22613525390625,R_A3,1631.4720458984375,0,29,0.7910233736038208,0.0,41,16
18,STANDARD,2018-07-03,282.48065185546875,282.48065185546875,R_A3,1633.8187255859375,0,29,0.33090969920158386,0.0,41,25
19,STANDARD,2018-07-03,282.7027893066406,282.7027893066406,R_A3,1637.329345703125,0,29,0.1002858355641365,0.0,41,26
20,STANDARD,2018-07-03,282.9413146972656,282.9413146972656,R_A3,1640.83984375,0,29,0.2136981040239334,0.0,41,27
21,STANDARD,2018-07-03,285.39794921875,285.39794921875,R_A3,1644.350341796875,0,29,0.9999998211860657,-9.4223544522265e-09,41,28
22,STANDARD,2018-07-03,283.29254150390625,283.29254150390625,R_A3,1647.8609619140625,0,29,0.24131520092487335,0.0,41,29
1,STANDARD,2018-09-12,280.8176574707031,280.8176574707031,R_A4,1631.607177734375,0,30,0.05124909058213234,0.0,52,1
2,STANDARD,2018-09-12,280.7330322265625,280.7330322265625,R_A4,1628.75146484375,0,31,0.05154235288500786,0.0,52,1
3,STANDARD,2018-09-12,280.8691101074219,280.8691101074219,R_A4,1630.7906494140625,0,31,0.05465605854988098,0.0,52,2
4,STANDARD,2018-09-12,281.00518798828125,281.00518798828125,R_A4,1632.8299560546875,0,31,0.05722415819764137,0.0,52,3
5,STANDARD,2018-09-12,281.03106689453125,281.03106689453125,R_A4,1632.0386962890625,0,32,0.0574466846883297,0.0,52,3
6,STANDARD,2018-09-12,281.2349548339844,281.2349548339844,R_A4,1637.858154296875,0,32,0.06031183898448944,0.0,51,3
7,STANDARD,2018-09-12,281.1170959472656,281.1170959472656,R_A4,1636.0924072265625,0,32,0.05776253715157509,0.0,51,2
8,STANDARD,2018-09-12,281.2571105957031,281.2571105957031,R_A4,1637.8350830078125,0,33,0.0600823238492012,0.0,51,2
9,STANDARD,2018-09-12,281.1343078613281,281.1343078613281,R_A4,1636.0013427734375,0,33,0.13086171448230743,0.0,51,1
10,STANDARD,2018-09-12,281.3533020019531,281.3533020019531,R_A4,1644.3873291015625,0,33,0.06592411547899246,0.0,50,2
11,STANDARD,2018-09-12,281.1126403808594,281.1126403808594,R_A4,1640.8828125,0,34,0.06365775316953659,0.0,50,2
12,STANDARD,2018-09-12,281.4058837890625,281.4058837890625,R_A4,1642.5628662109375,0,35,0.08205778151750565,0.0,50,2
13,STANDARD,2018-09-12,281.2837829589844,281.2837829589844,R_A4,1640.7568359375,0,35,0.23935939371585846,0.0,50,1
14,STANDARD,2018-09-12,275.7398986816406,275.7398986816406,R_A4,1641.2457275390625,0,35,0.1713414043188095,0.0,49,28
15,STANDARD,2018-09-12,276.3492431640625,276.3492431640625,R_A4,1646.554443359375,0,36,0.2564358115196228,0.0,49,28
16,STANDARD,2018-09-12,276.4750061035156,276.4750061035156,R_A4,1640.3056640625,0,36,0.6883082985877991,0.0,49,27
17,STANDARD,2018-09-12,275.5655212402344,275.5655212402344,R_A4,1638.00634765625,0,36,0.2903258204460144,0.0,48,27
18,STANDARD,2018-09-12,281.18804931640625,281.18804931640625,R_A4,1642.52587890625,0,37,1.0,-2.6903225740920744e-12,48,27
19,STANDARD,2018-09-12,276.578369140625,276.578369140625,R_A4,1648.4566650390625,0,37,0.7029468417167664,0.0,48,28
20,STANDARD,2018-09-12,285.2544250488281,285.2544250488281,R_A4,1653.6103515625,0,38,1.0,-4.0814324142601777e-11,48,28
21,STANDARD,2018-09-12,280.3607482910156,280.3607482910156,R_A4,1655.9835205078125,0,38,0.8301229476928711,0.0,47,28
1,STANDARD,2018-11-07,271.9850769042969,271.9850769042969,R_A6,1695.314208984375,0,17,1.0,-1.1376842393509556e-12,42,1
2,STANDARD,2018-11-07,272.1311950683594,272.1311950683594,R_A6,1696.866943359375,0,17,1.0,-1.1950479668343394e-12,42,2
3,STANDARD,2018-11-07,272.27703857421875,272.27703857421875,R_A6,1698.419677734375,0,17,1.0,-4.716700120754869e-13,42,3
4,STANDARD,2018-11-07,272.4205627441406,272.4205627441406,R_A6,1699.9725341796875,0,17,1.0,-3.599370421939613e-13,42,4
5,STANDARD,2018-11-07,272.5627136230469,272.5627136230469,R_A6,1701.5252685546875,0,17,1.0,-5.540428142311593e-13,42,5
6,STANDARD,2018-11-07,272.7056884765625,272.7056884765625,R_A6,1703.0780029296875,0,17,1.0,-1.3668060606930599e-11,42,6
7,STANDARD,2018-11-07,272.5592346191406,272.5592346191406,R_A6,1704.630859375,0,17,1.0,-5.202426336947674e-11,42,7
8,STANDARD,2018-11-07,272.707275390625,272.707275390625,R_A6,1706.18359375,0,17,1.0,-3.11962920773734e-11,42,8
9,STANDARD,2018-11-07,273.1540222167969,273.1540222167969,R_A6,1707.736328125,0,17,1.0,-1.7715765920217619e-12,42,9
10,STANDARD,2018-11-07,273.34332275390625,273.34332275390625,R_A6,1709.2890625,0,17,1.0,-9.135239223065361e-13,42,10
11,STANDARD,2018-11-07,284.8105163574219,284.8105163574219,R_A6,1711.2119140625,0,17,0.9999999403953552,-3.835960438181019e-09,42,11
