SGAS,CONJPOS,DRAWDOWN,WELL,CONIPOS,WELLMODEL,CONBPRES,DATE,CONKPOS,SWAT,CONIDX,DEPTH,PRESSURE
0.0,30,0,R_A2,22,STANDARD,302.4874267578125,2018-01-01,17,0.9921053647994995,17,1669.8555908203125,302.4874267578125
0.0,30,0,R_A2,22,STANDARD,302.616943359375,2018-01-01,18,0.9940471053123474,18,1671.78662109375,302.616943359375
0.0,30,0,R_A2,22,STANDARD,302.8752746582031,2018-01-01,19,1.0,19,1673.14501953125,302.8752746582031
0.0,30,0,R_A2,22,STANDARD,303.1462097167969,2018-01-01,27,1.0,20,1674.43505859375,303.1462097167969
0.0,30,0,R_A2,22,STANDARD,303.3162536621094,2018-01-01,28,1.0,21,1676.2294921875,303.3162536621094
0.0,30,0,R_A2,22,STANDARD,303.4862976074219,2018-01-01,29,1.0,22,1678.0238037109375,303.4862976074219
0.0,29,0,R_A2,22,STANDARD,303.7791748046875,2018-01-01,29,1.0,23,1681.1146240234375,303.7791748046875
0.0,29,0,R_A2,22,STANDARD,303.9447326660156,2018-01-01,30,1.0,24,1682.86181640625,303.9447326660156
0.0,29,0,R_A2,22,STANDARD,304.11029052734375,2018-01-01,31,1.0,25,1684.6090087890625,304.11029052734375
0.0,41,0,R_A3,28,STANDARD,298.38970947265625,2018-01-01,1,0.6481541991233826,1,1608.739990234375,298.38970947265625
0.0,41,0,R_A3,28,STANDARD,298.52276611328125,2018-01-01,2,0.20281490683555603,2,1610.7252197265625,298.52276611328125
0.0,41,0,R_A3,28,STANDARD,298.6557922363281,2018-01-01,3,0.1968989372253418,3,1612.71044921875,298.6557922363281
0.0,41,0,R_A3,28,STANDARD,298.7888488769531,2018-01-01,4,0.3831641376018524,4,1614.695556640625,298.7888488769531
0.0,41,0,R_A3,28,STANDARD,298.9219055175781,2018-01-01,5,0.8364060521125793,5,1616.6807861328125,298.9219055175781
0.0,41,0,R_A3,28,STANDARD,299.0549621582031,2018-01-01,6,0.6481541991233826,6,1618.666015625,299.0549621582031
0.0,41,0,R_A3,28,STANDARD,299.1880187988281,2018-01-01,7,0.21016575396060944,7,1620.6512451171875,299.1880187988281
0.0,41,0,R_A3,29,STANDARD,298.61956787109375,2018-01-01,7,0.20216089487075806,8,1612.169677734375,298.61956787109375
0.0,41,0,R_A3,29,STANDARD,298.7556457519531,2018-01-01,8,0.20307540893554688,9,1614.2000732421875,298.7556457519531
0.0,41,0,R_A3,29,STANDARD,298.8917236328125,2018-01-01,9,0.8094868063926697,10,1616.23046875,298.8917236328125
0.0,41,0,R_A3,29,STANDARD,299.0278015136719,2018-01-01,10,0.8045624494552612,11,1618.2608642578125,299.0278015136719
0.0,41,0,R_A3,29,STANDARD,299.17193603515625,2018-01-01,11,0.048793185502290726,12,1620.4112548828125,299.17193603515625
0.0,41,0,R_A3,29,STANDARD,299.3240966796875,2018-01-01,12,0.05577244982123375,13,1622.681396484375,299.3240966796875
0.0,41,0,R_A3,29,STANDARD,299.4762878417969,2018-01-01,13,0.3741911053657532,14,1624.95166015625,299.4762878417969
0.0,41,0,R_A3,29,STANDARD,299.7765197753906,2018-01-01,15,0.6297259330749512,15,1629.4305419921875,299.7765197753906
0.0,41,0,R_A3,29,STANDARD,299.8963317871094,2018-01-01,16,0.8230868577957153,16,1631.218017578125,299.8963317871094
0.0,41,0,R_A3,29,STANDARD,300.06097412109375,2018-01-01,27,0.12869596481323242,17,1633.673828125,300.06097412109375
0.0,41,0,R_A3,29,STANDARD,300.2945556640625,2018-01-01,28,0.04450491443276405,18,1637.15771484375,300.2945556640625
0.0,41,0,R_A3,29,STANDARD,300.52813720703125,2018-01-01,29,0.05305227264761925,19,1640.6416015625,300.52813720703125
0.0,41,0,R_A3,29,STANDARD,300.7617492675781,2018-01-01,30,0.6481541991233826,20,1644.12548828125,300.7617492675781
0.0,41,0,R_A3,29,STANDARD,300.995361328125,2018-01-01,31,0.06656728684902191,21,1647.609375,300.995361328125
0.0,52,0,R_A4,30,STANDARD,299.8117980957031,2018-01-01,1,0.05433006212115288,1,1629.95703125,299.8117980957031
0.0,52,0,R_A4,31,STANDARD,299.62200927734375,2018-01-01,1,0.05328662693500519,2,1627.1258544921875,299.62200927734375
0.0,52,0,R_A4,31,STANDARD,299.7506408691406,2018-01-01,2,0.0537148080766201,3,1629.0447998046875,299.7506408691406
0.0,52,0,R_A4,31,STANDARD,299.8793029785156,2018-01-01,3,0.056154895573854446,4,1630.9638671875,299.8793029785156
0.0,52,0,R_A4,31,STANDARD,300.0079345703125,2018-01-01,4,0.058481451123952866,5,1632.8828125,300.0079345703125
0.0,52,0,R_A4,32,STANDARD,299.9344787597656,2018-01-01,4,0.057873181998729706,6,1631.7869873046875,299.9344787597656
0.0,51,0,R_A4,32,STANDARD,300.1580810546875,2018-01-01,4,0.060324784368276596,7,1635.1220703125,300.1580810546875
0.0,51,0,R_A4,33,STANDARD,300.2455749511719,2018-01-01,4,0.06339965015649796,8,1636.4273681640625,300.2455749511719
0.0,50,0,R_A4,33,STANDARD,300.5816650390625,2018-01-01,4,0.06625659018754959,9,1641.439697265625,300.5816650390625
0.0,50,0,R_A4,34,STANDARD,300.51849365234375,2018-01-01,4,0.08698587119579315,10,1640.49755859375,300.51849365234375
0.0,50,0,R_A4,34,STANDARD,300.3950500488281,2018-01-01,3,0.21996165812015533,11,1638.6568603515625,300.3950500488281
0.0,50,0,R_A4,35,STANDARD,300.3847351074219,2018-01-01,3,0.2797473967075348,12,1638.502685546875,300.3847351074219
0.0,49,0,R_A4,35,STANDARD,300.67266845703125,2018-01-01,3,0.24296239018440247,13,1642.797119140625,300.67266845703125
0.0,49,0,R_A4,36,STANDARD,300.83917236328125,2018-01-01,31,0.7131329774856567,14,1645.2802734375,300.83917236328125
0.0,49,0,R_A4,36,STANDARD,300.421142578125,2018-01-01,30,0.18655641376972198,15,1639.045654296875,300.421142578125
0.0,48,0,R_A4,36,STANDARD,300.30511474609375,2018-01-01,30,0.05928611755371094,16,1637.3153076171875,300.30511474609375
0.0,48,0,R_A4,37,STANDARD,300.7705078125,2018-01-01,30,0.10014580935239792,17,1644.256103515625,300.7705078125
0.0,48,0,R_A4,37,STANDARD,301.16607666015625,2018-01-01,31,0.21899686753749847,18,1650.155029296875,301.16607666015625
0.0,48,0,R_A4,38,STANDARD,301.4263610839844,2018-01-01,31,0.18869468569755554,19,1654.03662109375,301.4263610839844
0.0,47,0,R_A4,38,STANDARD,301.6949462890625,2018-01-01,31,0.16707846522331238,20,1658.041015625,301.6949462890625
0.0,20,0,R_A5,31,STANDARD,303.75323486328125,2018-01-01,1,1.0,1,1684.0679931640625,303.75323486328125
0.0,20,0,R_A5,31,STANDARD,303.9588317871094,2018-01-01,2,1.0,2,1686.237548828125,303.9588317871094
0.0,20,0,R_A5,31,STANDARD,304.1644287109375,2018-01-01,3,1.0,3,1688.406982421875,304.1644287109375
0.0,20,0,R_A5,31,STANDARD,304.3700256347656,2018-01-01,4,1.0,4,1690.5765380859375,304.3700256347656
0.0,20,0,R_A5,31,STANDARD,304.57562255859375,2018-01-01,5,1.0,5,1692.74609375,304.57562255859375
0.0,20,0,R_A5,31,STANDARD,304.7812194824219,2018-01-01,6,1.0,6,1694.91552734375,304.7812194824219
0.0,20,0,R_A5,31,STANDARD,305.2926025390625,2018-01-01,7,1.0,7,1697.0850830078125,305.2926025390625
0.0,21,0,R_A5,31,STANDARD,305.46734619140625,2018-01-01,11,1.0,8,1702.154541015625,305.46734619140625
0.0,21,0,R_A5,31,STANDARD,305.638427734375,2018-01-01,12,1.0,9,1703.9595947265625,305.638427734375
0.0,21,0,R_A5,31,STANDARD,305.8214416503906,2018-01-01,13,1.0,10,1705.7646484375,305.8214416503906
0.0,21,0,R_A5,31,STANDARD,305.99249267578125,2018-01-01,14,1.0,11,1707.569580078125,305.99249267578125
0.0,21,0,R_A5,31,STANDARD,306.16357421875,2018-01-01,15,1.0,12,1709.3746337890625,306.16357421875
0.0,21,0,R_A5,31,STANDARD,306.4796447753906,2018-01-01,16,1.0,13,1711.1796875,306.4796447753906
0.0,21,0,R_A5,31,STANDARD,306.6507263183594,2018-01-01,17,1.0,14,1712.9847412109375,306.6507263183594
0.0,21,0,R_A5,31,STANDARD,306.81903076171875,2018-01-01,18,1.0,15,1714.7606201171875,306.81903076171875
0.0,21,0,R_A5,31,STANDARD,306.92462158203125,2018-01-01,19,1.0,16,1715.874755859375,306.92462158203125
0.0,21,0,R_A5,31,STANDARD,306.959716796875,2018-01-01,20,1.0,17,1716.2451171875,306.959716796875
0.0,21,0,R_A5,31,STANDARD,306.91729736328125,2018-01-01,27,1.0,18,1717.4552001953125,306.91729736328125
0.0,21,0,R_A5,31,STANDARD,307.12213134765625,2018-01-01,28,1.0,19,1719.6162109375,307.12213134765625
0.0,21,0,R_A5,31,STANDARD,307.6327209472656,2018-01-01,29,1.0,20,1721.7772216796875,307.6327209472656
0.0,21,0,R_A5,31,STANDARD,307.8375244140625,2018-01-01,30,1.0,21,1723.938232421875,307.8375244140625
0.0,21,0,R_A5,31,STANDARD,308.0423583984375,2018-01-01,31,1.0,22,1726.099365234375,308.0423583984375
