CONJPOS,CONKPOS,PRESSURE,WELLMODEL,SGAS,DEPTH,DATE,CONIDX,WELL,CONBPRES,DRAWDOWN,CONIPOS,SWAT
41,8,298.65167236328125,STANDARD,0.0,1610.796875,2018-01-01,8,R_A3,298.65167236328125,0,29,0.19588777422904968
41,9,298.7929992675781,STANDARD,0.0,1612.9058837890625,2018-01-01,9,R_A3,298.7929992675781,0,29,0.7952851057052612
41,10,298.9343566894531,STANDARD,0.0,1615.0147705078125,2018-01-01,10,R_A3,298.9343566894531,0,29,0.7995250821113586
41,11,299.0851745605469,STANDARD,0.0,1617.2652587890625,2018-01-01,11,R_A3,299.0851745605469,0,29,0.04646270349621773
41,12,299.2455139160156,STANDARD,0.0,1619.6571044921875,2018-01-01,12,R_A3,299.2455139160156,0,29,0.05292356014251709
41,13,299.40582275390625,STANDARD,0.0,1622.0489501953125,2018-01-01,13,R_A3,299.40582275390625,0,29,0.36245375871658325
41,15,299.72149658203125,STANDARD,0.0,1626.75830078125,2018-01-01,14,R_A3,299.72149658203125,0,29,0.5060389637947083
41,16,299.85614013671875,STANDARD,0.0,1628.766357421875,2018-01-01,15,R_A3,299.85614013671875,0,29,0.8043884634971619
41,17,299.9275207519531,STANDARD,0.0,1629.8314208984375,2018-01-01,16,R_A3,299.9275207519531,0,29,0.7748057246208191
41,29,300.0687561035156,STANDARD,0.0,1631.93798828125,2018-01-01,17,R_A3,300.0687561035156,0,29,0.6481541991233826
41,30,300.3272705078125,STANDARD,0.0,1635.7940673828125,2018-01-01,18,R_A3,300.3272705078125,0,29,0.04684163257479668
41,31,300.5858154296875,STANDARD,0.0,1639.650146484375,2018-01-01,19,R_A3,300.5858154296875,0,29,0.05092828348278999
41,32,300.8443908691406,STANDARD,0.0,1643.506103515625,2018-01-01,20,R_A3,300.8443908691406,0,29,0.18556340038776398
41,33,301.10296630859375,STANDARD,0.0,1647.3621826171875,2018-01-01,21,R_A3,301.10296630859375,0,29,0.06473616510629654
52,1,299.9155578613281,STANDARD,0.0,1629.65283203125,2018-01-01,1,R_A4,299.9155578613281,0,30,0.04848100617527962
52,1,299.8040771484375,STANDARD,0.0,1627.9898681640625,2018-01-01,2,R_A4,299.8040771484375,0,31,0.048008717596530914
52,2,299.93963623046875,STANDARD,0.0,1630.01220703125,2018-01-01,3,R_A4,299.93963623046875,0,31,0.05186622589826584
52,3,300.0752258300781,STANDARD,0.0,1632.0345458984375,2018-01-01,4,R_A4,300.0752258300781,0,31,0.057262931019067764
52,3,300.14910888671875,STANDARD,0.0,1633.1365966796875,2018-01-01,5,R_A4,300.14910888671875,0,32,0.05619436129927635
51,3,300.2102966308594,STANDARD,0.0,1634.049072265625,2018-01-01,6,R_A4,300.2102966308594,0,32,0.05569229647517204
51,3,300.3727722167969,STANDARD,0.0,1636.47265625,2018-01-01,7,R_A4,300.3727722167969,0,33,0.05860793590545654
51,4,300.4958801269531,STANDARD,0.0,1638.3084716796875,2018-01-01,8,R_A4,300.4958801269531,0,33,0.260019987821579
50,4,300.6436767578125,STANDARD,0.0,1640.5130615234375,2018-01-01,9,R_A4,300.6436767578125,0,33,0.061527930200099945
50,4,300.6728820800781,STANDARD,0.0,1640.9482421875,2018-01-01,10,R_A4,300.6728820800781,0,34,0.06085645407438278
50,3,300.54315185546875,STANDARD,0.0,1639.013671875,2018-01-01,11,R_A4,300.54315185546875,0,34,0.06189444661140442
50,3,300.7188415527344,STANDARD,0.0,1641.6337890625,2018-01-01,12,R_A4,300.7188415527344,0,35,0.07896902412176132
49,3,300.725341796875,STANDARD,0.0,1641.730712890625,2018-01-01,13,R_A4,300.725341796875,0,35,0.08476926386356354
49,32,300.734375,STANDARD,0.0,1641.865478515625,2018-01-01,14,R_A4,300.734375,0,36,0.6481541991233826
48,32,300.51922607421875,STANDARD,0.0,1638.6568603515625,2018-01-01,15,R_A4,300.51922607421875,0,36,0.29094892740249634
48,32,301.14007568359375,STANDARD,0.0,1647.91552734375,2018-01-01,16,R_A4,301.14007568359375,0,37,0.6481541991233826
48,32,301.70526123046875,STANDARD,0.0,1656.3431396484375,2018-01-01,17,R_A4,301.70526123046875,0,38,0.177394837141037
48,31,301.3115539550781,STANDARD,0.0,1650.472412109375,2018-01-01,18,R_A4,301.3115539550781,0,38,0.06453407555818558
47,31,301.5742492675781,STANDARD,0.0,1654.389892578125,2018-01-01,19,R_A4,301.5742492675781,0,38,0.06808706372976303
20,1,304.1878662109375,STANDARD,0.0,1685.4273681640625,2018-01-01,1,R_A5,304.1878662109375,0,31,1.0
20,2,304.1004943847656,STANDARD,0.0,1687.732177734375,2018-01-01,2,R_A5,304.1004943847656,0,31,1.0
20,3,304.31890869140625,STANDARD,0.0,1690.0369873046875,2018-01-01,3,R_A5,304.31890869140625,0,31,1.0
20,4,304.5373229980469,STANDARD,0.0,1692.341796875,2018-01-01,4,R_A5,304.5373229980469,0,31,1.0
20,5,304.7557373046875,STANDARD,0.0,1694.646728515625,2018-01-01,5,R_A5,304.7557373046875,0,31,1.0
20,6,304.9741516113281,STANDARD,0.0,1696.951416015625,2018-01-01,6,R_A5,304.9741516113281,0,31,1.0
20,7,305.49835205078125,STANDARD,0.0,1699.25634765625,2018-01-01,7,R_A5,305.49835205078125,0,31,1.0
20,11,306.04937744140625,STANDARD,0.0,1708.2957763671875,2018-01-01,8,R_A5,306.04937744140625,0,31,1.0
21,11,305.28125,STANDARD,0.0,1700.190673828125,2018-01-01,9,R_A5,305.28125,0,31,1.0
21,12,305.4573974609375,STANDARD,0.0,1702.04931640625,2018-01-01,10,R_A5,305.4573974609375,0,31,1.0
21,13,305.6455078125,STANDARD,0.0,1703.9080810546875,2018-01-01,11,R_A5,305.6455078125,0,31,1.0
21,14,305.8216552734375,STANDARD,0.0,1705.7667236328125,2018-01-01,12,R_A5,305.8216552734375,0,31,1.0
21,15,305.997802734375,STANDARD,0.0,1707.62548828125,2018-01-01,13,R_A5,305.997802734375,0,31,1.0
21,16,306.3189697265625,STANDARD,0.0,1709.484130859375,2018-01-01,14,R_A5,306.3189697265625,0,31,1.0
21,17,306.4951171875,STANDARD,0.0,1711.3427734375,2018-01-01,15,R_A5,306.4951171875,0,31,1.0
21,18,306.65966796875,STANDARD,0.0,1713.0792236328125,2018-01-01,16,R_A5,306.65966796875,0,31,1.0
21,19,306.7725524902344,STANDARD,0.0,1714.270263671875,2018-01-01,17,R_A5,306.7725524902344,0,31,1.0
21,29,306.76416015625,STANDARD,0.0,1715.8392333984375,2018-01-01,18,R_A5,306.76416015625,0,31,1.0
21,30,306.9888000488281,STANDARD,0.0,1718.20947265625,2018-01-01,19,R_A5,306.9888000488281,0,31,1.0
21,31,307.21343994140625,STANDARD,0.0,1720.579833984375,2018-01-01,20,R_A5,307.21343994140625,0,31,1.0
21,32,307.743896484375,STANDARD,0.0,1722.9501953125,2018-01-01,21,R_A5,307.743896484375,0,31,1.0
21,33,307.9685363769531,STANDARD,0.0,1725.3204345703125,2018-01-01,22,R_A5,307.9685363769531,0,31,1.0
42,1,305.1117858886719,STANDARD,0.0,1695.17724609375,2018-01-01,1,R_A6,305.1117858886719,0,17,1.0
42,2,305.2589416503906,STANDARD,0.0,1696.72998046875,2018-01-01,2,R_A6,305.2589416503906,0,17,1.0
42,3,305.4060974121094,STANDARD,0.0,1698.28271484375,2018-01-01,3,R_A6,305.4060974121094,0,17,1.0
42,4,305.5532531738281,STANDARD,0.0,1699.83544921875,2018-01-01,4,R_A6,305.5532531738281,0,17,1.0
42,5,305.7004089355469,STANDARD,0.0,1701.3883056640625,2018-01-01,5,R_A6,305.7004089355469,0,17,1.0
42,6,305.8475646972656,STANDARD,0.0,1702.9410400390625,2018-01-01,6,R_A6,305.8475646972656,0,17,1.0
42,7,305.6956481933594,STANDARD,0.0,1704.49365234375,2018-01-01,7,R_A6,305.6956481933594,0,17,1.0
42,8,305.8428039550781,STANDARD,0.0,1706.04638671875,2018-01-01,8,R_A6,305.8428039550781,0,17,1.0
42,9,306.28900146484375,STANDARD,0.0,1707.5992431640625,2018-01-01,9,R_A6,306.28900146484375,0,17,1.0
42,10,306.13037109375,STANDARD,0.0,1709.15185546875,2018-01-01,10,R_A6,306.13037109375,0,17,1.0
42,11,306.3133850097656,STANDARD,0.0,1711.0816650390625,2018-01-01,11,R_A6,306.3133850097656,0,17,1.0
42,12,306.5320129394531,STANDARD,0.0,1713.3883056640625,2018-01-01,12,R_A6,306.5320129394531,0,17,1.0
42,13,306.7625732421875,STANDARD,0.0,1715.695068359375,2018-01-01,13,R_A6,306.7625732421875,0,17,1.0
42,14,306.981201171875,STANDARD,0.0,1718.001708984375,2018-01-01,14,R_A6,306.981201171875,0,17,1.0
42,15,307.3448181152344,STANDARD,0.0,1720.3084716796875,2018-01-01,15,R_A6,307.3448181152344,0,17,1.0
42,16,307.5634460449219,STANDARD,0.0,1722.615234375,2018-01-01,16,R_A6,307.5634460449219,0,17,1.0
42,17,307.7820739746094,STANDARD,0.0,1724.921875,2018-01-01,17,R_A6,307.7820739746094,0,17,1.0
42,18,307.9322204589844,STANDARD,0.0,1726.5059814453125,2018-01-01,18,R_A6,307.9322204589844,0,17,1.0
42,29,307.8978271484375,STANDARD,0.0,1727.80078125,2018-01-01,19,R_A6,307.8978271484375,0,17,1.0
42,30,308.3674011230469,STANDARD,0.0,1729.5289306640625,2018-01-01,20,R_A6,308.3674011230469,0,17,1.0
42,31,308.53118896484375,STANDARD,0.0,1731.2569580078125,2018-01-01,21,R_A6,308.53118896484375,0,17,1.0
42,32,308.6949768066406,STANDARD,0.0,1732.985107421875,2018-01-01,22,R_A6,308.6949768066406,0,17,1.0
42,33,308.5530090332031,STANDARD,0.0,1734.7132568359375,2018-01-01,23,R_A6,308.5530090332031,0,17,1.0
30,1,298.3334655761719,STANDARD,0.0,1641.6656494140625,2018-03-01,1,R_A2,298.3334655761719,0,22,0.05676309019327164
30,2,298.4501953125,STANDARD,0.0,1643.407470703125,2018-03-01,2,R_A2,298.4501953125,0,22,0.06042494997382164
30,3,298.56695556640625,STANDARD,0.0,1645.149169921875,2018-03-01,3,R_A2,298.56695556640625,0,22,0.06344743818044662
30,4,298.68365478515625,STANDARD,0.0,1646.8909912109375,2018-03-01,4,R_A2,298.68365478515625,0,22,0.06794928014278412
30,5,298.8003845214844,STANDARD,0.0,1648.6326904296875,2018-03-01,5,R_A2,298.8003845214844,0,22,0.06985452026128769
30,6,298.90777587890625,STANDARD,0.0,1650.37451171875,2018-03-01,6,R_A2,298.90777587890625,0,22,0.6489384174346924
30,7,299.0386657714844,STANDARD,0.0,1652.1162109375,2018-03-01,7,R_A2,299.0386657714844,0,22,0.8904123306274414
30,8,299.1617736816406,STANDARD,0.0,1653.8580322265625,2018-03-01,8,R_A2,299.1617736816406,0,22,0.8769227266311646
30,9,299.4978942871094,STANDARD,0.0,1655.5997314453125,2018-03-01,9,R_A2,299.4978942871094,0,22,0.8995183706283569
30,10,299.8194885253906,STANDARD,0.0,1657.3414306640625,2018-03-01,10,R_A2,299.8194885253906,0,22,0.8995935320854187
30,11,300.045166015625,STANDARD,0.0,1659.2320556640625,2018-03-01,11,R_A2,300.045166015625,0,22,0.07574275135993958
