CONJPOS,CONIDX,PRESSURE,CONIPOS,SWAT,SGAS,WELLMODEL,DATE,WELL,DRAWDOWN,CONBPRES,CONKPOS,DEPTH
41,16,299.8641662597656,29,0.4975426495075226,0.0,STANDARD,2018-01-01,R_A3,0,299.8641662597656,15,1629.026611328125
41,17,299.992919921875,29,0.8084018230438232,0.0,STANDARD,2018-01-01,R_A3,0,299.992919921875,16,1630.9468994140625
41,18,300.16583251953125,29,1.0,0.0,STANDARD,2018-01-01,R_A3,0,300.16583251953125,27,1633.5262451171875
41,19,300.40966796875,29,0.04364456981420517,0.0,STANDARD,2018-01-01,R_A3,0,300.40966796875,28,1637.1630859375
41,20,300.6535339355469,29,0.05188838392496109,0.0,STANDARD,2018-01-01,R_A3,0,300.6535339355469,29,1640.8001708984375
41,21,300.89739990234375,29,1.0,0.0,STANDARD,2018-01-01,R_A3,0,300.89739990234375,30,1644.4371337890625
41,22,301.14129638671875,29,0.0641801506280899,0.0,STANDARD,2018-01-01,R_A3,0,301.14129638671875,31,1648.0740966796875
52,1,300.009033203125,30,0.05036125332117081,0.0,STANDARD,2018-01-01,R_A4,0,300.009033203125,1,1631.1873779296875
52,2,299.7571105957031,31,0.08347222208976746,0.0,STANDARD,2018-01-01,R_A4,0,299.7571105957031,1,1627.4293212890625
52,3,299.89520263671875,31,0.05255189538002014,0.0,STANDARD,2018-01-01,R_A4,0,299.89520263671875,2,1629.4896240234375
52,4,300.0333251953125,31,0.05367308482527733,0.0,STANDARD,2018-01-01,R_A4,0,300.0333251953125,3,1631.5498046875
52,5,300.17144775390625,31,0.05652542784810066,0.0,STANDARD,2018-01-01,R_A4,0,300.17144775390625,4,1633.610107421875
52,6,300.0901184082031,32,0.05670516937971115,0.0,STANDARD,2018-01-01,R_A4,0,300.0901184082031,4,1632.3968505859375
51,7,300.3236999511719,32,0.06039223074913025,0.0,STANDARD,2018-01-01,R_A4,0,300.3236999511719,4,1635.880615234375
51,8,300.4202575683594,33,0.062218718230724335,0.0,STANDARD,2018-01-01,R_A4,0,300.4202575683594,4,1637.321044921875
51,9,300.29644775390625,33,0.05870724841952324,0.0,STANDARD,2018-01-01,R_A4,0,300.29644775390625,3,1635.474609375
50,10,300.74395751953125,33,0.06312906742095947,0.0,STANDARD,2018-01-01,R_A4,0,300.74395751953125,4,1642.1485595703125
50,11,300.67578125,34,0.06255592405796051,0.0,STANDARD,2018-01-01,R_A4,0,300.67578125,4,1641.132080078125
50,12,300.5467224121094,34,0.1182539239525795,0.0,STANDARD,2018-01-01,R_A4,0,300.5467224121094,3,1639.20703125
50,13,300.66064453125,35,0.10039374977350235,0.0,STANDARD,2018-01-01,R_A4,0,300.66064453125,3,1640.9061279296875
50,14,300.53570556640625,35,0.18232817947864532,0.0,STANDARD,2018-01-01,R_A4,0,300.53570556640625,2,1639.0426025390625
49,15,300.72943115234375,35,0.23937761783599854,0.0,STANDARD,2018-01-01,R_A4,0,300.72943115234375,2,1641.93212890625
49,16,300.7579650878906,36,0.05827876925468445,0.0,STANDARD,2018-01-01,R_A4,0,300.7579650878906,30,1642.357421875
48,17,300.5735168457031,36,0.6481541991233826,0.0,STANDARD,2018-01-01,R_A4,0,300.5735168457031,30,1639.6068115234375
48,18,301.0526123046875,37,0.05980163440108299,0.0,STANDARD,2018-01-01,R_A4,0,301.0526123046875,30,1646.7513427734375
48,19,301.5025939941406,38,0.10777666419744492,0.0,STANDARD,2018-01-01,R_A4,0,301.5025939941406,30,1653.461669921875
47,20,301.7947998046875,38,0.07282351702451706,0.0,STANDARD,2018-01-01,R_A4,0,301.7947998046875,30,1657.8184814453125
20,1,303.8440856933594,31,1.0,0.0,STANDARD,2018-01-01,R_A5,0,303.8440856933594,1,1685.026611328125
20,2,304.0601806640625,31,1.0,0.0,STANDARD,2018-01-01,R_A5,0,304.0601806640625,2,1687.3070068359375
20,3,304.27630615234375,31,1.0,0.0,STANDARD,2018-01-01,R_A5,0,304.27630615234375,3,1689.5875244140625
