DRAWDOWN,CONIPOS,DEPTH,DATE,CONJPOS,WELLMODEL,CONKPOS,SGAS,PRESSURE,CONIDX,SWAT,CONBPRES,WELL
0,29,1643.974853515625,2018-01-01,41,STANDARD,30,0.0,300.8550720214844,21,1.0,300.8550720214844,R_A3
0,29,1647.5028076171875,2018-01-01,41,STANDARD,31,0.0,301.0916442871094,22,0.06485391408205032,301.0916442871094,R_A3
0,30,1632.09228515625,2018-01-01,52,STANDARD,1,0.0,300.058349609375,1,0.053256165236234665,300.058349609375,R_A4
0,31,1625.806884765625,2018-01-01,52,STANDARD,1,0.0,299.6369934082031,2,0.051979441195726395,299.6369934082031,R_A4
0,31,1627.8477783203125,2018-01-01,52,STANDARD,2,0.0,299.7738037109375,3,0.050655342638492584,299.7738037109375,R_A4
0,31,1629.888671875,2018-01-01,52,STANDARD,3,0.0,299.91064453125,4,0.05150817334651947,299.91064453125,R_A4
0,31,1631.9295654296875,2018-01-01,52,STANDARD,4,0.0,300.0474548339844,5,0.0535975843667984,300.0474548339844,R_A4
0,31,1633.970458984375,2018-01-01,52,STANDARD,5,0.0,300.1842956542969,6,0.05566493421792984,300.1842956542969,R_A4
0,32,1630.756591796875,2018-01-01,52,STANDARD,5,0.0,299.96881103515625,7,0.0548727847635746,299.96881103515625,R_A4
0,32,1632.5849609375,2018-01-01,52,STANDARD,6,0.0,300.0914001464844,8,0.05657299980521202,300.0914001464844,R_A4
0,32,1637.417236328125,2018-01-01,51,STANDARD,6,0.0,300.4153747558594,9,0.060485269874334335,300.4153747558594,R_A4
0,32,1635.6346435546875,2018-01-01,51,STANDARD,5,0.0,300.2958679199219,10,0.05935871973633766,300.2958679199219,R_A4
0,33,1636.64404296875,2018-01-01,51,STANDARD,5,0.0,300.363525390625,11,0.06014837324619293,300.363525390625,R_A4
0,33,1634.867919921875,2018-01-01,51,STANDARD,4,0.0,300.24444580078125,12,0.05846741423010826,300.24444580078125,R_A4
0,33,1640.55712890625,2018-01-01,50,STANDARD,4,0.0,300.62591552734375,13,0.24856369197368622,300.62591552734375,R_A4
0,34,1640.04736328125,2018-01-01,50,STANDARD,4,0.0,300.59173583984375,14,0.6481541991233826,300.59173583984375,R_A4
0,35,1641.490966796875,2018-01-01,50,STANDARD,4,0.0,300.6885070800781,15,0.881416916847229,300.6885070800781,R_A4
0,35,1639.71142578125,2018-01-01,50,STANDARD,3,0.0,300.5692138671875,16,0.27107709646224976,300.5692138671875,R_A4
0,35,1643.8104248046875,2018-01-01,49,STANDARD,3,0.0,300.84405517578125,17,0.24163275957107544,300.84405517578125,R_A4
0,35,1642.003173828125,2018-01-01,49,STANDARD,2,0.0,300.7228698730469,18,0.23997579514980316,300.7228698730469,R_A4
0,35,1640.19580078125,2018-01-01,49,STANDARD,1,0.0,300.6016845703125,19,0.3114115595817566,300.6016845703125,R_A4
0,36,1645.1961669921875,2018-01-01,49,STANDARD,30,0.0,300.9369812011719,20,0.06015133857727051,300.9369812011719,R_A4
0,36,1642.9918212890625,2018-01-01,48,STANDARD,30,0.0,300.7891540527344,21,0.15526236593723297,300.7891540527344,R_A4
0,37,1648.4432373046875,2018-01-01,48,STANDARD,30,0.0,301.15472412109375,22,0.2788965702056885,301.15472412109375,R_A4
0,38,1651.37646484375,2018-01-01,48,STANDARD,30,0.0,301.3514099121094,23,0.7228348255157471,301.3514099121094,R_A4
0,38,1656.17138671875,2018-01-01,47,STANDARD,30,0.0,301.6730041503906,24,0.6481541991233826,301.6730041503906,R_A4
0,31,1683.4813232421875,2018-01-01,20,STANDARD,1,0.0,303.6976623535156,1,1.0,303.6976623535156,R_A5
0,31,1685.68310546875,2018-01-01,20,STANDARD,2,0.0,303.90631103515625,2,1.0,303.90631103515625,R_A5
0,31,1687.885009765625,2018-01-01,20,STANDARD,3,0.0,304.1149597167969,3,1.0,304.1149597167969,R_A5
0,31,1690.0867919921875,2018-01-01,20,STANDARD,4,0.0,304.3236083984375,4,1.0,304.3236083984375,R_A5
0,31,1692.28857421875,2018-01-01,20,STANDARD,5,0.0,304.5322570800781,5,1.0,304.5322570800781,R_A5
0,31,1694.490478515625,2018-01-01,20,STANDARD,6,0.0,304.7409362792969,6,1.0,304.7409362792969,R_A5
0,31,1696.6922607421875,2018-01-01,20,STANDARD,7,0.0,305.25537109375,7,1.0,305.25537109375,R_A5
0,31,1698.89404296875,2018-01-01,20,STANDARD,8,0.0,305.4640197753906,8,1.0,305.4640197753906,R_A5
0,31,1701.96240234375,2018-01-01,21,STANDARD,11,0.0,305.4491271972656,9,1.0,305.4491271972656,R_A5
0,31,1703.8228759765625,2018-01-01,21,STANDARD,12,0.0,305.6254577636719,10,1.0,305.6254577636719,R_A5
0,31,1705.683349609375,2018-01-01,21,STANDARD,13,0.0,305.8137512207031,11,1.0,305.8137512207031,R_A5
0,31,1707.5439453125,2018-01-01,21,STANDARD,14,0.0,305.9900817871094,12,1.0,305.9900817871094,R_A5
0,31,1709.404541015625,2018-01-01,21,STANDARD,15,0.0,306.1664123535156,13,1.0,306.1664123535156,R_A5
0,31,1711.26513671875,2018-01-01,21,STANDARD,16,0.0,306.48773193359375,14,1.0,306.48773193359375,R_A5
0,31,1713.1256103515625,2018-01-01,21,STANDARD,17,0.0,306.6640625,15,1.0,306.6640625,R_A5
0,31,1714.88330078125,2018-01-01,21,STANDARD,18,0.0,306.8306579589844,16,1.0,306.8306579589844,R_A5
