SGAS,CONBPRES,PRESSURE,DRAWDOWN,CONKPOS,CONJPOS,DEPTH,SWAT,WELL,CONIDX,DATE,WELLMODEL,CONIPOS
0.0,301.2488098144531,301.2488098144531,0,29,48,1647.8095703125,0.20790725946426392,R_A4,20,2018-01-01,STANDARD,37
0.0,301.5120544433594,301.5120544433594,0,29,48,1651.734619140625,0.09972663968801498,R_A4,21,2018-01-01,STANDARD,38
0.0,301.99725341796875,301.99725341796875,0,29,47,1658.968994140625,1.0,R_A4,22,2018-01-01,STANDARD,38
0.0,303.9386901855469,303.9386901855469,0,1,20,1686.0247802734375,1.0,R_A5,1,2018-01-01,STANDARD,31
0.0,304.1446838378906,304.1446838378906,0,2,20,1688.19873046875,1.0,R_A5,2,2018-01-01,STANDARD,31
0.0,304.3507080078125,304.3507080078125,0,3,20,1690.3726806640625,1.0,R_A5,3,2018-01-01,STANDARD,31
0.0,304.5567321777344,304.5567321777344,0,4,20,1692.546630859375,1.0,R_A5,4,2018-01-01,STANDARD,31
0.0,304.76275634765625,304.76275634765625,0,5,20,1694.720703125,1.0,R_A5,5,2018-01-01,STANDARD,31
0.0,304.96875,304.96875,0,6,20,1696.8946533203125,1.0,R_A5,6,2018-01-01,STANDARD,31
0.0,305.4805603027344,305.4805603027344,0,7,20,1699.068603515625,1.0,R_A5,7,2018-01-01,STANDARD,31
0.0,305.68658447265625,305.68658447265625,0,8,20,1701.24267578125,1.0,R_A5,8,2018-01-01,STANDARD,31
0.0,305.2222595214844,305.2222595214844,0,11,21,1699.5682373046875,1.0,R_A5,9,2018-01-01,STANDARD,31
0.0,305.412841796875,305.412841796875,0,12,21,1701.5794677734375,1.0,R_A5,10,2018-01-01,STANDARD,31
0.0,305.61541748046875,305.61541748046875,0,13,21,1703.5906982421875,1.0,R_A5,11,2018-01-01,STANDARD,31
0.0,305.8060302734375,305.8060302734375,0,14,21,1705.6019287109375,1.0,R_A5,12,2018-01-01,STANDARD,31
0.0,305.99664306640625,305.99664306640625,0,15,21,1707.613037109375,1.0,R_A5,13,2018-01-01,STANDARD,31
0.0,306.3322448730469,306.3322448730469,0,16,21,1709.6243896484375,1.0,R_A5,14,2018-01-01,STANDARD,31
0.0,306.5228576660156,306.5228576660156,0,17,21,1711.6356201171875,1.0,R_A5,15,2018-01-01,STANDARD,31
0.0,306.67047119140625,306.67047119140625,0,18,21,1713.193115234375,1.0,R_A5,16,2018-01-01,STANDARD,31
0.0,306.742919921875,306.742919921875,0,19,21,1713.9573974609375,1.0,R_A5,17,2018-01-01,STANDARD,31
0.0,306.71551513671875,306.71551513671875,0,26,21,1715.325927734375,1.0,R_A5,18,2018-01-01,STANDARD,31
0.0,306.9346618652344,306.9346618652344,0,27,21,1717.63818359375,1.0,R_A5,19,2018-01-01,STANDARD,31
0.0,307.4595947265625,307.4595947265625,0,28,21,1719.9505615234375,1.0,R_A5,20,2018-01-01,STANDARD,31
0.0,307.6787414550781,307.6787414550781,0,29,21,1722.2628173828125,1.0,R_A5,21,2018-01-01,STANDARD,31
0.0,307.89788818359375,307.89788818359375,0,30,21,1724.5751953125,1.0,R_A5,22,2018-01-01,STANDARD,31
0.0,304.980224609375,304.980224609375,0,1,42,1693.7886962890625,1.0,R_A6,1,2018-01-01,STANDARD,17
0.0,305.125,305.125,0,2,42,1695.316650390625,1.0,R_A6,2,2018-01-01,STANDARD,17
0.0,305.2698059082031,305.2698059082031,0,3,42,1696.8447265625,1.0,R_A6,3,2018-01-01,STANDARD,17
0.0,305.41461181640625,305.41461181640625,0,4,42,1698.3726806640625,1.0,R_A6,4,2018-01-01,STANDARD,17
0.0,305.5594177246094,305.5594177246094,0,5,42,1699.900634765625,1.0,R_A6,5,2018-01-01,STANDARD,17
0.0,305.7042236328125,305.7042236328125,0,6,42,1701.4287109375,1.0,R_A6,6,2018-01-01,STANDARD,17
0.0,305.54998779296875,305.54998779296875,0,7,42,1702.9566650390625,1.0,R_A6,7,2018-01-01,STANDARD,17
0.0,305.6947937011719,305.6947937011719,0,8,42,1704.484619140625,1.0,R_A6,8,2018-01-01,STANDARD,17
0.0,306.1386413574219,306.1386413574219,0,9,42,1706.0126953125,1.0,R_A6,9,2018-01-01,STANDARD,17
0.0,306.2834777832031,306.2834777832031,0,10,42,1707.5406494140625,1.0,R_A6,10,2018-01-01,STANDARD,17
0.0,306.1579284667969,306.1579284667969,0,11,42,1709.4415283203125,1.0,R_A6,11,2018-01-01,STANDARD,17
0.0,306.3734130859375,306.3734130859375,0,12,42,1711.715087890625,1.0,R_A6,12,2018-01-01,STANDARD,17
