DEPTH,PRESSURE,WELLMODEL,CONIDX,DATE,DRAWDOWN,CONIPOS,CONKPOS,CONJPOS,CONBPRES,SWAT,WELL,SGAS
1613.46630859375,298.8211669921875,STANDARD,9,2018-01-01,0,29,8,41,298.8211669921875,0.1995648592710495,R_A3,0.0
1615.516357421875,298.95855712890625,STANDARD,10,2018-01-01,0,29,9,41,298.95855712890625,0.7997170090675354,R_A3,0.0
1617.5662841796875,299.095947265625,STANDARD,11,2018-01-01,0,29,10,41,299.095947265625,0.8015515208244324,R_A3,0.0
1619.750732421875,299.24237060546875,STANDARD,12,2018-01-01,0,29,11,41,299.24237060546875,0.04906727373600006,R_A3,0.0
1622.0697021484375,299.3978271484375,STANDARD,13,2018-01-01,0,29,12,41,299.3978271484375,0.05435820296406746,R_A3,0.0
1624.388671875,299.5532531738281,STANDARD,14,2018-01-01,0,29,13,41,299.5532531738281,0.36790597438812256,R_A3,0.0
1629.026611328125,299.8641662597656,STANDARD,15,2018-01-01,0,29,15,41,299.8641662597656,0.5019171237945557,R_A3,0.0
1630.9468994140625,299.992919921875,STANDARD,16,2018-01-01,0,29,16,41,299.992919921875,0.8088846802711487,R_A3,0.0
1633.5262451171875,300.16583251953125,STANDARD,17,2018-01-01,0,29,27,41,300.16583251953125,0.6481541991233826,R_A3,0.0
1637.1630859375,300.40966796875,STANDARD,18,2018-01-01,0,29,28,41,300.40966796875,0.04671987146139145,R_A3,0.0
1640.8001708984375,300.6535339355469,STANDARD,19,2018-01-01,0,29,29,41,300.6535339355469,0.052011314779520035,R_A3,0.0
1644.4371337890625,300.89739990234375,STANDARD,20,2018-01-01,0,29,30,41,300.89739990234375,0.6723677515983582,R_A3,0.0
1648.0740966796875,301.14129638671875,STANDARD,21,2018-01-01,0,29,31,41,301.14129638671875,0.06565839052200317,R_A3,0.0
1631.1873779296875,300.009033203125,STANDARD,1,2018-01-01,0,30,1,52,300.009033203125,0.05159545689821243,R_A4,0.0
1627.4293212890625,299.7571105957031,STANDARD,2,2018-01-01,0,31,1,52,299.7571105957031,0.049295369535684586,R_A4,0.0
1629.4896240234375,299.89520263671875,STANDARD,3,2018-01-01,0,31,2,52,299.89520263671875,0.05215280130505562,R_A4,0.0
1631.5498046875,300.0333251953125,STANDARD,4,2018-01-01,0,31,3,52,300.0333251953125,0.054117489606142044,R_A4,0.0
1633.610107421875,300.17144775390625,STANDARD,5,2018-01-01,0,31,4,52,300.17144775390625,0.05574403703212738,R_A4,0.0
1632.3968505859375,300.0901184082031,STANDARD,6,2018-01-01,0,32,4,52,300.0901184082031,0.05757410079240799,R_A4,0.0
1635.880615234375,300.3236999511719,STANDARD,7,2018-01-01,0,32,4,51,300.3236999511719,0.05810001865029335,R_A4,0.0
1637.321044921875,300.4202575683594,STANDARD,8,2018-01-01,0,33,4,51,300.4202575683594,0.06064717099070549,R_A4,0.0
1635.474609375,300.29644775390625,STANDARD,9,2018-01-01,0,33,3,51,300.29644775390625,0.058206330984830856,R_A4,0.0
1642.1485595703125,300.74395751953125,STANDARD,10,2018-01-01,0,33,4,50,300.74395751953125,0.2798222005367279,R_A4,0.0
1641.132080078125,300.67578125,STANDARD,11,2018-01-01,0,34,4,50,300.67578125,0.6481541991233826,R_A4,0.0
1639.20703125,300.5467224121094,STANDARD,12,2018-01-01,0,34,3,50,300.5467224121094,0.09663576632738113,R_A4,0.0
1640.9061279296875,300.66064453125,STANDARD,13,2018-01-01,0,35,3,50,300.66064453125,0.16213864088058472,R_A4,0.0
1639.0426025390625,300.53570556640625,STANDARD,14,2018-01-01,0,35,2,50,300.53570556640625,0.18770018219947815,R_A4,0.0
1641.93212890625,300.72943115234375,STANDARD,15,2018-01-01,0,35,2,49,300.72943115234375,0.2386992871761322,R_A4,0.0
1642.357421875,300.7579650878906,STANDARD,16,2018-01-01,0,36,30,49,300.7579650878906,0.09703515470027924,R_A4,0.0
1639.6068115234375,300.5735168457031,STANDARD,17,2018-01-01,0,36,30,48,300.5735168457031,0.05722138658165932,R_A4,0.0
1646.7513427734375,301.0526123046875,STANDARD,18,2018-01-01,0,37,30,48,301.0526123046875,0.06256399303674698,R_A4,0.0
1653.461669921875,301.5025939941406,STANDARD,19,2018-01-01,0,38,30,48,301.5025939941406,0.6481541991233826,R_A4,0.0
1657.8184814453125,301.7947998046875,STANDARD,20,2018-01-01,0,38,30,47,301.7947998046875,0.17424188554286957,R_A4,0.0
1685.026611328125,303.8440856933594,STANDARD,1,2018-01-01,0,31,1,20,303.8440856933594,1.0,R_A5,0.0
1687.3070068359375,304.0601806640625,STANDARD,2,2018-01-01,0,31,2,20,304.0601806640625,1.0,R_A5,0.0
1689.5875244140625,304.27630615234375,STANDARD,3,2018-01-01,0,31,3,20,304.27630615234375,1.0,R_A5,0.0
1691.8680419921875,304.4924011230469,STANDARD,4,2018-01-01,0,31,4,20,304.4924011230469,1.0,R_A5,0.0
1694.1485595703125,304.7085266113281,STANDARD,5,2018-01-01,0,31,5,20,304.7085266113281,1.0,R_A5,0.0
1696.4290771484375,304.9246520996094,STANDARD,6,2018-01-01,0,31,6,20,304.9246520996094,1.0,R_A5,0.0
1698.70947265625,305.446533203125,STANDARD,7,2018-01-01,0,31,7,20,305.446533203125,1.0,R_A5,0.0
1707.6488037109375,305.988037109375,STANDARD,8,2018-01-01,0,31,11,20,305.988037109375,1.0,R_A5,0.0
1709.5638427734375,306.1695251464844,STANDARD,9,2018-01-01,0,31,12,20,306.1695251464844,1.0,R_A5,0.0
1701.7845458984375,305.4322814941406,STANDARD,10,2018-01-01,0,31,12,21,305.4322814941406,1.0,R_A5,0.0
1703.735107421875,305.6291198730469,STANDARD,11,2018-01-01,0,31,13,21,305.6291198730469,1.0,R_A5,0.0
1705.6856689453125,305.81396484375,STANDARD,12,2018-01-01,0,31,14,21,305.81396484375,1.0,R_A5,0.0
1707.63623046875,305.9988098144531,STANDARD,13,2018-01-01,0,31,15,21,305.9988098144531,1.0,R_A5,0.0
1709.5867919921875,306.3287048339844,STANDARD,14,2018-01-01,0,31,16,21,306.3287048339844,1.0,R_A5,0.0
1711.537353515625,306.5135498046875,STANDARD,15,2018-01-01,0,31,17,21,306.5135498046875,1.0,R_A5,0.0
1713.35400390625,306.6856994628906,STANDARD,16,2018-01-01,0,31,18,21,306.6856994628906,1.0,R_A5,0.0
1714.3951416015625,306.7843933105469,STANDARD,17,2018-01-01,0,31,19,21,306.7843933105469,1.0,R_A5,0.0
1715.7628173828125,306.75689697265625,STANDARD,18,2018-01-01,0,31,27,21,306.75689697265625,1.0,R_A5,0.0
1718.098388671875,306.978271484375,STANDARD,19,2018-01-01,0,31,28,21,306.978271484375,1.0,R_A5,0.0
1720.43408203125,307.5054016113281,STANDARD,20,2018-01-01,0,31,29,21,307.5054016113281,1.0,R_A5,0.0
1722.7696533203125,307.7267761230469,STANDARD,21,2018-01-01,0,31,30,21,307.7267761230469,1.0,R_A5,0.0
1725.105224609375,307.9481506347656,STANDARD,22,2018-01-01,0,31,31,21,307.9481506347656,1.0,R_A5,0.0
1695.20263671875,305.11419677734375,STANDARD,1,2018-01-01,0,17,1,42,305.11419677734375,1.0,R_A6,0.0
1696.7510986328125,305.2609558105469,STANDARD,2,2018-01-01,0,17,2,42,305.2609558105469,1.0,R_A6,0.0
1698.299560546875,305.4076843261719,STANDARD,3,2018-01-01,0,17,3,42,305.4076843261719,1.0,R_A6,0.0
1699.84814453125,305.554443359375,STANDARD,4,2018-01-01,0,17,4,42,305.554443359375,1.0,R_A6,0.0
1701.3966064453125,305.7012023925781,STANDARD,5,2018-01-01,0,17,5,42,305.7012023925781,1.0,R_A6,0.0
1702.9451904296875,305.84796142578125,STANDARD,6,2018-01-01,0,17,6,42,305.84796142578125,1.0,R_A6,0.0
1704.49365234375,305.6956481933594,STANDARD,7,2018-01-01,0,17,7,42,305.6956481933594,1.0,R_A6,0.0
1706.042236328125,306.1414489746094,STANDARD,8,2018-01-01,0,17,8,42,306.1414489746094,1.0,R_A6,0.0
1707.5906982421875,306.2882080078125,STANDARD,9,2018-01-01,0,17,9,42,306.2882080078125,1.0,R_A6,0.0
1709.1392822265625,306.1291809082031,STANDARD,10,2018-01-01,0,17,10,42,306.1291809082031,1.0,R_A6,0.0
1711.055419921875,306.3109130859375,STANDARD,11,2018-01-01,0,17,11,42,306.3109130859375,1.0,R_A6,0.0
1713.3392333984375,306.52734375,STANDARD,12,2018-01-01,0,17,12,42,306.52734375,1.0,R_A6,0.0
1715.623046875,306.7557678222656,STANDARD,13,2018-01-01,0,17,13,42,306.7557678222656,1.0,R_A6,0.0
1717.9068603515625,306.9721984863281,STANDARD,14,2018-01-01,0,17,14,42,306.9721984863281,1.0,R_A6,0.0
1720.190673828125,307.18865966796875,STANDARD,15,2018-01-01,0,17,15,42,307.18865966796875,1.0,R_A6,0.0
1722.474365234375,307.55010986328125,STANDARD,16,2018-01-01,0,17,16,42,307.55010986328125,1.0,R_A6,0.0
1724.7581787109375,307.7665710449219,STANDARD,17,2018-01-01,0,17,17,42,307.7665710449219,1.0,R_A6,0.0
1726.394287109375,307.921630859375,STANDARD,18,2018-01-01,0,17,18,42,307.921630859375,1.0,R_A6,0.0
1727.7508544921875,307.8930969238281,STANDARD,19,2018-01-01,0,17,27,42,307.8930969238281,1.0,R_A6,0.0
1729.4755859375,308.3623352050781,STANDARD,20,2018-01-01,0,17,28,42,308.3623352050781,1.0,R_A6,0.0
1731.2001953125,308.52581787109375,STANDARD,21,2018-01-01,0,17,29,42,308.52581787109375,1.0,R_A6,0.0
1732.9249267578125,308.68927001953125,STANDARD,22,2018-01-01,0,17,30,42,308.68927001953125,1.0,R_A6,0.0
1734.649658203125,308.5469665527344,STANDARD,23,2018-01-01,0,17,31,42,308.5469665527344,1.0,R_A6,0.0
1641.094970703125,298.3619079589844,STANDARD,1,2018-03-01,0,22,1,30,298.3619079589844,0.05674484372138977,R_A2,0.0
1642.8890380859375,298.48211669921875,STANDARD,2,2018-03-01,0,22,2,30,298.48211669921875,0.05778892710804939,R_A2,0.0
1644.68310546875,298.60235595703125,STANDARD,3,2018-03-01,0,22,3,30,298.60235595703125,0.06004880368709564,R_A2,0.0
1646.4771728515625,298.72259521484375,STANDARD,4,2018-03-01,0,22,4,30,298.72259521484375,0.06771964579820633,R_A2,0.0
1648.2713623046875,298.84283447265625,STANDARD,5,2018-03-01,0,22,5,30,298.84283447265625,0.06893454492092133,R_A2,0.0
1650.0654296875,298.9803161621094,STANDARD,6,2018-03-01,0,22,6,30,298.9803161621094,0.31065621972084045,R_A2,0.0
1651.859619140625,299.10968017578125,STANDARD,7,2018-03-01,0,22,7,30,299.10968017578125,0.8913176655769348,R_A2,0.0
1653.6536865234375,299.2359313964844,STANDARD,8,2018-03-01,0,22,8,30,299.2359313964844,0.8773499131202698,R_A2,0.0
1655.44775390625,299.51153564453125,STANDARD,9,2018-03-01,0,22,9,30,299.51153564453125,0.9037758708000183,R_A2,0.0
1657.2418212890625,299.77703857421875,STANDARD,10,2018-03-01,0,22,10,30,299.77703857421875,0.9149131774902344,R_A2,0.0
1659.1368408203125,299.8758239746094,STANDARD,11,2018-03-01,0,22,11,30,299.8758239746094,0.07620073109865189,R_A2,0.0
1661.132568359375,300.0083312988281,STANDARD,12,2018-03-01,0,22,12,30,300.0083312988281,0.07750057429075241,R_A2,0.0
1663.12841796875,300.16497802734375,STANDARD,13,2018-03-01,0,22,13,30,300.16497802734375,0.46198731660842896,R_A2,0.0
1665.1241455078125,300.3016357421875,STANDARD,14,2018-03-01,0,22,14,30,300.3016357421875,0.5060665607452393,R_A2,0.0
1667.1199951171875,300.43878173828125,STANDARD,15,2018-03-01,0,22,15,30,300.43878173828125,0.6888588666915894,R_A2,0.0
1669.11572265625,300.5730285644531,STANDARD,16,2018-03-01,0,22,16,30,300.5730285644531,0.9703997373580933,R_A2,0.0
1671.111572265625,300.7073974609375,STANDARD,17,2018-03-01,0,22,17,30,300.7073974609375,0.9495916962623596,R_A2,0.0
