CONIPOS,PRESSURE,DATE,DEPTH,CONBPRES,DRAWDOWN,CONJPOS,CONKPOS,SGAS,CONIDX,SWAT,WELL,WELLMODEL
29,298.85174560546875,2018-01-01,1612.046630859375,298.85174560546875,0,41,7,0.0,8,0.19427818059921265,R_A3,STANDARD
29,298.998046875,2018-01-01,1614.2294921875,298.998046875,0,41,8,0.0,9,0.19404055178165436,R_A3,STANDARD
29,299.1443786621094,2018-01-01,1616.4124755859375,299.1443786621094,0,41,9,0.0,10,0.7929503321647644,R_A3,STANDARD
29,299.2906799316406,2018-01-01,1618.595458984375,299.2906799316406,0,41,10,0.0,11,0.7938640117645264,R_A3,STANDARD
29,299.44049072265625,2018-01-01,1620.8304443359375,299.44049072265625,0,41,11,0.0,12,0.04773302748799324,R_A3,STANDARD
29,299.5937805175781,2018-01-01,1623.1173095703125,299.5937805175781,0,41,12,0.0,13,0.051538821309804916,R_A3,STANDARD
29,299.7471008300781,2018-01-01,1625.4041748046875,299.7471008300781,0,41,13,0.0,14,0.36244121193885803,R_A3,STANDARD
29,299.900390625,2018-01-01,1627.6910400390625,299.900390625,0,41,14,0.0,15,0.048701874911785126,R_A3,STANDARD
29,300.0537109375,2018-01-01,1629.9779052734375,300.0537109375,0,41,15,0.0,16,0.503363847732544,R_A3,STANDARD
29,300.19140625,2018-01-01,1632.0318603515625,300.19140625,0,41,16,0.0,17,0.8042734265327454,R_A3,STANDARD
29,300.3790588378906,2018-01-01,1634.8304443359375,300.3790588378906,0,41,26,0.0,18,0.393327534198761,R_A3,STANDARD
29,300.6195983886719,2018-01-01,1638.4178466796875,300.6195983886719,0,41,27,0.0,19,0.04386133700609207,R_A3,STANDARD
29,300.8601379394531,2018-01-01,1642.0052490234375,300.8601379394531,0,41,28,0.0,20,0.04895779490470886,R_A3,STANDARD
29,301.1007080078125,2018-01-01,1645.5926513671875,301.1007080078125,0,41,29,0.0,21,0.27530622482299805,R_A3,STANDARD
29,301.3412780761719,2018-01-01,1649.179931640625,301.3412780761719,0,41,30,0.0,22,0.059248097240924835,R_A3,STANDARD
30,300.2723388671875,2018-01-01,1633.2388916015625,300.2723388671875,0,52,1,0.0,1,0.05099264904856682,R_A4,STANDARD
31,299.8936767578125,2018-01-01,1627.5904541015625,299.8936767578125,0,52,1,0.0,2,0.04871320724487305,R_A4,STANDARD
31,300.0308532714844,2018-01-01,1629.636962890625,300.0308532714844,0,52,2,0.0,3,0.04905571788549423,R_A4,STANDARD
31,300.1680603027344,2018-01-01,1631.6834716796875,300.1680603027344,0,52,3,0.0,4,0.05069362372159958,R_A4,STANDARD
31,300.3052673339844,2018-01-01,1633.7301025390625,300.3052673339844,0,52,4,0.0,5,0.05429966002702713,R_A4,STANDARD
32,300.2325439453125,2018-01-01,1632.6453857421875,300.2325439453125,0,52,4,0.0,6,0.05460403859615326,R_A4,STANDARD
32,300.4948425292969,2018-01-01,1636.5574951171875,300.4948425292969,0,51,4,0.0,7,0.05736901983618736,R_A4,STANDARD
32,300.3719177246094,2018-01-01,1634.72412109375,300.3719177246094,0,51,3,0.0,8,0.11362536251544952,R_A4,STANDARD
33,300.45611572265625,2018-01-01,1635.979736328125,300.45611572265625,0,51,3,0.0,9,0.14294424653053284,R_A4,STANDARD
33,300.5808410644531,2018-01-01,1637.8399658203125,300.5808410644531,0,51,4,0.0,10,0.05898922309279442,R_A4,STANDARD
33,300.81158447265625,2018-01-01,1641.2811279296875,300.81158447265625,0,50,4,0.0,11,0.059573568403720856,R_A4,STANDARD
34,300.7205810546875,2018-01-01,1639.9239501953125,300.7205810546875,0,50,4,0.0,12,0.0577024444937706,R_A4,STANDARD
35,300.8021240234375,2018-01-01,1641.1402587890625,300.8021240234375,0,50,4,0.0,13,0.05847388133406639,R_A4,STANDARD
35,300.6794738769531,2018-01-01,1639.3111572265625,300.6794738769531,0,50,3,0.0,14,0.2254341095685959,R_A4,STANDARD
35,300.8857116699219,2018-01-01,1642.3865966796875,300.8857116699219,0,49,3,0.0,15,0.22825263440608978,R_A4,STANDARD
35,300.7643737792969,2018-01-01,1640.5771484375,300.7643737792969,0,49,2,0.0,16,0.2271605134010315,R_A4,STANDARD
36,300.8824462890625,2018-01-01,1642.337890625,300.8824462890625,0,49,29,0.0,17,0.056271057575941086,R_A4,STANDARD
36,300.8231506347656,2018-01-01,1641.4534912109375,300.8231506347656,0,48,29,0.0,18,0.05346649885177612,R_A4,STANDARD
37,301.258056640625,2018-01-01,1647.93896484375,301.258056640625,0,48,29,0.0,19,0.05616213008761406,R_A4,STANDARD
38,301.5961608886719,2018-01-01,1652.980712890625,301.5961608886719,0,48,29,0.0,20,0.09085939079523087,R_A4,STANDARD
38,301.9322204589844,2018-01-01,1657.9913330078125,301.9322204589844,0,47,29,0.0,21,0.2559741139411926,R_A4,STANDARD
31,303.8690490722656,2018-01-01,1685.2900390625,303.8690490722656,0,20,1,0.0,1,1.0,R_A5,STANDARD
31,304.070068359375,2018-01-01,1687.4111328125,304.070068359375,0,20,2,0.0,2,1.0,R_A5,STANDARD
31,304.27105712890625,2018-01-01,1689.5322265625,304.27105712890625,0,20,3,0.0,3,1.0,R_A5,STANDARD
31,304.4720764160156,2018-01-01,1691.6533203125,304.4720764160156,0,20,4,0.0,4,1.0,R_A5,STANDARD
31,304.6730651855469,2018-01-01,1693.7744140625,304.6730651855469,0,20,5,0.0,5,1.0,R_A5,STANDARD
31,304.87408447265625,2018-01-01,1695.8955078125,304.87408447265625,0,20,6,0.0,6,1.0,R_A5,STANDARD
31,305.3808898925781,2018-01-01,1698.0166015625,305.3808898925781,0,20,7,0.0,7,1.0,R_A5,STANDARD
31,305.5818786621094,2018-01-01,1700.1376953125,305.5818786621094,0,20,8,0.0,8,1.0,R_A5,STANDARD
31,305.0097351074219,2018-01-01,1694.100341796875,305.0097351074219,0,21,8,0.0,9,1.0,R_A5,STANDARD
31,305.2286376953125,2018-01-01,1696.41015625,305.2286376953125,0,21,9,0.0,10,1.0,R_A5,STANDARD
31,305.4475402832031,2018-01-01,1698.719970703125,305.4475402832031,0,21,10,0.0,11,1.0,R_A5,STANDARD
31,305.347900390625,2018-01-01,1700.89404296875,305.347900390625,0,21,11,0.0,12,1.0,R_A5,STANDARD
31,305.54107666015625,2018-01-01,1702.9324951171875,305.54107666015625,0,21,12,0.0,13,1.0,R_A5,STANDARD
31,305.7462158203125,2018-01-01,1704.970947265625,305.7462158203125,0,21,13,0.0,14,1.0,R_A5,STANDARD
31,305.93939208984375,2018-01-01,1707.00927734375,305.93939208984375,0,21,14,0.0,15,1.0,R_A5,STANDARD
31,306.1325988769531,2018-01-01,1709.0477294921875,306.1325988769531,0,21,15,0.0,16,1.0,R_A5,STANDARD
31,306.4707946777344,2018-01-01,1711.086181640625,306.4707946777344,0,21,16,0.0,17,1.0,R_A5,STANDARD
31,306.6607360839844,2018-01-01,1713.0904541015625,306.6607360839844,0,21,17,0.0,18,1.0,R_A5,STANDARD
31,306.7793884277344,2018-01-01,1714.342529296875,306.7793884277344,0,21,18,0.0,19,1.0,R_A5,STANDARD
31,306.8239440917969,2018-01-01,1714.8125,306.8239440917969,0,21,19,0.0,20,1.0,R_A5,STANDARD
31,306.79144287109375,2018-01-01,1716.126953125,306.79144287109375,0,21,26,0.0,21,1.0,R_A5,STANDARD
31,307.3078918457031,2018-01-01,1718.349853515625,307.3078918457031,0,21,27,0.0,22,1.0,R_A5,STANDARD
31,307.5185546875,2018-01-01,1720.5726318359375,307.5185546875,0,21,28,0.0,23,1.0,R_A5,STANDARD
31,307.7292175292969,2018-01-01,1722.79541015625,307.7292175292969,0,21,29,0.0,24,1.0,R_A5,STANDARD
31,307.93988037109375,2018-01-01,1725.0181884765625,307.93988037109375,0,21,30,0.0,25,1.0,R_A5,STANDARD
17,305.0413818359375,2018-01-01,1694.4342041015625,305.0413818359375,0,42,1,0.0,1,1.0,R_A6,STANDARD
17,305.18701171875,2018-01-01,1695.9708251953125,305.18701171875,0,42,2,0.0,2,1.0,R_A6,STANDARD
17,305.3326416015625,2018-01-01,1697.507568359375,305.3326416015625,0,42,3,0.0,3,1.0,R_A6,STANDARD
17,305.478271484375,2018-01-01,1699.044189453125,305.478271484375,0,42,4,0.0,4,1.0,R_A6,STANDARD
17,305.6238708496094,2018-01-01,1700.580810546875,305.6238708496094,0,42,5,0.0,5,1.0,R_A6,STANDARD
17,305.7695007324219,2018-01-01,1702.1175537109375,305.7695007324219,0,42,6,0.0,6,1.0,R_A6,STANDARD
17,305.6160888671875,2018-01-01,1703.6541748046875,305.6160888671875,0,42,7,0.0,7,1.0,R_A6,STANDARD
17,305.76171875,2018-01-01,1705.1907958984375,305.76171875,0,42,8,0.0,8,1.0,R_A6,STANDARD
17,306.2063903808594,2018-01-01,1706.7275390625,306.2063903808594,0,42,9,0.0,9,1.0,R_A6,STANDARD
17,306.0462341308594,2018-01-01,1708.26416015625,306.0462341308594,0,42,10,0.0,10,1.0,R_A6,STANDARD
17,306.22698974609375,2018-01-01,1710.170166015625,306.22698974609375,0,42,11,0.0,11,1.0,R_A6,STANDARD
17,306.4426574707031,2018-01-01,1712.445556640625,306.4426574707031,0,42,12,0.0,12,1.0,R_A6,STANDARD
17,306.6702575683594,2018-01-01,1714.7208251953125,306.6702575683594,0,42,13,0.0,13,1.0,R_A6,STANDARD
