DEPTH,CONIDX,CONBPRES,PRESSURE,WELL,CONKPOS,WELLMODEL,DRAWDOWN,DATE,CONJPOS,SGAS,SWAT,CONIPOS
1719.1375732421875,20,307.0767517089844,307.0767517089844,R_A5,29,STANDARD,0,2018-01-01,21,0.0,1.0,31
1721.456298828125,21,307.602294921875,307.602294921875,R_A5,30,STANDARD,0,2018-01-01,21,0.0,1.0,31
1723.77490234375,22,307.8220520019531,307.8220520019531,R_A5,31,STANDARD,0,2018-01-01,21,0.0,1.0,31
1726.093505859375,23,308.04180908203125,308.04180908203125,R_A5,32,STANDARD,0,2018-01-01,21,0.0,1.0,31
1695.443115234375,1,305.1369934082031,305.1369934082031,R_A6,1,STANDARD,0,2018-01-01,42,0.0,1.0,17
1697.00537109375,2,305.2850341796875,305.2850341796875,R_A6,2,STANDARD,0,2018-01-01,42,0.0,1.0,17
1698.567626953125,3,305.43310546875,305.43310546875,R_A6,3,STANDARD,0,2018-01-01,42,0.0,1.0,17
1700.1298828125,4,305.5811462402344,305.5811462402344,R_A6,4,STANDARD,0,2018-01-01,42,0.0,1.0,17
1701.6920166015625,5,305.72918701171875,305.72918701171875,R_A6,5,STANDARD,0,2018-01-01,42,0.0,1.0,17
1703.25439453125,6,305.87725830078125,305.87725830078125,R_A6,6,STANDARD,0,2018-01-01,42,0.0,1.0,17
1704.8165283203125,7,305.72625732421875,305.72625732421875,R_A6,7,STANDARD,0,2018-01-01,42,0.0,1.0,17
1706.3787841796875,8,305.8742980957031,305.8742980957031,R_A6,8,STANDARD,0,2018-01-01,42,0.0,1.0,17
1707.9410400390625,9,306.3214111328125,306.3214111328125,R_A6,9,STANDARD,0,2018-01-01,42,0.0,1.0,17
1709.5032958984375,10,306.1636657714844,306.1636657714844,R_A6,10,STANDARD,0,2018-01-01,42,0.0,1.0,17
1711.435791015625,11,306.3469543457031,306.3469543457031,R_A6,11,STANDARD,0,2018-01-01,42,0.0,1.0,17
1713.73876953125,12,306.5652160644531,306.5652160644531,R_A6,12,STANDARD,0,2018-01-01,42,0.0,1.0,17
1716.0416259765625,13,306.7954406738281,306.7954406738281,R_A6,13,STANDARD,0,2018-01-01,42,0.0,1.0,17
1718.3446044921875,14,307.013671875,307.013671875,R_A6,14,STANDARD,0,2018-01-01,42,0.0,1.0,17
1720.6474609375,15,307.23193359375,307.23193359375,R_A6,15,STANDARD,0,2018-01-01,42,0.0,1.0,17
1722.950439453125,16,307.59521484375,307.59521484375,R_A6,16,STANDARD,0,2018-01-01,42,0.0,1.0,17
1725.2532958984375,17,307.8134765625,307.8134765625,R_A6,17,STANDARD,0,2018-01-01,42,0.0,1.0,17
1726.9033203125,18,307.9698791503906,307.9698791503906,R_A6,18,STANDARD,0,2018-01-01,42,0.0,1.0,17
1728.272216796875,19,307.9425048828125,307.9425048828125,R_A6,28,STANDARD,0,2018-01-01,42,0.0,1.0,17
1730.012451171875,20,308.1074523925781,308.1074523925781,R_A6,29,STANDARD,0,2018-01-01,42,0.0,1.0,17
1731.752685546875,21,308.57818603515625,308.57818603515625,R_A6,30,STANDARD,0,2018-01-01,42,0.0,1.0,17
1733.492919921875,22,308.74310302734375,308.74310302734375,R_A6,31,STANDARD,0,2018-01-01,42,0.0,1.0,17
1735.233154296875,23,308.6022644042969,308.6022644042969,R_A6,32,STANDARD,0,2018-01-01,42,0.0,1.0,17
1643.0086669921875,1,297.84716796875,297.84716796875,R_A2,1,STANDARD,0,2018-03-01,30,0.0,0.056180696934461594,22
1644.760986328125,2,297.964599609375,297.964599609375,R_A2,2,STANDARD,0,2018-03-01,30,0.0,0.05819081887602806,22
1646.5133056640625,3,298.0820617675781,298.0820617675781,R_A2,3,STANDARD,0,2018-03-01,30,0.0,0.06089256703853607,22
1648.265625,4,298.1995544433594,298.1995544433594,R_A2,4,STANDARD,0,2018-03-01,30,0.0,0.06465686857700348,22
1650.01806640625,5,298.3170166015625,298.3170166015625,R_A2,5,STANDARD,0,2018-03-01,30,0.0,0.06951633095741272,22
1651.7703857421875,6,298.47314453125,298.47314453125,R_A2,6,STANDARD,0,2018-03-01,30,0.0,0.3115561008453369,22
1653.522705078125,7,298.59716796875,298.59716796875,R_A2,7,STANDARD,0,2018-03-01,30,0.0,0.8970778584480286,22
1655.2750244140625,8,298.7228698730469,298.7228698730469,R_A2,8,STANDARD,0,2018-03-01,30,0.0,0.8717663884162903,22
1657.02734375,9,298.8453063964844,298.8453063964844,R_A2,9,STANDARD,0,2018-03-01,30,0.0,0.8877733945846558,22
1658.7796630859375,10,299.15185546875,299.15185546875,R_A2,10,STANDARD,0,2018-03-01,30,0.0,0.9019368290901184,22
1660.6611328125,11,300.13720703125,300.13720703125,R_A2,11,STANDARD,0,2018-03-01,30,0.0,0.07498995214700699,22
1662.671875,12,300.27203369140625,300.27203369140625,R_A2,12,STANDARD,0,2018-03-01,30,0.0,0.13172410428524017,22
1664.6824951171875,13,300.4071960449219,300.4071960449219,R_A2,13,STANDARD,0,2018-03-01,30,0.0,0.4498334527015686,22
1666.6932373046875,14,300.5427551269531,300.5427551269531,R_A2,14,STANDARD,0,2018-03-01,30,0.0,0.49584653973579407,22
1668.7039794921875,15,300.67999267578125,300.67999267578125,R_A2,15,STANDARD,0,2018-03-01,30,0.0,0.9359330534934998,22
1670.714599609375,16,300.8162536621094,300.8162536621094,R_A2,16,STANDARD,0,2018-03-01,30,0.0,0.9662839770317078,22
1672.725341796875,17,300.9521484375,300.9521484375,R_A2,17,STANDARD,0,2018-03-01,30,0.0,0.915469229221344,22
1673.282958984375,18,300.9821472167969,300.9821472167969,R_A2,17,STANDARD,0,2018-03-01,29,0.0,0.9558196067810059,22
1675.223388671875,19,301.1123962402344,301.1123962402344,R_A2,18,STANDARD,0,2018-03-01,29,0.0,0.9882498383522034,22
1676.274169921875,20,301.1850891113281,301.1850891113281,R_A2,19,STANDARD,0,2018-03-01,29,0.0,0.991298258304596,22
1677.30322265625,21,301.5210876464844,301.5210876464844,R_A2,28,STANDARD,0,2018-03-01,29,0.0,0.33500155806541443,22
1679.0888671875,22,301.6229553222656,301.6229553222656,R_A2,29,STANDARD,0,2018-03-01,29,0.0,0.6485016345977783,22
1680.87451171875,23,302.7809753417969,302.7809753417969,R_A2,30,STANDARD,0,2018-03-01,29,-1.0536745756708674e-17,1.0,22
1682.6602783203125,24,303.51458740234375,303.51458740234375,R_A2,31,STANDARD,0,2018-03-01,29,-6.095101850292911e-18,1.0,22
1684.446044921875,25,303.8835144042969,303.8835144042969,R_A2,32,STANDARD,0,2018-03-01,29,-1.5669200659506514e-18,1.0,22
1684.173828125,1,283.7938232421875,283.7938232421875,R_A5,1,STANDARD,0,2018-04-28,20,-8.959236027620891e-21,1.0,31
1686.3055419921875,2,283.995849609375,283.995849609375,R_A5,2,STANDARD,0,2018-04-28,20,-5.729146228515366e-17,1.0,31
1688.437255859375,3,284.1978454589844,284.1978454589844,R_A5,3,STANDARD,0,2018-04-28,20,-4.530454649190887e-17,1.0,31
1690.5689697265625,4,284.39984130859375,284.39984130859375,R_A5,4,STANDARD,0,2018-04-28,20,-5.764277581747228e-17,1.0,31
1692.70068359375,5,284.6017761230469,284.6017761230469,R_A5,5,STANDARD,0,2018-04-28,20,-5.166365626958788e-17,1.0,31
1694.83251953125,6,284.8036804199219,284.8036804199219,R_A5,6,STANDARD,0,2018-04-28,20,-4.888267835890705e-17,1.0,31
1696.9642333984375,7,285.322998046875,285.322998046875,R_A5,7,STANDARD,0,2018-04-28,20,-1.3470783182702845e-16,1.0,31
1699.095947265625,8,285.5372314453125,285.5372314453125,R_A5,8,STANDARD,0,2018-04-28,20,-1.5016686074077724e-15,1.0,31
1696.3289794921875,9,285.0483093261719,285.0483093261719,R_A5,9,STANDARD,0,2018-04-28,21,-1.4754677514494663e-12,1.0,31
1700.88232421875,10,278.6434020996094,278.6434020996094,R_A5,11,STANDARD,0,2018-04-28,21,-2.629393924813428e-11,1.0,31
1702.8389892578125,11,278.8204040527344,278.8204040527344,R_A5,12,STANDARD,0,2018-04-28,21,-1.8915483762649288e-11,1.0,31
1704.7955322265625,12,279.0183410644531,279.0183410644531,R_A5,13,STANDARD,0,2018-04-28,21,-7.062794901875613e-13,1.0,31
1706.752197265625,13,279.20452880859375,279.20452880859375,R_A5,14,STANDARD,0,2018-04-28,21,-1.4072453055277712e-12,1.0,31
1708.708740234375,14,280.22149658203125,280.22149658203125,R_A5,15,STANDARD,0,2018-04-28,21,-1.3410368735616851e-12,1.0,31
1710.6654052734375,15,281.5987243652344,281.5987243652344,R_A5,16,STANDARD,0,2018-04-28,21,-8.466746726464025e-13,1.0,31
1712.6219482421875,16,281.8177185058594,281.8177185058594,R_A5,17,STANDARD,0,2018-04-28,21,-1.8476195508439208e-13,1.0,31
1714.388671875,17,282.0198974609375,282.0198974609375,R_A5,18,STANDARD,0,2018-04-28,21,-3.236533491299959e-13,1.0,31
1715.41845703125,18,282.1333312988281,282.1333312988281,R_A5,19,STANDARD,0,2018-04-28,21,0.0,1.0,31
