PRESSURE,CONKPOS,WELL,DRAWDOWN,DATE,CONIDX,CONIPOS,SGAS,CONBPRES,DEPTH,SWAT,CONJPOS,WELLMODEL
298.5326843261719,8,R_A3,0,2018-01-01,9,29,0.0,298.5326843261719,1609.813232421875,0.19500187039375305,41,STANDARD
298.6855773925781,9,R_A3,0,2018-01-01,10,29,0.0,298.6855773925781,1612.0948486328125,0.7928715348243713,41,STANDARD
298.8385009765625,10,R_A3,0,2018-01-01,11,29,0.0,298.8385009765625,1614.37646484375,0.8013925552368164,41,STANDARD
298.9932556152344,11,R_A3,0,2018-01-01,12,29,0.0,298.9932556152344,1616.6856689453125,0.0469689667224884,41,STANDARD
299.1498718261719,12,R_A3,0,2018-01-01,13,29,0.0,299.1498718261719,1619.0223388671875,0.05216114968061447,41,STANDARD
299.3065185546875,13,R_A3,0,2018-01-01,14,29,0.0,299.3065185546875,1621.359130859375,0.14917916059494019,41,STANDARD
299.463134765625,14,R_A3,0,2018-01-01,15,29,0.0,299.463134765625,1623.6959228515625,0.30653369426727295,41,STANDARD
299.6197814941406,15,R_A3,0,2018-01-01,16,29,0.0,299.6197814941406,1626.03271484375,0.36228659749031067,41,STANDARD
299.76739501953125,16,R_A3,0,2018-01-01,17,29,0.0,299.76739501953125,1628.234619140625,0.8066269755363464,41,STANDARD
299.8564758300781,17,R_A3,0,2018-01-01,18,29,0.0,299.8564758300781,1629.5633544921875,0.7973468899726868,41,STANDARD
300.0091552734375,25,R_A3,0,2018-01-01,19,29,0.0,300.0091552734375,1631.8406982421875,0.37497544288635254,41,STANDARD
300.2749328613281,26,R_A3,0,2018-01-01,20,29,0.0,300.2749328613281,1635.8050537109375,0.04750104993581772,41,STANDARD
300.5407409667969,27,R_A3,0,2018-01-01,21,29,0.0,300.5407409667969,1639.76953125,0.05260803923010826,41,STANDARD
300.8065490722656,28,R_A3,0,2018-01-01,22,29,0.0,300.8065490722656,1643.73388671875,0.6481541991233826,41,STANDARD
301.0724182128906,29,R_A3,0,2018-01-01,23,29,0.0,301.0724182128906,1647.6983642578125,0.0666443258523941,41,STANDARD
300.2205505371094,1,R_A4,0,2018-01-01,1,30,0.0,300.2205505371094,1634.993896484375,0.05415085330605507,52,STANDARD
299.73785400390625,1,R_A4,0,2018-01-01,2,31,0.0,299.73785400390625,1627.7940673828125,0.051819488406181335,52,STANDARD
299.8800048828125,2,R_A4,0,2018-01-01,3,31,0.0,299.8800048828125,1629.914306640625,0.05233622342348099,52,STANDARD
300.02215576171875,3,R_A4,0,2018-01-01,4,31,0.0,300.02215576171875,1632.0345458984375,0.053538620471954346,52,STANDARD
300.164306640625,4,R_A4,0,2018-01-01,5,31,0.0,300.164306640625,1634.15478515625,0.058119162917137146,52,STANDARD
299.9038391113281,4,R_A4,0,2018-01-01,6,32,0.0,299.9038391113281,1630.2698974609375,0.05503343418240547,52,STANDARD
