WELLMODEL,CONJPOS,CONKPOS,CONBPRES,DRAWDOWN,CONIDX,SGAS,DEPTH,WELL,CONIPOS,SWAT,DATE,PRESSURE
STANDARD,41,6,298.7964782714844,0,7,0.0,1611.3126220703125,R_A3,29,0.22724220156669617,2018-01-01,298.7964782714844
STANDARD,41,7,298.93145751953125,0,8,0.0,1613.3267822265625,R_A3,29,0.1966046690940857,2018-01-01,298.93145751953125
STANDARD,41,8,299.06646728515625,0,9,0.0,1615.3409423828125,R_A3,29,0.19694902002811432,2018-01-01,299.06646728515625
STANDARD,41,9,299.20147705078125,0,10,0.0,1617.35498046875,R_A3,29,0.7927200198173523,2018-01-01,299.20147705078125
STANDARD,41,10,299.33648681640625,0,11,0.0,1619.369140625,R_A3,29,0.800150454044342,2018-01-01,299.33648681640625
STANDARD,41,11,299.4797668457031,0,12,0.0,1621.507080078125,R_A3,29,0.04776814579963684,2018-01-01,299.4797668457031
STANDARD,41,12,299.6313781738281,0,13,0.0,1623.7686767578125,R_A3,29,0.05463946983218193,2018-01-01,299.6313781738281
STANDARD,41,13,299.7829895019531,0,14,0.0,1626.0302734375,R_A3,29,0.37642714381217957,2018-01-01,299.7829895019531
STANDARD,41,15,300.0862121582031,0,15,0.0,1630.553466796875,R_A3,29,0.49753251671791077,2018-01-01,300.0862121582031
STANDARD,41,16,300.2032165527344,0,16,0.0,1632.298583984375,R_A3,29,0.7970626950263977,2018-01-01,300.2032165527344
STANDARD,41,24,300.35992431640625,0,17,0.0,1634.6357421875,R_A3,29,0.24921774864196777,2018-01-01,300.35992431640625
STANDARD,41,25,300.5909423828125,0,18,0.0,1638.081298828125,R_A3,29,0.04398496821522713,2018-01-01,300.5909423828125
STANDARD,41,26,300.8219909667969,0,19,0.0,1641.5269775390625,R_A3,29,0.04995093122124672,2018-01-01,300.8219909667969
STANDARD,41,27,301.05303955078125,0,20,0.0,1644.9725341796875,R_A3,29,0.6481541991233826,2018-01-01,301.05303955078125
STANDARD,41,28,301.2840881347656,0,21,0.0,1648.418212890625,R_A3,29,0.059141747653484344,2018-01-01,301.2840881347656
STANDARD,52,1,300.1556701660156,0,1,0.0,1631.5892333984375,R_A4,30,0.04977673664689064,2018-01-01,300.1556701660156
STANDARD,52,1,299.79022216796875,0,2,0.0,1626.1383056640625,R_A4,31,0.04813181608915329,2018-01-01,299.79022216796875
STANDARD,52,2,299.9302673339844,0,3,0.0,1628.22705078125,R_A4,31,0.04900747165083885,2018-01-01,299.9302673339844
STANDARD,52,3,300.0703125,0,4,0.0,1630.31591796875,R_A4,31,0.049520667642354965,2018-01-01,300.0703125
STANDARD,52,4,300.2103576660156,0,5,0.0,1632.40478515625,R_A4,31,0.052736472338438034,2018-01-01,300.2103576660156
STANDARD,52,5,300.35040283203125,0,6,0.0,1634.49365234375,R_A4,31,0.2815847098827362,2018-01-01,300.35040283203125
STANDARD,52,5,300.2899169921875,0,7,0.0,1633.591796875,R_A4,32,0.2820342481136322,2018-01-01,300.2899169921875
STANDARD,51,5,300.503173828125,0,8,0.0,1636.7724609375,R_A4,32,0.6481541991233826,2018-01-01,300.503173828125
STANDARD,51,4,300.3790283203125,0,9,0.0,1634.9207763671875,R_A4,32,0.053425271064043045,2018-01-01,300.3790283203125
STANDARD,51,4,300.49310302734375,0,10,0.0,1636.622314453125,R_A4,33,0.056447066366672516,2018-01-01,300.49310302734375
STANDARD,51,5,300.62017822265625,0,11,0.0,1638.5172119140625,R_A4,33,0.6481541991233826,2018-01-01,300.62017822265625
STANDARD,50,5,300.91326904296875,0,12,0.0,1642.8885498046875,R_A4,33,0.09968334436416626,2018-01-01,300.91326904296875
STANDARD,50,5,300.83917236328125,0,13,0.0,1641.783203125,R_A4,34,0.059198956936597824,2018-01-01,300.83917236328125
STANDARD,50,4,300.71258544921875,0,14,0.0,1639.8953857421875,R_A4,34,0.05972921475768089,2018-01-01,300.71258544921875
