CONKPOS,CONJPOS,CONIPOS,DEPTH,CONBPRES,SWAT,CONIDX,WELLMODEL,PRESSURE,SGAS,DRAWDOWN,WELL,DATE
7,20,31,1698.70947265625,305.446533203125,1.0,7,STANDARD,305.446533203125,0.0,0,R_A5,2018-01-01
11,20,31,1707.6488037109375,305.988037109375,1.0,8,STANDARD,305.988037109375,0.0,0,R_A5,2018-01-01
12,20,31,1709.5638427734375,306.1695251464844,1.0,9,STANDARD,306.1695251464844,0.0,0,R_A5,2018-01-01
12,21,31,1701.7845458984375,305.4322814941406,1.0,10,STANDARD,305.4322814941406,0.0,0,R_A5,2018-01-01
13,21,31,1703.735107421875,305.6291198730469,1.0,11,STANDARD,305.6291198730469,0.0,0,R_A5,2018-01-01
14,21,31,1705.6856689453125,305.81396484375,1.0,12,STANDARD,305.81396484375,0.0,0,R_A5,2018-01-01
15,21,31,1707.63623046875,305.9988098144531,1.0,13,STANDARD,305.9988098144531,0.0,0,R_A5,2018-01-01
16,21,31,1709.5867919921875,306.1836853027344,1.0,14,STANDARD,306.1836853027344,0.0,0,R_A5,2018-01-01
17,21,31,1711.537353515625,306.5135498046875,1.0,15,STANDARD,306.5135498046875,0.0,0,R_A5,2018-01-01
18,21,31,1713.35400390625,306.6856994628906,1.0,16,STANDARD,306.6856994628906,0.0,0,R_A5,2018-01-01
19,21,31,1714.3951416015625,306.7843933105469,1.0,17,STANDARD,306.7843933105469,0.0,0,R_A5,2018-01-01
27,21,31,1715.7628173828125,306.75689697265625,1.0,18,STANDARD,306.75689697265625,0.0,0,R_A5,2018-01-01
28,21,31,1718.098388671875,306.978271484375,1.0,19,STANDARD,306.978271484375,0.0,0,R_A5,2018-01-01
29,21,31,1720.43408203125,307.5054016113281,1.0,20,STANDARD,307.5054016113281,0.0,0,R_A5,2018-01-01
30,21,31,1722.7696533203125,307.7267761230469,1.0,21,STANDARD,307.7267761230469,0.0,0,R_A5,2018-01-01
31,21,31,1725.105224609375,307.9481506347656,1.0,22,STANDARD,307.9481506347656,0.0,0,R_A5,2018-01-01
1,42,17,1695.20263671875,305.11419677734375,1.0,1,STANDARD,305.11419677734375,0.0,0,R_A6,2018-01-01
2,42,17,1696.7510986328125,305.2609558105469,1.0,2,STANDARD,305.2609558105469,0.0,0,R_A6,2018-01-01
3,42,17,1698.299560546875,305.4076843261719,1.0,3,STANDARD,305.4076843261719,0.0,0,R_A6,2018-01-01
4,42,17,1699.84814453125,305.554443359375,1.0,4,STANDARD,305.554443359375,0.0,0,R_A6,2018-01-01
5,42,17,1701.3966064453125,305.7012023925781,1.0,5,STANDARD,305.7012023925781,0.0,0,R_A6,2018-01-01
6,42,17,1702.9451904296875,305.84796142578125,1.0,6,STANDARD,305.84796142578125,0.0,0,R_A6,2018-01-01
7,42,17,1704.49365234375,305.6956481933594,1.0,7,STANDARD,305.6956481933594,0.0,0,R_A6,2018-01-01
8,42,17,1706.042236328125,305.8424072265625,1.0,8,STANDARD,305.8424072265625,0.0,0,R_A6,2018-01-01
9,42,17,1707.5906982421875,306.2882080078125,1.0,9,STANDARD,306.2882080078125,0.0,0,R_A6,2018-01-01
10,42,17,1709.1392822265625,306.1291809082031,1.0,10,STANDARD,306.1291809082031,0.0,0,R_A6,2018-01-01
11,42,17,1711.055419921875,306.3109130859375,1.0,11,STANDARD,306.3109130859375,0.0,0,R_A6,2018-01-01
12,42,17,1713.3392333984375,306.52734375,1.0,12,STANDARD,306.52734375,0.0,0,R_A6,2018-01-01
13,42,17,1715.623046875,306.7557678222656,1.0,13,STANDARD,306.7557678222656,0.0,0,R_A6,2018-01-01
14,42,17,1717.9068603515625,306.9721984863281,1.0,14,STANDARD,306.9721984863281,0.0,0,R_A6,2018-01-01
15,42,17,1720.190673828125,307.18865966796875,1.0,15,STANDARD,307.18865966796875,0.0,0,R_A6,2018-01-01
16,42,17,1722.474365234375,307.55010986328125,1.0,16,STANDARD,307.55010986328125,0.0,0,R_A6,2018-01-01
17,42,17,1724.7581787109375,307.7665710449219,1.0,17,STANDARD,307.7665710449219,0.0,0,R_A6,2018-01-01
18,42,17,1726.394287109375,307.921630859375,1.0,18,STANDARD,307.921630859375,0.0,0,R_A6,2018-01-01
27,42,17,1727.7508544921875,307.8930969238281,1.0,19,STANDARD,307.8930969238281,0.0,0,R_A6,2018-01-01
28,42,17,1729.4755859375,308.3623352050781,1.0,20,STANDARD,308.3623352050781,0.0,0,R_A6,2018-01-01
29,42,17,1731.2001953125,308.52581787109375,1.0,21,STANDARD,308.52581787109375,0.0,0,R_A6,2018-01-01
30,42,17,1732.9249267578125,308.68927001953125,1.0,22,STANDARD,308.68927001953125,0.0,0,R_A6,2018-01-01
31,42,17,1734.649658203125,308.5469665527344,1.0,23,STANDARD,308.5469665527344,0.0,0,R_A6,2018-01-01
1,30,22,1641.094970703125,296.7628173828125,0.05672517046332359,1,STANDARD,296.7628173828125,0.0,0,R_A2,2018-03-01
2,30,22,1642.8890380859375,296.88299560546875,0.05871651694178581,2,STANDARD,296.88299560546875,0.0,0,R_A2,2018-03-01
3,30,22,1644.68310546875,297.00311279296875,0.062030378729104996,3,STANDARD,297.00311279296875,0.0,0,R_A2,2018-03-01
4,30,22,1646.4771728515625,297.123291015625,0.06790336221456528,4,STANDARD,297.123291015625,0.0,0,R_A2,2018-03-01
5,30,22,1648.2713623046875,297.2434387207031,0.07131596654653549,5,STANDARD,297.2434387207031,0.0,0,R_A2,2018-03-01
6,30,22,1650.0654296875,297.4014892578125,0.32135123014450073,6,STANDARD,297.4014892578125,0.0,0,R_A2,2018-03-01
7,30,22,1651.859619140625,297.55914306640625,0.8949723243713379,7,STANDARD,297.55914306640625,0.0,0,R_A2,2018-03-01
8,30,22,1653.6536865234375,297.7396545410156,0.722163736820221,8,STANDARD,297.7396545410156,0.0,0,R_A2,2018-03-01
9,30,22,1655.44775390625,298.2173156738281,0.8978806138038635,9,STANDARD,298.2173156738281,0.0,0,R_A2,2018-03-01
10,30,22,1657.2418212890625,299.0079040527344,0.9283789992332458,10,STANDARD,299.0079040527344,0.0,0,R_A2,2018-03-01
11,30,22,1659.1368408203125,299.53656005859375,0.07669305801391602,11,STANDARD,299.53656005859375,0.0,0,R_A2,2018-03-01
12,30,22,1661.132568359375,299.6703186035156,0.08028721064329147,12,STANDARD,299.6703186035156,0.0,0,R_A2,2018-03-01
13,30,22,1663.12841796875,299.80511474609375,0.4426890015602112,13,STANDARD,299.80511474609375,0.0,0,R_A2,2018-03-01
14,30,22,1665.1241455078125,299.941650390625,0.504097580909729,14,STANDARD,299.941650390625,0.0,0,R_A2,2018-03-01
15,30,22,1667.1199951171875,300.0812072753906,0.6873543858528137,15,STANDARD,300.0812072753906,0.0,0,R_A2,2018-03-01
16,30,22,1669.11572265625,300.2156982421875,0.9696404933929443,16,STANDARD,300.2156982421875,0.0,0,R_A2,2018-03-01
17,30,22,1671.111572265625,300.35125732421875,0.9681495428085327,17,STANDARD,300.35125732421875,0.0,0,R_A2,2018-03-01
18,30,22,1672.9881591796875,300.4784851074219,0.9883116483688354,18,STANDARD,300.4784851074219,0.0,0,R_A2,2018-03-01
18,29,22,1674.229736328125,300.48504638671875,0.9956541061401367,19,STANDARD,300.48504638671875,0.0,0,R_A2,2018-03-01
27,29,22,1676.1676025390625,303.01495361328125,1.0,20,STANDARD,303.01495361328125,-6.633978454159033e-16,0,R_A2,2018-03-01
28,29,22,1677.9368896484375,303.4671630859375,1.0,21,STANDARD,303.4671630859375,-1.592367016045411e-16,0,R_A2,2018-03-01
29,29,22,1679.7061767578125,303.6298828125,1.0,22,STANDARD,303.6298828125,-5.180045870801435e-17,0,R_A2,2018-03-01
30,29,22,1681.4754638671875,303.7928161621094,1.0,23,STANDARD,303.7928161621094,-7.198831275498955e-18,0,R_A2,2018-03-01
31,29,22,1683.2447509765625,303.9671630859375,1.0,24,STANDARD,303.9671630859375,-5.418097635707687e-19,0,R_A2,2018-03-01
1,20,31,1685.026611328125,274.67828369140625,1.0,1,STANDARD,274.67828369140625,-1.160053840563229e-16,0,R_A5,2018-04-28
2,20,31,1687.3070068359375,274.8936767578125,1.0,2,STANDARD,274.8936767578125,-8.8710150995192e-17,0,R_A5,2018-04-28
3,20,31,1689.5875244140625,275.4132995605469,1.0,3,STANDARD,275.4132995605469,-8.382202477262216e-18,0,R_A5,2018-04-28
4,20,31,1691.8680419921875,275.3212890625,1.0,4,STANDARD,275.3212890625,-3.733008876788315e-15,0,R_A5,2018-04-28
5,20,31,1694.1485595703125,275.5364990234375,1.0,5,STANDARD,275.5364990234375,-1.4062548563500196e-14,0,R_A5,2018-04-28
6,20,31,1696.4290771484375,275.7520751953125,1.0,6,STANDARD,275.7520751953125,-1.3329513545452115e-14,0,R_A5,2018-04-28
7,20,31,1698.70947265625,276.28643798828125,1.0,7,STANDARD,276.28643798828125,-1.2165536115928306e-15,0,R_A5,2018-04-28
11,20,31,1707.6488037109375,277.44317626953125,1.0,8,STANDARD,277.44317626953125,-5.74351764065506e-13,0,R_A5,2018-04-28
12,20,31,1709.5638427734375,277.6396789550781,1.0,9,STANDARD,277.6396789550781,-5.374857460146987e-13,0,R_A5,2018-04-28
12,21,31,1701.7845458984375,276.4097900390625,1.0,10,STANDARD,276.4097900390625,-3.963956593522333e-11,0,R_A5,2018-04-28
13,21,31,1703.735107421875,276.60955810546875,1.0,11,STANDARD,276.60955810546875,-1.366151657945791e-12,0,R_A5,2018-04-28
14,21,31,1705.6856689453125,276.7984924316406,1.0,12,STANDARD,276.7984924316406,-3.0386821531225294e-12,0,R_A5,2018-04-28
15,21,31,1707.63623046875,276.99078369140625,1.0,13,STANDARD,276.99078369140625,-9.819413077788441e-13,0,R_A5,2018-04-28
16,21,31,1709.5867919921875,277.3910217285156,1.0,14,STANDARD,277.3910217285156,-2.1335949500211893e-12,0,R_A5,2018-04-28
17,21,31,1711.537353515625,278.1104431152344,1.0,15,STANDARD,278.1104431152344,-2.089523215911826e-13,0,R_A5,2018-04-28
18,21,31,1713.35400390625,278.5335693359375,1.0,16,STANDARD,278.5335693359375,-5.058892757828226e-13,0,R_A5,2018-04-28
19,21,31,1714.3951416015625,278.7615966796875,1.0,17,STANDARD,278.7615966796875,0.0,0,R_A5,2018-04-28
27,21,31,1715.7628173828125,278.80828857421875,1.0,18,STANDARD,278.80828857421875,-1.3048774300666865e-12,0,R_A5,2018-04-28
28,21,31,1718.098388671875,279.0368957519531,1.0,19,STANDARD,279.0368957519531,-1.1757705269468954e-12,0,R_A5,2018-04-28
29,21,31,1720.43408203125,291.17138671875,1.0,20,STANDARD,291.17138671875,-2.50820419524714e-20,0,R_A5,2018-04-28
30,21,31,1722.7696533203125,293.3397216796875,1.0,21,STANDARD,293.3397216796875,6.5586161222210055e-21,0,R_A5,2018-04-28
31,21,31,1725.105224609375,284.947265625,1.0,22,STANDARD,284.947265625,1.0402600765247002e-20,0,R_A5,2018-04-28
1,41,28,1609.243408203125,281.5149841308594,0.6493656039237976,1,STANDARD,281.5149841308594,0.0,0,R_A3,2018-07-03
2,41,28,1611.3077392578125,281.7121887207031,0.19365429878234863,2,STANDARD,281.7121887207031,0.0,0,R_A3,2018-07-03
3,41,28,1613.3720703125,281.85113525390625,0.19446660578250885,3,STANDARD,281.85113525390625,0.0,0,R_A3,2018-07-03
4,41,28,1615.4365234375,281.9922180175781,0.24985623359680176,4,STANDARD,281.9922180175781,0.0,0,R_A3,2018-07-03
5,41,28,1617.5008544921875,282.1318054199219,0.649301290512085,5,STANDARD,282.1318054199219,0.0,0,R_A3,2018-07-03
6,41,28,1619.565185546875,282.27001953125,0.1501951813697815,6,STANDARD,282.27001953125,0.0,0,R_A3,2018-07-03
6,41,29,1609.3663330078125,281.56732177734375,0.27530986070632935,7,STANDARD,281.56732177734375,0.0,0,R_A3,2018-07-03
7,41,29,1611.4163818359375,281.70404052734375,0.1989586353302002,8,STANDARD,281.70404052734375,0.0,0,R_A3,2018-07-03
8,41,29,1613.46630859375,281.8408203125,0.14633652567863464,9,STANDARD,281.8408203125,0.0,0,R_A3,2018-07-03
9,41,29,1615.516357421875,281.97760009765625,0.6503771543502808,10,STANDARD,281.97760009765625,0.0,0,R_A3,2018-07-03
10,41,29,1617.5662841796875,282.6279602050781,0.8020625114440918,11,STANDARD,282.6279602050781,0.0,0,R_A3,2018-07-03
11,41,29,1619.750732421875,282.7568054199219,0.048448242247104645,12,STANDARD,282.7568054199219,0.0,0,R_A3,2018-07-03
12,41,29,1622.0697021484375,282.9116516113281,0.054020680487155914,13,STANDARD,282.9116516113281,0.0,0,R_A3,2018-07-03
13,41,29,1624.388671875,283.0667419433594,0.3731691539287567,14,STANDARD,283.0667419433594,0.0,0,R_A3,2018-07-03
14,41,29,1626.707763671875,283.2953796386719,0.3464493751525879,15,STANDARD,283.2953796386719,0.0,0,R_A3,2018-07-03
15,41,29,1629.026611328125,283.6599426269531,0.4937026798725128,16,STANDARD,283.6599426269531,0.0,0,R_A3,2018-07-03
16,41,29,1630.9468994140625,283.8221435546875,0.7998948097229004,17,STANDARD,283.8221435546875,0.0,0,R_A3,2018-07-03
27,41,29,1633.5262451171875,286.6866760253906,0.6490082144737244,18,STANDARD,286.6866760253906,0.0,0,R_A3,2018-07-03
28,41,29,1637.1630859375,284.6394348144531,0.045902203768491745,19,STANDARD,284.6394348144531,0.0,0,R_A3,2018-07-03
29,41,29,1640.8001708984375,284.8823547363281,0.05236208438873291,20,STANDARD,284.8823547363281,0.0,0,R_A3,2018-07-03
30,41,29,1644.4371337890625,285.12750244140625,0.6492066979408264,21,STANDARD,285.12750244140625,0.0,0,R_A3,2018-07-03
31,41,29,1648.0740966796875,285.37359619140625,0.061374153941869736,22,STANDARD,285.37359619140625,0.0,0,R_A3,2018-07-03
1,52,30,1631.1873779296875,276.4774475097656,0.051904045045375824,1,STANDARD,276.4774475097656,0.0,0,R_A4,2018-09-12
1,52,31,1627.4293212890625,276.4458923339844,0.05089055374264717,2,STANDARD,276.4458923339844,0.0,0,R_A4,2018-09-12
2,52,31,1629.4896240234375,276.58319091796875,0.051815301179885864,3,STANDARD,276.58319091796875,0.0,0,R_A4,2018-09-12
3,52,31,1631.5498046875,276.72052001953125,0.053721070289611816,4,STANDARD,276.72052001953125,0.0,0,R_A4,2018-09-12
4,52,31,1633.610107421875,276.8531188964844,0.6513465642929077,5,STANDARD,276.8531188964844,0.0,0,R_A4,2018-09-12
4,52,32,1632.3968505859375,276.9119873046875,0.057281188666820526,6,STANDARD,276.9119873046875,0.0,0,R_A4,2018-09-12
4,51,32,1635.880615234375,277.107421875,0.6524362564086914,7,STANDARD,277.107421875,0.0,0,R_A4,2018-09-12
4,51,33,1637.321044921875,277.2760314941406,0.6515321731567383,8,STANDARD,277.2760314941406,0.0,0,R_A4,2018-09-12
3,51,33,1635.474609375,277.1588439941406,0.05961323156952858,9,STANDARD,277.1588439941406,0.0,0,R_A4,2018-09-12
4,50,33,1642.1485595703125,277.5247497558594,0.6526743769645691,10,STANDARD,277.5247497558594,0.0,0,R_A4,2018-09-12
4,50,34,1641.132080078125,277.5333557128906,0.09988682717084885,11,STANDARD,277.5333557128906,0.0,0,R_A4,2018-09-12
3,50,34,1639.20703125,277.40533447265625,0.15587951242923737,12,STANDARD,277.40533447265625,0.0,0,R_A4,2018-09-12
3,50,35,1640.9061279296875,277.54632568359375,0.22993873059749603,13,STANDARD,277.54632568359375,0.0,0,R_A4,2018-09-12
2,50,35,1639.0426025390625,277.4246520996094,0.2292667031288147,14,STANDARD,277.4246520996094,0.0,0,R_A4,2018-09-12
2,49,35,1641.93212890625,277.54443359375,0.24118651449680328,15,STANDARD,277.54443359375,0.0,0,R_A4,2018-09-12
30,49,36,1642.357421875,279.0172424316406,0.053225502371788025,16,STANDARD,279.0172424316406,0.0,0,R_A4,2018-09-12
30,48,36,1639.6068115234375,278.8028259277344,0.18993736803531647,17,STANDARD,278.8028259277344,0.0,0,R_A4,2018-09-12
30,48,37,1646.7513427734375,279.3714904785156,0.09979768097400665,18,STANDARD,279.3714904785156,0.0,0,R_A4,2018-09-12
30,48,38,1653.461669921875,279.90692138671875,0.1475442349910736,19,STANDARD,279.90692138671875,0.0,0,R_A4,2018-09-12
30,47,38,1657.8184814453125,280.1749267578125,0.1432255357503891,20,STANDARD,280.1749267578125,0.0,0,R_A4,2018-09-12
1,42,17,1695.20263671875,275.79730224609375,1.0,1,STANDARD,275.79730224609375,9.09235341131512e-16,0,R_A6,2018-11-07
2,42,17,1696.7510986328125,275.94293212890625,1.0,2,STANDARD,275.94293212890625,5.84402441024224e-16,0,R_A6,2018-11-07
3,42,17,1698.299560546875,276.0859680175781,1.0,3,STANDARD,276.0859680175781,4.462890602932004e-16,0,R_A6,2018-11-07
4,42,17,1699.84814453125,276.22528076171875,1.0,4,STANDARD,276.22528076171875,3.858028610462445e-16,0,R_A6,2018-11-07
5,42,17,1701.3966064453125,276.3626708984375,1.0,5,STANDARD,276.3626708984375,5.184549968498459e-16,0,R_A6,2018-11-07
6,42,17,1702.9451904296875,276.5027770996094,1.0,6,STANDARD,276.5027770996094,2.3320958337201547e-14,0,R_A6,2018-11-07
7,42,17,1704.49365234375,276.35223388671875,1.0,7,STANDARD,276.35223388671875,4.0798344791512925e-14,0,R_A6,2018-11-07
8,42,17,1706.042236328125,276.49896240234375,1.0,8,STANDARD,276.49896240234375,7.0333304542295576e-15,0,R_A6,2018-11-07
9,42,17,1707.5906982421875,276.9559631347656,1.0,9,STANDARD,276.9559631347656,1.6806221052071356e-15,0,R_A6,2018-11-07
10,42,17,1709.1392822265625,276.8421325683594,1.0,10,STANDARD,276.8421325683594,2.7034112253486453e-13,0,R_A6,2018-11-07
11,42,17,1711.055419921875,277.094970703125,1.0,11,STANDARD,277.094970703125,4.639108108078771e-13,0,R_A6,2018-11-07
12,42,17,1713.3392333984375,277.29571533203125,1.0,12,STANDARD,277.29571533203125,1.0974213752361697e-13,0,R_A6,2018-11-07
13,42,17,1715.623046875,277.57476806640625,1.0,13,STANDARD,277.57476806640625,2.0598125188473447e-14,0,R_A6,2018-11-07
14,42,17,1717.9068603515625,277.7912292480469,1.0,14,STANDARD,277.7912292480469,2.066026691361581e-14,0,R_A6,2018-11-07
15,42,17,1720.190673828125,278.01043701171875,1.0,15,STANDARD,278.01043701171875,1.2127769457909079e-14,0,R_A6,2018-11-07
