CONJPOS,DRAWDOWN,SGAS,WELLMODEL,SWAT,CONBPRES,PRESSURE,WELL,CONKPOS,CONIDX,DATE,DEPTH,CONIPOS
41,0,0.0,STANDARD,0.6481541991233826,297.8421630859375,297.8421630859375,R_A3,1,2,2018-01-01,1597.3355712890625,29
41,0,0.0,STANDARD,0.18586395680904388,297.9898681640625,297.9898681640625,R_A3,2,3,2018-01-01,1599.5399169921875,29
41,0,0.0,STANDARD,0.11823459714651108,298.1375732421875,298.1375732421875,R_A3,3,4,2018-01-01,1601.744140625,29
41,0,0.0,STANDARD,0.15662336349487305,298.2852783203125,298.2852783203125,R_A3,4,5,2018-01-01,1603.948486328125,29
41,0,0.0,STANDARD,0.26715147495269775,298.4329833984375,298.4329833984375,R_A3,5,6,2018-01-01,1606.15283203125,29
41,0,0.0,STANDARD,0.2047320306301117,298.5807189941406,298.5807189941406,R_A3,6,7,2018-01-01,1608.357177734375,29
41,0,0.0,STANDARD,0.19365404546260834,298.72845458984375,298.72845458984375,R_A3,7,8,2018-01-01,1610.5614013671875,29
41,0,0.0,STANDARD,0.19492900371551514,298.8761901855469,298.8761901855469,R_A3,8,9,2018-01-01,1612.7657470703125,29
41,0,0.0,STANDARD,0.7966955900192261,299.02392578125,299.02392578125,R_A3,9,10,2018-01-01,1614.969970703125,29
41,0,0.0,STANDARD,0.7955813407897949,299.1716613769531,299.1716613769531,R_A3,10,11,2018-01-01,1617.17431640625,29
41,0,0.0,STANDARD,0.047577884048223495,299.3233947753906,299.3233947753906,R_A3,11,12,2018-01-01,1619.4381103515625,29
41,0,0.0,STANDARD,0.04966667667031288,299.4791259765625,299.4791259765625,R_A3,12,13,2018-01-01,1621.7611083984375,29
41,0,0.0,STANDARD,0.36256033182144165,299.6348571777344,299.6348571777344,R_A3,13,14,2018-01-01,1624.084228515625,29
41,0,0.0,STANDARD,0.601466715335846,299.9463195800781,299.9463195800781,R_A3,15,15,2018-01-01,1628.7303466796875,29
41,0,0.0,STANDARD,0.7974003553390503,300.0936584472656,300.0936584472656,R_A3,16,16,2018-01-01,1630.9281005859375,29
41,0,0.0,STANDARD,0.7622087597846985,300.1736145019531,300.1736145019531,R_A3,17,17,2018-01-01,1632.1209716796875,29
41,0,0.0,STANDARD,0.6481541991233826,300.3126220703125,300.3126220703125,R_A3,24,18,2018-01-01,1634.1942138671875,29
41,0,0.0,STANDARD,0.04470425471663475,300.5696105957031,300.5696105957031,R_A3,25,19,2018-01-01,1638.0269775390625,29
41,0,0.0,STANDARD,0.051204364746809006,300.82659912109375,300.82659912109375,R_A3,26,20,2018-01-01,1641.8597412109375,29
41,0,0.0,STANDARD,0.26031529903411865,301.0836181640625,301.0836181640625,R_A3,27,21,2018-01-01,1645.6925048828125,29
41,0,0.0,STANDARD,0.062201954424381256,301.34063720703125,301.34063720703125,R_A3,28,22,2018-01-01,1649.525146484375,29
52,0,0.0,STANDARD,0.05032138153910637,300.1039123535156,300.1039123535156,R_A4,1,1,2018-01-01,1631.0809326171875,30
52,0,0.0,STANDARD,0.04871990904211998,299.7412414550781,299.7412414550781,R_A4,1,2,2018-01-01,1625.67138671875,31
52,0,0.0,STANDARD,0.04937345162034035,299.8803405761719,299.8803405761719,R_A4,2,3,2018-01-01,1627.746337890625,31
52,0,0.0,STANDARD,0.050110358744859695,300.0194396972656,300.0194396972656,R_A4,3,4,2018-01-01,1629.8214111328125,31
52,0,0.0,STANDARD,0.05243227258324623,300.1585693359375,300.1585693359375,R_A4,4,5,2018-01-01,1631.8963623046875,31
52,0,0.0,STANDARD,0.05388875678181648,300.2976989746094,300.2976989746094,R_A4,5,6,2018-01-01,1633.9713134765625,31
52,0,0.0,STANDARD,0.052976470440626144,300.21295166015625,300.21295166015625,R_A4,5,7,2018-01-01,1632.707275390625,32
52,0,0.0,STANDARD,0.11195115745067596,300.3385314941406,300.3385314941406,R_A4,6,8,2018-01-01,1634.5806884765625,32
51,0,0.0,STANDARD,0.05748099833726883,300.55078125,300.55078125,R_A4,6,9,2018-01-01,1637.74609375,32
51,0,0.0,STANDARD,0.05703789368271828,300.42864990234375,300.42864990234375,R_A4,5,10,2018-01-01,1635.924560546875,32
51,0,0.0,STANDARD,0.17272216081619263,300.6064453125,300.6064453125,R_A4,5,11,2018-01-01,1638.576171875,33
51,0,0.0,STANDARD,0.0574042946100235,300.48175048828125,300.48175048828125,R_A4,4,12,2018-01-01,1636.7166748046875,33
50,0,0.0,STANDARD,0.0609004870057106,300.86895751953125,300.86895751953125,R_A4,4,13,2018-01-01,1642.4912109375,33
50,0,0.0,STANDARD,0.05980986729264259,300.7304382324219,300.7304382324219,R_A4,4,14,2018-01-01,1640.4254150390625,34
50,0,0.0,STANDARD,0.059269051998853683,300.8276672363281,300.8276672363281,R_A4,4,15,2018-01-01,1641.87548828125,35
50,0,0.0,STANDARD,0.19936944544315338,300.7039489746094,300.7039489746094,R_A4,3,16,2018-01-01,1640.0302734375,35
49,0,0.0,STANDARD,0.18559080362319946,300.9615783691406,300.9615783691406,R_A4,3,17,2018-01-01,1643.87255859375,35
49,0,0.0,STANDARD,0.23235194385051727,300.837646484375,300.837646484375,R_A4,2,18,2018-01-01,1642.0244140625,35
49,0,0.0,STANDARD,0.05704626441001892,301.08245849609375,301.08245849609375,R_A4,27,19,2018-01-01,1645.67529296875,36
48,0,0.0,STANDARD,0.05258543789386749,300.9568176269531,300.9568176269531,R_A4,27,20,2018-01-01,1643.8013916015625,36
48,0,0.0,STANDARD,0.270308256149292,301.4018249511719,301.4018249511719,R_A4,27,21,2018-01-01,1650.437744140625,37
48,0,0.0,STANDARD,0.6481541991233826,301.0198974609375,301.0198974609375,R_A4,26,22,2018-01-01,1644.742431640625,37
