CONJPOS,CONBPRES,CONIPOS,DRAWDOWN,SWAT,PRESSURE,DEPTH,WELL,CONKPOS,SGAS,CONIDX,DATE,WELLMODEL
29,303.0699157714844,22,0,0.9650633931159973,303.0699157714844,1674.888916015625,R_A2,18,0.0,19,2018-01-01,STANDARD
29,303.1823425292969,22,0,0.6481541991233826,303.1823425292969,1676.564453125,R_A2,26,0.0,20,2018-01-01,STANDARD
29,303.30078125,22,0,1.0,303.30078125,1678.3299560546875,R_A2,27,0.0,21,2018-01-01,STANDARD
29,303.41925048828125,22,0,1.0,303.41925048828125,1680.0955810546875,R_A2,28,0.0,22,2018-01-01,STANDARD
29,303.84991455078125,22,0,1.0,303.84991455078125,1681.861083984375,R_A2,29,0.0,23,2018-01-01,STANDARD
29,304.0172119140625,22,0,1.0,304.0172119140625,1683.626708984375,R_A2,30,0.0,24,2018-01-01,STANDARD
41,298.7126159667969,28,0,0.6481541991233826,298.7126159667969,1609.908935546875,R_A3,1,0.0,1,2018-01-01,STANDARD
41,298.8511657714844,28,0,0.16887886822223663,298.8511657714844,1611.97607421875,R_A3,2,0.0,2,2018-01-01,STANDARD
41,298.0566711425781,29,0,0.1823394000530243,298.0566711425781,1600.120849609375,R_A3,2,0.0,3,2018-01-01,STANDARD
41,298.20159912109375,29,0,0.11823459714651108,298.20159912109375,1602.283447265625,R_A3,3,0.0,4,2018-01-01,STANDARD
41,298.3465270996094,29,0,0.1536644846200943,298.3465270996094,1604.446044921875,R_A3,4,0.0,5,2018-01-01,STANDARD
41,298.491455078125,29,0,0.6481541991233826,298.491455078125,1606.608642578125,R_A3,5,0.0,6,2018-01-01,STANDARD
41,298.6363830566406,29,0,0.2741779386997223,298.6363830566406,1608.771240234375,R_A3,6,0.0,7,2018-01-01,STANDARD
41,298.78131103515625,29,0,0.19342054426670074,298.78131103515625,1610.9339599609375,R_A3,7,0.0,8,2018-01-01,STANDARD
41,298.92626953125,29,0,0.17140959203243256,298.92626953125,1613.0965576171875,R_A3,8,0.0,9,2018-01-01,STANDARD
41,299.0711975097656,29,0,0.793883740901947,299.0711975097656,1615.2591552734375,R_A3,9,0.0,10,2018-01-01,STANDARD
41,299.2161560058594,29,0,0.6481541991233826,299.2161560058594,1617.421875,R_A3,10,0.0,11,2018-01-01,STANDARD
41,299.3665466308594,29,0,0.048763323575258255,299.3665466308594,1619.665283203125,R_A3,11,0.0,12,2018-01-01,STANDARD
41,299.5223388671875,29,0,0.05172557011246681,299.5223388671875,1621.9893798828125,R_A3,12,0.0,13,2018-01-01,STANDARD
41,299.6781311035156,29,0,0.3638119399547577,299.6781311035156,1624.3134765625,R_A3,13,0.0,14,2018-01-01,STANDARD
41,299.98974609375,29,0,0.601466715335846,299.98974609375,1628.9617919921875,R_A3,15,0.0,15,2018-01-01,STANDARD
41,300.1314697265625,29,0,0.7988640069961548,300.1314697265625,1631.0755615234375,R_A3,16,0.0,16,2018-01-01,STANDARD
41,300.33221435546875,29,0,0.6481541991233826,300.33221435546875,1634.070068359375,R_A3,26,0.0,17,2018-01-01,STANDARD
41,300.5836486816406,29,0,0.04544661194086075,300.5836486816406,1637.81982421875,R_A3,27,0.0,18,2018-01-01,STANDARD
41,300.8350830078125,29,0,0.05094572901725769,300.8350830078125,1641.569580078125,R_A3,28,0.0,19,2018-01-01,STANDARD
41,301.0865173339844,29,0,1.0,301.0865173339844,1645.3194580078125,R_A3,29,0.0,20,2018-01-01,STANDARD
41,301.3379821777344,29,0,0.058841679245233536,301.3379821777344,1649.0692138671875,R_A3,30,0.0,21,2018-01-01,STANDARD
52,300.1675720214844,30,0,0.048496123403310776,300.1675720214844,1631.6142578125,R_A4,1,0.0,1,2018-01-01,STANDARD
52,299.8431396484375,31,0,0.04829096421599388,299.8431396484375,1626.775146484375,R_A4,1,0.0,2,2018-01-01,STANDARD
52,299.97930908203125,31,0,0.0888899564743042,299.97930908203125,1628.8060302734375,R_A4,2,0.0,3,2018-01-01,STANDARD
52,300.1154479980469,31,0,0.05043007805943489,300.1154479980469,1630.8367919921875,R_A4,3,0.0,4,2018-01-01,STANDARD
52,300.2515869140625,31,0,0.05255776271224022,300.2515869140625,1632.8675537109375,R_A4,4,0.0,5,2018-01-01,STANDARD
52,300.38775634765625,31,0,0.15679240226745605,300.38775634765625,1634.8983154296875,R_A4,5,0.0,6,2018-01-01,STANDARD
52,300.2501220703125,32,0,0.052661675959825516,300.2501220703125,1632.845458984375,R_A4,5,0.0,7,2018-01-01,STANDARD
51,300.4498596191406,32,0,0.25699582695961,300.4498596191406,1635.824462890625,R_A4,5,0.0,8,2018-01-01,STANDARD
51,300.609375,33,0,0.31933024525642395,300.609375,1638.20361328125,R_A4,5,0.0,9,2018-01-01,STANDARD
51,300.4869384765625,33,0,0.05869794636964798,300.4869384765625,1636.3779296875,R_A4,4,0.0,10,2018-01-01,STANDARD
50,300.6452331542969,33,0,0.05775585025548935,300.6452331542969,1638.73828125,R_A4,4,0.0,11,2018-01-01,STANDARD
50,300.7265319824219,34,0,0.05952053517103195,300.7265319824219,1639.9510498046875,R_A4,4,0.0,12,2018-01-01,STANDARD
50,300.5974426269531,34,0,0.11351490020751953,300.5974426269531,1638.0257568359375,R_A4,3,0.0,13,2018-01-01,STANDARD
50,300.9035949707031,35,0,0.1389157772064209,300.9035949707031,1642.591552734375,R_A4,3,0.0,14,2018-01-01,STANDARD
49,300.9123229980469,35,0,0.13656160235404968,300.9123229980469,1642.7218017578125,R_A4,3,0.0,15,2018-01-01,STANDARD
49,300.78411865234375,35,0,0.2279331088066101,300.78411865234375,1640.8099365234375,R_A4,2,0.0,16,2018-01-01,STANDARD
49,300.65594482421875,35,0,0.22522461414337158,300.65594482421875,1638.898193359375,R_A4,1,0.0,17,2018-01-01,STANDARD
49,300.9493103027344,36,0,0.22461175918579102,300.9493103027344,1643.2734375,R_A4,29,0.0,18,2018-01-01,STANDARD
48,300.86785888671875,36,0,0.1751631200313568,300.86785888671875,1642.0584716796875,R_A4,29,0.0,19,2018-01-01,STANDARD
48,301.31353759765625,37,0,0.2814798653125763,301.31353759765625,1648.704833984375,R_A4,29,0.0,20,2018-01-01,STANDARD
48,301.5849304199219,38,0,0.6481541991233826,301.5849304199219,1652.7513427734375,R_A4,29,0.0,21,2018-01-01,STANDARD
47,301.8641357421875,38,0,0.6481541991233826,301.8641357421875,1656.914306640625,R_A4,29,0.0,22,2018-01-01,STANDARD
20,303.91107177734375,31,0,1.0,303.91107177734375,1685.7333984375,R_A5,1,0.0,1,2018-01-01,STANDARD
20,304.1131591796875,31,0,1.0,304.1131591796875,1687.865966796875,R_A5,2,0.0,2,2018-01-01,STANDARD
20,304.3152770996094,31,0,1.0,304.3152770996094,1689.9986572265625,R_A5,3,0.0,3,2018-01-01,STANDARD
20,304.5173645019531,31,0,1.0,304.5173645019531,1692.13134765625,R_A5,4,0.0,4,2018-01-01,STANDARD
20,304.719482421875,31,0,1.0,304.719482421875,1694.2640380859375,R_A5,5,0.0,5,2018-01-01,STANDARD
20,304.92156982421875,31,0,1.0,304.92156982421875,1696.396728515625,R_A5,6,0.0,6,2018-01-01,STANDARD
20,305.4294738769531,31,0,1.0,305.4294738769531,1698.5294189453125,R_A5,7,0.0,7,2018-01-01,STANDARD
20,305.631591796875,31,0,1.0,305.631591796875,1700.662109375,R_A5,8,0.0,8,2018-01-01,STANDARD
21,305.34356689453125,31,0,1.0,305.34356689453125,1700.84814453125,R_A5,11,0.0,9,2018-01-01,STANDARD
21,305.53662109375,31,0,1.0,305.53662109375,1702.88525390625,R_A5,12,0.0,10,2018-01-01,STANDARD
21,305.74163818359375,31,0,1.0,305.74163818359375,1704.92236328125,R_A5,13,0.0,11,2018-01-01,STANDARD
21,305.9346923828125,31,0,1.0,305.9346923828125,1706.95947265625,R_A5,14,0.0,12,2018-01-01,STANDARD
21,306.12774658203125,31,0,1.0,306.12774658203125,1708.9964599609375,R_A5,15,0.0,13,2018-01-01,STANDARD
21,306.4658203125,31,0,1.0,306.4658203125,1711.03369140625,R_A5,16,0.0,14,2018-01-01,STANDARD
21,306.6566467285156,31,0,1.0,306.6566467285156,1713.0472412109375,R_A5,17,0.0,15,2018-01-01,STANDARD
21,306.7840270996094,31,0,1.0,306.7840270996094,1714.391357421875,R_A5,18,0.0,16,2018-01-01,STANDARD
21,306.7772521972656,31,0,1.0,306.7772521972656,1715.9775390625,R_A5,26,0.0,17,2018-01-01,STANDARD
21,306.9906005859375,31,0,1.0,306.9906005859375,1718.2286376953125,R_A5,27,0.0,18,2018-01-01,STANDARD
21,307.5097351074219,31,0,1.0,307.5097351074219,1720.479736328125,R_A5,28,0.0,19,2018-01-01,STANDARD
21,307.7231140136719,31,0,1.0,307.7231140136719,1722.7308349609375,R_A5,29,0.0,20,2018-01-01,STANDARD
21,307.93646240234375,31,0,1.0,307.93646240234375,1724.98193359375,R_A5,30,0.0,21,2018-01-01,STANDARD
42,305.080078125,17,0,1.0,305.080078125,1694.842529296875,R_A6,1,0.0,1,2018-01-01,STANDARD
42,305.2259826660156,17,0,1.0,305.2259826660156,1696.382080078125,R_A6,2,0.0,2,2018-01-01,STANDARD
42,305.37188720703125,17,0,1.0,305.37188720703125,1697.921630859375,R_A6,3,0.0,3,2018-01-01,STANDARD
42,305.5177917480469,17,0,1.0,305.5177917480469,1699.461181640625,R_A6,4,0.0,4,2018-01-01,STANDARD
42,305.6636962890625,17,0,1.0,305.6636962890625,1701.000732421875,R_A6,5,0.0,5,2018-01-01,STANDARD
42,305.8095703125,17,0,1.0,305.8095703125,1702.5404052734375,R_A6,6,0.0,6,2018-01-01,STANDARD
42,305.65643310546875,17,0,1.0,305.65643310546875,1704.0799560546875,R_A6,7,0.0,7,2018-01-01,STANDARD
42,305.8023376464844,17,0,1.0,305.8023376464844,1705.6195068359375,R_A6,8,0.0,8,2018-01-01,STANDARD
