CONKPOS,CONJPOS,DEPTH,DATE,PRESSURE,CONIPOS,WELL,WELLMODEL,CONIDX,SWAT,SGAS,CONBPRES,DRAWDOWN
31,41,1649.1859130859375,2018-01-01,301.32977294921875,29,R_A3,STANDARD,22,0.06262507289648056,0.0,301.32977294921875,0
1,52,1632.30322265625,2018-01-01,300.1977233886719,30,R_A4,STANDARD,1,0.0486600287258625,0.0,300.1977233886719,0
1,52,1627.2349853515625,2018-01-01,299.8579406738281,31,R_A4,STANDARD,2,0.04562300816178322,0.0,299.8579406738281,0
2,52,1629.3280029296875,2018-01-01,299.9982604980469,31,R_A4,STANDARD,3,0.04887636378407478,0.0,299.9982604980469,0
3,52,1631.4210205078125,2018-01-01,300.1385803222656,31,R_A4,STANDARD,4,0.051121797412633896,0.0,300.1385803222656,0
4,52,1633.5140380859375,2018-01-01,300.2789001464844,31,R_A4,STANDARD,5,0.05306847766041756,0.0,300.2789001464844,0
4,52,1631.97607421875,2018-01-01,300.17578125,32,R_A4,STANDARD,6,0.05339000001549721,0.0,300.17578125,0
4,51,1635.900634765625,2018-01-01,300.4389343261719,32,R_A4,STANDARD,7,0.057212211191654205,0.0,300.4389343261719,0
4,51,1636.659912109375,2018-01-01,300.4898376464844,33,R_A4,STANDARD,8,0.056352224200963974,0.0,300.4898376464844,0
4,50,1641.75244140625,2018-01-01,300.831298828125,33,R_A4,STANDARD,9,0.058233361691236496,0.0,300.831298828125,0
4,50,1640.248779296875,2018-01-01,300.73046875,34,R_A4,STANDARD,10,0.06045253947377205,0.0,300.73046875,0
4,50,1639.623779296875,2018-01-01,300.6885681152344,35,R_A4,STANDARD,11,0.06105758994817734,0.0,300.6885681152344,0
3,50,1637.8094482421875,2018-01-01,300.56689453125,35,R_A4,STANDARD,12,0.2043607532978058,0.0,300.56689453125,0
31,49,1643.636962890625,2018-01-01,300.9576721191406,35,R_A4,STANDARD,13,0.059238631278276443,0.0,300.9576721191406,0
30,49,1637.697998046875,2018-01-01,300.5594177246094,35,R_A4,STANDARD,14,0.049328550696372986,0.0,300.5594177246094,0
30,49,1642.172119140625,2018-01-01,300.85943603515625,36,R_A4,STANDARD,15,0.16030099987983704,0.0,300.85943603515625,0
30,48,1644.021240234375,2018-01-01,300.9834289550781,36,R_A4,STANDARD,16,0.05420197546482086,0.0,300.9834289550781,0
30,48,1648.866455078125,2018-01-01,301.308349609375,37,R_A4,STANDARD,17,0.6481541991233826,0.0,301.308349609375,0
30,48,1651.7003173828125,2018-01-01,301.4984130859375,38,R_A4,STANDARD,18,0.3363630473613739,0.0,301.4984130859375,0
30,47,1661.0733642578125,2018-01-01,302.1270751953125,38,R_A4,STANDARD,19,1.0,0.0,302.1270751953125,0
1,20,1685.8167724609375,2018-01-01,303.9189758300781,31,R_A5,STANDARD,1,1.0,0.0,303.9189758300781,0
2,20,1687.992919921875,2018-01-01,304.12518310546875,31,R_A5,STANDARD,2,1.0,0.0,304.12518310546875,0
3,20,1690.169189453125,2018-01-01,304.3314208984375,31,R_A5,STANDARD,3,1.0,0.0,304.3314208984375,0
4,20,1692.3453369140625,2018-01-01,304.53765869140625,31,R_A5,STANDARD,4,1.0,0.0,304.53765869140625,0
5,20,1694.521484375,2018-01-01,304.7438659667969,31,R_A5,STANDARD,5,1.0,0.0,304.7438659667969,0
6,20,1696.69775390625,2018-01-01,304.9501037597656,31,R_A5,STANDARD,6,1.0,0.0,304.9501037597656,0
7,20,1698.8739013671875,2018-01-01,305.4621276855469,31,R_A5,STANDARD,7,1.0,0.0,305.4621276855469,0
8,20,1701.050048828125,2018-01-01,305.6683349609375,31,R_A5,STANDARD,8,1.0,0.0,305.6683349609375,0
11,21,1699.62158203125,2018-01-01,305.2273254394531,31,R_A5,STANDARD,9,1.0,0.0,305.2273254394531,0
12,21,1701.60986328125,2018-01-01,305.4157409667969,31,R_A5,STANDARD,10,1.0,0.0,305.4157409667969,0
13,21,1703.59814453125,2018-01-01,305.6161193847656,31,R_A5,STANDARD,11,1.0,0.0,305.6161193847656,0
14,21,1705.58642578125,2018-01-01,305.8045654296875,31,R_A5,STANDARD,12,1.0,0.0,305.8045654296875,0
15,21,1707.57470703125,2018-01-01,305.99298095703125,31,R_A5,STANDARD,13,1.0,0.0,305.99298095703125,0
16,21,1709.56298828125,2018-01-01,306.3264465332031,31,R_A5,STANDARD,14,1.0,0.0,306.3264465332031,0
17,21,1711.55126953125,2018-01-01,306.5148620605469,31,R_A5,STANDARD,15,1.0,0.0,306.5148620605469,0
18,21,1713.1304931640625,2018-01-01,306.66455078125,31,R_A5,STANDARD,16,1.0,0.0,306.66455078125,0
19,21,1713.88818359375,2018-01-01,306.7363586425781,31,R_A5,STANDARD,17,1.0,0.0,306.7363586425781,0
27,21,1715.214599609375,2018-01-01,306.7049560546875,31,R_A5,STANDARD,18,1.0,0.0,306.7049560546875,0
28,21,1717.5220947265625,2018-01-01,306.92364501953125,31,R_A5,STANDARD,19,1.0,0.0,306.92364501953125,0
29,21,1719.82958984375,2018-01-01,307.4481201171875,31,R_A5,STANDARD,20,1.0,0.0,307.4481201171875,0
30,21,1722.13720703125,2018-01-01,307.6668395996094,31,R_A5,STANDARD,21,1.0,0.0,307.6668395996094,0
31,21,1724.4447021484375,2018-01-01,307.8855285644531,31,R_A5,STANDARD,22,1.0,0.0,307.8855285644531,0
1,42,1694.2781982421875,2018-01-01,305.026611328125,17,R_A6,STANDARD,1,1.0,0.0,305.026611328125,0
2,42,1695.8114013671875,2018-01-01,305.1719055175781,17,R_A6,STANDARD,2,1.0,0.0,305.1719055175781,0
3,42,1697.3447265625,2018-01-01,305.31719970703125,17,R_A6,STANDARD,3,1.0,0.0,305.31719970703125,0
4,42,1698.8779296875,2018-01-01,305.4624938964844,17,R_A6,STANDARD,4,1.0,0.0,305.4624938964844,0
5,42,1700.4111328125,2018-01-01,305.6077880859375,17,R_A6,STANDARD,5,1.0,0.0,305.6077880859375,0
6,42,1701.9442138671875,2018-01-01,305.7530822753906,17,R_A6,STANDARD,6,1.0,0.0,305.7530822753906,0
7,42,1703.4775390625,2018-01-01,305.5993347167969,17,R_A6,STANDARD,7,1.0,0.0,305.5993347167969,0
