CONKPOS,PRESSURE,WELL,CONJPOS,SWAT,SGAS,DRAWDOWN,DEPTH,CONBPRES,CONIPOS,CONIDX,DATE,WELLMODEL
28,300.40966796875,R_A3,41,0.04364456981420517,0.0,0,1637.1630859375,300.40966796875,29,19,2018-01-01,STANDARD
29,300.6535339355469,R_A3,41,0.05188838392496109,0.0,0,1640.8001708984375,300.6535339355469,29,20,2018-01-01,STANDARD
30,300.89739990234375,R_A3,41,1.0,0.0,0,1644.4371337890625,300.89739990234375,29,21,2018-01-01,STANDARD
31,301.14129638671875,R_A3,41,0.0641801506280899,0.0,0,1648.0740966796875,301.14129638671875,29,22,2018-01-01,STANDARD
1,300.009033203125,R_A4,52,0.05036125332117081,0.0,0,1631.1873779296875,300.009033203125,30,1,2018-01-01,STANDARD
1,299.7571105957031,R_A4,52,0.08347222208976746,0.0,0,1627.4293212890625,299.7571105957031,31,2,2018-01-01,STANDARD
2,299.89520263671875,R_A4,52,0.05255189538002014,0.0,0,1629.4896240234375,299.89520263671875,31,3,2018-01-01,STANDARD
3,300.0333251953125,R_A4,52,0.05367308482527733,0.0,0,1631.5498046875,300.0333251953125,31,4,2018-01-01,STANDARD
4,300.17144775390625,R_A4,52,0.05652542784810066,0.0,0,1633.610107421875,300.17144775390625,31,5,2018-01-01,STANDARD
4,300.0901184082031,R_A4,52,0.05670516937971115,0.0,0,1632.3968505859375,300.0901184082031,32,6,2018-01-01,STANDARD
4,300.3236999511719,R_A4,51,0.06039223074913025,0.0,0,1635.880615234375,300.3236999511719,32,7,2018-01-01,STANDARD
4,300.4202575683594,R_A4,51,0.062218718230724335,0.0,0,1637.321044921875,300.4202575683594,33,8,2018-01-01,STANDARD
3,300.29644775390625,R_A4,51,0.05870724841952324,0.0,0,1635.474609375,300.29644775390625,33,9,2018-01-01,STANDARD
4,300.74395751953125,R_A4,50,0.06312906742095947,0.0,0,1642.1485595703125,300.74395751953125,33,10,2018-01-01,STANDARD
4,300.67578125,R_A4,50,0.06255592405796051,0.0,0,1641.132080078125,300.67578125,34,11,2018-01-01,STANDARD
3,300.5467224121094,R_A4,50,0.1182539239525795,0.0,0,1639.20703125,300.5467224121094,34,12,2018-01-01,STANDARD
3,300.66064453125,R_A4,50,0.10039374977350235,0.0,0,1640.9061279296875,300.66064453125,35,13,2018-01-01,STANDARD
2,300.53570556640625,R_A4,50,0.18232817947864532,0.0,0,1639.0426025390625,300.53570556640625,35,14,2018-01-01,STANDARD
2,300.72943115234375,R_A4,49,0.23937761783599854,0.0,0,1641.93212890625,300.72943115234375,35,15,2018-01-01,STANDARD
30,300.7579650878906,R_A4,49,0.05827876925468445,0.0,0,1642.357421875,300.7579650878906,36,16,2018-01-01,STANDARD
30,300.5735168457031,R_A4,48,0.6481541991233826,0.0,0,1639.6068115234375,300.5735168457031,36,17,2018-01-01,STANDARD
30,301.0526123046875,R_A4,48,0.05980163440108299,0.0,0,1646.7513427734375,301.0526123046875,37,18,2018-01-01,STANDARD
30,301.5025939941406,R_A4,48,0.10777666419744492,0.0,0,1653.461669921875,301.5025939941406,38,19,2018-01-01,STANDARD
30,301.7947998046875,R_A4,47,0.07282351702451706,0.0,0,1657.8184814453125,301.7947998046875,38,20,2018-01-01,STANDARD
1,303.8440856933594,R_A5,20,1.0,0.0,0,1685.026611328125,303.8440856933594,31,1,2018-01-01,STANDARD
2,304.0601806640625,R_A5,20,1.0,0.0,0,1687.3070068359375,304.0601806640625,31,2,2018-01-01,STANDARD
3,304.27630615234375,R_A5,20,1.0,0.0,0,1689.5875244140625,304.27630615234375,31,3,2018-01-01,STANDARD
4,304.4924011230469,R_A5,20,1.0,0.0,0,1691.8680419921875,304.4924011230469,31,4,2018-01-01,STANDARD
5,304.7085266113281,R_A5,20,1.0,0.0,0,1694.1485595703125,304.7085266113281,31,5,2018-01-01,STANDARD
6,304.9246520996094,R_A5,20,1.0,0.0,0,1696.4290771484375,304.9246520996094,31,6,2018-01-01,STANDARD
7,305.446533203125,R_A5,20,1.0,0.0,0,1698.70947265625,305.446533203125,31,7,2018-01-01,STANDARD
11,305.988037109375,R_A5,20,1.0,0.0,0,1707.6488037109375,305.988037109375,31,8,2018-01-01,STANDARD
12,306.1695251464844,R_A5,20,1.0,0.0,0,1709.5638427734375,306.1695251464844,31,9,2018-01-01,STANDARD
12,305.4322814941406,R_A5,21,1.0,0.0,0,1701.7845458984375,305.4322814941406,31,10,2018-01-01,STANDARD
13,305.6291198730469,R_A5,21,1.0,0.0,0,1703.735107421875,305.6291198730469,31,11,2018-01-01,STANDARD
14,305.81396484375,R_A5,21,1.0,0.0,0,1705.6856689453125,305.81396484375,31,12,2018-01-01,STANDARD
15,305.9988098144531,R_A5,21,1.0,0.0,0,1707.63623046875,305.9988098144531,31,13,2018-01-01,STANDARD
16,306.3287048339844,R_A5,21,1.0,0.0,0,1709.5867919921875,306.3287048339844,31,14,2018-01-01,STANDARD
17,306.5135498046875,R_A5,21,1.0,0.0,0,1711.537353515625,306.5135498046875,31,15,2018-01-01,STANDARD
18,306.6856994628906,R_A5,21,1.0,0.0,0,1713.35400390625,306.6856994628906,31,16,2018-01-01,STANDARD
19,306.7843933105469,R_A5,21,1.0,0.0,0,1714.3951416015625,306.7843933105469,31,17,2018-01-01,STANDARD
27,306.75689697265625,R_A5,21,1.0,0.0,0,1715.7628173828125,306.75689697265625,31,18,2018-01-01,STANDARD
28,306.978271484375,R_A5,21,1.0,0.0,0,1718.098388671875,306.978271484375,31,19,2018-01-01,STANDARD
29,307.5054016113281,R_A5,21,1.0,0.0,0,1720.43408203125,307.5054016113281,31,20,2018-01-01,STANDARD
30,307.7267761230469,R_A5,21,1.0,0.0,0,1722.7696533203125,307.7267761230469,31,21,2018-01-01,STANDARD
31,307.9481506347656,R_A5,21,1.0,0.0,0,1725.105224609375,307.9481506347656,31,22,2018-01-01,STANDARD
1,305.11419677734375,R_A6,42,1.0,0.0,0,1695.20263671875,305.11419677734375,17,1,2018-01-01,STANDARD
2,305.2609558105469,R_A6,42,1.0,0.0,0,1696.7510986328125,305.2609558105469,17,2,2018-01-01,STANDARD
3,305.4076843261719,R_A6,42,1.0,0.0,0,1698.299560546875,305.4076843261719,17,3,2018-01-01,STANDARD
4,305.554443359375,R_A6,42,1.0,0.0,0,1699.84814453125,305.554443359375,17,4,2018-01-01,STANDARD
5,305.7012023925781,R_A6,42,1.0,0.0,0,1701.3966064453125,305.7012023925781,17,5,2018-01-01,STANDARD
6,305.84796142578125,R_A6,42,1.0,0.0,0,1702.9451904296875,305.84796142578125,17,6,2018-01-01,STANDARD
7,305.6956481933594,R_A6,42,1.0,0.0,0,1704.49365234375,305.6956481933594,17,7,2018-01-01,STANDARD
8,306.1414489746094,R_A6,42,1.0,0.0,0,1706.042236328125,306.1414489746094,17,8,2018-01-01,STANDARD
9,306.2882080078125,R_A6,42,1.0,0.0,0,1707.5906982421875,306.2882080078125,17,9,2018-01-01,STANDARD
10,306.1291809082031,R_A6,42,1.0,0.0,0,1709.1392822265625,306.1291809082031,17,10,2018-01-01,STANDARD
11,306.3109130859375,R_A6,42,1.0,0.0,0,1711.055419921875,306.3109130859375,17,11,2018-01-01,STANDARD
12,306.52734375,R_A6,42,1.0,0.0,0,1713.3392333984375,306.52734375,17,12,2018-01-01,STANDARD
13,306.7557678222656,R_A6,42,1.0,0.0,0,1715.623046875,306.7557678222656,17,13,2018-01-01,STANDARD
14,306.9721984863281,R_A6,42,1.0,0.0,0,1717.9068603515625,306.9721984863281,17,14,2018-01-01,STANDARD
15,307.18865966796875,R_A6,42,1.0,0.0,0,1720.190673828125,307.18865966796875,17,15,2018-01-01,STANDARD
16,307.55010986328125,R_A6,42,1.0,0.0,0,1722.474365234375,307.55010986328125,17,16,2018-01-01,STANDARD
17,307.7665710449219,R_A6,42,1.0,0.0,0,1724.7581787109375,307.7665710449219,17,17,2018-01-01,STANDARD
18,307.921630859375,R_A6,42,1.0,0.0,0,1726.394287109375,307.921630859375,17,18,2018-01-01,STANDARD
27,307.8930969238281,R_A6,42,1.0,0.0,0,1727.7508544921875,307.8930969238281,17,19,2018-01-01,STANDARD
28,308.3623352050781,R_A6,42,1.0,0.0,0,1729.4755859375,308.3623352050781,17,20,2018-01-01,STANDARD
29,308.22003173828125,R_A6,42,1.0,0.0,0,1731.2001953125,308.22003173828125,17,21,2018-01-01,STANDARD
30,308.68927001953125,R_A6,42,1.0,0.0,0,1732.9249267578125,308.68927001953125,17,22,2018-01-01,STANDARD
31,308.5469665527344,R_A6,42,1.0,0.0,0,1734.649658203125,308.5469665527344,17,23,2018-01-01,STANDARD
1,298.36199951171875,R_A2,30,0.05683608725667,0.0,0,1641.094970703125,298.36199951171875,22,1,2018-03-01,STANDARD
2,298.48223876953125,R_A2,30,0.05988147854804993,0.0,0,1642.8890380859375,298.48223876953125,22,2,2018-03-01,STANDARD
3,298.6024475097656,R_A2,30,0.06264238059520721,0.0,0,1644.68310546875,298.6024475097656,22,3,2018-03-01,STANDARD
4,298.72265625,R_A2,30,0.06647804379463196,0.0,0,1646.4771728515625,298.72265625,22,4,2018-03-01,STANDARD
5,298.8428955078125,R_A2,30,0.07090700417757034,0.0,0,1648.2713623046875,298.8428955078125,22,5,2018-03-01,STANDARD
6,298.96307373046875,R_A2,30,0.23949560523033142,0.0,0,1650.0654296875,298.96307373046875,22,6,2018-03-01,STANDARD
7,299.09283447265625,R_A2,30,0.8950639367103577,0.0,0,1651.859619140625,299.09283447265625,22,7,2018-03-01,STANDARD
8,299.2207336425781,R_A2,30,0.8684225678443909,0.0,0,1653.6536865234375,299.2207336425781,22,8,2018-03-01,STANDARD
9,299.3477783203125,R_A2,30,0.8944923281669617,0.0,0,1655.44775390625,299.3477783203125,22,9,2018-03-01,STANDARD
10,299.6589660644531,R_A2,30,0.9061681032180786,0.0,0,1657.2418212890625,299.6589660644531,22,10,2018-03-01,STANDARD
11,299.8236083984375,R_A2,30,0.07768446952104568,0.0,0,1659.1368408203125,299.8236083984375,22,11,2018-03-01,STANDARD
12,299.9573974609375,R_A2,30,0.08102357387542725,0.0,0,1661.132568359375,299.9573974609375,22,12,2018-03-01,STANDARD
13,300.091796875,R_A2,30,0.4633321464061737,0.0,0,1663.12841796875,300.091796875,22,13,2018-03-01,STANDARD
14,300.2269592285156,R_A2,30,0.5083861947059631,0.0,0,1665.1241455078125,300.2269592285156,22,14,2018-03-01,STANDARD
15,300.3680725097656,R_A2,30,0.6800090074539185,0.0,0,1667.1199951171875,300.3680725097656,22,15,2018-03-01,STANDARD
16,300.50244140625,R_A2,30,0.9764842987060547,0.0,0,1669.11572265625,300.50244140625,22,16,2018-03-01,STANDARD
17,300.6368408203125,R_A2,30,0.9520856738090515,0.0,0,1671.111572265625,300.6368408203125,22,17,2018-03-01,STANDARD
18,300.76287841796875,R_A2,30,0.980376660823822,0.0,0,1672.9881591796875,300.76287841796875,22,18,2018-03-01,STANDARD
18,300.7408142089844,R_A2,29,0.9920997619628906,0.0,0,1674.229736328125,300.7408142089844,22,19,2018-03-01,STANDARD
27,301.0494689941406,R_A2,29,0.44705989956855774,0.0,0,1676.1676025390625,301.0494689941406,22,20,2018-03-01,STANDARD
28,302.2690734863281,R_A2,29,1.0,-1.258193961344023e-12,0,1677.9368896484375,302.2690734863281,22,21,2018-03-01,STANDARD
29,303.1478271484375,R_A2,29,1.0,-8.721637371729776e-14,0,1679.7061767578125,303.1478271484375,22,22,2018-03-01,STANDARD
30,303.6062927246094,R_A2,29,1.0,-7.987350438985654e-15,0,1681.4754638671875,303.6062927246094,22,23,2018-03-01,STANDARD
31,303.87353515625,R_A2,29,1.0,-1.485147970925406e-15,0,1683.2447509765625,303.87353515625,22,24,2018-03-01,STANDARD
1,274.8910217285156,R_A5,20,1.0,1.0381729113537186e-13,0,1685.026611328125,274.8910217285156,31,1,2018-04-28,STANDARD
2,275.1070251464844,R_A5,20,1.0,8.638611879866268e-14,0,1687.3070068359375,275.1070251464844,31,2,2018-04-28,STANDARD
3,275.3226318359375,R_A5,20,1.0,8.465455306151323e-14,0,1689.5875244140625,275.3226318359375,31,3,2018-04-28,STANDARD
4,275.5379638671875,R_A5,20,1.0,9.115709624857651e-14,0,1691.8680419921875,275.5379638671875,31,4,2018-04-28,STANDARD
5,275.75360107421875,R_A5,20,1.0,8.756291861294202e-14,0,1694.1485595703125,275.75360107421875,31,5,2018-04-28,STANDARD
6,275.9693603515625,R_A5,20,1.0,8.777401955218853e-14,0,1696.4290771484375,275.9693603515625,31,6,2018-04-28,STANDARD
7,276.50927734375,R_A5,20,1.0,2.42969876260591e-14,0,1698.70947265625,276.50927734375,31,7,2018-04-28,STANDARD
11,277.5616149902344,R_A5,20,1.0,-4.5291667551822234e-13,0,1707.6488037109375,277.5616149902344,31,8,2018-04-28,STANDARD
12,278.1063232421875,R_A5,20,1.0,-1.0084771559504269e-12,0,1709.5638427734375,278.1063232421875,31,9,2018-04-28,STANDARD
12,276.4608459472656,R_A5,21,1.0,-7.844621653652073e-12,0,1701.7845458984375,276.4608459472656,31,10,2018-04-28,STANDARD
13,276.6600646972656,R_A5,21,1.0,-4.746625727018727e-13,0,1703.735107421875,276.6600646972656,31,11,2018-04-28,STANDARD
14,276.84893798828125,R_A5,21,1.0,-6.557254739192331e-13,0,1705.6856689453125,276.84893798828125,31,12,2018-04-28,STANDARD
15,277.052001953125,R_A5,21,1.0,-1.243520260721387e-13,0,1707.63623046875,277.052001953125,31,13,2018-04-28,STANDARD
16,277.4588928222656,R_A5,21,1.0,-1.367951162501574e-13,0,1709.5867919921875,277.4588928222656,31,14,2018-04-28,STANDARD
17,277.8323669433594,R_A5,21,1.0,-3.0620278312692636e-14,0,1711.537353515625,277.8323669433594,31,15,2018-04-28,STANDARD
18,278.2248840332031,R_A5,21,1.0,-3.612836755022969e-14,0,1713.35400390625,278.2248840332031,31,16,2018-04-28,STANDARD
19,278.4433288574219,R_A5,21,1.0,0.0,0,1714.3951416015625,278.4433288574219,31,17,2018-04-28,STANDARD
27,278.48095703125,R_A5,21,1.0,-3.901245212295512e-12,0,1715.7628173828125,278.48095703125,31,18,2018-04-28,STANDARD
28,278.74066162109375,R_A5,21,1.0,-4.927923086955888e-12,0,1718.098388671875,278.74066162109375,31,19,2018-04-28,STANDARD
29,279.7746276855469,R_A5,21,1.0,-2.7895700072805285e-12,0,1720.43408203125,279.7746276855469,31,20,2018-04-28,STANDARD
30,292.2006530761719,R_A5,21,1.0,-3.419874679587801e-17,0,1722.7696533203125,292.2006530761719,31,21,2018-04-28,STANDARD
31,302.4530029296875,R_A5,21,1.0,-7.282703615600287e-20,0,1725.105224609375,302.4530029296875,31,22,2018-04-28,STANDARD
1,281.6401062011719,R_A3,41,0.6492316126823425,0.0,0,1609.243408203125,281.6401062011719,28,1,2018-07-03,STANDARD
2,281.7806701660156,R_A3,41,0.1957794427871704,0.0,0,1611.3077392578125,281.7806701660156,28,2,2018-07-03,STANDARD
3,281.91851806640625,R_A3,41,0.19626601040363312,0.0,0,1613.3720703125,281.91851806640625,28,3,2018-07-03,STANDARD
4,282.0652160644531,R_A3,41,0.3926710784435272,0.0,0,1615.4365234375,282.0652160644531,28,4,2018-07-03,STANDARD
5,283.408203125,R_A3,41,0.7953894734382629,0.0,0,1617.5008544921875,283.408203125,28,5,2018-07-03,STANDARD
6,283.5862731933594,R_A3,41,0.6491609215736389,0.0,0,1619.565185546875,283.5862731933594,28,6,2018-07-03,STANDARD
6,282.6203918457031,R_A3,41,0.6491647958755493,0.0,0,1609.3663330078125,282.6203918457031,29,7,2018-07-03,STANDARD
7,282.7572021484375,R_A3,41,0.19894206523895264,0.0,0,1611.4163818359375,282.7572021484375,29,8,2018-07-03,STANDARD
8,282.8941955566406,R_A3,41,0.19986774027347565,0.0,0,1613.46630859375,282.8941955566406,29,9,2018-07-03,STANDARD
9,283.15509033203125,R_A3,41,0.7983396649360657,0.0,0,1615.516357421875,283.15509033203125,29,10,2018-07-03,STANDARD
10,283.8224182128906,R_A3,41,0.7983014583587646,0.0,0,1617.5662841796875,283.8224182128906,29,11,2018-07-03,STANDARD
11,283.818115234375,R_A3,41,0.05060712993144989,0.0,0,1619.750732421875,283.818115234375,29,12,2018-07-03,STANDARD
12,283.9729919433594,R_A3,41,0.05451301485300064,0.0,0,1622.0697021484375,283.9729919433594,29,13,2018-07-03,STANDARD
13,284.1282043457031,R_A3,41,0.37359583377838135,0.0,0,1624.388671875,284.1282043457031,29,14,2018-07-03,STANDARD
14,284.6863098144531,R_A3,41,0.4011041522026062,0.0,0,1626.707763671875,284.6863098144531,29,15,2018-07-03,STANDARD
15,285.2266540527344,R_A3,41,0.49899062514305115,0.0,0,1629.026611328125,285.2266540527344,29,16,2018-07-03,STANDARD
16,285.3847351074219,R_A3,41,0.8075438737869263,0.0,0,1630.9468994140625,285.3847351074219,29,17,2018-07-03,STANDARD
27,287.5721740722656,R_A3,41,0.9999998211860657,-1.16328902066698e-08,0,1633.5262451171875,287.5721740722656,29,18,2018-07-03,STANDARD
28,285.0848083496094,R_A3,41,0.043856266885995865,0.0,0,1637.1630859375,285.0848083496094,29,19,2018-07-03,STANDARD
29,285.3277282714844,R_A3,41,0.052131377160549164,0.0,0,1640.8001708984375,285.3277282714844,29,20,2018-07-03,STANDARD
30,288.3792419433594,R_A3,41,1.0,2.6805339631980063e-12,0,1644.4371337890625,288.3792419433594,29,21,2018-07-03,STANDARD
31,285.8156433105469,R_A3,41,0.06447012722492218,0.0,0,1648.0740966796875,285.8156433105469,29,22,2018-07-03,STANDARD
1,276.2088317871094,R_A4,52,0.05048023536801338,0.0,0,1631.1873779296875,276.2088317871094,30,1,2018-09-12,STANDARD
1,276.046630859375,R_A4,52,0.08367741852998734,0.0,0,1627.4293212890625,276.046630859375,31,2,2018-09-12,STANDARD
2,276.183837890625,R_A4,52,0.052672356367111206,0.0,0,1629.4896240234375,276.183837890625,31,3,2018-09-12,STANDARD
3,276.32110595703125,R_A4,52,0.05380081385374069,0.0,0,1631.5498046875,276.32110595703125,31,4,2018-09-12,STANDARD
4,276.4583740234375,R_A4,52,0.05666087567806244,0.0,0,1633.610107421875,276.4583740234375,31,5,2018-09-12,STANDARD
4,276.4490661621094,R_A4,52,0.056835345923900604,0.0,0,1632.3968505859375,276.4490661621094,32,6,2018-09-12,STANDARD
4,276.4912414550781,R_A4,51,0.060942355543375015,0.0,0,1635.880615234375,276.4912414550781,32,7,2018-09-12,STANDARD
4,276.6386413574219,R_A4,51,0.06299544870853424,0.0,0,1637.321044921875,276.6386413574219,33,8,2018-09-12,STANDARD
3,276.515625,R_A4,51,0.05888340249657631,0.0,0,1635.474609375,276.515625,33,9,2018-09-12,STANDARD
4,276.72149658203125,R_A4,50,0.06387447565793991,0.0,0,1642.1485595703125,276.72149658203125,33,10,2018-09-12,STANDARD
4,276.7660217285156,R_A4,50,0.06297650933265686,0.0,0,1641.132080078125,276.7660217285156,34,11,2018-09-12,STANDARD
3,276.637939453125,R_A4,50,0.11853623390197754,0.0,0,1639.20703125,276.637939453125,34,12,2018-09-12,STANDARD
3,276.9154968261719,R_A4,50,0.10057888925075531,0.0,0,1640.9061279296875,276.9154968261719,35,13,2018-09-12,STANDARD
2,276.7919921875,R_A4,50,0.18275931477546692,0.0,0,1639.0426025390625,276.7919921875,35,14,2018-09-12,STANDARD
2,276.8262939453125,R_A4,49,0.23982465267181396,0.0,0,1641.93212890625,276.8262939453125,35,15,2018-09-12,STANDARD
30,278.76031494140625,R_A4,49,0.058444343507289886,0.0,0,1642.357421875,278.76031494140625,36,16,2018-09-12,STANDARD
30,278.543701171875,R_A4,48,0.6495987772941589,0.0,0,1639.6068115234375,278.543701171875,36,17,2018-09-12,STANDARD
30,279.0820007324219,R_A4,48,0.06002262234687805,0.0,0,1646.7513427734375,279.0820007324219,37,18,2018-09-12,STANDARD
30,279.5960998535156,R_A4,48,0.12862281501293182,0.0,0,1653.461669921875,279.5960998535156,38,19,2018-09-12,STANDARD
30,279.835693359375,R_A4,47,0.08159460127353668,0.0,0,1657.8184814453125,279.835693359375,38,20,2018-09-12,STANDARD
1,275.61474609375,R_A6,42,1.0,-6.252246115819938e-16,0,1695.20263671875,275.61474609375,17,1,2018-11-07,STANDARD
2,275.7591247558594,R_A6,42,1.0,-3.1938946934153775e-16,0,1696.7510986328125,275.7591247558594,17,2,2018-11-07,STANDARD
3,275.8993225097656,R_A6,42,1.0,-2.2242132282832266e-16,0,1698.299560546875,275.8993225097656,17,3,2018-11-07,STANDARD
4,276.0343017578125,R_A6,42,1.0,-1.8173367169048871e-16,0,1699.84814453125,276.0343017578125,17,4,2018-11-07,STANDARD
5,276.1668395996094,R_A6,42,1.0,-2.0825714524010764e-16,0,1701.3966064453125,276.1668395996094,17,5,2018-11-07,STANDARD
6,276.3016052246094,R_A6,42,1.0,-3.0959665674053477e-16,0,1702.9451904296875,276.3016052246094,17,6,2018-11-07,STANDARD
7,276.14239501953125,R_A6,42,1.0,-9.631871682343456e-15,0,1704.49365234375,276.14239501953125,17,7,2018-11-07,STANDARD
8,276.58160400390625,R_A6,42,1.0,-5.342711666178927e-16,0,1706.042236328125,276.58160400390625,17,8,2018-11-07,STANDARD
9,276.7143249511719,R_A6,42,1.0,-5.634618807439664e-16,0,1707.5906982421875,276.7143249511719,17,9,2018-11-07,STANDARD
10,276.5296936035156,R_A6,42,1.0,-1.1633284667609406e-13,0,1709.1392822265625,276.5296936035156,17,10,2018-11-07,STANDARD
11,276.70379638671875,R_A6,42,1.0,-1.572103178974077e-13,0,1711.055419921875,276.70379638671875,17,11,2018-11-07,STANDARD
12,276.92034912109375,R_A6,42,1.0,-1.3512858909082992e-13,0,1713.3392333984375,276.92034912109375,17,12,2018-11-07,STANDARD
13,277.1549377441406,R_A6,42,1.0,-1.6047218756717538e-14,0,1715.623046875,277.1549377441406,17,13,2018-11-07,STANDARD
14,277.3711242675781,R_A6,42,1.0,-9.55818659219591e-15,0,1717.9068603515625,277.3711242675781,17,14,2018-11-07,STANDARD
15,277.5872802734375,R_A6,42,1.0,-7.295695521509788e-15,0,1720.190673828125,277.5872802734375,17,15,2018-11-07,STANDARD
