CONJPOS,DRAWDOWN,CONIDX,CONBPRES,PRESSURE,SWAT,CONKPOS,WELLMODEL,DEPTH,DATE,CONIPOS,WELL,SGAS
42,0,12,306.52734375,306.52734375,1.0,12,STANDARD,1713.3392333984375,2018-01-01,17,R_A6,0.0
42,0,13,306.7557678222656,306.7557678222656,1.0,13,STANDARD,1715.623046875,2018-01-01,17,R_A6,0.0
42,0,14,306.9721984863281,306.9721984863281,1.0,14,STANDARD,1717.9068603515625,2018-01-01,17,R_A6,0.0
42,0,15,307.18865966796875,307.18865966796875,1.0,15,STANDARD,1720.190673828125,2018-01-01,17,R_A6,0.0
42,0,16,307.55010986328125,307.55010986328125,1.0,16,STANDARD,1722.474365234375,2018-01-01,17,R_A6,0.0
42,0,17,307.7665710449219,307.7665710449219,1.0,17,STANDARD,1724.7581787109375,2018-01-01,17,R_A6,0.0
42,0,18,307.921630859375,307.921630859375,1.0,18,STANDARD,1726.394287109375,2018-01-01,17,R_A6,0.0
42,0,19,307.8930969238281,307.8930969238281,1.0,27,STANDARD,1727.7508544921875,2018-01-01,17,R_A6,0.0
42,0,20,308.3623352050781,308.3623352050781,1.0,28,STANDARD,1729.4755859375,2018-01-01,17,R_A6,0.0
42,0,21,308.52581787109375,308.52581787109375,1.0,29,STANDARD,1731.2001953125,2018-01-01,17,R_A6,0.0
42,0,22,308.68927001953125,308.68927001953125,1.0,30,STANDARD,1732.9249267578125,2018-01-01,17,R_A6,0.0
42,0,23,308.5469665527344,308.5469665527344,1.0,31,STANDARD,1734.649658203125,2018-01-01,17,R_A6,0.0
30,0,1,298.6326599121094,298.6326599121094,0.056609660387039185,1,STANDARD,1641.094970703125,2018-03-01,22,R_A2,0.0
30,0,2,298.7528991699219,298.7528991699219,0.057908520102500916,2,STANDARD,1642.8890380859375,2018-03-01,22,R_A2,0.0
30,0,3,298.8731384277344,298.8731384277344,0.06064184755086899,3,STANDARD,1644.68310546875,2018-03-01,22,R_A2,0.0
30,0,4,298.9933776855469,298.9933776855469,0.06535763293504715,4,STANDARD,1646.4771728515625,2018-03-01,22,R_A2,0.0
30,0,5,299.1136474609375,299.1136474609375,0.0692584440112114,5,STANDARD,1648.2713623046875,2018-03-01,22,R_A2,0.0
30,0,6,299.2492370605469,299.2492370605469,0.30845344066619873,6,STANDARD,1650.0654296875,2018-03-01,22,R_A2,0.0
30,0,7,299.3819580078125,299.3819580078125,0.8966169953346252,7,STANDARD,1651.859619140625,2018-03-01,22,R_A2,0.0
30,0,8,299.5137939453125,299.5137939453125,0.8800386190414429,8,STANDARD,1653.6536865234375,2018-03-01,22,R_A2,0.0
30,0,9,299.64288330078125,299.64288330078125,0.9073942303657532,9,STANDARD,1655.44775390625,2018-03-01,22,R_A2,0.0
30,0,10,299.9778747558594,299.9778747558594,0.9075940847396851,10,STANDARD,1657.2418212890625,2018-03-01,22,R_A2,0.0
30,0,11,300.1694030761719,300.1694030761719,0.07633473724126816,11,STANDARD,1659.1368408203125,2018-03-01,22,R_A2,0.0
30,0,12,300.30328369140625,300.30328369140625,0.0821220725774765,12,STANDARD,1661.132568359375,2018-03-01,22,R_A2,0.0
30,0,13,300.7188415527344,300.7188415527344,0.47502321004867554,13,STANDARD,1663.12841796875,2018-03-01,22,R_A2,0.0
30,0,14,300.9120178222656,300.9120178222656,0.512943685054779,14,STANDARD,1665.1241455078125,2018-03-01,22,R_A2,0.0
30,0,15,301.0450744628906,301.0450744628906,0.6795516014099121,15,STANDARD,1667.1199951171875,2018-03-01,22,R_A2,0.0
30,0,16,301.1763610839844,301.1763610839844,0.970500111579895,16,STANDARD,1669.11572265625,2018-03-01,22,R_A2,0.0
30,0,17,301.3096618652344,301.3096618652344,0.9568939208984375,17,STANDARD,1671.111572265625,2018-03-01,22,R_A2,0.0
30,0,18,301.4352722167969,301.4352722167969,0.9819085001945496,18,STANDARD,1672.9881591796875,2018-03-01,22,R_A2,0.0
29,0,19,301.4924011230469,301.4924011230469,0.994646430015564,18,STANDARD,1674.229736328125,2018-03-01,22,R_A2,0.0
29,0,20,302.9939880371094,302.9939880371094,1.0,27,STANDARD,1676.1676025390625,2018-03-01,22,R_A2,-3.023375248255613e-17
29,0,21,303.4444885253906,303.4444885253906,1.0,28,STANDARD,1677.9368896484375,2018-03-01,22,R_A2,-1.8793277268445123e-19
29,0,22,303.6114196777344,303.6114196777344,1.0,29,STANDARD,1679.7061767578125,2018-03-01,22,R_A2,-3.678072810883816e-20
29,0,23,303.7782897949219,303.7782897949219,1.0,30,STANDARD,1681.4754638671875,2018-03-01,22,R_A2,-5.367840726628379e-19
29,0,24,303.13604736328125,303.13604736328125,1.0,31,STANDARD,1683.2447509765625,2018-03-01,22,R_A2,-2.515499388514508e-15
20,0,1,273.85577392578125,273.85577392578125,1.0,1,STANDARD,1685.026611328125,2018-04-28,31,R_A5,-5.214769351199414e-15
20,0,2,274.07159423828125,274.07159423828125,1.0,2,STANDARD,1687.3070068359375,2018-04-28,31,R_A5,-3.2864157051972707e-17
20,0,3,274.2874450683594,274.2874450683594,1.0,3,STANDARD,1689.5875244140625,2018-04-28,31,R_A5,-1.2211526278019247e-13
20,0,4,274.5033264160156,274.5033264160156,1.0,4,STANDARD,1691.8680419921875,2018-04-28,31,R_A5,-1.536590814440672e-13
20,0,5,274.7192077636719,274.7192077636719,1.0,5,STANDARD,1694.1485595703125,2018-04-28,31,R_A5,-1.4883877279530527e-13
20,0,6,274.9350891113281,274.9350891113281,1.0,6,STANDARD,1696.4290771484375,2018-04-28,31,R_A5,-1.1306207299598484e-13
20,0,7,275.47381591796875,275.47381591796875,1.0,7,STANDARD,1698.70947265625,2018-04-28,31,R_A5,-2.524768724166196e-14
20,0,8,276.151123046875,276.151123046875,1.0,11,STANDARD,1707.6488037109375,2018-04-28,31,R_A5,-5.7893564074651405e-12
20,0,9,276.38543701171875,276.38543701171875,1.0,12,STANDARD,1709.5638427734375,2018-04-28,31,R_A5,-4.996609896668058e-12
21,0,10,274.8840026855469,274.8840026855469,1.0,12,STANDARD,1701.7845458984375,2018-04-28,31,R_A5,-1.5587114932102963e-11
21,0,11,275.0841979980469,275.0841979980469,1.0,13,STANDARD,1703.735107421875,2018-04-28,31,R_A5,-1.6328104233270802e-12
21,0,12,275.2724609375,275.2724609375,1.0,14,STANDARD,1705.6856689453125,2018-04-28,31,R_A5,-2.5224807052165454e-12
21,0,13,275.4732971191406,275.4732971191406,1.0,15,STANDARD,1707.63623046875,2018-04-28,31,R_A5,-5.7276496913394315e-12
21,0,14,275.8355407714844,275.8355407714844,1.0,16,STANDARD,1709.5867919921875,2018-04-28,31,R_A5,-4.770385041846792e-12
21,0,15,276.06463623046875,276.06463623046875,1.0,17,STANDARD,1711.537353515625,2018-04-28,31,R_A5,-1.1895733963845911e-12
21,0,16,276.2785339355469,276.2785339355469,1.0,18,STANDARD,1713.35400390625,2018-04-28,31,R_A5,-2.5001101449512175e-12
21,0,17,276.39117431640625,276.39117431640625,1.0,19,STANDARD,1714.3951416015625,2018-04-28,31,R_A5,0.0
21,0,18,276.3724060058594,276.3724060058594,1.0,27,STANDARD,1715.7628173828125,2018-04-28,31,R_A5,-2.069372017493576e-12
21,0,19,276.6228942871094,276.6228942871094,1.0,28,STANDARD,1718.098388671875,2018-04-28,31,R_A5,-1.8113326593835466e-12
21,0,20,291.36431884765625,291.36431884765625,1.0,29,STANDARD,1720.43408203125,2018-04-28,31,R_A5,-7.7950295602123685e-19
21,0,21,302.03753662109375,302.03753662109375,1.0,30,STANDARD,1722.7696533203125,2018-04-28,31,R_A5,-1.0094300695866971e-20
21,0,22,305.7386779785156,305.7386779785156,1.0,31,STANDARD,1725.105224609375,2018-04-28,31,R_A5,-7.519223633297607e-21
41,0,1,280.85760498046875,280.85760498046875,0.6493470072746277,1,STANDARD,1609.243408203125,2018-07-03,28,R_A3,0.0
41,0,2,281.0061340332031,281.0061340332031,0.1996363401412964,2,STANDARD,1611.3077392578125,2018-07-03,28,R_A3,0.0
41,0,3,281.1439208984375,281.1439208984375,0.1940222978591919,3,STANDARD,1613.3720703125,2018-07-03,28,R_A3,0.0
41,0,4,281.2967834472656,281.2967834472656,0.37640300393104553,4,STANDARD,1615.4365234375,2018-07-03,28,R_A3,0.0
41,0,5,281.4393615722656,281.4393615722656,0.6494278907775879,5,STANDARD,1617.5008544921875,2018-07-03,28,R_A3,0.0
41,0,6,281.58819580078125,281.58819580078125,0.11097527295351028,6,STANDARD,1619.565185546875,2018-07-03,28,R_A3,0.0
41,0,7,280.873046875,280.873046875,0.28552067279815674,6,STANDARD,1609.3663330078125,2018-07-03,29,R_A3,0.0
41,0,8,281.0097961425781,281.0097961425781,0.19738048315048218,7,STANDARD,1611.4163818359375,2018-07-03,29,R_A3,0.0
41,0,9,281.1466064453125,281.1466064453125,0.19883397221565247,8,STANDARD,1613.46630859375,2018-07-03,29,R_A3,0.0
41,0,10,281.29217529296875,281.29217529296875,0.68715900182724,9,STANDARD,1615.516357421875,2018-07-03,29,R_A3,0.0
41,0,11,281.5894775390625,281.5894775390625,0.6496015787124634,10,STANDARD,1617.5662841796875,2018-07-03,29,R_A3,0.0
41,0,12,281.86962890625,281.86962890625,0.05117290839552879,11,STANDARD,1619.750732421875,2018-07-03,29,R_A3,0.0
41,0,13,282.0243835449219,282.0243835449219,0.0544307678937912,12,STANDARD,1622.0697021484375,2018-07-03,29,R_A3,0.0
41,0,14,282.1794128417969,282.1794128417969,0.37375473976135254,13,STANDARD,1624.388671875,2018-07-03,29,R_A3,0.0
