CONIDX,SGAS,CONIPOS,WELL,PRESSURE,CONKPOS,CONJPOS,DATE,WELLMODEL,DEPTH,SWAT,CONBPRES,DRAWDOWN
15,0.0,29,R_A3,300.0198669433594,15,41,2018-01-01,STANDARD,1630.602783203125,0.49679601192474365,300.0198669433594,0
16,0.0,29,R_A3,300.1488037109375,16,41,2018-01-01,STANDARD,1632.5260009765625,0.8039579391479492,300.1488037109375,0
17,0.0,29,R_A3,300.3252868652344,26,41,2018-01-01,STANDARD,1635.1583251953125,0.3000345528125763,300.3252868652344,0
18,0.0,29,R_A3,300.5588073730469,27,41,2018-01-01,STANDARD,1638.640869140625,0.04579763114452362,300.5588073730469,0
19,0.0,29,R_A3,300.7923278808594,28,41,2018-01-01,STANDARD,1642.12353515625,0.05297979712486267,300.7923278808594,0
20,0.0,29,R_A3,301.0258483886719,29,41,2018-01-01,STANDARD,1645.6060791015625,0.6481541991233826,301.0258483886719,0
21,0.0,29,R_A3,301.2593688964844,30,41,2018-01-01,STANDARD,1649.088623046875,0.06191747635602951,301.2593688964844,0
1,0.0,30,R_A4,300.1939697265625,1,52,2018-01-01,STANDARD,1633.1995849609375,0.6481541991233826,300.1939697265625,0
2,0.0,31,R_A4,299.7139587402344,1,52,2018-01-01,STANDARD,1626.0394287109375,0.178261399269104,299.7139587402344,0
3,0.0,31,R_A4,299.8555603027344,2,52,2018-01-01,STANDARD,1628.1517333984375,0.6481541991233826,299.8555603027344,0
4,0.0,31,R_A4,299.9971618652344,3,52,2018-01-01,STANDARD,1630.2640380859375,0.09069232642650604,299.9971618652344,0
5,0.0,31,R_A4,300.1387939453125,4,52,2018-01-01,STANDARD,1632.3763427734375,0.053044792264699936,300.1387939453125,0
6,0.0,31,R_A4,300.2803955078125,5,52,2018-01-01,STANDARD,1634.4886474609375,0.05718385428190231,300.2803955078125,0
7,0.0,32,R_A4,300.0537414550781,5,52,2018-01-01,STANDARD,1631.10791015625,0.053867094218730927,300.0537414550781,0
8,0.0,32,R_A4,300.1803283691406,6,52,2018-01-01,STANDARD,1632.99609375,0.05700002238154411,300.1803283691406,0
9,0.0,32,R_A4,300.4308166503906,6,51,2018-01-01,STANDARD,1636.7320556640625,0.05798684060573578,300.4308166503906,0
10,0.0,32,R_A4,300.3069763183594,5,51,2018-01-01,STANDARD,1634.885009765625,0.05694831907749176,300.3069763183594,0
11,0.0,33,R_A4,300.4172058105469,5,51,2018-01-01,STANDARD,1636.529052734375,0.05895991623401642,300.4172058105469,0
12,0.0,33,R_A4,300.8131408691406,5,50,2018-01-01,STANDARD,1642.4339599609375,0.06076277419924736,300.8131408691406,0
13,0.0,34,R_A4,300.7188415527344,5,50,2018-01-01,STANDARD,1641.027587890625,0.06315866857767105,300.7188415527344,0
14,0.0,34,R_A4,300.5926208496094,4,50,2018-01-01,STANDARD,1639.1453857421875,0.14204935729503632,300.5926208496094,0
15,0.0,35,R_A4,300.59417724609375,4,50,2018-01-01,STANDARD,1639.16845703125,0.14182965457439423,300.59417724609375,0
16,0.0,35,R_A4,300.4751892089844,3,50,2018-01-01,STANDARD,1637.39404296875,0.22509339451789856,300.4751892089844,0
17,0.0,35,R_A4,300.86468505859375,3,49,2018-01-01,STANDARD,1643.2027587890625,0.23526115715503693,300.86468505859375,0
18,0.0,35,R_A4,300.7448425292969,2,49,2018-01-01,STANDARD,1641.41552734375,0.228384330868721,300.7448425292969,0
19,0.0,36,R_A4,300.9400634765625,29,49,2018-01-01,STANDARD,1644.3270263671875,0.05916373431682587,300.9400634765625,0
20,0.0,36,R_A4,301.0439147949219,29,48,2018-01-01,STANDARD,1645.8756103515625,0.06297823041677475,301.0439147949219,0
21,0.0,37,R_A4,301.22265625,29,48,2018-01-01,STANDARD,1648.5411376953125,0.18328668177127838,301.22265625,0
22,0.0,38,R_A4,301.3678894042969,29,48,2018-01-01,STANDARD,1650.7064208984375,0.13462696969509125,301.3678894042969,0
23,0.0,38,R_A4,301.87872314453125,29,47,2018-01-01,STANDARD,1658.3233642578125,0.24015146493911743,301.87872314453125,0
1,0.0,31,R_A5,303.9991760253906,1,20,2018-01-01,STANDARD,1686.663330078125,1.0,303.9991760253906,0
2,0.0,31,R_A5,304.2108459472656,2,20,2018-01-01,STANDARD,1688.8968505859375,1.0,304.2108459472656,0
3,0.0,31,R_A5,304.4225158691406,3,20,2018-01-01,STANDARD,1691.13037109375,1.0,304.4225158691406,0
4,0.0,31,R_A5,304.6341857910156,4,20,2018-01-01,STANDARD,1693.364013671875,1.0,304.6341857910156,0
5,0.0,31,R_A5,304.8458557128906,5,20,2018-01-01,STANDARD,1695.59765625,1.0,304.8458557128906,0
6,0.0,31,R_A5,305.0575256347656,6,20,2018-01-01,STANDARD,1697.831298828125,1.0,305.0575256347656,0
7,0.0,31,R_A5,305.5749816894531,7,20,2018-01-01,STANDARD,1700.0648193359375,1.0,305.5749816894531,0
8,0.0,31,R_A5,305.2268981933594,11,21,2018-01-01,STANDARD,1699.6171875,1.0,305.2268981933594,0
9,0.0,31,R_A5,305.4146728515625,12,21,2018-01-01,STANDARD,1701.5986328125,1.0,305.4146728515625,0
10,0.0,31,R_A5,305.6144104003906,13,21,2018-01-01,STANDARD,1703.5799560546875,1.0,305.6144104003906,0
11,0.0,31,R_A5,305.80218505859375,14,21,2018-01-01,STANDARD,1705.561279296875,1.0,305.80218505859375,0
12,0.0,31,R_A5,305.9899597167969,15,21,2018-01-01,STANDARD,1707.542724609375,1.0,305.9899597167969,0
13,0.0,31,R_A5,306.32275390625,16,21,2018-01-01,STANDARD,1709.5240478515625,1.0,306.32275390625,0
14,0.0,31,R_A5,306.5105285644531,17,21,2018-01-01,STANDARD,1711.50537109375,1.0,306.5105285644531,0
15,0.0,31,R_A5,306.6606750488281,18,21,2018-01-01,STANDARD,1713.089599609375,1.0,306.6606750488281,0
16,0.0,31,R_A5,306.7357482910156,19,21,2018-01-01,STANDARD,1713.8819580078125,1.0,306.7357482910156,0
17,0.0,31,R_A5,306.7066955566406,26,21,2018-01-01,STANDARD,1715.2327880859375,1.0,306.7066955566406,0
18,0.0,31,R_A5,306.925048828125,27,21,2018-01-01,STANDARD,1717.536865234375,1.0,306.925048828125,0
19,0.0,31,R_A5,307.4491882324219,28,21,2018-01-01,STANDARD,1719.8409423828125,1.0,307.4491882324219,0
20,0.0,31,R_A5,307.6675720214844,29,21,2018-01-01,STANDARD,1722.14501953125,1.0,307.6675720214844,0
21,0.0,31,R_A5,307.8859558105469,30,21,2018-01-01,STANDARD,1724.448974609375,1.0,307.8859558105469,0
1,0.0,17,R_A6,305.0382080078125,1,42,2018-01-01,STANDARD,1694.40087890625,1.0,305.0382080078125,0
2,0.0,17,R_A6,305.1833190917969,2,42,2018-01-01,STANDARD,1695.93212890625,1.0,305.1833190917969,0
3,0.0,17,R_A6,305.32843017578125,3,42,2018-01-01,STANDARD,1697.46337890625,1.0,305.32843017578125,0
4,0.0,17,R_A6,305.4735412597656,4,42,2018-01-01,STANDARD,1698.99462890625,1.0,305.4735412597656,0
5,0.0,17,R_A6,305.61865234375,5,42,2018-01-01,STANDARD,1700.5257568359375,1.0,305.61865234375,0
6,0.0,17,R_A6,305.7637939453125,6,42,2018-01-01,STANDARD,1702.0570068359375,1.0,305.7637939453125,0
7,0.0,17,R_A6,305.60986328125,7,42,2018-01-01,STANDARD,1703.58837890625,1.0,305.60986328125,0
8,0.0,17,R_A6,305.7549743652344,8,42,2018-01-01,STANDARD,1705.11962890625,1.0,305.7549743652344,0
9,0.0,17,R_A6,306.1991271972656,9,42,2018-01-01,STANDARD,1706.6507568359375,1.0,306.1991271972656,0
10,0.0,17,R_A6,306.0384521484375,10,42,2018-01-01,STANDARD,1708.1820068359375,1.0,306.0384521484375,0
11,0.0,17,R_A6,306.2176208496094,11,42,2018-01-01,STANDARD,1710.0711669921875,1.0,306.2176208496094,0
12,0.0,17,R_A6,306.4305725097656,12,42,2018-01-01,STANDARD,1712.318115234375,1.0,306.4305725097656,0
13,0.0,17,R_A6,306.6554870605469,13,42,2018-01-01,STANDARD,1714.565185546875,1.0,306.6554870605469,0
14,0.0,17,R_A6,306.86846923828125,14,42,2018-01-01,STANDARD,1716.812255859375,1.0,306.86846923828125,0
15,0.0,17,R_A6,307.0814208984375,15,42,2018-01-01,STANDARD,1719.059326171875,1.0,307.0814208984375,0
16,0.0,17,R_A6,307.43939208984375,16,42,2018-01-01,STANDARD,1721.3062744140625,1.0,307.43939208984375,0
17,0.0,17,R_A6,307.6523742675781,17,42,2018-01-01,STANDARD,1723.5533447265625,1.0,307.6523742675781,0
18,0.0,17,R_A6,307.8086242675781,18,42,2018-01-01,STANDARD,1725.2021484375,1.0,307.8086242675781,0
19,0.0,17,R_A6,307.7820129394531,26,42,2018-01-01,STANDARD,1726.578857421875,1.0,307.7820129394531,0
20,0.0,17,R_A6,308.2491760253906,27,42,2018-01-01,STANDARD,1728.2813720703125,1.0,308.2491760253906,0
21,0.0,17,R_A6,308.4105529785156,28,42,2018-01-01,STANDARD,1729.984130859375,1.0,308.4105529785156,0
22,0.0,17,R_A6,308.5719299316406,29,42,2018-01-01,STANDARD,1731.686767578125,1.0,308.5719299316406,0
23,0.0,17,R_A6,308.4275207519531,30,42,2018-01-01,STANDARD,1733.389404296875,1.0,308.4275207519531,0
1,0.0,22,R_A2,298.8921203613281,1,30,2018-03-01,STANDARD,1638.75390625,0.05279559642076492,298.8921203613281,0
2,0.0,22,R_A2,299.0057678222656,2,30,2018-03-01,STANDARD,1640.449462890625,0.05586196109652519,299.0057678222656,0
3,0.0,22,R_A2,299.1194152832031,3,30,2018-03-01,STANDARD,1642.145263671875,0.05863180756568909,299.1194152832031,0
4,0.0,22,R_A2,299.23309326171875,4,30,2018-03-01,STANDARD,1643.8409423828125,0.1008811667561531,299.23309326171875,0
5,0.0,22,R_A2,299.3467712402344,5,30,2018-03-01,STANDARD,1645.53662109375,0.18879704177379608,299.3467712402344,0
6,0.0,22,R_A2,299.4500732421875,6,30,2018-03-01,STANDARD,1647.2322998046875,0.6757408380508423,299.4500732421875,0
7,0.0,22,R_A2,299.5680847167969,7,30,2018-03-01,STANDARD,1648.927978515625,0.8657270073890686,299.5680847167969,0
8,0.0,22,R_A2,299.6815185546875,8,30,2018-03-01,STANDARD,1650.6236572265625,0.8658769726753235,299.6815185546875,0
9,0.0,22,R_A2,299.71710205078125,9,30,2018-03-01,STANDARD,1652.3194580078125,0.8826886415481567,299.71710205078125,0
10,0.0,22,R_A2,299.736572265625,10,30,2018-03-01,STANDARD,1654.01513671875,0.648367166519165,299.736572265625,0
11,0.0,22,R_A2,299.5461120605469,11,30,2018-03-01,STANDARD,1655.855224609375,0.06877201795578003,299.5461120605469,0
12,0.0,22,R_A2,299.6791687011719,12,30,2018-03-01,STANDARD,1657.83984375,0.11927412450313568,299.6791687011719,0
13,0.0,22,R_A2,299.8127746582031,13,30,2018-03-01,STANDARD,1659.824462890625,0.4231360852718353,299.8127746582031,0
14,0.0,22,R_A2,299.947265625,14,30,2018-03-01,STANDARD,1661.80908203125,0.4757879376411438,299.947265625,0
15,0.0,22,R_A2,300.0832214355469,15,30,2018-03-01,STANDARD,1663.7935791015625,0.8986857533454895,300.0832214355469,0
16,0.0,22,R_A2,300.217529296875,16,30,2018-03-01,STANDARD,1665.7781982421875,0.9382556676864624,300.217529296875,0
17,-2.207905212825434e-11,22,R_A2,300.6944274902344,16,29,2018-03-01,STANDARD,1674.294189453125,1.0,300.6944274902344,0
18,0.0,22,R_A2,300.8416748046875,17,29,2018-03-01,STANDARD,1676.3985595703125,0.9869140982627869,300.8416748046875,0
19,3.215779031950916e-11,22,R_A2,300.9537658691406,18,29,2018-03-01,STANDARD,1678.06982421875,1.0,300.9537658691406,0
20,-6.353567879333142e-15,22,R_A2,302.5216979980469,26,29,2018-03-01,STANDARD,1679.5380859375,1.0,302.5216979980469,0
21,-4.066277483896427e-16,22,R_A2,303.6095275878906,27,29,2018-03-01,STANDARD,1681.2364501953125,1.0,303.6095275878906,0
22,-1.1314440586900737e-15,22,R_A2,303.6487731933594,28,29,2018-03-01,STANDARD,1682.9349365234375,1.0,303.6487731933594,0
23,-3.913128315439574e-15,22,R_A2,303.4229736328125,29,29,2018-03-01,STANDARD,1684.63330078125,1.0,303.4229736328125,0
24,-9.170133694004403e-15,22,R_A2,303.12835693359375,30,29,2018-03-01,STANDARD,1686.331787109375,1.0,303.12835693359375,0
1,5.951523128489011e-12,31,R_A5,287.3937683105469,1,20,2018-04-28,STANDARD,1686.663330078125,1.0,287.3937683105469,0
2,5.987302233861902e-12,31,R_A5,287.6053466796875,2,20,2018-04-28,STANDARD,1688.8968505859375,1.0,287.6053466796875,0
3,5.782502515011556e-12,31,R_A5,287.8167419433594,3,20,2018-04-28,STANDARD,1691.13037109375,1.0,287.8167419433594,0
4,4.8253154943944665e-12,31,R_A5,288.02728271484375,4,20,2018-04-28,STANDARD,1693.364013671875,1.0,288.02728271484375,0
5,5.239917007238137e-12,31,R_A5,288.23809814453125,5,20,2018-04-28,STANDARD,1695.59765625,1.0,288.23809814453125,0
6,3.5127619129465826e-12,31,R_A5,288.4490966796875,6,20,2018-04-28,STANDARD,1697.831298828125,1.0,288.4490966796875,0
7,3.2027829807078313e-15,31,R_A5,288.982666015625,7,20,2018-04-28,STANDARD,1700.0648193359375,1.0,288.982666015625,0
8,-1.237671250209349e-11,31,R_A5,282.0157165527344,11,21,2018-04-28,STANDARD,1699.6171875,1.0,282.0157165527344,0
9,-9.490811782308928e-12,31,R_A5,282.2034912109375,12,21,2018-04-28,STANDARD,1701.5986328125,1.0,282.2034912109375,0
10,-5.545233326340049e-13,31,R_A5,282.40313720703125,13,21,2018-04-28,STANDARD,1703.5799560546875,1.0,282.40313720703125,0
11,-6.3924061356746e-13,31,R_A5,282.5909118652344,14,21,2018-04-28,STANDARD,1705.561279296875,1.0,282.5909118652344,0
12,-1.4079303044603475e-13,31,R_A5,282.7937316894531,15,21,2018-04-28,STANDARD,1707.542724609375,1.0,282.7937316894531,0
13,-3.376593845022882e-14,31,R_A5,283.1427917480469,16,21,2018-04-28,STANDARD,1709.5240478515625,1.0,283.1427917480469,0
14,-3.4294768224253994e-14,31,R_A5,283.3401794433594,17,21,2018-04-28,STANDARD,1711.50537109375,1.0,283.3401794433594,0
15,-5.14322776262819e-14,31,R_A5,283.49407958984375,18,21,2018-04-28,STANDARD,1713.089599609375,1.0,283.49407958984375,0
16,0.0,31,R_A5,283.5694274902344,19,21,2018-04-28,STANDARD,1713.8819580078125,1.0,283.5694274902344,0
17,-8.166690395567202e-16,31,R_A5,287.1282043457031,26,21,2018-04-28,STANDARD,1715.2327880859375,1.0,287.1282043457031,0
18,-3.946980304813947e-16,31,R_A5,287.343994140625,27,21,2018-04-28,STANDARD,1717.536865234375,1.0,287.343994140625,0
19,3.4162574444569423e-22,31,R_A5,297.06597900390625,28,21,2018-04-28,STANDARD,1719.8409423828125,1.0,297.06597900390625,0
20,3.994988321772755e-21,31,R_A5,301.60076904296875,29,21,2018-04-28,STANDARD,1722.14501953125,1.0,301.60076904296875,0
21,1.959623829115654e-19,31,R_A5,297.9293212890625,30,21,2018-04-28,STANDARD,1724.448974609375,1.0,297.9293212890625,0
1,0.0,29,R_A3,279.6431579589844,1,41,2018-07-03,STANDARD,1600.1844482421875,0.6520589590072632,279.6431579589844,0
2,0.0,29,R_A3,279.8108825683594,2,41,2018-07-03,STANDARD,1602.3443603515625,0.1905338615179062,279.8108825683594,0
3,0.0,29,R_A3,279.95501708984375,3,41,2018-07-03,STANDARD,1604.5042724609375,0.18553154170513153,279.95501708984375,0
4,0.0,29,R_A3,280.0993957519531,4,41,2018-07-03,STANDARD,1606.6640625,0.2607162296772003,280.0993957519531,0
5,0.0,29,R_A3,280.41290283203125,5,41,2018-07-03,STANDARD,1608.823974609375,0.802039384841919,280.41290283203125,0
6,0.0,29,R_A3,280.5086669921875,6,41,2018-07-03,STANDARD,1610.9837646484375,0.6544764637947083,280.5086669921875,0
7,0.0,29,R_A3,280.761962890625,7,41,2018-07-03,STANDARD,1613.1436767578125,0.3162343204021454,280.761962890625,0
8,0.0,29,R_A3,280.90704345703125,8,41,2018-07-03,STANDARD,1615.303466796875,0.3673870265483856,280.90704345703125,0
9,0.0,29,R_A3,281.05377197265625,9,41,2018-07-03,STANDARD,1617.46337890625,0.7980280518531799,281.05377197265625,0
10,0.0,29,R_A3,282.14404296875,10,41,2018-07-03,STANDARD,1619.623291015625,0.7945664525032043,282.14404296875,0
11,0.0,29,R_A3,282.17156982421875,11,41,2018-07-03,STANDARD,1621.8031005859375,0.04852484539151192,282.17156982421875,0
12,0.0,29,R_A3,282.31842041015625,12,41,2018-07-03,STANDARD,1624.0030517578125,0.05471203476190567,282.31842041015625,0
13,0.0,29,R_A3,282.466064453125,13,41,2018-07-03,STANDARD,1626.2030029296875,0.3712892532348633,282.466064453125,0
14,0.0,29,R_A3,283.451904296875,14,41,2018-07-03,STANDARD,1628.40283203125,0.05202639102935791,283.451904296875,0
15,0.0,29,R_A3,283.3616638183594,15,41,2018-07-03,STANDARD,1630.602783203125,0.4956381320953369,283.3616638183594,0
16,0.0,29,R_A3,283.48974609375,16,41,2018-07-03,STANDARD,1632.5260009765625,0.802949070930481,283.48974609375,0
17,0.0,29,R_A3,282.03076171875,26,41,2018-07-03,STANDARD,1635.1583251953125,0.27877408266067505,282.03076171875,0
18,0.0,29,R_A3,282.0902404785156,27,41,2018-07-03,STANDARD,1638.640869140625,0.049021728336811066,282.0902404785156,0
19,0.0,29,R_A3,282.3220520019531,28,41,2018-07-03,STANDARD,1642.12353515625,0.05580141022801399,282.3220520019531,0
20,0.0,29,R_A3,282.5556335449219,29,41,2018-07-03,STANDARD,1645.6060791015625,0.6544097661972046,282.5556335449219,0
21,0.0,29,R_A3,282.7897033691406,30,41,2018-07-03,STANDARD,1649.088623046875,0.06280376017093658,282.7897033691406,0
1,0.0,30,R_A4,275.9783630371094,1,52,2018-09-12,STANDARD,1633.1995849609375,0.6505887508392334,275.9783630371094,0
2,0.0,31,R_A4,275.8848571777344,1,52,2018-09-12,STANDARD,1626.0394287109375,0.1772410124540329,275.8848571777344,0
3,0.0,31,R_A4,276.025390625,2,52,2018-09-12,STANDARD,1628.1517333984375,0.6501909494400024,276.025390625,0
4,0.0,31,R_A4,276.16607666015625,3,52,2018-09-12,STANDARD,1630.2640380859375,0.09072098881006241,276.16607666015625,0
5,0.0,31,R_A4,276.3066711425781,4,52,2018-09-12,STANDARD,1632.3763427734375,0.0530853271484375,276.3066711425781,0
6,0.0,31,R_A4,276.4473571777344,5,52,2018-09-12,STANDARD,1634.4886474609375,0.05723388493061066,276.4473571777344,0
7,0.0,32,R_A4,276.5884704589844,5,52,2018-09-12,STANDARD,1631.10791015625,0.05403263121843338,276.5884704589844,0
8,0.0,32,R_A4,276.7143249511719,6,52,2018-09-12,STANDARD,1632.99609375,0.057152777910232544,276.7143249511719,0
9,0.0,32,R_A4,276.5901794433594,6,51,2018-09-12,STANDARD,1636.7320556640625,0.05851771682500839,276.5901794433594,0
10,0.0,32,R_A4,276.46734619140625,5,51,2018-09-12,STANDARD,1634.885009765625,0.05751000717282295,276.46734619140625,0
11,0.0,33,R_A4,277.09368896484375,5,51,2018-09-12,STANDARD,1636.529052734375,0.0590570904314518,277.09368896484375,0
12,0.0,33,R_A4,277.2806701660156,5,50,2018-09-12,STANDARD,1642.4339599609375,0.06134064123034477,277.2806701660156,0
13,0.0,34,R_A4,277.6675720214844,5,50,2018-09-12,STANDARD,1641.027587890625,0.06428400427103043,277.6675720214844,0
14,0.0,34,R_A4,277.5414733886719,4,50,2018-09-12,STANDARD,1639.1453857421875,0.14306025207042694,277.5414733886719,0
15,0.0,35,R_A4,278.0069580078125,4,50,2018-09-12,STANDARD,1639.16845703125,0.14217616617679596,278.0069580078125,0
16,0.0,35,R_A4,277.8853759765625,3,50,2018-09-12,STANDARD,1637.39404296875,0.2254270315170288,277.8853759765625,0
17,0.0,35,R_A4,278.20745849609375,3,49,2018-09-12,STANDARD,1643.2027587890625,0.23514290153980255,278.20745849609375,0
18,0.0,35,R_A4,278.0881652832031,2,49,2018-09-12,STANDARD,1641.41552734375,0.22818540036678314,278.0881652832031,0
19,0.0,36,R_A4,278.6751708984375,29,49,2018-09-12,STANDARD,1644.3270263671875,0.05959707871079445,278.6751708984375,0
20,0.0,36,R_A4,278.60064697265625,29,48,2018-09-12,STANDARD,1645.8756103515625,0.06535309553146362,278.60064697265625,0
21,0.0,37,R_A4,279.0044860839844,29,48,2018-09-12,STANDARD,1648.5411376953125,0.17777182161808014,279.0044860839844,0
22,0.0,38,R_A4,279.3443298339844,29,48,2018-09-12,STANDARD,1650.7064208984375,0.13948668539524078,279.3443298339844,0
23,0.0,38,R_A4,279.7011413574219,29,47,2018-09-12,STANDARD,1658.3233642578125,0.24801096320152283,279.7011413574219,0
1,9.545374473479695e-13,17,R_A6,273.8292541503906,1,42,2018-11-07,STANDARD,1694.40087890625,1.0,273.8292541503906,0
2,5.448699217508457e-13,17,R_A6,273.9723815917969,2,42,2018-11-07,STANDARD,1695.93212890625,1.0,273.9723815917969,0
3,4.464496263997808e-13,17,R_A6,274.1129455566406,3,42,2018-11-07,STANDARD,1697.46337890625,1.0,274.1129455566406,0
4,3.970318811132717e-13,17,R_A6,274.25,4,42,2018-11-07,STANDARD,1698.99462890625,1.0,274.25,0
5,5.058317588575723e-13,17,R_A6,274.3852233886719,5,42,2018-11-07,STANDARD,1700.5257568359375,1.0,274.3852233886719,0
6,2.6896762594930124e-11,17,R_A6,274.5234069824219,6,42,2018-11-07,STANDARD,1702.0570068359375,1.0,274.5234069824219,0
7,4.522991009503485e-11,17,R_A6,274.36737060546875,7,42,2018-11-07,STANDARD,1703.58837890625,1.0,274.36737060546875,0
8,3.367897974393408e-11,17,R_A6,274.51226806640625,8,42,2018-11-07,STANDARD,1705.11962890625,1.0,274.51226806640625,0
9,3.973123045841742e-12,17,R_A6,274.95721435546875,9,42,2018-11-07,STANDARD,1706.6507568359375,1.0,274.95721435546875,0
10,4.5842599161183273e-10,17,R_A6,274.7982482910156,10,42,2018-11-07,STANDARD,1708.1820068359375,1.0,274.7982482910156,0
11,2.43404740807307e-10,17,R_A6,275.7994384765625,11,42,2018-11-07,STANDARD,1710.0711669921875,1.0,275.7994384765625,0
12,1.5339236825173685e-10,17,R_A6,276.0115661621094,12,42,2018-11-07,STANDARD,1712.318115234375,1.0,276.0115661621094,0
13,5.768952589940701e-12,17,R_A6,276.2680969238281,13,42,2018-11-07,STANDARD,1714.565185546875,1.0,276.2680969238281,0
