SWAT,DRAWDOWN,CONBPRES,WELLMODEL,CONJPOS,CONKPOS,PRESSURE,CONIPOS,SGAS,DEPTH,CONIDX,WELL,DATE
0.36790597438812256,0,299.5532531738281,STANDARD,41,13,299.5532531738281,29,0.0,1624.388671875,14,R_A3,2018-01-01
0.5019171237945557,0,299.8641662597656,STANDARD,41,15,299.8641662597656,29,0.0,1629.026611328125,15,R_A3,2018-01-01
0.8088846802711487,0,299.992919921875,STANDARD,41,16,299.992919921875,29,0.0,1630.9468994140625,16,R_A3,2018-01-01
0.6481541991233826,0,300.16583251953125,STANDARD,41,27,300.16583251953125,29,0.0,1633.5262451171875,17,R_A3,2018-01-01
0.04671987146139145,0,300.40966796875,STANDARD,41,28,300.40966796875,29,0.0,1637.1630859375,18,R_A3,2018-01-01
0.052011314779520035,0,300.6535339355469,STANDARD,41,29,300.6535339355469,29,0.0,1640.8001708984375,19,R_A3,2018-01-01
0.6723677515983582,0,300.89739990234375,STANDARD,41,30,300.89739990234375,29,0.0,1644.4371337890625,20,R_A3,2018-01-01
0.06565839052200317,0,301.14129638671875,STANDARD,41,31,301.14129638671875,29,0.0,1648.0740966796875,21,R_A3,2018-01-01
0.05159545689821243,0,300.009033203125,STANDARD,52,1,300.009033203125,30,0.0,1631.1873779296875,1,R_A4,2018-01-01
0.049295369535684586,0,299.7571105957031,STANDARD,52,1,299.7571105957031,31,0.0,1627.4293212890625,2,R_A4,2018-01-01
0.05215280130505562,0,299.89520263671875,STANDARD,52,2,299.89520263671875,31,0.0,1629.4896240234375,3,R_A4,2018-01-01
0.054117489606142044,0,300.0333251953125,STANDARD,52,3,300.0333251953125,31,0.0,1631.5498046875,4,R_A4,2018-01-01
0.05574403703212738,0,300.17144775390625,STANDARD,52,4,300.17144775390625,31,0.0,1633.610107421875,5,R_A4,2018-01-01
0.05757410079240799,0,300.0901184082031,STANDARD,52,4,300.0901184082031,32,0.0,1632.3968505859375,6,R_A4,2018-01-01
0.05810001865029335,0,300.3236999511719,STANDARD,51,4,300.3236999511719,32,0.0,1635.880615234375,7,R_A4,2018-01-01
0.06064717099070549,0,300.4202575683594,STANDARD,51,4,300.4202575683594,33,0.0,1637.321044921875,8,R_A4,2018-01-01
0.058206330984830856,0,300.29644775390625,STANDARD,51,3,300.29644775390625,33,0.0,1635.474609375,9,R_A4,2018-01-01
0.2798222005367279,0,300.74395751953125,STANDARD,50,4,300.74395751953125,33,0.0,1642.1485595703125,10,R_A4,2018-01-01
0.6481541991233826,0,300.67578125,STANDARD,50,4,300.67578125,34,0.0,1641.132080078125,11,R_A4,2018-01-01
0.09663576632738113,0,300.5467224121094,STANDARD,50,3,300.5467224121094,34,0.0,1639.20703125,12,R_A4,2018-01-01
0.16213864088058472,0,300.66064453125,STANDARD,50,3,300.66064453125,35,0.0,1640.9061279296875,13,R_A4,2018-01-01
0.18770018219947815,0,300.53570556640625,STANDARD,50,2,300.53570556640625,35,0.0,1639.0426025390625,14,R_A4,2018-01-01
0.2386992871761322,0,300.72943115234375,STANDARD,49,2,300.72943115234375,35,0.0,1641.93212890625,15,R_A4,2018-01-01
0.09703515470027924,0,300.7579650878906,STANDARD,49,30,300.7579650878906,36,0.0,1642.357421875,16,R_A4,2018-01-01
0.05722138658165932,0,300.5735168457031,STANDARD,48,30,300.5735168457031,36,0.0,1639.6068115234375,17,R_A4,2018-01-01
0.06256399303674698,0,301.0526123046875,STANDARD,48,30,301.0526123046875,37,0.0,1646.7513427734375,18,R_A4,2018-01-01
0.6481541991233826,0,301.5025939941406,STANDARD,48,30,301.5025939941406,38,0.0,1653.461669921875,19,R_A4,2018-01-01
0.17424188554286957,0,301.7947998046875,STANDARD,47,30,301.7947998046875,38,0.0,1657.8184814453125,20,R_A4,2018-01-01
1.0,0,303.8440856933594,STANDARD,20,1,303.8440856933594,31,0.0,1685.026611328125,1,R_A5,2018-01-01
1.0,0,304.0601806640625,STANDARD,20,2,304.0601806640625,31,0.0,1687.3070068359375,2,R_A5,2018-01-01
1.0,0,304.27630615234375,STANDARD,20,3,304.27630615234375,31,0.0,1689.5875244140625,3,R_A5,2018-01-01
1.0,0,304.4924011230469,STANDARD,20,4,304.4924011230469,31,0.0,1691.8680419921875,4,R_A5,2018-01-01
1.0,0,304.7085266113281,STANDARD,20,5,304.7085266113281,31,0.0,1694.1485595703125,5,R_A5,2018-01-01
1.0,0,304.9246520996094,STANDARD,20,6,304.9246520996094,31,0.0,1696.4290771484375,6,R_A5,2018-01-01
1.0,0,305.446533203125,STANDARD,20,7,305.446533203125,31,0.0,1698.70947265625,7,R_A5,2018-01-01
1.0,0,305.988037109375,STANDARD,20,11,305.988037109375,31,0.0,1707.6488037109375,8,R_A5,2018-01-01
1.0,0,306.1695251464844,STANDARD,20,12,306.1695251464844,31,0.0,1709.5638427734375,9,R_A5,2018-01-01
1.0,0,305.4322814941406,STANDARD,21,12,305.4322814941406,31,0.0,1701.7845458984375,10,R_A5,2018-01-01
1.0,0,305.6291198730469,STANDARD,21,13,305.6291198730469,31,0.0,1703.735107421875,11,R_A5,2018-01-01
1.0,0,305.81396484375,STANDARD,21,14,305.81396484375,31,0.0,1705.6856689453125,12,R_A5,2018-01-01
1.0,0,305.9988098144531,STANDARD,21,15,305.9988098144531,31,0.0,1707.63623046875,13,R_A5,2018-01-01
1.0,0,306.3287048339844,STANDARD,21,16,306.3287048339844,31,0.0,1709.5867919921875,14,R_A5,2018-01-01
1.0,0,306.5135498046875,STANDARD,21,17,306.5135498046875,31,0.0,1711.537353515625,15,R_A5,2018-01-01
1.0,0,306.6856994628906,STANDARD,21,18,306.6856994628906,31,0.0,1713.35400390625,16,R_A5,2018-01-01
1.0,0,306.7843933105469,STANDARD,21,19,306.7843933105469,31,0.0,1714.3951416015625,17,R_A5,2018-01-01
1.0,0,306.75689697265625,STANDARD,21,27,306.75689697265625,31,0.0,1715.7628173828125,18,R_A5,2018-01-01
1.0,0,306.978271484375,STANDARD,21,28,306.978271484375,31,0.0,1718.098388671875,19,R_A5,2018-01-01
1.0,0,307.5054016113281,STANDARD,21,29,307.5054016113281,31,0.0,1720.43408203125,20,R_A5,2018-01-01
1.0,0,307.7267761230469,STANDARD,21,30,307.7267761230469,31,0.0,1722.7696533203125,21,R_A5,2018-01-01
1.0,0,307.9481506347656,STANDARD,21,31,307.9481506347656,31,0.0,1725.105224609375,22,R_A5,2018-01-01
1.0,0,305.11419677734375,STANDARD,42,1,305.11419677734375,17,0.0,1695.20263671875,1,R_A6,2018-01-01
1.0,0,305.2609558105469,STANDARD,42,2,305.2609558105469,17,0.0,1696.7510986328125,2,R_A6,2018-01-01
