DEPTH,SGAS,WELL,CONKPOS,CONIPOS,CONIDX,CONJPOS,CONBPRES,SWAT,DRAWDOWN,DATE,PRESSURE,WELLMODEL
1696.6685791015625,2.539366807108312e-11,R_A5,6,31,6,20,280.939208984375,1.0,0,2018-04-28,280.939208984375,STANDARD
1698.9764404296875,1.362191880561331e-13,R_A5,7,31,7,20,281.47259521484375,1.0,0,2018-04-28,281.47259521484375,STANDARD
1703.592041015625,-8.91923321766526e-15,R_A5,9,31,8,20,283.0918273925781,1.0,0,2018-04-28,283.0918273925781,STANDARD
1705.89990234375,-7.986504930697705e-14,R_A5,10,31,9,20,283.3479919433594,1.0,0,2018-04-28,283.3479919433594,STANDARD
1700.2176513671875,1.6150647442689237e-12,R_A5,11,31,10,21,279.9627990722656,1.0,0,2018-04-28,279.9627990722656,STANDARD
1702.226806640625,1.239101486347205e-12,R_A5,12,31,11,21,280.1529235839844,1.0,0,2018-04-28,280.1529235839844,STANDARD
1704.236083984375,4.7385699693518885e-14,R_A5,13,31,12,21,280.3559265136719,1.0,0,2018-04-28,280.3559265136719,STANDARD
1706.2452392578125,8.919341637882508e-14,R_A5,14,31,13,21,280.54718017578125,1.0,0,2018-04-28,280.54718017578125,STANDARD
1708.2545166015625,8.302007932297576e-15,R_A5,15,31,14,21,280.74041748046875,1.0,0,2018-04-28,280.74041748046875,STANDARD
1710.263671875,-5.426015238959019e-16,R_A5,16,31,15,21,281.08587646484375,1.0,0,2018-04-28,281.08587646484375,STANDARD
1712.2677001953125,-3.4349123599028723e-15,R_A5,17,31,16,21,281.2877197265625,1.0,0,2018-04-28,281.2877197265625,STANDARD
1713.8017578125,-7.281441651073393e-15,R_A5,18,31,17,21,281.4385681152344,1.0,0,2018-04-28,281.4385681152344,STANDARD
1714.587158203125,0.0,R_A5,19,31,18,21,281.5139465332031,1.0,0,2018-04-28,281.5139465332031,STANDARD
1714.9656982421875,0.0,R_A5,20,31,19,21,281.5502014160156,1.0,0,2018-04-28,281.5502014160156,STANDARD
1716.2576904296875,3.307929830661388e-13,R_A5,25,31,20,21,288.83001708984375,1.0,0,2018-04-28,288.83001708984375,STANDARD
1718.586669921875,3.473624925025287e-13,R_A5,26,31,21,21,289.0654602050781,1.0,0,2018-04-28,289.0654602050781,STANDARD
1720.9156494140625,4.4779938621260386e-17,R_A5,27,31,22,21,289.4078369140625,1.0,0,2018-04-28,289.4078369140625,STANDARD
1723.24462890625,3.4513329114602276e-20,R_A5,28,31,23,21,297.8470458984375,1.0,0,2018-04-28,297.8470458984375,STANDARD
1725.5736083984375,2.9745123769287285e-23,R_A5,29,31,24,21,304.98297119140625,1.0,0,2018-04-28,304.98297119140625,STANDARD
1609.1629638671875,0.0,R_A3,1,28,1,41,282.63134765625,0.10993760079145432,0,2018-07-03,282.63134765625,STANDARD
1611.1417236328125,0.0,R_A3,2,28,2,41,282.7634582519531,0.11849865317344666,0,2018-07-03,282.7634582519531,STANDARD
1613.1204833984375,0.0,R_A3,3,28,3,41,282.8956298828125,0.1920933574438095,0,2018-07-03,282.8956298828125,STANDARD
1615.09912109375,0.0,R_A3,4,28,4,41,283.0433044433594,0.6624892950057983,0,2018-07-03,283.0433044433594,STANDARD
1617.077880859375,0.0,R_A3,5,28,5,41,283.9872741699219,0.7982935905456543,0,2018-07-03,283.9872741699219,STANDARD
1610.794677734375,0.0,R_A3,5,29,6,41,283.6003112792969,0.7936004400253296,0,2018-07-03,283.6003112792969,STANDARD
1612.693359375,0.0,R_A3,6,29,7,41,283.7989501953125,0.6492613554000854,0,2018-07-03,283.7989501953125,STANDARD
1614.592041015625,0.0,R_A3,7,29,8,41,284.0113830566406,0.19433915615081787,0,2018-07-03,284.0113830566406,STANDARD
1616.49072265625,0.0,R_A3,8,29,9,41,284.1383056640625,0.1988033652305603,0,2018-07-03,284.1383056640625,STANDARD
1618.3895263671875,0.0,R_A3,9,29,10,41,284.3668212890625,0.7988075613975525,0,2018-07-03,284.3668212890625,STANDARD
1620.2882080078125,0.0,R_A3,10,29,11,41,287.0450439453125,0.7878817915916443,0,2018-07-03,287.0450439453125,STANDARD
1622.396728515625,0.0,R_A3,11,29,12,41,295.1128845214844,0.048759207129478455,0,2018-07-03,295.1128845214844,STANDARD
1624.7149658203125,0.0,R_A3,12,29,13,41,295.26812744140625,0.05429535731673241,0,2018-07-03,295.26812744140625,STANDARD
1627.033203125,0.0,R_A3,13,29,14,41,295.4261474609375,0.37035369873046875,0,2018-07-03,295.4261474609375,STANDARD
1629.3514404296875,0.0,R_A3,14,29,15,41,295.74713134765625,0.3496409058570862,0,2018-07-03,295.74713134765625,STANDARD
1631.6097412109375,0.0,R_A3,15,29,16,41,295.9906005859375,0.7962504625320435,0,2018-07-03,295.9906005859375,STANDARD
1632.883544921875,0.0,R_A3,16,29,17,41,296.0757141113281,0.7739505767822266,0,2018-07-03,296.0757141113281,STANDARD
1634.687255859375,0.0,R_A3,25,29,18,41,284.83685302734375,0.649471640586853,0,2018-07-03,284.83685302734375,STANDARD
