SWAT,DRAWDOWN,DEPTH,CONKPOS,CONIPOS,CONJPOS,CONBPRES,WELL,CONIDX,SGAS,PRESSURE,WELLMODEL,DATE
0.15709559619426727,0,1606.4515380859375,4,29,41,298.4759521484375,R_A3,5,0.0,298.4759521484375,STANDARD,2018-01-01
0.804622232913971,0,1608.5533447265625,5,29,41,298.6167907714844,R_A3,6,0.0,298.6167907714844,STANDARD,2018-01-01
0.2285214066505432,0,1610.655029296875,6,29,41,298.7576599121094,R_A3,7,0.0,298.7576599121094,STANDARD,2018-01-01
0.19611087441444397,0,1612.7568359375,7,29,41,298.8985290527344,R_A3,8,0.0,298.8985290527344,STANDARD,2018-01-01
0.19514338672161102,0,1614.8585205078125,8,29,41,299.0393981933594,R_A3,9,0.0,299.0393981933594,STANDARD,2018-01-01
0.7963529825210571,0,1616.9603271484375,9,29,41,299.1802673339844,R_A3,10,0.0,299.1802673339844,STANDARD,2018-01-01
0.7969051003456116,0,1619.06201171875,10,29,41,299.3211364746094,R_A3,11,0.0,299.3211364746094,STANDARD,2018-01-01
0.04606371372938156,0,1621.240234375,11,29,41,299.4671325683594,R_A3,12,0.0,299.4671325683594,STANDARD,2018-01-01
0.05382061377167702,0,1623.4947509765625,12,29,41,299.6182556152344,R_A3,13,0.0,299.6182556152344,STANDARD,2018-01-01
0.3630521297454834,0,1625.749267578125,13,29,41,299.7694091796875,R_A3,14,0.0,299.7694091796875,STANDARD,2018-01-01
0.601466715335846,0,1630.2584228515625,15,29,41,300.0716857910156,R_A3,15,0.0,300.0716857910156,STANDARD,2018-01-01
0.7994024157524109,0,1632.17919921875,16,29,41,300.2004699707031,R_A3,16,0.0,300.2004699707031,STANDARD,2018-01-01
0.1312955766916275,0,1634.768310546875,27,29,41,300.3740539550781,R_A3,17,0.0,300.3740539550781,STANDARD,2018-01-01
0.044737428426742554,0,1638.283203125,28,29,41,300.6097412109375,R_A3,18,0.0,300.6097412109375,STANDARD,2018-01-01
0.051951661705970764,0,1641.798095703125,29,29,41,300.8454284667969,R_A3,19,0.0,300.8454284667969,STANDARD,2018-01-01
0.14233258366584778,0,1645.31298828125,30,29,41,301.08111572265625,R_A3,20,0.0,301.08111572265625,STANDARD,2018-01-01
0.05831892788410187,0,1648.827880859375,31,29,41,301.31683349609375,R_A3,21,0.0,301.31683349609375,STANDARD,2018-01-01
0.05019981786608696,0,1633.719970703125,1,30,52,300.30377197265625,R_A4,1,0.0,300.30377197265625,STANDARD,2018-01-01
0.04729616269469261,0,1627.24169921875,1,31,52,299.86944580078125,R_A4,2,0.0,299.86944580078125,STANDARD,2018-01-01
0.049567826092243195,0,1629.3060302734375,2,31,52,300.0078430175781,R_A4,3,0.0,300.0078430175781,STANDARD,2018-01-01
0.09114572405815125,0,1631.3702392578125,3,31,52,300.146240234375,R_A4,4,0.0,300.146240234375,STANDARD,2018-01-01
0.05282305181026459,0,1633.4344482421875,4,31,52,300.2846374511719,R_A4,5,0.0,300.2846374511719,STANDARD,2018-01-01
0.05229554697871208,0,1631.5848388671875,4,32,52,300.1606140136719,R_A4,6,0.0,300.1606140136719,STANDARD,2018-01-01
0.05661322921514511,0,1636.2747802734375,4,32,51,300.4750671386719,R_A4,7,0.0,300.4750671386719,STANDARD,2018-01-01
0.05700911581516266,0,1637.12841796875,4,33,51,300.5323181152344,R_A4,8,0.0,300.5323181152344,STANDARD,2018-01-01
0.10069288313388824,0,1635.2728271484375,3,33,51,300.40789794921875,R_A4,9,0.0,300.40789794921875,STANDARD,2018-01-01
0.0621788315474987,0,1642.63720703125,4,33,50,300.90167236328125,R_A4,10,0.0,300.90167236328125,STANDARD,2018-01-01
0.06273587793111801,0,1641.2838134765625,4,34,50,300.8109130859375,R_A4,11,0.0,300.8109130859375,STANDARD,2018-01-01
