date,amount,phase,containment,zone,region
2040-01-01,1578490042.488404,gas,contained,all,all
2060-01-01,1706298524.855112,gas,contained,all,all
2080-01-01,1834855023.3513513,gas,contained,all,all
2100-01-01,1964621803.1139703,gas,contained,all,all
2120-01-01,2095962015.8709652,gas,contained,all,all
2140-01-01,2229177878.5065627,gas,contained,all,all
2160-01-01,2364534468.121818,gas,contained,all,all
2180-01-01,2502247407.427643,gas,contained,all,all
2200-01-01,2642444981.5231524,gas,contained,all,all
2020-01-01,0.6828309219264266,total,hazardous,all,all
2040-01-01,3.88168876939462,total,hazardous,all,all
2060-01-01,18.094690496568802,total,hazardous,all,all
2080-01-01,71.4711527678784,total,hazardous,all,all
2100-01-01,245.47495146061067,total,hazardous,all,all
2120-01-01,748.4969370311271,total,hazardous,all,all
2140-01-01,2060.539825526206,total,hazardous,all,all
2160-01-01,5192.299873091611,total,hazardous,all,all
2180-01-01,12113.49362613341,total,hazardous,all,all
2200-01-01,26413.800791045087,total,hazardous,all,all
2020-01-01,0.06636684000596865,aqueous,hazardous,all,all
2040-01-01,0.37727555861791445,aqueous,hazardous,all,all
2060-01-01,1.7586892898103055,aqueous,hazardous,all,all
2080-01-01,6.946543292746503,aqueous,hazardous,all,all
2100-01-01,23.85861024438877,aqueous,hazardous,all,all
2120-01-01,72.74916069230798,aqueous,hazardous,all,all
2140-01-01,200.2714179094528,aqueous,hazardous,all,all
2160-01-01,504.6586554227721,aqueous,hazardous,all,all
2180-01-01,1177.354843759608,aqueous,hazardous,all,all
2200-01-01,2567.2541104365796,aqueous,hazardous,all,all
2020-01-01,0.6164640819204579,gas,hazardous,all,all
2040-01-01,3.5044132107767054,gas,hazardous,all,all
2060-01-01,16.336001206758496,gas,hazardous,all,all
2080-01-01,64.5246094751319,gas,hazardous,all,all
2100-01-01,221.61634121622188,gas,hazardous,all,all
2120-01-01,675.7477763388191,gas,hazardous,all,all
2140-01-01,1860.2684076167534,gas,hazardous,all,all
2160-01-01,4687.641217668838,gas,hazardous,all,all
2180-01-01,10936.138782373802,gas,hazardous,all,all
2200-01-01,23846.546680608506,gas,hazardous,all,all
2020-01-01,2401354.7042970266,total,outside,all,all
2040-01-01,5189305.392254748,total,outside,all,all
2060-01-01,10172911.14700434,total,outside,all,all
2080-01-01,18302524.09328076,total,outside,all,all
2100-01-01,30510235.28027677,total,outside,all,all
2120-01-01,47536428.45998841,total,outside,all,all
2140-01-01,69813660.04917264,total,outside,all,all
2160-01-01,97455309.41202925,total,outside,all,all
2180-01-01,130336099.14102706,total,outside,all,all
2200-01-01,168215510.53679195,total,outside,all,all
2020-01-01,69751.59111472215,aqueous,outside,all,all
2040-01-01,150732.54577604646,aqueous,outside,all,all
2060-01-01,295490.18206369784,aqueous,outside,all,all
2080-01-01,531629.1569244,aqueous,outside,all,all
2100-01-01,886223.7020943672,aqueous,outside,all,all
2120-01-01,1380779.5720732578,aqueous,outside,all,all
2140-01-01,2027861.132409273,aqueous,outside,all,all
2160-01-01,2830761.687102176,aqueous,outside,all,all
2180-01-01,3785842.3324571517,aqueous,outside,all,all
2200-01-01,4886116.777800787,aqueous,outside,all,all
2020-01-01,2331603.1131823044,gas,outside,all,all
2040-01-01,5038572.846478702,gas,outside,all,all
2060-01-01,9877420.964940641,gas,outside,all,all
2080-01-01,17770894.93635636,gas,outside,all,all
2100-01-01,29624011.578182403,gas,outside,all,all
2120-01-01,46155648.88791515,gas,outside,all,all
2140-01-01,67785798.91676337,gas,outside,all,all
2160-01-01,94624547.72492708,gas,outside,all,all
2180-01-01,126550256.80856991,gas,outside,all,all
2200-01-01,163329393.75899118,gas,outside,all,all
2020-01-01,42149274.062470265,total,total,toptherys,all
2040-01-01,48304238.34951674,total,total,toptherys,all
2060-01-01,54984033.08824269,total,total,toptherys,all
2080-01-01,62215396.137636594,total,total,toptherys,all
2100-01-01,70029200.00803523,total,total,toptherys,all
2120-01-01,78452731.81575517,total,total,toptherys,all
2140-01-01,87507119.22768866,total,total,toptherys,all
2160-01-01,97210470.82484348,total,total,toptherys,all
2180-01-01,107580254.7702017,total,total,toptherys,all
2200-01-01,118632132.66972305,total,total,toptherys,all
2020-01-01,1807934.3088470898,aqueous,total,toptherys,all
2040-01-01,2071942.9152061746,aqueous,total,toptherys,all
2060-01-01,2358463.3916039392,aqueous,total,toptherys,all
2080-01-01,2668642.6211999548,aqueous,total,toptherys,all
2100-01-01,3003804.8372551636,aqueous,total,toptherys,all
2120-01-01,3365120.4825559617,aqueous,total,toptherys,all
2140-01-01,3753495.7988986787,aqueous,total,toptherys,all
2160-01-01,4169707.52860253,aqueous,total,toptherys,all
2180-01-01,4614504.944148958,aqueous,total,toptherys,all
2200-01-01,5088559.828276241,aqueous,total,toptherys,all
2020-01-01,40341339.75362317,gas,total,toptherys,all
2040-01-01,46232295.43431057,gas,total,toptherys,all
2060-01-01,52625569.69663875,gas,total,toptherys,all
2080-01-01,59546753.51643664,gas,total,toptherys,all
2100-01-01,67025395.17078006,gas,total,toptherys,all
2120-01-01,75087611.33319922,gas,total,toptherys,all
2140-01-01,83753623.42878997,gas,total,toptherys,all
2160-01-01,93040763.29624096,gas,total,toptherys,all
2180-01-01,102965749.82605274,gas,total,toptherys,all
2200-01-01,113543572.84144682,gas,total,toptherys,all
2020-01-01,42149274.062470265,total,contained,toptherys,all
2040-01-01,48304238.34951674,total,contained,toptherys,all
2060-01-01,54984033.08824269,total,contained,toptherys,all
2080-01-01,62215396.137636594,total,contained,toptherys,all
2100-01-01,70029200.00803523,total,contained,toptherys,all
2120-01-01,78452731.81575517,total,contained,toptherys,all
2140-01-01,87507119.22768866,total,contained,toptherys,all
2160-01-01,97210470.82484348,total,contained,toptherys,all
2180-01-01,107580254.77020168,total,contained,toptherys,all
2200-01-01,118632132.66972291,total,contained,toptherys,all
2020-01-01,1807934.3088470898,aqueous,contained,toptherys,all
2040-01-01,2071942.9152061746,aqueous,contained,toptherys,all
2060-01-01,2358463.3916039392,aqueous,contained,toptherys,all
2080-01-01,2668642.6211999548,aqueous,contained,toptherys,all
2100-01-01,3003804.8372551636,aqueous,contained,toptherys,all
2120-01-01,3365120.4825559617,aqueous,contained,toptherys,all
2140-01-01,3753495.7988986787,aqueous,contained,toptherys,all
2160-01-01,4169707.52860253,aqueous,contained,toptherys,all
2180-01-01,4614504.944148957,aqueous,contained,toptherys,all
2200-01-01,5088559.8282762375,aqueous,contained,toptherys,all
2020-01-01,40341339.75362317,gas,contained,toptherys,all
2040-01-01,46232295.43431057,gas,contained,toptherys,all
2060-01-01,52625569.69663875,gas,contained,toptherys,all
2080-01-01,59546753.51643664,gas,contained,toptherys,all
2100-01-01,67025395.17078006,gas,contained,toptherys,all
2120-01-01,75087611.33319922,gas,contained,toptherys,all
2140-01-01,83753623.42878997,gas,contained,toptherys,all
2160-01-01,93040763.29624096,gas,contained,toptherys,all
2180-01-01,102965749.82605273,gas,contained,toptherys,all
2200-01-01,113543572.84144668,gas,contained,toptherys,all
2020-01-01,0.0,total,hazardous,toptherys,all
2040-01-01,0.0,total,hazardous,toptherys,all
2060-01-01,0.0,total,hazardous,toptherys,all
2080-01-01,0.0,total,hazardous,toptherys,all
2100-01-01,0.0,total,hazardous,toptherys,all
2120-01-01,0.0,total,hazardous,toptherys,all
2140-01-01,0.0,total,hazardous,toptherys,all
2160-01-01,0.0,total,hazardous,toptherys,all
2180-01-01,0.0,total,hazardous,toptherys,all
2200-01-01,0.0,total,hazardous,toptherys,all
2020-01-01,0.0,aqueous,hazardous,toptherys,all
2040-01-01,0.0,aqueous,hazardous,toptherys,all
2060-01-01,0.0,aqueous,hazardous,toptherys,all
2080-01-01,0.0,aqueous,hazardous,toptherys,all
2100-01-01,0.0,aqueous,hazardous,toptherys,all
2120-01-01,0.0,aqueous,hazardous,toptherys,all
2140-01-01,0.0,aqueous,hazardous,toptherys,all
2160-01-01,0.0,aqueous,hazardous,toptherys,all
2180-01-01,0.0,aqueous,hazardous,toptherys,all
2200-01-01,0.0,aqueous,hazardous,toptherys,all
2020-01-01,0.0,gas,hazardous,toptherys,all
2040-01-01,0.0,gas,hazardous,toptherys,all
2060-01-01,0.0,gas,hazardous,toptherys,all
2080-01-01,0.0,gas,hazardous,toptherys,all
2100-01-01,0.0,gas,hazardous,toptherys,all
2120-01-01,0.0,gas,hazardous,toptherys,all
2140-01-01,0.0,gas,hazardous,toptherys,all
2160-01-01,0.0,gas,hazardous,toptherys,all
2180-01-01,0.0,gas,hazardous,toptherys,all
2200-01-01,0.0,gas,hazardous,toptherys,all
2020-01-01,0.0,total,outside,toptherys,all
2040-01-01,0.0,total,outside,toptherys,all
2060-01-01,0.0,total,outside,toptherys,all
2080-01-01,0.0,total,outside,toptherys,all
2100-01-01,0.0,total,outside,toptherys,all
2120-01-01,0.0,total,outside,toptherys,all
2140-01-01,0.0,total,outside,toptherys,all
2160-01-01,2.330642929754346e-09,total,outside,toptherys,all
2180-01-01,2.2286704859859472e-08,total,outside,toptherys,all
2200-01-01,1.3934174061717427e-07,total,outside,toptherys,all
2020-01-01,0.0,aqueous,outside,toptherys,all
2040-01-01,0.0,aqueous,outside,toptherys,all
2060-01-01,0.0,aqueous,outside,toptherys,all
2080-01-01,0.0,aqueous,outside,toptherys,all
2100-01-01,0.0,aqueous,outside,toptherys,all
2120-01-01,0.0,aqueous,outside,toptherys,all
2140-01-01,0.0,aqueous,outside,toptherys,all
2160-01-01,6.769764265968067e-11,aqueous,outside,toptherys,all
2180-01-01,6.473567282241561e-10,aqueous,outside,toptherys,all
2200-01-01,4.047427104105408e-09,aqueous,outside,toptherys,all
2020-01-01,0.0,gas,outside,toptherys,all
2040-01-01,0.0,gas,outside,toptherys,all
2060-01-01,0.0,gas,outside,toptherys,all
2080-01-01,0.0,gas,outside,toptherys,all
2100-01-01,0.0,gas,outside,toptherys,all
2120-01-01,0.0,gas,outside,toptherys,all
2140-01-01,0.0,gas,outside,toptherys,all
2160-01-01,2.2629452870946657e-09,gas,outside,toptherys,all
2180-01-01,2.1639348131635317e-08,gas,outside,toptherys,all
2200-01-01,1.3529431351306886e-07,gas,outside,toptherys,all
2020-01-01,1433972991.3552563,total,total,topvolantis,all
2040-01-01,1557812360.6316504,total,total,topvolantis,all
2060-01-01,1682972728.3800337,total,total,topvolantis,all
2080-01-01,1810957545.0236166,total,total,topvolantis,all
2100-01-01,1943120220.0296495,total,total,topvolantis,all
2120-01-01,2080526198.0156164,total,total,topvolantis,all
2140-01-01,2223882021.0795417,total,total,topvolantis,all
2160-01-01,2373542818.8954277,total,total,topvolantis,all
2180-01-01,2529575633.4876876,total,total,topvolantis,all
2200-01-01,2691846246.938759,total,total,topvolantis,all
2020-01-01,61475019.80998004,aqueous,total,topvolantis,all
2040-01-01,66748332.66097558,aqueous,total,topvolantis,all
2060-01-01,72047905.61725739,aqueous,total,topvolantis,all
2080-01-01,77425069.24417254,aqueous,total,topvolantis,all
2100-01-01,82924974.06271583,aqueous,total,topvolantis,all
2120-01-01,88583080.17535831,aqueous,total,topvolantis,all
2140-01-01,94423730.2453877,aqueous,total,topvolantis,all
2160-01-01,100460641.9999467,aqueous,total,topvolantis,all
2180-01-01,106698532.764798,aqueous,total,topvolantis,all
2200-01-01,113135170.7928291,aqueous,total,topvolantis,all
2020-01-01,1372497971.5452762,gas,total,topvolantis,all
2040-01-01,1491064027.9706748,gas,total,topvolantis,all
2060-01-01,1610924822.7627764,gas,total,topvolantis,all
2080-01-01,1733532475.779444,gas,total,topvolantis,all
2100-01-01,1860195245.9669337,gas,total,topvolantis,all
2120-01-01,1991943117.8402581,gas,total,topvolantis,all
2140-01-01,2129458290.8341537,gas,total,topvolantis,all
2160-01-01,2273082176.8954806,gas,total,topvolantis,all
2180-01-01,2422877100.72289,gas,total,topvolantis,all
2200-01-01,2578711076.1459303,gas,total,topvolantis,all
2020-01-01,1431571635.9681282,total,contained,topvolantis,all
2040-01-01,1552623051.357707,total,contained,topvolantis,all
2060-01-01,1672799799.138339,total,contained,topvolantis,all
2080-01-01,1792654949.459183,total,contained,topvolantis,all
2100-01-01,1912609739.2744215,total,contained,topvolantis,all
2120-01-01,2032989021.058691,total,contained,topvolantis,all
2140-01-01,2154066300.4905434,total,contained,topvolantis,all
2160-01-01,2276082317.183525,total,contained,topvolantis,all
2180-01-01,2399227420.8530345,total,contained,topvolantis,all
2200-01-01,2523604322.6011767,total,contained,topvolantis,all
2020-01-01,61405268.15249848,aqueous,contained,topvolantis,all
2040-01-01,66597599.73792398,aqueous,contained,topvolantis,all
2060-01-01,71752413.6765044,aqueous,contained,topvolantis,all
2080-01-01,76893433.14070486,aqueous,contained,topvolantis,all
2100-01-01,82038726.50201122,aqueous,contained,topvolantis,all
2120-01-01,87202227.85412437,aqueous,contained,topvolantis,all
2140-01-01,92395668.84156051,aqueous,contained,topvolantis,all
2160-01-01,97629375.65418911,aqueous,contained,topvolantis,all
2180-01-01,102911513.07749708,aqueous,contained,topvolantis,all
2200-01-01,108246486.76091787,aqueous,contained,topvolantis,all
2020-01-01,1370166367.8156297,gas,contained,topvolantis,all
2040-01-01,1486025451.619783,gas,contained,topvolantis,all
2060-01-01,1601047385.4618347,gas,contained,topvolantis,all
2080-01-01,1715761516.318478,gas,contained,topvolantis,all
2100-01-01,1830571012.7724102,gas,contained,topvolantis,all
2120-01-01,1945786793.2045667,gas,contained,topvolantis,all
2140-01-01,2061670631.6489828,gas,contained,topvolantis,all
2160-01-01,2178452941.529336,gas,contained,topvolantis,all
2180-01-01,2296315907.7755375,gas,contained,topvolantis,all
2200-01-01,2415357835.840259,gas,contained,topvolantis,all
2020-01-01,0.6828309219264266,total,hazardous,topvolantis,all
2040-01-01,3.88168876939462,total,hazardous,topvolantis,all
2060-01-01,18.094690496568802,total,hazardous,topvolantis,all
2080-01-01,71.4711527678784,total,hazardous,topvolantis,all
2100-01-01,245.47495146061067,total,hazardous,topvolantis,all
2120-01-01,748.4969370311271,total,hazardous,topvolantis,all
2140-01-01,2060.539825526206,total,hazardous,topvolantis,all
2160-01-01,5192.299873091611,total,hazardous,topvolantis,all
2180-01-01,12113.49362613341,total,hazardous,topvolantis,all
2200-01-01,26413.800791045087,total,hazardous,topvolantis,all
2020-01-01,0.06636684000596865,aqueous,hazardous,topvolantis,all
2040-01-01,0.37727555861791445,aqueous,hazardous,topvolantis,all
2060-01-01,1.7586892898103055,aqueous,hazardous,topvolantis,all
2080-01-01,6.946543292746503,aqueous,hazardous,topvolantis,all
2100-01-01,23.85861024438877,aqueous,hazardous,topvolantis,all
2120-01-01,72.74916069230798,aqueous,hazardous,topvolantis,all
2140-01-01,200.2714179094528,aqueous,hazardous,topvolantis,all
2160-01-01,504.6586554227721,aqueous,hazardous,topvolantis,all
2180-01-01,1177.354843759608,aqueous,hazardous,topvolantis,all
2200-01-01,2567.2541104365796,aqueous,hazardous,topvolantis,all
2020-01-01,0.6164640819204579,gas,hazardous,topvolantis,all
2040-01-01,3.5044132107767054,gas,hazardous,topvolantis,all
2060-01-01,16.336001206758496,gas,hazardous,topvolantis,all
2080-01-01,64.5246094751319,gas,hazardous,topvolantis,all
2100-01-01,221.61634121622188,gas,hazardous,topvolantis,all
2120-01-01,675.7477763388191,gas,hazardous,topvolantis,all
2140-01-01,1860.2684076167534,gas,hazardous,topvolantis,all
2160-01-01,4687.641217668838,gas,hazardous,topvolantis,all
2180-01-01,10936.138782373802,gas,hazardous,topvolantis,all
2200-01-01,23846.546680608506,gas,hazardous,topvolantis,all
2020-01-01,2401354.7042970266,total,outside,topvolantis,all
2040-01-01,5189305.392254748,total,outside,topvolantis,all
2060-01-01,10172911.14700434,total,outside,topvolantis,all
2080-01-01,18302524.09328076,total,outside,topvolantis,all
2100-01-01,30510235.28027677,total,outside,topvolantis,all
2120-01-01,47536428.45998841,total,outside,topvolantis,all
2140-01-01,69813660.04917264,total,outside,topvolantis,all
2160-01-01,97455309.41202925,total,outside,topvolantis,all
2180-01-01,130336099.14102702,total,outside,topvolantis,all
2200-01-01,168215510.53679168,total,outside,topvolantis,all
2020-01-01,69751.59111472215,aqueous,outside,topvolantis,all
2040-01-01,150732.54577604646,aqueous,outside,topvolantis,all
2060-01-01,295490.18206369784,aqueous,outside,topvolantis,all
2080-01-01,531629.1569244,aqueous,outside,topvolantis,all
2100-01-01,886223.7020943672,aqueous,outside,topvolantis,all
2120-01-01,1380779.5720732578,aqueous,outside,topvolantis,all
2140-01-01,2027861.132409273,aqueous,outside,topvolantis,all
2160-01-01,2830761.687102176,aqueous,outside,topvolantis,all
2180-01-01,3785842.3324571503,aqueous,outside,topvolantis,all
2200-01-01,4886116.777800779,aqueous,outside,topvolantis,all
2020-01-01,2331603.1131823044,gas,outside,topvolantis,all
2040-01-01,5038572.846478702,gas,outside,topvolantis,all
2060-01-01,9877420.964940641,gas,outside,topvolantis,all
2080-01-01,17770894.93635636,gas,outside,topvolantis,all
2100-01-01,29624011.578182403,gas,outside,topvolantis,all
2120-01-01,46155648.88791515,gas,outside,topvolantis,all
2140-01-01,67785798.91676337,gas,outside,topvolantis,all
2160-01-01,94624547.72492708,gas,outside,topvolantis,all
2180-01-01,126550256.80856986,gas,outside,topvolantis,all
2200-01-01,163329393.7589909,gas,outside,topvolantis,all
2020-01-01,42149274.062470265,total,total,topvolon,all
2040-01-01,48304238.34951674,total,total,topvolon,all
2060-01-01,54984033.08824269,total,total,topvolon,all
2080-01-01,62215396.137636594,total,total,topvolon,all
2100-01-01,70029200.00803523,total,total,topvolon,all
2120-01-01,78452731.81575517,total,total,topvolon,all
2140-01-01,87507119.22768866,total,total,topvolon,all
2160-01-01,97210470.82484348,total,total,topvolon,all
2180-01-01,107580254.7702017,total,total,topvolon,all
2200-01-01,118632132.66972305,total,total,topvolon,all
2020-01-01,1807934.3088470898,aqueous,total,topvolon,all
2040-01-01,2071942.9152061746,aqueous,total,topvolon,all
2060-01-01,2358463.3916039392,aqueous,total,topvolon,all
2080-01-01,2668642.6211999548,aqueous,total,topvolon,all
2100-01-01,3003804.8372551636,aqueous,total,topvolon,all
2120-01-01,3365120.4825559617,aqueous,total,topvolon,all
2140-01-01,3753495.7988986787,aqueous,total,topvolon,all
2160-01-01,4169707.52860253,aqueous,total,topvolon,all
2180-01-01,4614504.944148958,aqueous,total,topvolon,all
2200-01-01,5088559.828276241,aqueous,total,topvolon,all
2020-01-01,40341339.75362317,gas,total,topvolon,all
2040-01-01,46232295.43431057,gas,total,topvolon,all
2060-01-01,52625569.69663875,gas,total,topvolon,all
2080-01-01,59546753.51643664,gas,total,topvolon,all
2100-01-01,67025395.17078006,gas,total,topvolon,all
2120-01-01,75087611.33319922,gas,total,topvolon,all
2140-01-01,83753623.42878997,gas,total,topvolon,all
2160-01-01,93040763.29624096,gas,total,topvolon,all
2180-01-01,102965749.82605274,gas,total,topvolon,all
2200-01-01,113543572.84144682,gas,total,topvolon,all
2020-01-01,42149274.062470265,total,contained,topvolon,all
2040-01-01,48304238.34951674,total,contained,topvolon,all
2060-01-01,54984033.08824269,total,contained,topvolon,all
2080-01-01,62215396.137636594,total,contained,topvolon,all
2100-01-01,70029200.00803523,total,contained,topvolon,all
2120-01-01,78452731.81575517,total,contained,topvolon,all
2140-01-01,87507119.22768866,total,contained,topvolon,all
2160-01-01,97210470.82484348,total,contained,topvolon,all
2180-01-01,107580254.77020168,total,contained,topvolon,all
2200-01-01,118632132.66972291,total,contained,topvolon,all
2020-01-01,1807934.3088470898,aqueous,contained,topvolon,all
2040-01-01,2071942.9152061746,aqueous,contained,topvolon,all
2060-01-01,2358463.3916039392,aqueous,contained,topvolon,all
2080-01-01,2668642.6211999548,aqueous,contained,topvolon,all
2100-01-01,3003804.8372551636,aqueous,contained,topvolon,all
2120-01-01,3365120.4825559617,aqueous,contained,topvolon,all
2140-01-01,3753495.7988986787,aqueous,contained,topvolon,all
2160-01-01,4169707.52860253,aqueous,contained,topvolon,all
2180-01-01,4614504.944148957,aqueous,contained,topvolon,all
2200-01-01,5088559.8282762375,aqueous,contained,topvolon,all
2020-01-01,40341339.75362317,gas,contained,topvolon,all
2040-01-01,46232295.43431057,gas,contained,topvolon,all
2060-01-01,52625569.69663875,gas,contained,topvolon,all
2080-01-01,59546753.51643664,gas,contained,topvolon,all
2100-01-01,67025395.17078006,gas,contained,topvolon,all
2120-01-01,75087611.33319922,gas,contained,topvolon,all
2140-01-01,83753623.42878997,gas,contained,topvolon,all
2160-01-01,93040763.29624096,gas,contained,topvolon,all
2180-01-01,102965749.82605273,gas,contained,topvolon,all
2200-01-01,113543572.84144668,gas,contained,topvolon,all
2020-01-01,0.0,total,hazardous,topvolon,all
2040-01-01,0.0,total,hazardous,topvolon,all
2060-01-01,0.0,total,hazardous,topvolon,all
2080-01-01,0.0,total,hazardous,topvolon,all
2100-01-01,0.0,total,hazardous,topvolon,all
2120-01-01,0.0,total,hazardous,topvolon,all
2140-01-01,0.0,total,hazardous,topvolon,all
2160-01-01,0.0,total,hazardous,topvolon,all
2180-01-01,0.0,total,hazardous,topvolon,all
2200-01-01,0.0,total,hazardous,topvolon,all
2020-01-01,0.0,aqueous,hazardous,topvolon,all
2040-01-01,0.0,aqueous,hazardous,topvolon,all
2060-01-01,0.0,aqueous,hazardous,topvolon,all
2080-01-01,0.0,aqueous,hazardous,topvolon,all
2100-01-01,0.0,aqueous,hazardous,topvolon,all
2120-01-01,0.0,aqueous,hazardous,topvolon,all
2140-01-01,0.0,aqueous,hazardous,topvolon,all
2160-01-01,0.0,aqueous,hazardous,topvolon,all
2180-01-01,0.0,aqueous,hazardous,topvolon,all
2200-01-01,0.0,aqueous,hazardous,topvolon,all
2020-01-01,0.0,gas,hazardous,topvolon,all
2040-01-01,0.0,gas,hazardous,topvolon,all
2060-01-01,0.0,gas,hazardous,topvolon,all
2080-01-01,0.0,gas,hazardous,topvolon,all
2100-01-01,0.0,gas,hazardous,topvolon,all
2120-01-01,0.0,gas,hazardous,topvolon,all
2140-01-01,0.0,gas,hazardous,topvolon,all
2160-01-01,0.0,gas,hazardous,topvolon,all
2180-01-01,0.0,gas,hazardous,topvolon,all
2200-01-01,0.0,gas,hazardous,topvolon,all
2020-01-01,0.0,total,outside,topvolon,all
2040-01-01,0.0,total,outside,topvolon,all
2060-01-01,0.0,total,outside,topvolon,all
2080-01-01,0.0,total,outside,topvolon,all
2100-01-01,0.0,total,outside,topvolon,all
2120-01-01,0.0,total,outside,topvolon,all
2140-01-01,0.0,total,outside,topvolon,all
2160-01-01,2.330642929754346e-09,total,outside,topvolon,all
2180-01-01,2.2286704859859472e-08,total,outside,topvolon,all
2200-01-01,1.3934174061717427e-07,total,outside,topvolon,all
2020-01-01,0.0,aqueous,outside,topvolon,all
2040-01-01,0.0,aqueous,outside,topvolon,all
2060-01-01,0.0,aqueous,outside,topvolon,all
2080-01-01,0.0,aqueous,outside,topvolon,all
2100-01-01,0.0,aqueous,outside,topvolon,all
2120-01-01,0.0,aqueous,outside,topvolon,all
2140-01-01,0.0,aqueous,outside,topvolon,all
2160-01-01,6.769764265968067e-11,aqueous,outside,topvolon,all
2180-01-01,6.473567282241561e-10,aqueous,outside,topvolon,all
2200-01-01,4.047427104105408e-09,aqueous,outside,topvolon,all
2020-01-01,0.0,gas,outside,topvolon,all
2040-01-01,0.0,gas,outside,topvolon,all
2060-01-01,0.0,gas,outside,topvolon,all
2080-01-01,0.0,gas,outside,topvolon,all
2100-01-01,0.0,gas,outside,topvolon,all
2120-01-01,0.0,gas,outside,topvolon,all
2140-01-01,0.0,gas,outside,topvolon,all
2160-01-01,2.2629452870946657e-09,gas,outside,topvolon,all
2180-01-01,2.1639348131635317e-08,gas,outside,topvolon,all
2200-01-01,1.3529431351306886e-07,gas,outside,topvolon,all
