CONKPOS,SGAS,DRAWDOWN,SWAT,CONBPRES,CONJPOS,WELL,DEPTH,WELLMODEL,PRESSURE,CONIDX,CONIPOS,DATE
11,0.0,0,0.04908576235175133,299.24237060546875,41,R_A3,1619.750732421875,STANDARD,299.24237060546875,12,29,2018-01-01
12,0.0,0,0.054848283529281616,299.3978271484375,41,R_A3,1622.0697021484375,STANDARD,299.3978271484375,13,29,2018-01-01
13,0.0,0,0.37202560901641846,299.5532531738281,41,R_A3,1624.388671875,STANDARD,299.5532531738281,14,29,2018-01-01
15,0.0,0,0.4873570203781128,299.8641662597656,41,R_A3,1629.026611328125,STANDARD,299.8641662597656,15,29,2018-01-01
16,0.0,0,0.8076774477958679,299.992919921875,41,R_A3,1630.9468994140625,STANDARD,299.992919921875,16,29,2018-01-01
27,0.0,0,1.0,300.16583251953125,41,R_A3,1633.5262451171875,STANDARD,300.16583251953125,17,29,2018-01-01
28,0.0,0,0.04337825998663902,300.40966796875,41,R_A3,1637.1630859375,STANDARD,300.40966796875,18,29,2018-01-01
29,0.0,0,0.05151337385177612,300.6535339355469,41,R_A3,1640.8001708984375,STANDARD,300.6535339355469,19,29,2018-01-01
30,0.0,0,1.0,300.89739990234375,41,R_A3,1644.4371337890625,STANDARD,300.89739990234375,20,29,2018-01-01
31,0.0,0,0.06231296807527542,301.14129638671875,41,R_A3,1648.0740966796875,STANDARD,301.14129638671875,21,29,2018-01-01
1,0.0,0,0.053005583584308624,300.009033203125,52,R_A4,1631.1873779296875,STANDARD,300.009033203125,1,30,2018-01-01
1,0.0,0,0.04966719448566437,299.7571105957031,52,R_A4,1627.4293212890625,STANDARD,299.7571105957031,2,31,2018-01-01
2,0.0,0,0.050943583250045776,299.89520263671875,52,R_A4,1629.4896240234375,STANDARD,299.89520263671875,3,31,2018-01-01
3,0.0,0,0.05345940962433815,300.0333251953125,52,R_A4,1631.5498046875,STANDARD,300.0333251953125,4,31,2018-01-01
4,0.0,0,0.058497145771980286,300.17144775390625,52,R_A4,1633.610107421875,STANDARD,300.17144775390625,5,31,2018-01-01
4,0.0,0,0.05785714462399483,300.0901184082031,52,R_A4,1632.3968505859375,STANDARD,300.0901184082031,6,32,2018-01-01
4,0.0,0,0.058354947715997696,300.3236999511719,51,R_A4,1635.880615234375,STANDARD,300.3236999511719,7,32,2018-01-01
4,0.0,0,0.0618814118206501,300.4202575683594,51,R_A4,1637.321044921875,STANDARD,300.4202575683594,8,33,2018-01-01
3,0.0,0,0.05655122175812721,300.29644775390625,51,R_A4,1635.474609375,STANDARD,300.29644775390625,9,33,2018-01-01
4,0.0,0,0.14695020020008087,300.74395751953125,50,R_A4,1642.1485595703125,STANDARD,300.74395751953125,10,33,2018-01-01
4,0.0,0,0.08094248175621033,300.67578125,50,R_A4,1641.132080078125,STANDARD,300.67578125,11,34,2018-01-01
3,0.0,0,0.12245088070631027,300.5467224121094,50,R_A4,1639.20703125,STANDARD,300.5467224121094,12,34,2018-01-01
3,0.0,0,0.12450994551181793,300.66064453125,50,R_A4,1640.9061279296875,STANDARD,300.66064453125,13,35,2018-01-01
2,0.0,0,0.22938384115695953,300.53570556640625,50,R_A4,1639.0426025390625,STANDARD,300.53570556640625,14,35,2018-01-01
2,0.0,0,0.23677265644073486,300.72943115234375,49,R_A4,1641.93212890625,STANDARD,300.72943115234375,15,35,2018-01-01
30,0.0,0,0.12670636177062988,300.7579650878906,49,R_A4,1642.357421875,STANDARD,300.7579650878906,16,36,2018-01-01
30,0.0,0,0.04889002442359924,300.5735168457031,48,R_A4,1639.6068115234375,STANDARD,300.5735168457031,17,36,2018-01-01
30,0.0,0,0.2428145408630371,301.0526123046875,48,R_A4,1646.7513427734375,STANDARD,301.0526123046875,18,37,2018-01-01
30,0.0,0,0.3171052634716034,301.5025939941406,48,R_A4,1653.461669921875,STANDARD,301.5025939941406,19,38,2018-01-01
30,0.0,0,0.6481541991233826,301.7947998046875,47,R_A4,1657.8184814453125,STANDARD,301.7947998046875,20,38,2018-01-01
1,0.0,0,1.0,304.1498718261719,20,R_A5,1685.026611328125,STANDARD,304.1498718261719,1,31,2018-01-01
2,0.0,0,1.0,304.0601806640625,20,R_A5,1687.3070068359375,STANDARD,304.0601806640625,2,31,2018-01-01
3,0.0,0,1.0,304.27630615234375,20,R_A5,1689.5875244140625,STANDARD,304.27630615234375,3,31,2018-01-01
4,0.0,0,1.0,304.4924011230469,20,R_A5,1691.8680419921875,STANDARD,304.4924011230469,4,31,2018-01-01
5,0.0,0,1.0,304.7085266113281,20,R_A5,1694.1485595703125,STANDARD,304.7085266113281,5,31,2018-01-01
6,0.0,0,1.0,304.9246520996094,20,R_A5,1696.4290771484375,STANDARD,304.9246520996094,6,31,2018-01-01
7,0.0,0,1.0,305.446533203125,20,R_A5,1698.70947265625,STANDARD,305.446533203125,7,31,2018-01-01
8,0.0,0,1.0,305.66265869140625,20,R_A5,1700.989990234375,STANDARD,305.66265869140625,8,31,2018-01-01
9,0.0,0,1.0,305.8787841796875,20,R_A5,1703.2706298828125,STANDARD,305.8787841796875,9,31,2018-01-01
11,0.0,0,1.0,305.988037109375,20,R_A5,1707.6488037109375,STANDARD,305.988037109375,10,31,2018-01-01
12,0.0,0,1.0,306.1695251464844,20,R_A5,1709.5638427734375,STANDARD,306.1695251464844,11,31,2018-01-01
12,0.0,0,1.0,305.4322814941406,21,R_A5,1701.7845458984375,STANDARD,305.4322814941406,12,31,2018-01-01
13,0.0,0,1.0,305.6291198730469,21,R_A5,1703.735107421875,STANDARD,305.6291198730469,13,31,2018-01-01
14,0.0,0,1.0,305.81396484375,21,R_A5,1705.6856689453125,STANDARD,305.81396484375,14,31,2018-01-01
15,0.0,0,1.0,305.9988098144531,21,R_A5,1707.63623046875,STANDARD,305.9988098144531,15,31,2018-01-01
16,0.0,0,1.0,306.3287048339844,21,R_A5,1709.5867919921875,STANDARD,306.3287048339844,16,31,2018-01-01
17,0.0,0,1.0,306.5135498046875,21,R_A5,1711.537353515625,STANDARD,306.5135498046875,17,31,2018-01-01
18,0.0,0,1.0,306.6856994628906,21,R_A5,1713.35400390625,STANDARD,306.6856994628906,18,31,2018-01-01
19,0.0,0,1.0,306.7843933105469,21,R_A5,1714.3951416015625,STANDARD,306.7843933105469,19,31,2018-01-01
27,0.0,0,1.0,306.75689697265625,21,R_A5,1715.7628173828125,STANDARD,306.75689697265625,20,31,2018-01-01
28,0.0,0,1.0,306.978271484375,21,R_A5,1718.098388671875,STANDARD,306.978271484375,21,31,2018-01-01
29,0.0,0,1.0,307.5054016113281,21,R_A5,1720.43408203125,STANDARD,307.5054016113281,22,31,2018-01-01
30,0.0,0,1.0,307.7267761230469,21,R_A5,1722.7696533203125,STANDARD,307.7267761230469,23,31,2018-01-01
31,0.0,0,1.0,307.9481506347656,21,R_A5,1725.105224609375,STANDARD,307.9481506347656,24,31,2018-01-01
1,0.0,0,1.0,305.11419677734375,42,R_A6,1695.20263671875,STANDARD,305.11419677734375,1,17,2018-01-01
2,0.0,0,1.0,305.2609558105469,42,R_A6,1696.7510986328125,STANDARD,305.2609558105469,2,17,2018-01-01
3,0.0,0,1.0,305.4076843261719,42,R_A6,1698.299560546875,STANDARD,305.4076843261719,3,17,2018-01-01
4,0.0,0,1.0,305.554443359375,42,R_A6,1699.84814453125,STANDARD,305.554443359375,4,17,2018-01-01
5,0.0,0,1.0,305.7012023925781,42,R_A6,1701.3966064453125,STANDARD,305.7012023925781,5,17,2018-01-01
6,0.0,0,1.0,305.84796142578125,42,R_A6,1702.9451904296875,STANDARD,305.84796142578125,6,17,2018-01-01
7,0.0,0,1.0,305.6956481933594,42,R_A6,1704.49365234375,STANDARD,305.6956481933594,7,17,2018-01-01
8,0.0,0,1.0,305.8424072265625,42,R_A6,1706.042236328125,STANDARD,305.8424072265625,8,17,2018-01-01
9,0.0,0,1.0,306.2882080078125,42,R_A6,1707.5906982421875,STANDARD,306.2882080078125,9,17,2018-01-01
10,0.0,0,1.0,306.4349670410156,42,R_A6,1709.1392822265625,STANDARD,306.4349670410156,10,17,2018-01-01
11,0.0,0,1.0,306.3109130859375,42,R_A6,1711.055419921875,STANDARD,306.3109130859375,11,17,2018-01-01
12,0.0,0,1.0,306.52734375,42,R_A6,1713.3392333984375,STANDARD,306.52734375,12,17,2018-01-01
13,0.0,0,1.0,306.7557678222656,42,R_A6,1715.623046875,STANDARD,306.7557678222656,13,17,2018-01-01
14,0.0,0,1.0,306.9721984863281,42,R_A6,1717.9068603515625,STANDARD,306.9721984863281,14,17,2018-01-01
15,0.0,0,1.0,307.18865966796875,42,R_A6,1720.190673828125,STANDARD,307.18865966796875,15,17,2018-01-01
16,0.0,0,1.0,307.55010986328125,42,R_A6,1722.474365234375,STANDARD,307.55010986328125,16,17,2018-01-01
17,0.0,0,1.0,307.7665710449219,42,R_A6,1724.7581787109375,STANDARD,307.7665710449219,17,17,2018-01-01
18,0.0,0,1.0,307.921630859375,42,R_A6,1726.394287109375,STANDARD,307.921630859375,18,17,2018-01-01
27,0.0,0,1.0,307.8930969238281,42,R_A6,1727.7508544921875,STANDARD,307.8930969238281,19,17,2018-01-01
28,0.0,0,1.0,308.3623352050781,42,R_A6,1729.4755859375,STANDARD,308.3623352050781,20,17,2018-01-01
29,0.0,0,1.0,308.52581787109375,42,R_A6,1731.2001953125,STANDARD,308.52581787109375,21,17,2018-01-01
30,0.0,0,1.0,308.68927001953125,42,R_A6,1732.9249267578125,STANDARD,308.68927001953125,22,17,2018-01-01
31,0.0,0,1.0,308.5469665527344,42,R_A6,1734.649658203125,STANDARD,308.5469665527344,23,17,2018-01-01
1,0.0,0,0.05575883015990257,299.7513427734375,30,R_A2,1641.094970703125,STANDARD,299.7513427734375,1,22,2018-03-01
2,0.0,0,0.058824215084314346,299.8716125488281,30,R_A2,1642.8890380859375,STANDARD,299.8716125488281,2,22,2018-03-01
3,0.0,0,0.06135755032300949,299.99188232421875,30,R_A2,1644.68310546875,STANDARD,299.99188232421875,3,22,2018-03-01
4,0.0,0,0.06730068475008011,300.1121520996094,30,R_A2,1646.4771728515625,STANDARD,300.1121520996094,4,22,2018-03-01
5,0.0,0,0.1339641660451889,300.23248291015625,30,R_A2,1648.2713623046875,STANDARD,300.23248291015625,5,22,2018-03-01
6,0.0,0,0.30628278851509094,300.38543701171875,30,R_A2,1650.0654296875,STANDARD,300.38543701171875,6,22,2018-03-01
7,0.0,0,0.8922711610794067,300.5364074707031,30,R_A2,1651.859619140625,STANDARD,300.5364074707031,7,22,2018-03-01
8,0.0,0,0.6482234597206116,300.66851806640625,30,R_A2,1653.6536865234375,STANDARD,300.66851806640625,8,22,2018-03-01
9,0.0,0,0.18725520372390747,300.788818359375,30,R_A2,1655.44775390625,STANDARD,300.788818359375,9,22,2018-03-01
10,0.0,0,0.9045327305793762,300.92071533203125,30,R_A2,1657.2418212890625,STANDARD,300.92071533203125,10,22,2018-03-01
11,0.0,0,0.07898197323083878,300.97845458984375,30,R_A2,1659.1368408203125,STANDARD,300.97845458984375,11,22,2018-03-01
12,0.0,0,0.079105906188488,301.1188659667969,30,R_A2,1661.132568359375,STANDARD,301.1188659667969,12,22,2018-03-01
13,0.0,0,0.45307594537734985,301.3996887207031,30,R_A2,1663.12841796875,STANDARD,301.3996887207031,13,22,2018-03-01
14,0.0,0,0.5042823553085327,301.6242370605469,30,R_A2,1665.1241455078125,STANDARD,301.6242370605469,14,22,2018-03-01
15,0.0,0,0.6906251311302185,301.7579040527344,30,R_A2,1667.1199951171875,STANDARD,301.7579040527344,15,22,2018-03-01
16,0.0,0,0.9649263024330139,301.8908386230469,30,R_A2,1669.11572265625,STANDARD,301.8908386230469,16,22,2018-03-01
17,0.0,0,0.9508087038993835,302.0245056152344,30,R_A2,1671.111572265625,STANDARD,302.0245056152344,17,22,2018-03-01
18,0.0,0,0.983158528804779,302.1502990722656,30,R_A2,1672.9881591796875,STANDARD,302.1502990722656,18,22,2018-03-01
18,0.0,0,0.9968776106834412,302.2432556152344,29,R_A2,1674.229736328125,STANDARD,302.2432556152344,19,22,2018-03-01
27,-2.3501640629246257e-14,0,1.0,302.9474182128906,29,R_A2,1676.1676025390625,STANDARD,302.9474182128906,20,22,2018-03-01
28,-5.025363466830933e-15,0,1.0,303.3683776855469,29,R_A2,1677.9368896484375,STANDARD,303.3683776855469,21,22,2018-03-01
29,-5.49878288654557e-15,0,1.0,303.3985900878906,29,R_A2,1679.7061767578125,STANDARD,303.3985900878906,22,22,2018-03-01
30,-5.045462288119857e-15,0,1.0,303.22247314453125,29,R_A2,1681.4754638671875,STANDARD,303.22247314453125,23,22,2018-03-01
31,-6.234950232432597e-15,0,1.0,302.97027587890625,29,R_A2,1683.2447509765625,STANDARD,302.97027587890625,24,22,2018-03-01
1,-2.2744108491921296e-18,0,1.0,263.9371643066406,20,R_A5,1685.026611328125,STANDARD,263.9371643066406,1,31,2018-04-28
2,-3.946338412658606e-16,0,1.0,263.8471984863281,20,R_A5,1687.3070068359375,STANDARD,263.8471984863281,2,31,2018-04-28
3,-6.166849312868943e-16,0,1.0,264.0630187988281,20,R_A5,1689.5875244140625,STANDARD,264.0630187988281,3,31,2018-04-28
4,-7.439192326016205e-16,0,1.0,264.27880859375,20,R_A5,1691.8680419921875,STANDARD,264.27880859375,4,31,2018-04-28
5,-2.43934292092467e-16,0,1.0,264.49456787109375,20,R_A5,1694.1485595703125,STANDARD,264.49456787109375,5,31,2018-04-28
6,-1.24382468436263e-15,0,1.0,264.71038818359375,20,R_A5,1696.4290771484375,STANDARD,264.71038818359375,6,31,2018-04-28
7,-1.8038170122755244e-16,0,1.0,265.2632141113281,20,R_A5,1698.70947265625,STANDARD,265.2632141113281,7,31,2018-04-28
8,-8.490884844590497e-16,0,1.0,265.5189514160156,20,R_A5,1700.989990234375,STANDARD,265.5189514160156,8,31,2018-04-28
9,0.0,0,1.0,268.0636291503906,20,R_A5,1703.2706298828125,STANDARD,268.0636291503906,9,31,2018-04-28
11,-1.8323113276761012e-14,0,1.0,266.9485778808594,20,R_A5,1707.6488037109375,STANDARD,266.9485778808594,10,31,2018-04-28
12,-6.823327693199167e-15,0,1.0,267.18377685546875,20,R_A5,1709.5638427734375,STANDARD,267.18377685546875,11,31,2018-04-28
12,-4.312470085893194e-12,0,1.0,266.2875061035156,21,R_A5,1701.7845458984375,STANDARD,266.2875061035156,12,31,2018-04-28
13,0.0,0,1.0,266.9227600097656,21,R_A5,1703.735107421875,STANDARD,266.9227600097656,13,31,2018-04-28
14,-1.1003157586453316e-11,0,1.0,267.1227722167969,21,R_A5,1705.6856689453125,STANDARD,267.1227722167969,14,31,2018-04-28
15,-2.1654919610952783e-12,0,1.0,267.3131103515625,21,R_A5,1707.63623046875,STANDARD,267.3131103515625,15,31,2018-04-28
16,-6.367240176947953e-13,0,1.0,267.6612548828125,21,R_A5,1709.5867919921875,STANDARD,267.6612548828125,16,31,2018-04-28
17,-7.274151983885369e-13,0,1.0,267.8811950683594,21,R_A5,1711.537353515625,STANDARD,267.8811950683594,17,31,2018-04-28
18,-1.4404851009924835e-12,0,1.0,268.1208801269531,21,R_A5,1713.35400390625,STANDARD,268.1208801269531,18,31,2018-04-28
19,0.0,0,1.0,268.2622985839844,21,R_A5,1714.3951416015625,STANDARD,268.2622985839844,19,31,2018-04-28
27,-2.5055545745805707e-12,0,1.0,268.25482177734375,21,R_A5,1715.7628173828125,STANDARD,268.25482177734375,20,31,2018-04-28
28,-1.6033566618486872e-12,0,1.0,268.5663146972656,21,R_A5,1718.098388671875,STANDARD,268.5663146972656,21,31,2018-04-28
29,-2.0731327839444482e-19,0,1.0,275.5173645019531,21,R_A5,1720.43408203125,STANDARD,275.5173645019531,22,31,2018-04-28
30,-3.0224764748301713e-14,0,1.0,268.8675231933594,21,R_A5,1722.7696533203125,STANDARD,268.8675231933594,23,31,2018-04-28
31,-2.0467934145361991e-19,0,1.0,270.8048095703125,21,R_A5,1725.105224609375,STANDARD,270.8048095703125,24,31,2018-04-28
1,0.0,0,0.6489875912666321,285.444091796875,41,R_A3,1609.243408203125,STANDARD,285.444091796875,1,28,2018-07-03
2,0.0,0,0.19748270511627197,285.5628662109375,41,R_A3,1611.3077392578125,STANDARD,285.5628662109375,2,28,2018-07-03
3,0.0,0,0.15803009271621704,285.70013427734375,41,R_A3,1613.3720703125,STANDARD,285.70013427734375,3,28,2018-07-03
4,0.0,0,0.17240053415298462,285.8377990722656,41,R_A3,1615.4365234375,STANDARD,285.8377990722656,4,28,2018-07-03
5,0.0,0,0.6494624018669128,285.9722595214844,41,R_A3,1617.5008544921875,STANDARD,285.9722595214844,5,28,2018-07-03
6,0.0,0,0.33823785185813904,286.1678466796875,41,R_A3,1619.565185546875,STANDARD,286.1678466796875,6,28,2018-07-03
6,0.0,0,0.6490388512611389,285.52862548828125,41,R_A3,1609.3663330078125,STANDARD,285.52862548828125,7,29,2018-07-03
7,0.0,0,0.19758106768131256,285.6973876953125,41,R_A3,1611.4163818359375,STANDARD,285.6973876953125,8,29,2018-07-03
8,0.0,0,0.35056525468826294,285.83612060546875,41,R_A3,1613.46630859375,STANDARD,285.83612060546875,9,29,2018-07-03
9,0.0,0,0.8019238114356995,286.0417785644531,41,R_A3,1615.516357421875,STANDARD,286.0417785644531,10,29,2018-07-03
10,0.0,0,0.796481728553772,286.6473083496094,41,R_A3,1617.5662841796875,STANDARD,286.6473083496094,11,29,2018-07-03
11,0.0,0,0.049299903213977814,285.4483947753906,41,R_A3,1619.750732421875,STANDARD,285.4483947753906,12,29,2018-07-03
12,0.0,0,0.05496996268630028,285.6033020019531,41,R_A3,1622.0697021484375,STANDARD,285.6033020019531,13,29,2018-07-03
13,0.0,0,0.3725026249885559,285.7588806152344,41,R_A3,1624.388671875,STANDARD,285.7588806152344,14,29,2018-07-03
15,0.0,0,0.48759394884109497,286.12701416015625,41,R_A3,1629.026611328125,STANDARD,286.12701416015625,15,29,2018-07-03
16,0.0,0,0.806885838508606,286.26910400390625,41,R_A3,1630.9468994140625,STANDARD,286.26910400390625,16,29,2018-07-03
27,-2.0512094627000987e-12,0,1.0,290.0321044921875,41,R_A3,1633.5262451171875,STANDARD,290.0321044921875,17,29,2018-07-03
28,0.0,0,0.04364146292209625,285.57794189453125,41,R_A3,1637.1630859375,STANDARD,285.57794189453125,18,29,2018-07-03
29,0.0,0,0.05176343396306038,285.8209228515625,41,R_A3,1640.8001708984375,STANDARD,285.8209228515625,19,29,2018-07-03
30,-9.151296907761175e-12,0,1.0,290.0069580078125,41,R_A3,1644.4371337890625,STANDARD,290.0069580078125,20,29,2018-07-03
31,0.0,0,0.0626162588596344,286.2946472167969,41,R_A3,1648.0740966796875,STANDARD,286.2946472167969,21,29,2018-07-03
1,0.0,0,0.05310189723968506,278.616455078125,52,R_A4,1631.1873779296875,STANDARD,278.616455078125,1,30,2018-09-12
1,0.0,0,0.049763161689043045,278.40557861328125,52,R_A4,1627.4293212890625,STANDARD,278.40557861328125,2,31,2018-09-12
2,0.0,0,0.05104460194706917,278.5429382324219,52,R_A4,1629.4896240234375,STANDARD,278.5429382324219,3,31,2018-09-12
3,0.0,0,0.05355541408061981,278.6803283691406,52,R_A4,1631.5498046875,STANDARD,278.6803283691406,4,31,2018-09-12
4,0.0,0,0.058569710701704025,278.81768798828125,52,R_A4,1633.610107421875,STANDARD,278.81768798828125,5,31,2018-09-12
4,0.0,0,0.05793687328696251,278.7640686035156,52,R_A4,1632.3968505859375,STANDARD,278.7640686035156,6,32,2018-09-12
4,0.0,0,0.0584494024515152,278.9759521484375,51,R_A4,1635.880615234375,STANDARD,278.9759521484375,7,32,2018-09-12
4,0.0,0,0.06207410246133804,279.0898742675781,51,R_A4,1637.321044921875,STANDARD,279.0898742675781,8,33,2018-09-12
3,0.0,0,0.05664980411529541,278.9667053222656,51,R_A4,1635.474609375,STANDARD,278.9667053222656,9,33,2018-09-12
4,0.0,0,0.14800921082496643,279.3511962890625,50,R_A4,1642.1485595703125,STANDARD,279.3511962890625,10,33,2018-09-12
4,0.0,0,0.08172926306724548,279.2879333496094,50,R_A4,1641.132080078125,STANDARD,279.2879333496094,11,34,2018-09-12
3,0.0,0,0.12299691885709763,279.1596984863281,50,R_A4,1639.20703125,STANDARD,279.1596984863281,12,34,2018-09-12
3,0.0,0,0.12479506433010101,279.3134460449219,50,R_A4,1640.9061279296875,STANDARD,279.3134460449219,13,35,2018-09-12
2,0.0,0,0.22968795895576477,279.1896057128906,50,R_A4,1639.0426025390625,STANDARD,279.1896057128906,14,35,2018-09-12
2,0.0,0,0.2370961755514145,279.3056945800781,49,R_A4,1641.93212890625,STANDARD,279.3056945800781,15,35,2018-09-12
30,0.0,0,0.1258087307214737,282.70147705078125,49,R_A4,1642.357421875,STANDARD,282.70147705078125,16,36,2018-09-12
30,0.0,0,0.05840905383229256,282.7124938964844,48,R_A4,1639.6068115234375,STANDARD,282.7124938964844,17,36,2018-09-12
30,0.0,0,0.22680266201496124,283.04461669921875,48,R_A4,1646.7513427734375,STANDARD,283.04461669921875,18,37,2018-09-12
30,0.0,0,0.27641043066978455,283.209228515625,48,R_A4,1653.461669921875,STANDARD,283.209228515625,19,38,2018-09-12
30,0.0,0,0.7173100709915161,283.78936767578125,47,R_A4,1657.8184814453125,STANDARD,283.78936767578125,20,38,2018-09-12
1,2.926587135948359e-15,0,1.0,276.1468200683594,42,R_A6,1695.20263671875,STANDARD,276.1468200683594,1,17,2018-11-07
2,1.8353586134071433e-15,0,1.0,276.2924499511719,42,R_A6,1696.7510986328125,STANDARD,276.2924499511719,2,17,2018-11-07
3,1.3380200420532286e-15,0,1.0,276.43603515625,42,R_A6,1698.299560546875,STANDARD,276.43603515625,3,17,2018-11-07
4,1.1245135292365207e-15,0,1.0,276.5767517089844,42,R_A6,1699.84814453125,STANDARD,276.5767517089844,4,17,2018-11-07
5,2.8819798398471057e-15,0,1.0,276.716064453125,42,R_A6,1701.3966064453125,STANDARD,276.716064453125,5,17,2018-11-07
6,7.119363421275587e-14,0,1.0,276.8578796386719,42,R_A6,1702.9451904296875,STANDARD,276.8578796386719,6,17,2018-11-07
7,1.3632961404740074e-13,0,1.0,276.7027893066406,42,R_A6,1704.49365234375,STANDARD,276.7027893066406,7,17,2018-11-07
8,7.294635544479594e-14,0,1.0,276.849609375,42,R_A6,1706.042236328125,STANDARD,276.849609375,8,17,2018-11-07
9,5.260285090136598e-15,0,1.0,277.2961730957031,42,R_A6,1707.5906982421875,STANDARD,277.2961730957031,9,17,2018-11-07
10,4.4278853781999443e-16,0,1.0,277.60858154296875,42,R_A6,1709.1392822265625,STANDARD,277.60858154296875,10,17,2018-11-07
11,7.996000237799061e-13,0,1.0,277.5675048828125,42,R_A6,1711.055419921875,STANDARD,277.5675048828125,11,17,2018-11-07
12,3.587635559725716e-13,0,1.0,277.7837219238281,42,R_A6,1713.3392333984375,STANDARD,277.7837219238281,12,17,2018-11-07
13,2.910260872351564e-14,0,1.0,278.01239013671875,42,R_A6,1715.623046875,STANDARD,278.01239013671875,13,17,2018-11-07
