CONIPOS,DRAWDOWN,PRESSURE,SWAT,CONJPOS,CONKPOS,DATE,CONIDX,WELL,DEPTH,WELLMODEL,SGAS,CONBPRES
22,0,303.97039794921875,1.0,29,29,2018-01-01,25,R_A2,1683.132568359375,STANDARD,0.0,303.97039794921875
28,0,298.64068603515625,0.6481541991233826,41,1,2018-01-01,1,R_A3,1608.822998046875,STANDARD,0.0,298.64068603515625
28,0,298.7746276855469,0.152394637465477,41,2,2018-01-01,2,R_A3,1610.8218994140625,STANDARD,0.0,298.7746276855469
28,0,298.9085998535156,0.11823459714651108,41,3,2018-01-01,3,R_A3,1612.82080078125,STANDARD,0.0,298.9085998535156
29,0,298.28704833984375,0.16641105711460114,41,3,2018-01-01,4,R_A3,1603.5462646484375,STANDARD,0.0,298.28704833984375
29,0,298.4293212890625,0.6481541991233826,41,4,2018-01-01,5,R_A3,1605.66943359375,STANDARD,0.0,298.4293212890625
29,0,298.5716247558594,0.8083880543708801,41,5,2018-01-01,6,R_A3,1607.7926025390625,STANDARD,0.0,298.5716247558594
29,0,298.7138977050781,0.6481541991233826,41,6,2018-01-01,7,R_A3,1609.915771484375,STANDARD,0.0,298.7138977050781
29,0,298.856201171875,0.19304466247558594,41,7,2018-01-01,8,R_A3,1612.0389404296875,STANDARD,0.0,298.856201171875
29,0,298.9985046386719,0.19523020088672638,41,8,2018-01-01,9,R_A3,1614.162109375,STANDARD,0.0,298.9985046386719
29,0,299.14080810546875,0.7897167205810547,41,9,2018-01-01,10,R_A3,1616.2852783203125,STANDARD,0.0,299.14080810546875
29,0,299.2831115722656,0.7955058813095093,41,10,2018-01-01,11,R_A3,1618.4083251953125,STANDARD,0.0,299.2831115722656
29,0,299.4298400878906,0.04665559530258179,41,11,2018-01-01,12,R_A3,1620.59716796875,STANDARD,0.0,299.4298400878906
29,0,299.5809631347656,0.051973454654216766,41,12,2018-01-01,13,R_A3,1622.8515625,STANDARD,0.0,299.5809631347656
29,0,299.7320861816406,0.23558945953845978,41,13,2018-01-01,14,R_A3,1625.1060791015625,STANDARD,0.0,299.7320861816406
29,0,300.03436279296875,0.4139266014099121,41,15,2018-01-01,15,R_A3,1629.614990234375,STANDARD,0.0,300.03436279296875
29,0,300.1707458496094,0.8030319213867188,41,16,2018-01-01,16,R_A3,1631.6494140625,STANDARD,0.0,300.1707458496094
29,0,300.3567810058594,0.3665964603424072,41,25,2018-01-01,17,R_A3,1634.4239501953125,STANDARD,0.0,300.3567810058594
29,0,300.59710693359375,0.04351457953453064,41,26,2018-01-01,18,R_A3,1638.00830078125,STANDARD,0.0,300.59710693359375
29,0,300.8374328613281,0.050593797117471695,41,27,2018-01-01,19,R_A3,1641.5926513671875,STANDARD,0.0,300.8374328613281
29,0,301.0777893066406,0.6481541991233826,41,28,2018-01-01,20,R_A3,1645.177001953125,STANDARD,0.0,301.0777893066406
29,0,301.31817626953125,0.09728703647851944,41,29,2018-01-01,21,R_A3,1648.761474609375,STANDARD,0.0,301.31817626953125
30,0,300.1750183105469,0.04890916869044304,52,1,2018-01-01,1,R_A4,1631.712890625,STANDARD,0.0,300.1750183105469
31,0,299.875732421875,0.1644619256258011,52,1,2018-01-01,2,R_A4,1627.2489013671875,STANDARD,0.0,299.875732421875
31,0,300.0116882324219,0.04948984831571579,52,2,2018-01-01,3,R_A4,1629.2767333984375,STANDARD,0.0,300.0116882324219
