CONJPOS,CONKPOS,DATE,CONBPRES,PRESSURE,DRAWDOWN,CONIPOS,SWAT,DEPTH,WELLMODEL,CONIDX,SGAS,WELL
20,1,2018-01-01,303.9472961425781,303.9472961425781,0,31,1.0,1686.1156005859375,STANDARD,1,0.0,R_A5
20,2,2018-01-01,304.1490173339844,304.1490173339844,0,31,1.0,1688.2445068359375,STANDARD,2,0.0,R_A5
20,3,2018-01-01,304.35076904296875,304.35076904296875,0,31,1.0,1690.373291015625,STANDARD,3,0.0,R_A5
20,4,2018-01-01,304.552490234375,304.552490234375,0,31,1.0,1692.5020751953125,STANDARD,4,0.0,R_A5
20,5,2018-01-01,304.7542419433594,304.7542419433594,0,31,1.0,1694.630859375,STANDARD,5,0.0,R_A5
20,6,2018-01-01,304.9559631347656,304.9559631347656,0,31,1.0,1696.759765625,STANDARD,6,0.0,R_A5
20,7,2018-01-01,305.4635009765625,305.4635009765625,0,31,1.0,1698.888427734375,STANDARD,7,0.0,R_A5
20,8,2018-01-01,305.6652526855469,305.6652526855469,0,31,1.0,1701.017333984375,STANDARD,8,0.0,R_A5
21,10,2018-01-01,305.4348449707031,305.4348449707031,0,31,1.0,1698.586181640625,STANDARD,9,0.0,R_A5
21,11,2018-01-01,305.3285827636719,305.3285827636719,0,31,1.0,1700.690185546875,STANDARD,10,0.0,R_A5
21,12,2018-01-01,305.5147705078125,305.5147705078125,0,31,1.0,1702.655029296875,STANDARD,11,0.0,R_A5
21,13,2018-01-01,305.71295166015625,305.71295166015625,0,31,1.0,1704.6197509765625,STANDARD,12,0.0,R_A5
21,14,2018-01-01,305.8991394042969,305.8991394042969,0,31,1.0,1706.58447265625,STANDARD,13,0.0,R_A5
21,15,2018-01-01,306.0853576660156,306.0853576660156,0,31,1.0,1708.5491943359375,STANDARD,14,0.0,R_A5
21,16,2018-01-01,306.41656494140625,306.41656494140625,0,31,1.0,1710.513916015625,STANDARD,15,0.0,R_A5
21,17,2018-01-01,306.6007080078125,306.6007080078125,0,31,1.0,1712.4571533203125,STANDARD,16,0.0,R_A5
21,18,2018-01-01,306.728515625,306.728515625,0,31,1.0,1713.805419921875,STANDARD,17,0.0,R_A5
21,19,2018-01-01,306.7758483886719,306.7758483886719,0,31,1.0,1714.3050537109375,STANDARD,18,0.0,R_A5
21,25,2018-01-01,306.7346496582031,306.7346496582031,0,31,1.0,1715.52783203125,STANDARD,19,0.0,R_A5
21,26,2018-01-01,307.2509765625,307.2509765625,0,31,1.0,1717.749267578125,STANDARD,20,0.0,R_A5
21,27,2018-01-01,307.4615173339844,307.4615173339844,0,31,1.0,1719.970703125,STANDARD,21,0.0,R_A5
21,28,2018-01-01,307.67205810546875,307.67205810546875,0,31,1.0,1722.192138671875,STANDARD,22,0.0,R_A5
21,29,2018-01-01,307.8825988769531,307.8825988769531,0,31,1.0,1724.41357421875,STANDARD,23,0.0,R_A5
42,1,2018-01-01,305.00775146484375,305.00775146484375,0,17,1.0,1694.0794677734375,STANDARD,1,0.0,R_A6
42,2,2018-01-01,305.15277099609375,305.15277099609375,0,17,1.0,1695.6097412109375,STANDARD,2,0.0,R_A6
42,3,2018-01-01,305.29779052734375,305.29779052734375,0,17,1.0,1697.1400146484375,STANDARD,3,0.0,R_A6
42,4,2018-01-01,305.44281005859375,305.44281005859375,0,17,1.0,1698.670166015625,STANDARD,4,0.0,R_A6
42,5,2018-01-01,305.58782958984375,305.58782958984375,0,17,1.0,1700.200439453125,STANDARD,5,0.0,R_A6
42,6,2018-01-01,305.73284912109375,305.73284912109375,0,17,1.0,1701.730712890625,STANDARD,6,0.0,R_A6
42,7,2018-01-01,305.5788269042969,305.5788269042969,0,17,1.0,1703.260986328125,STANDARD,7,0.0,R_A6
42,8,2018-01-01,305.7238464355469,305.7238464355469,0,17,1.0,1704.791259765625,STANDARD,8,0.0,R_A6
42,9,2018-01-01,306.1679382324219,306.1679382324219,0,17,1.0,1706.321533203125,STANDARD,9,0.0,R_A6
42,10,2018-01-01,306.0071716308594,306.0071716308594,0,17,1.0,1707.851806640625,STANDARD,10,0.0,R_A6
42,11,2018-01-01,306.18548583984375,306.18548583984375,0,17,1.0,1709.732177734375,STANDARD,11,0.0,R_A6
42,12,2018-01-01,306.3968811035156,306.3968811035156,0,17,1.0,1711.962646484375,STANDARD,12,0.0,R_A6
42,13,2018-01-01,306.6202392578125,306.6202392578125,0,17,1.0,1714.193115234375,STANDARD,13,0.0,R_A6
42,14,2018-01-01,306.8316345214844,306.8316345214844,0,17,1.0,1716.423583984375,STANDARD,14,0.0,R_A6
