CONIDX,CONJPOS,PRESSURE,DATE,WELL,CONKPOS,SWAT,DRAWDOWN,CONIPOS,SGAS,DEPTH,WELLMODEL,CONBPRES
23,47,301.4147033691406,2018-01-01,R_A4,29,0.3519017696380615,0,38,0.0,1650.629638671875,STANDARD,301.4147033691406
1,20,303.87030029296875,2018-01-01,R_A5,1,1.0,0,31,0.0,1685.3031005859375,STANDARD,303.87030029296875
2,20,304.08746337890625,2018-01-01,R_A5,2,1.0,0,31,0.0,1687.594970703125,STANDARD,304.08746337890625
3,20,304.3046569824219,2018-01-01,R_A5,3,1.0,0,31,0.0,1689.8868408203125,STANDARD,304.3046569824219
4,20,304.5218505859375,2018-01-01,R_A5,4,1.0,0,31,0.0,1692.1787109375,STANDARD,304.5218505859375
5,20,304.7390441894531,2018-01-01,R_A5,5,1.0,0,31,0.0,1694.4705810546875,STANDARD,304.7390441894531
6,20,304.95623779296875,2018-01-01,R_A5,6,1.0,0,31,0.0,1696.762451171875,STANDARD,304.95623779296875
7,20,305.4792175292969,2018-01-01,R_A5,7,1.0,0,31,0.0,1699.0543212890625,STANDARD,305.4792175292969
8,21,304.7970275878906,2018-01-01,R_A5,8,1.0,0,31,0.0,1691.8555908203125,STANDARD,304.7970275878906
9,21,305.18109130859375,2018-01-01,R_A5,11,1.0,0,31,0.0,1699.1337890625,STANDARD,305.18109130859375
10,21,305.3756408691406,2018-01-01,R_A5,12,1.0,0,31,0.0,1701.1866455078125,STANDARD,305.3756408691406
11,21,305.5821533203125,2018-01-01,R_A5,13,1.0,0,31,0.0,1703.2396240234375,STANDARD,305.5821533203125
12,21,305.7767028808594,2018-01-01,R_A5,14,1.0,0,31,0.0,1705.29248046875,STANDARD,305.7767028808594
13,21,305.97125244140625,2018-01-01,R_A5,15,1.0,0,31,0.0,1707.345458984375,STANDARD,305.97125244140625
14,21,306.3108215332031,2018-01-01,R_A5,16,1.0,0,31,0.0,1709.3983154296875,STANDARD,306.3108215332031
15,21,306.50537109375,2018-01-01,R_A5,17,1.0,0,31,0.0,1711.451171875,STANDARD,306.50537109375
16,21,306.6842041015625,2018-01-01,R_A5,18,1.0,0,31,0.0,1713.338134765625,STANDARD,306.6842041015625
17,21,306.79608154296875,2018-01-01,R_A5,19,1.0,0,31,0.0,1714.518310546875,STANDARD,306.79608154296875
18,21,306.84588623046875,2018-01-01,R_A5,20,1.0,0,31,0.0,1715.0439453125,STANDARD,306.84588623046875
19,21,306.8282470703125,2018-01-01,R_A5,26,1.0,0,31,0.0,1716.515625,STANDARD,306.8282470703125
20,21,307.0682067871094,2018-01-01,R_A5,27,1.0,0,31,0.0,1719.0472412109375,STANDARD,307.0682067871094
21,21,307.6139221191406,2018-01-01,R_A5,28,1.0,0,31,0.0,1721.5789794921875,STANDARD,307.6139221191406
22,21,307.8538513183594,2018-01-01,R_A5,29,1.0,0,31,0.0,1724.110595703125,STANDARD,307.8538513183594
23,21,308.09381103515625,2018-01-01,R_A5,30,1.0,0,31,0.0,1726.6422119140625,STANDARD,308.09381103515625
1,42,305.0939636230469,2018-01-01,R_A6,1,1.0,0,17,0.0,1694.989013671875,STANDARD,305.0939636230469
2,42,305.2413024902344,2018-01-01,R_A6,2,1.0,0,17,0.0,1696.5438232421875,STANDARD,305.2413024902344
3,42,305.3886413574219,2018-01-01,R_A6,3,1.0,0,17,0.0,1698.0986328125,STANDARD,305.3886413574219
4,42,305.5359802246094,2018-01-01,R_A6,4,1.0,0,17,0.0,1699.6534423828125,STANDARD,305.5359802246094
5,42,305.683349609375,2018-01-01,R_A6,5,1.0,0,17,0.0,1701.208251953125,STANDARD,305.683349609375
6,42,305.5316162109375,2018-01-01,R_A6,6,1.0,0,17,0.0,1702.762939453125,STANDARD,305.5316162109375
7,42,305.6789855957031,2018-01-01,R_A6,7,1.0,0,17,0.0,1704.3177490234375,STANDARD,305.6789855957031
8,42,305.8263244628906,2018-01-01,R_A6,8,1.0,0,17,0.0,1705.87255859375,STANDARD,305.8263244628906
