CONIDX,SGAS,WELLMODEL,DRAWDOWN,DATE,SWAT,DEPTH,CONJPOS,PRESSURE,CONIPOS,CONBPRES,CONKPOS,WELL
9,9.126794895916112e-18,STANDARD,0,2018-11-07,1.0,1706.547119140625,42,279.0818176269531,17,279.0818176269531,9,R_A6
10,7.228697227085223e-16,STANDARD,0,2018-11-07,1.0,1708.07763671875,42,278.9585266113281,17,278.9585266113281,10,R_A6
11,-1.082136934106531e-16,STANDARD,0,2018-11-07,1.0,1709.980712890625,42,279.22119140625,17,279.22119140625,11,R_A6
12,-6.422081383351447e-17,STANDARD,0,2018-11-07,1.0,1712.2564697265625,42,279.4599914550781,17,279.4599914550781,12,R_A6
13,-1.3271245215950761e-17,STANDARD,0,2018-11-07,1.0,1714.5322265625,42,279.65777587890625,17,279.65777587890625,13,R_A6
14,-8.328401823041155e-18,STANDARD,0,2018-11-07,1.0,1716.807861328125,42,279.8730163574219,17,279.8730163574219,14,R_A6
15,-3.405475698510907e-19,STANDARD,0,2018-11-07,1.0,1719.0836181640625,42,280.0865478515625,17,280.0865478515625,15,R_A6
16,-1.3312315198653113e-19,STANDARD,0,2018-11-07,1.0,1721.359375,42,280.4426574707031,17,280.4426574707031,16,R_A6
17,-2.2415656267179685e-19,STANDARD,0,2018-11-07,1.0,1723.6351318359375,42,280.6536865234375,17,280.6536865234375,17,R_A6
18,-1.6316270706988304e-19,STANDARD,0,2018-11-07,1.0,1725.20263671875,42,280.800048828125,17,280.800048828125,18,R_A6
19,-4.324179627221803e-17,STANDARD,0,2018-11-07,1.0,1726.485595703125,42,280.7127380371094,17,280.7127380371094,26,R_A6
20,-3.6359418656482876e-17,STANDARD,0,2018-11-07,1.0,1728.192138671875,42,281.195068359375,17,281.195068359375,27,R_A6
21,-1.573903723660754e-23,STANDARD,0,2018-11-07,1.0,1729.898681640625,42,281.7575378417969,17,281.7575378417969,28,R_A6
22,8.361149386504246e-19,STANDARD,0,2018-11-07,1.0,1731.6051025390625,42,281.7013244628906,17,281.7013244628906,29,R_A6
23,-1.807530093696377e-17,STANDARD,0,2018-11-07,1.0,1733.3116455078125,42,281.4951171875,17,281.4951171875,30,R_A6
