CONIDX,SGAS,WELLMODEL,DRAWDOWN,DATE,SWAT,DEPTH,CONJPOS,PRESSURE,CONIPOS,CONBPRES,CONKPOS,WELL
14,0.0,STANDARD,0,2018-01-01,0.6339867115020752,1630.959716796875,41,300.0390930175781,29,300.0390930175781,15,R_A3
15,0.0,STANDARD,0,2018-01-01,0.8023233413696289,1632.5762939453125,41,300.1474914550781,29,300.1474914550781,16,R_A3
16,0.0,STANDARD,0,2018-01-01,1.0,1634.7967529296875,41,300.2963562011719,29,300.2963562011719,26,R_A3
17,0.0,STANDARD,0,2018-01-01,0.04548635706305504,1638.1497802734375,41,300.52117919921875,29,300.52117919921875,27,R_A3
18,0.0,STANDARD,0,2018-01-01,0.051093168556690216,1641.5029296875,41,300.7460021972656,29,300.7460021972656,28,R_A3
19,0.0,STANDARD,0,2018-01-01,1.0,1644.85595703125,41,300.9708557128906,29,300.9708557128906,29,R_A3
20,0.0,STANDARD,0,2018-01-01,0.06444352120161057,1648.2091064453125,41,301.1957092285156,29,301.1957092285156,30,R_A3
1,0.0,STANDARD,0,2018-01-01,0.047313328832387924,1625.56591796875,52,299.6775207519531,30,299.6775207519531,1,R_A4
2,0.0,STANDARD,0,2018-01-01,0.047666922211647034,1625.7022705078125,52,299.6866455078125,31,299.6866455078125,1,R_A4
3,0.0,STANDARD,0,2018-01-01,0.05004498362541199,1627.7857666015625,52,299.8263244628906,31,299.8263244628906,2,R_A4
4,0.0,STANDARD,0,2018-01-01,0.05122639983892441,1629.869384765625,52,299.96600341796875,31,299.96600341796875,3,R_A4
5,0.0,STANDARD,0,2018-01-01,0.05332736298441887,1631.952880859375,52,300.1056823730469,31,300.1056823730469,4,R_A4
6,0.0,STANDARD,0,2018-01-01,0.05418437346816063,1633.0811767578125,52,300.18133544921875,32,300.18133544921875,4,R_A4
7,0.0,STANDARD,0,2018-01-01,0.05597763508558273,1634.986572265625,52,300.30908203125,32,300.30908203125,5,R_A4
8,0.0,STANDARD,0,2018-01-01,0.05710875988006592,1634.6219482421875,51,300.2846374511719,32,300.2846374511719,5,R_A4
9,0.0,STANDARD,0,2018-01-01,0.05634957179427147,1632.8267822265625,51,300.1642761230469,32,300.1642761230469,4,R_A4
10,0.0,STANDARD,0,2018-01-01,0.05900079384446144,1636.261474609375,51,300.3945617675781,33,300.3945617675781,4,R_A4
11,0.0,STANDARD,0,2018-01-01,0.05996781587600708,1638.3441162109375,50,300.5342102050781,33,300.5342102050781,4,R_A4
12,0.0,STANDARD,0,2018-01-01,0.06220439448952675,1639.6422119140625,50,300.6212463378906,34,300.6212463378906,4,R_A4
13,0.0,STANDARD,0,2018-01-01,0.0600644052028656,1637.651123046875,50,300.48773193359375,34,300.48773193359375,3,R_A4
14,0.0,STANDARD,0,2018-01-01,0.06033268943428993,1638.8970947265625,50,300.5712890625,35,300.5712890625,3,R_A4
15,0.0,STANDARD,0,2018-01-01,0.06165239214897156,1640.85546875,50,300.70257568359375,35,300.70257568359375,4,R_A4
16,0.0,STANDARD,0,2018-01-01,0.1006106436252594,1641.9815673828125,49,300.7781066894531,35,300.7781066894531,4,R_A4
17,0.0,STANDARD,0,2018-01-01,0.11171424388885498,1646.17529296875,49,301.059326171875,36,301.059326171875,30,R_A4
18,0.0,STANDARD,0,2018-01-01,0.2413371205329895,1640.486083984375,49,300.6778259277344,36,300.6778259277344,29,R_A4
19,0.0,STANDARD,0,2018-01-01,0.2463988959789276,1643.0308837890625,48,300.84844970703125,36,300.84844970703125,29,R_A4
20,0.0,STANDARD,0,2018-01-01,0.24812845885753632,1650.1591796875,48,301.32647705078125,37,301.32647705078125,29,R_A4
21,0.0,STANDARD,0,2018-01-01,1.0,1644.7486572265625,48,300.9636535644531,37,300.9636535644531,28,R_A4
