CONKPOS,WELL,WELLMODEL,CONIDX,DRAWDOWN,CONIPOS,CONJPOS,SWAT,CONBPRES,DATE,DEPTH,PRESSURE,SGAS
12,R_A5,STANDARD,9,0,31,20,1.0,306.3259582519531,2018-01-01,1711.2144775390625,306.3259582519531,0.0
12,R_A5,STANDARD,10,0,31,21,1.0,305.346923828125,2018-01-01,1700.8837890625,305.346923828125,0.0
13,R_A5,STANDARD,11,0,31,21,1.0,305.5321350097656,2018-01-01,1702.7117919921875,305.5321350097656,0.0
14,R_A5,STANDARD,12,0,31,21,1.0,305.70538330078125,2018-01-01,1704.539794921875,305.70538330078125,0.0
15,R_A5,STANDARD,13,0,31,21,1.0,305.8786315917969,2018-01-01,1706.367919921875,305.8786315917969,0.0
16,R_A5,STANDARD,14,0,31,21,1.0,306.1968688964844,2018-01-01,1708.196044921875,306.1968688964844,0.0
17,R_A5,STANDARD,15,0,31,21,1.0,306.3701171875,2018-01-01,1710.0240478515625,306.3701171875,0.0
18,R_A5,STANDARD,16,0,31,21,1.0,306.5283203125,2018-01-01,1711.6932373046875,306.5283203125,0.0
19,R_A5,STANDARD,17,0,31,21,1.0,306.6328125,2018-01-01,1712.795654296875,306.6328125,0.0
20,R_A5,STANDARD,18,0,31,21,1.0,306.67413330078125,2018-01-01,1713.23193359375,306.67413330078125,0.0
26,R_A5,STANDARD,19,0,31,21,1.0,306.6422424316406,2018-01-01,1714.5528564453125,306.6422424316406,0.0
27,R_A5,STANDARD,20,0,31,21,1.0,306.8757629394531,2018-01-01,1717.0167236328125,306.8757629394531,0.0
28,R_A5,STANDARD,21,0,31,21,1.0,307.1092834472656,2018-01-01,1719.480712890625,307.1092834472656,0.0
29,R_A5,STANDARD,22,0,31,21,1.0,307.6485900878906,2018-01-01,1721.944580078125,307.6485900878906,0.0
30,R_A5,STANDARD,23,0,31,21,1.0,307.8821105957031,2018-01-01,1724.4085693359375,307.8821105957031,0.0
1,R_A6,STANDARD,1,0,17,42,1.0,305.1127624511719,2018-01-01,1695.1875,305.1127624511719,0.0
2,R_A6,STANDARD,2,0,17,42,1.0,305.2596130371094,2018-01-01,1696.7369384765625,305.2596130371094,0.0
3,R_A6,STANDARD,3,0,17,42,1.0,305.40643310546875,2018-01-01,1698.286376953125,305.40643310546875,0.0
4,R_A6,STANDARD,4,0,17,42,1.0,305.55328369140625,2018-01-01,1699.8358154296875,305.55328369140625,0.0
5,R_A6,STANDARD,5,0,17,42,1.0,305.70013427734375,2018-01-01,1701.3853759765625,305.70013427734375,0.0
6,R_A6,STANDARD,6,0,17,42,1.0,305.84698486328125,2018-01-01,1702.9349365234375,305.84698486328125,0.0
7,R_A6,STANDARD,7,0,17,42,1.0,305.69476318359375,2018-01-01,1704.484375,305.69476318359375,0.0
8,R_A6,STANDARD,8,0,17,42,1.0,305.84161376953125,2018-01-01,1706.0338134765625,305.84161376953125,0.0
9,R_A6,STANDARD,9,0,17,42,1.0,306.2875061035156,2018-01-01,1707.5833740234375,306.2875061035156,0.0
10,R_A6,STANDARD,10,0,17,42,1.0,306.1285705566406,2018-01-01,1709.1328125,306.1285705566406,0.0
11,R_A6,STANDARD,11,0,17,42,1.0,306.31317138671875,2018-01-01,1711.0794677734375,306.31317138671875,0.0
12,R_A6,STANDARD,12,0,17,42,1.0,306.5353088378906,2018-01-01,1713.42333984375,306.5353088378906,0.0
13,R_A6,STANDARD,13,0,17,42,1.0,306.7694396972656,2018-01-01,1715.767333984375,306.7694396972656,0.0
14,R_A6,STANDARD,14,0,17,42,1.0,306.9915771484375,2018-01-01,1718.1112060546875,306.9915771484375,0.0
15,R_A6,STANDARD,15,0,17,42,1.0,307.3587341308594,2018-01-01,1720.455078125,307.3587341308594,0.0
16,R_A6,STANDARD,16,0,17,42,1.0,307.58087158203125,2018-01-01,1722.799072265625,307.58087158203125,0.0
17,R_A6,STANDARD,17,0,17,42,1.0,307.8030090332031,2018-01-01,1725.1429443359375,307.8030090332031,0.0
18,R_A6,STANDARD,18,0,17,42,1.0,307.9418640136719,2018-01-01,1726.6080322265625,307.9418640136719,0.0
26,R_A6,STANDARD,19,0,17,42,1.0,307.89434814453125,2018-01-01,1727.7640380859375,307.89434814453125,0.0
27,R_A6,STANDARD,20,0,17,42,1.0,308.36370849609375,2018-01-01,1729.489990234375,308.36370849609375,0.0
28,R_A6,STANDARD,21,0,17,42,1.0,308.52728271484375,2018-01-01,1731.2158203125,308.52728271484375,0.0
29,R_A6,STANDARD,22,0,17,42,1.0,308.6908874511719,2018-01-01,1732.9417724609375,308.6908874511719,0.0
30,R_A6,STANDARD,23,0,17,42,1.0,308.5486755371094,2018-01-01,1734.667724609375,308.5486755371094,0.0
1,R_A2,STANDARD,1,0,22,30,0.05427633970975876,297.12689208984375,2018-03-01,1642.783935546875,297.12689208984375,0.0
2,R_A2,STANDARD,2,0,22,30,0.05745873227715492,297.2506103515625,2018-03-01,1644.631103515625,297.2506103515625,0.0
3,R_A2,STANDARD,3,0,22,30,0.05948725715279579,297.3743591308594,2018-03-01,1646.478271484375,297.3743591308594,0.0
4,R_A2,STANDARD,4,0,22,30,0.06477266550064087,297.49810791015625,2018-03-01,1648.325439453125,297.49810791015625,0.0
5,R_A2,STANDARD,5,0,22,30,0.07022066414356232,297.6218566894531,2018-03-01,1650.1727294921875,297.6218566894531,0.0
6,R_A2,STANDARD,6,0,22,30,0.11636155098676682,297.7456359863281,2018-03-01,1652.019775390625,297.7456359863281,0.0
7,R_A2,STANDARD,7,0,22,30,0.19584017992019653,297.86932373046875,2018-03-01,1653.866943359375,297.86932373046875,0.0
8,R_A2,STANDARD,8,0,22,30,0.6485442519187927,297.9684753417969,2018-03-01,1655.7142333984375,297.9684753417969,0.0
9,R_A2,STANDARD,9,0,22,30,0.6487815976142883,298.0941467285156,2018-03-01,1657.5614013671875,298.0941467285156,0.0
10,R_A2,STANDARD,10,0,22,30,0.31954073905944824,298.2993469238281,2018-03-01,1659.4085693359375,298.2993469238281,0.0
11,R_A2,STANDARD,11,0,22,30,0.0745338574051857,299.0954895019531,2018-03-01,1661.368408203125,299.0954895019531,0.0
12,R_A2,STANDARD,12,0,22,30,0.07357428967952728,299.23944091796875,2018-03-01,1663.4410400390625,299.23944091796875,0.0
13,R_A2,STANDARD,13,0,22,30,0.4488217532634735,299.4140319824219,2018-03-01,1665.5135498046875,299.4140319824219,0.0
14,R_A2,STANDARD,14,0,22,30,0.48836588859558105,299.5564880371094,2018-03-01,1667.5860595703125,299.5564880371094,0.0
15,R_A2,STANDARD,15,0,22,30,0.6596962213516235,299.7030944824219,2018-03-01,1669.65869140625,299.7030944824219,0.0
16,R_A2,STANDARD,16,0,22,30,0.9599884748458862,299.8436584472656,2018-03-01,1671.731201171875,299.8436584472656,0.0
17,R_A2,STANDARD,17,0,22,30,0.944105327129364,299.984375,2018-03-01,1673.8037109375,299.984375,0.0
18,R_A2,STANDARD,18,0,22,30,0.9800205826759338,300.1167297363281,2018-03-01,1675.76806640625,300.1167297363281,0.0
18,R_A2,STANDARD,19,0,22,29,0.9179723262786865,299.6797180175781,2018-03-01,1671.56494140625,299.6797180175781,0.0
26,R_A2,STANDARD,20,0,22,29,1.0,302.913330078125,2018-03-01,1673.8248291015625,302.913330078125,-3.5990687426851187e-13
27,R_A2,STANDARD,21,0,22,29,1.0,303.06549072265625,2018-03-01,1675.6695556640625,303.06549072265625,-2.617438347878685e-17
28,R_A2,STANDARD,22,0,22,29,1.0,303.2057800292969,2018-03-01,1677.51416015625,303.2057800292969,-7.781715674663021e-18
29,R_A2,STANDARD,23,0,22,29,1.0,303.33441162109375,2018-03-01,1679.3587646484375,303.33441162109375,-7.670822187382937e-18
30,R_A2,STANDARD,24,0,22,29,1.0,303.7794494628906,2018-03-01,1681.203369140625,303.7794494628906,-2.892151605393415e-18
1,R_A5,STANDARD,1,0,31,20,1.0,279.0985412597656,2018-04-28,1685.76904296875,279.0985412597656,-8.85765100410667e-18
2,R_A5,STANDARD,2,0,31,20,1.0,279.326171875,2018-04-28,1688.142822265625,279.326171875,-4.4206493345502285e-16
3,R_A5,STANDARD,3,0,31,20,1.0,279.5534973144531,2018-04-28,1690.516357421875,279.5534973144531,-4.991264990868909e-16
4,R_A5,STANDARD,4,0,31,20,1.0,279.78399658203125,2018-04-28,1692.8900146484375,279.78399658203125,-1.0450520449656147e-16
5,R_A5,STANDARD,5,0,31,20,1.0,280.0163879394531,2018-04-28,1695.263671875,280.0163879394531,-3.957931276151643e-15
6,R_A5,STANDARD,6,0,31,20,1.0,280.2442932128906,2018-04-28,1697.6373291015625,280.2442932128906,-3.3267786515487306e-15
7,R_A5,STANDARD,7,0,31,20,1.0,280.7917785644531,2018-04-28,1700.010986328125,280.7917785644531,-6.8634703348837245e-18
11,R_A5,STANDARD,8,0,31,20,1.0,281.6319274902344,2018-04-28,1709.283935546875,281.6319274902344,-3.1835289959758484e-10
12,R_A5,STANDARD,9,0,31,20,1.0,281.78839111328125,2018-04-28,1711.2144775390625,281.78839111328125,-5.190456953130251e-10
12,R_A5,STANDARD,10,0,31,21,1.0,279.7840576171875,2018-04-28,1700.8837890625,279.7840576171875,-7.403834212382776e-10
13,R_A5,STANDARD,11,0,31,21,1.0,279.9715576171875,2018-04-28,1702.7117919921875,279.9715576171875,-1.5020724941638974e-10
14,R_A5,STANDARD,12,0,31,21,1.0,280.14739990234375,2018-04-28,1704.539794921875,280.14739990234375,-4.489811300523172e-10
15,R_A5,STANDARD,13,0,31,21,1.0,280.32135009765625,2018-04-28,1706.367919921875,280.32135009765625,-1.2220062461931747e-10
